,Interpersonal Violence,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,gdp/percap
1796,-0.337067659904812,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.49377041915339914
1797,-0.337067659904812,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.5652715561599573
1798,-0.337067659904812,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.5392264601564309
1799,-0.33719508303105067,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.6724672098266252
1800,-0.33719508303105067,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.8043696696827443
1801,-0.33719508303105067,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.7321209428719343
1802,-0.33719508303105067,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,0.7998926060693562
1803,-0.33719508303105067,-0.3041493828056477,-0.15325412069454736,-0.3970889616897243,1.0240757718102909
1804,-0.33719508303105067,-0.3041877477885295,-0.15325412069454736,-0.3970889616897243,1.2524073598945578
1805,-0.33719508303105067,-0.3041877477885295,-0.15325412069454736,-0.3970889616897243,1.2960101273987537
1806,-0.31897357597892545,-0.3023078636273225,-0.1437094975414099,0.5365616402272584,-0.6296254864055427
1807,-0.318081614095255,-0.302384593593086,-0.1437094975414099,0.30008333788294156,-0.6312574429757051
1808,-0.3174444984640618,-0.3024229585759678,-0.14393675047362745,0.11717816445158678,-0.6315341317084432
1809,-0.3174444984640618,-0.3024996885417313,-0.1448457622024977,0.20696864681479124,-0.6271150169948504
1810,-0.31667995970663,-0.3025380535246131,-0.14507301513471524,-0.04822675486645759,-0.622234226415942
1811,-0.3161702672016754,-0.3026531484732584,-0.1453002680669328,-0.0575268848994403,-0.612774039655762
1812,-0.3154057284442436,-0.3029217033534309,-0.1453002680669328,-0.3297495426760714,-0.5948402263963594
1813,-0.31553315157048223,-0.3031518932507215,-0.14575477393136793,-0.08316368258055562,-0.5910004953726206
1814,-0.3156605746967209,-0.3033053531822486,-0.14598202686358547,0.0699214306439558,-0.5789817055780588
1815,-0.3145137665605731,-0.3033820831480122,-0.14575477393136793,-0.1625074035220737,-0.5879627082283851
1816,-0.3143863434343345,-0.3033820831480122,-0.14598202686358547,-0.025422564932253106,-0.5749666341475569
