,Drug Use Disorders,Acute Hepatitis,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Crude suicide rates (per 100 000 population)
76,-0.15124736844491088,-0.097349899369028,0.5052309359512249,33245.64,-0.7167704463837862
77,-0.16216136511514997,-0.14075520942258163,-0.3435690488597119,104787.2,-0.6268676476561974
78,-0.16129973379907847,-0.14120971528701676,-0.34091534902979453,108427.3,-0.5752567817199891
79,-0.16101252336038796,-0.142118727015887,-0.3223896062499833,123796.3,-0.05559363207487956
80,-0.16158694423776898,-0.142118727015887,-0.31585684696291205,115230.5,-0.1007697884354929
81,-0.16158694423776898,-0.14234597994810455,-0.3490782920589336,113365.6,-0.6127162811898177
82,-0.16101252336038796,-0.14302773874475722,-0.3488581720182979,112453.6,0.2495348019399137
83,-0.16015089204431646,-0.14348224460919234,-0.326561178033947,232327.7,-0.19233745380618514
84,-0.15928926072824495,-0.14393675047362745,-0.27116822857240175,249610.8,-0.22147262006049628
85,-0.15871483985086396,-0.14439125633806257,-0.2914925251114366,116114.5,0.28191645814827665
86,-0.15785320853479246,-0.1448457622024977,-0.283871328022011,239675.0,-0.6401865808010253
87,-0.15699157721872092,-0.1453002680669328,-0.2678356367888522,127699.2,0.27610607356384537
88,-0.15555552502526843,-0.1453002680669328,-0.24113947610206757,127142.1,-0.1981644870570474
89,-0.15469389370919692,-0.14552752099915037,-0.2144427943366855,128639.6,-0.6210406144053352
90,-0.1535450519544349,-0.14552752099915037,-0.19395912553057498,128362.7,0.27642239822603504
91,-0.15297063107705391,-0.1453002680669328,-0.18844248499193933,125004.8,0.35011772018301135
92,-0.1518217893222919,-0.1453002680669328,-0.14530478883508377,128016.2,-0.6360244141932667
93,-0.15038573712883938,-0.1453002680669328,-0.07007097570362969,136933.6,0.23054699787531824
94,-0.1509601580062204,-0.14507301513471524,-0.06926700478805876,131977.9,0.2955683646217253
95,-0.15038573712883938,-0.14507301513471524,-0.07682941387828261,132381.6,-0.6118838478682659
96,-0.14952410581276787,-0.14507301513471524,-0.09048063235839765,133026.4,-0.21148342020187536
97,-0.17250094090800808,-0.15211785603345956,-0.2944900040971816,21893.17,-0.48618641631395204
98,-0.17250094090800808,-0.15211785603345956,-0.15149686472528648,11024.78,-0.7975164785743057
99,-0.17250094090800808,-0.15211785603345956,0.00931426738965857,11912.19,-0.6210406144053352
100,-0.17250094090800808,-0.15211785603345956,0.17912607350092327,12095.29,-0.5469540487872296
101,-0.17221373046931757,-0.151890603101242,0.36343717464274833,11776.94,-0.38879171769239756
102,-0.17221373046931757,-0.151890603101242,0.6252183797672527,12229.31,-0.5552783820027472
103,-0.17192652003062708,-0.15166335016902444,0.9444342393959456,12258.67,-0.6426838807656807
