,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
557,1.0,145.0,0.0,0.0,2.0,0.0,13.0,2.324867715027015e-06,0.0003371058186789,4.64973543005403e-06,0.0,0.0,0.0001487915337617,6.277142830572941e-05,8.369523774097254e-05,3.0223280295351194e-05,1415.844438451452,13.026666666666667,6.3,18.1809,73.11474,0.95,0.95,8.9172,14.90278,0.0,0.0
558,1.0,151.0,1.0,0.0,2.0,0.0,11.0,2.2807409671253995e-06,0.0003443918860359,4.561481934250799e-06,0.0,0.0,0.0001528096447974,5.7018524178135e-05,8.666815675076519e-05,2.50881506383794e-05,1404.936435749246,13.026666666666667,6.3,33.0552,77.16371,1.28116,1.27,9.02311,14.78865,0.0,0.0
559,0.0,155.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0003469859235645,4.4772377234141625e-06,0.0,0.0,0.0001544647014577,5.148823381926287e-05,8.506751674486908e-05,2.014756975536373e-05,1520.022207099108,13.026666666666667,6.3,6.5,104.0,1.52484,1.5,40.52466,9.14871,0.0,2.0
560,0.0,159.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0003495850052217,4.397295663167152e-06,0.0,0.0,0.0001561039960424,4.61716044632551e-05,8.574726543175946e-05,1.5390534821085032e-05,1958.9952179409663,92.0,6.3,6.34,82.96182,1.44468,2.32,41.08478,3.95707,0.0,0.0
561,0.0,159.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0003435646452532,6.482351797232036e-06,0.0,0.0,0.0001577372270659,4.1054894715802894e-05,8.427057336401647e-05,1.2964703594464071e-05,2210.481962856124,90.0,6.3,33.9521,109.0,1.84391,0.51,32.51338,3.93467,0.0,0.0
562,0.0,148.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0003144941425465,6.374881267836386e-06,0.0,0.0,0.0001614969921185,3.612432718440619e-05,8.287345648187303e-05,1.0624802113060644e-05,2318.3318210698326,13.026666666666667,6.3,18.4929,85.71347,1.99147,1.93,38.82847,8.38566,0.0,0.0
563,0.0,130.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0002717908297774,6.27209607178623e-06,0.0,0.0,0.000154711703104,3.3451179049526564e-05,7.944655024262558e-05,1.045349345297705e-05,2586.194280266522,1.4,6.3,18.1633,24.82417,1.92099,1.88,30.69748,3.57583,0.0,0.0
564,0.0,118.0,1.0,0.0,2.0,0.0,5.0,0.0,0.000242801351457,6.172915715008827e-06,0.0,0.0,0.0001543228928752,2.8806940003374528e-05,7.819026572344514e-05,1.0288192858348046e-05,3113.2071589361185,1.6,6.3,18.1486,85.13164,2.59493,2.53,8.6811,3.59627,0.0,0.0
565,0.0,109.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0002208180803413,6.0775618442564e-06,0.0,0.0,0.0001580166079506,2.633610132511107e-05,7.698245002724774e-05,8.103415792341867e-06,3622.2268591768143,1.5,6.3,6.11,84.85262,1.94013,1.89,32.32204,3.75083,0.0,13.0
566,0.0,108.0,1.0,3.0,2.0,0.0,4.0,0.0,0.0002154905802682,5.985849451895718e-06,5.985849451895718e-06,0.0,0.0001596226520505,2.394339780758288e-05,7.781604287464433e-05,7.981132602527625e-06,3387.9907897729768,0.5,6.3,32.3052,112.0,1.49368,0.48,44.7624,14.38251,0.0,3.0
567,0.0,107.0,1.0,0.0,2.0,0.0,4.0,0.0,0.000210357036836,5.897860845871202e-06,0.0,0.0,0.0001631741500691,2.162548976819441e-05,7.863814461161603e-05,7.863814461161604e-06,3271.346815843227,0.7,6.3,5.94,116.0,4.93,1.62,37.67846,15.31234,0.0,42.0
568,0.0,100.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0001937608990505,5.812826971517148e-06,0.0,0.0,0.0001685719821739,2.131369889556288e-05,7.750435962022864e-05,7.750435962022864e-06,3615.578376283666,1.2,6.3,5.79,24.85218,5.09,1.55,12.56178,16.90459,0.0,198.0
569,0.0,93.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0001776273569049,5.7299147388686855e-06,0.0,0.0,0.0001757173853253,2.1009687375851847e-05,7.639886318491581e-05,7.63988631849158e-06,3327.170491703084,0.9,4.3,17.9833,119.0,4.93,1.52,45.24697,11.63525,0.0,40.0
570,0.0,83.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0001562953115172,5.64922812713023e-06,0.0,0.0,0.0001770091479834,2.0713836466144176e-05,7.720611773744648e-05,7.532304169506973e-06,3483.690678396975,0.8,4.3,17.4557,96.27708,3.73,1.26,46.93962,5.51549,0.0,11.0
571,0.0,75.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0001392667143268,7.427558097430993e-06,0.0,0.0,0.000181975173387,2.042578476793523e-05,7.798936002302543e-05,7.427558097430993e-06,3453.814515305412,0.9,4.3,16.9074,127.0,4.31,1.62,63.61922,5.64933,0.0,1.0
572,0.0,71.0,1.0,9.0,2.0,0.0,4.0,0.0,0.0001300382971942,7.326101250382331e-06,1.6483727813360243e-05,0.0,0.0001904786325099,2.014677843855141e-05,7.875558844161006e-05,7.326101250382331e-06,2924.9459242151456,1.0,4.3,16.7314,131.0,4.54,1.85,47.1551,5.4317,0.0,1.0
573,0.0,68.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0001228696569768,7.227626880989895e-06,0.0,0.0,0.0002041804593879,1.987597392272221e-05,7.950389569088885e-05,7.227626880989895e-06,3004.8858757715493,0.8,4.3,5.51,135.0,4.89,1.5425,14.76855,12.1956,0.0,0.0
574,1.0,63.0,1.0,0.0,2.0,0.0,4.0,1.7828521712465168e-06,0.0001123196867885,7.131408684986067e-06,0.0,0.0,0.0002068108518645,1.961137388371169e-05,8.022834770609325e-05,7.131408684986067e-06,3155.648343106335,1.1,4.3,27.8312,109.7345,5.06,1.5425,50.59276,12.20705,0.0,0.0
575,2.0,58.0,1.0,0.0,2.0,0.0,4.0,3.5657043424930336e-06,0.0001034054259322,8.914260856232583e-06,0.0,0.0,0.0002371193387757,2.13942260549582e-05,8.201119987733977e-05,7.131408684986067e-06,3842.046429036244,1.0,4.3,5.16,143.1032,4.9,1.5425,16.22927,19.89457,0.0,0.0
576,9.0,55.0,1.0,0.0,2.0,0.0,4.0,1.5629368625605422e-05,9.551280826758869e-05,8.68298256978079e-06,0.0,0.0,0.0002327039328701,1.9102561653517736e-05,8.162003615593942e-05,6.946386055824632e-06,3771.887628312775,13.026666666666667,4.3,15.2308,30.30827,4.7,1.5425,73.46032,20.4614,0.0,0.0
577,7098.0,5642.0,7.0,0.0,93.0,1012.0,471.0,0.0008936535864806,0.0007103400302794,6.798717056910927e-06,0.0,0.0001274129937332,0.0001325749826097,0.0006452486095679,0.0002073608702357,5.929992099638976e-05,197.91820765674032,16.66923076923077,30.0,7.69,1485.289,0.04706,0.0,792.623,4.78636,0.0,0.0
578,6869.0,6034.0,7.0,100.0,96.0,263.0,541.0,0.000839791828455,0.0007377062007421,6.8464612597879945e-06,1.2225823678192849e-05,3.215391627364719e-05,0.0001326501869083,0.0005751027458221,0.0002073499695821,6.61417060990233e-05,236.6919464098135,26.2,32.0,15.7806,2307.129,0.04706,0.0,811.1422,4.70104,0.0,0.0
579,6085.0,6404.0,7.0,0.0,98.0,369.0,607.0,0.000721296916749,0.0007591101815712,6.75660217825742e-06,0.0,4.374010883819277e-05,0.0001331169165997,0.0005292671706301,0.0002058985611163,7.195188635442551e-05,267.5377388829298,27.0,33.0,15.7815,812.752,0.04716,0.1,214.3521,11.58991,0.0,0.0
580,6115.0,6685.0,7.0,0.0,102.0,37.0,668.0,0.0006991975521796,0.0007643721400361,6.746141550057513e-06,0.0,4.230631141561491e-06,0.0001328646861214,0.0004838927294888,0.0002060431707322,7.638004331251559e-05,354.6869675979391,6.6,36.0,25.0322,1633.444,0.0472,0.0,1070.551,18.16642,0.0,0.0
