,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-Drowning,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,Estimated road traffic death rate (per 100 000 population),"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Mortality rate attributed to unintentional poisoning (per 100 000 population),Crude suicide rates (per 100 000 population),Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
21,0.0,2.0,31.0,0.0,6.0,0.0,1.0,0.0,2.2803791293186715e-05,6.51536894091049e-07,1.009882185841126e-05,5.212295152728392e-06,0.0,0.0,5.310025686842049e-05,2.9319160234097205e-06,9.349554430206554e-05,3.257684470455245e-07,1827.886756372438,68.05,0.0,0.6,4.94,99.28674,22.71424,0.576,0.77,0.60939,6.35,189.5674,6.07974,0.0,2236.0
22,0.0,2.0,30.0,1.0,8.0,9.0,1.0,0.0,2.1013645736199944e-05,6.566764292562483e-07,9.850146438843724e-06,5.253411434049986e-06,3.2833821462812413e-07,2.9550439316531173e-06,5.351912898438424e-05,2.2983675023968688e-06,9.5218082242156e-05,3.2833821462812413e-07,2359.110072103072,82.45,0.3,0.84,4.86,96.57917,22.91743,0.816,1.07,0.38075,6.45,35.90542,5.44638,0.0,896.0
23,0.0,2.0,23.0,5.0,5.0,10.0,1.0,0.0,1.752336641722871e-05,6.612591100841023e-07,7.604479765967176e-06,5.290072880672818e-06,1.6531477752102557e-06,3.306295550420512e-06,5.1578210586559976e-05,1.9837773302523067e-06,9.12537571916061e-05,3.306295550420511e-07,2662.229177198596,86.82,1.1,0.39,10.169,101.352,14.93451,1.02,1.33,0.71526,9.69,114.5059,7.37808,0.0,1696.0
24,0.0,2.0,21.0,0.0,4.0,18.0,1.0,0.0,1.4971160554385402e-05,6.653849135282401e-07,6.986541592046521e-06,5.32307930822592e-06,0.0,5.988464221754161e-06,4.724232886050505e-05,1.6634622838206003e-06,8.650003875867121e-05,3.326924567641201e-07,2959.632095373612,89.62,0.1,0.35,10.0802,456.0,7.18142,0.996,1.28,0.42434,5.78,136.9569,4.4713,0.0,236.0
25,0.0,2.0,23.0,0.0,4.0,18.0,1.0,0.0,1.4707971553445928e-05,6.685441615202694e-07,7.688257857483099e-06,5.348353292162155e-06,0.0,6.016897453682425e-06,4.345537049881752e-05,1.3370883230405388e-06,8.624219683611476e-05,3.342720807601347e-07,3569.0230062759583,124.45,0.0,0.52,10.5473,105.12,14.79898,1.056,1.35,0.67065,5.82,128.5339,4.23646,0.0,824.0
26,0.0,2.0,23.0,0.0,4.0,8.0,1.0,0.0,1.4074496308963344e-05,6.702141099506353e-07,7.707462264432307e-06,5.6968199345804e-06,0.0,2.6808564398025414e-06,4.188838187191472e-05,1.3404282199012709e-06,8.746294134855791e-05,3.351070549753177e-07,4316.513975137067,117.01,0.0,0.53,10.4724,332.4118,14.48704,0.972,1.2,0.42288,8.18,123.0614,5.92691,0.0,50.0
27,0.0,2.0,19.0,0.0,4.0,0.0,1.0,0.0,1.3411387609218989e-05,6.705693804609494e-07,6.370409114379019e-06,5.364555043687595e-06,0.0,0.0,3.9898878137426486e-05,1.3411387609218988e-06,8.34858878673882e-05,3.352846902304747e-07,4038.168809135837,87.87,0.0,0.17,7.96,102.816,14.39602,1.056,1.28,0.48732,10.1603,89.17,5.96232,0.0,22.0
28,0.0,2.0,21.0,2.0,5.0,0.0,1.0,0.0,1.3726367213132317e-05,6.695788884454789e-07,7.030578328677528e-06,5.69142055178657e-06,6.695788884454789e-07,0.0,4.017473330672873e-05,1.3391577768909575e-06,8.436693994413034e-05,3.347894442227395e-07,3996.3815956868407,90.94,0.2,0.29,9.45,310.7213,7.12792,4.88,1.3,0.58128,9.52,38.9611,2.66317,0.0,21.0
29,0.0,2.0,22.0,0.0,5.0,0.0,1.0,0.0,1.2689223876978642e-05,6.678538882620338e-07,7.3463927708823715e-06,5.676758050227287e-06,0.0,0.0,4.2408721904639147e-05,1.3357077765240676e-06,8.515137075340931e-05,3.339269441310169e-07,4307.323652345987,104.62,0.0,0.29,7.63,419.0,14.30717,5.03,1.27,0.54287,7.9,99.39131,3.39764,0.0,39.0
30,0.0,2.0,23.0,0.0,9.0,0.0,1.0,0.0,1.3320638764590678e-05,6.660319382295339e-07,7.65936728963964e-06,5.661271474951038e-06,0.0,0.0,4.429112389226401e-05,1.332063876459068e-06,8.392002421692127e-05,3.3301596911476697e-07,4104.088803370388,107.72,0.0,0.29,3.15,89.8002,13.82936,4.43,1.3,0.43136,6.88,151.9236,5.21341,0.0,18.0
31,0.0,2.0,24.0,0.0,4.0,0.0,1.0,0.0,1.3282836416888462e-05,6.641418208444231e-07,7.969701850133078e-06,5.645205477177597e-06,0.0,0.0,4.6157856548687405e-05,1.3282836416888465e-06,8.334979851597511e-05,3.320709104222116e-07,4245.194518837553,120.59,0.2,0.29,3.23,403.0,6.1667,4.28,1.06,0.43368,3.54,140.9681,2.68867,0.0,20.0
32,0.0,2.0,25.0,0.0,4.0,1.0,1.0,0.0,1.390632237702755e-05,6.622058274775024e-07,8.27757284346878e-06,5.9598524472975215e-06,0.0,3.311029137387512e-07,4.867212831959643e-05,1.3244116549550048e-06,8.41001400896428e-05,3.311029137387512e-07,4385.789195383499,131.09,0.2,0.29,2.91,87.04648,13.60353,4.1,1.12,0.25201,3.22,129.3491,4.466,0.0,0.0
33,0.0,2.0,26.0,1.0,4.0,0.0,1.0,0.0,1.3534578206424103e-05,6.602233271426393e-07,8.58290325285431e-06,5.942009944283753e-06,3.301116635713197e-07,0.0,5.116730785355455e-05,1.3204466542852783e-06,8.516880920140046e-05,3.301116635713197e-07,3759.641736413759,83.49,0.2,0.29,4.23,305.7647,6.49971,4.33,1.17,0.32711,6.28,114.3983,5.53608,0.0,0.0
34,0.0,2.0,27.0,2.0,4.0,0.0,1.0,0.0,1.3493082655991554e-05,6.581991539508075e-07,8.885688578335901e-06,5.923792385557268e-06,6.581991539508075e-07,0.0,5.298503189304e-05,1.316398307901615e-06,8.392039212872796e-05,3.2909957697540375e-07,3903.77918208224,84.38,0.2,0.29,2.68,308.8829,13.82332,4.38,1.34,0.2454,4.69,31.31584,5.28524,0.0,17.0
35,0.0,2.0,28.0,1.0,10.0,0.0,1.0,0.0,1.2467244774994118e-05,6.561707776312695e-07,9.186390886837772e-06,5.905536998681425e-06,3.280853888156348e-07,0.0,5.446217454339536e-05,1.312341555262539e-06,8.234943259272432e-05,3.280853888156348e-07,4282.49858021048,100.86,0.2,0.29,5.73,329.8592,5.27666,4.39,1.12,0.40972,2.94,69.67937,3.39665,0.0,6.0
36,0.0,2.0,28.0,0.0,4.0,0.0,1.0,0.0,1.2139159386178484e-05,6.561707776312695e-07,9.186390886837772e-06,5.905536998681425e-06,0.0,0.0,5.57745160986579e-05,9.842561664469042e-07,8.103709103746178e-05,3.280853888156348e-07,4972.790238278575,122.77,0.3,0.29,2.38,72.36546,10.99287,4.44,1.12,0.40459,6.18,30.55434,3.66658,0.0,13.0
37,0.0,123.0,327.0,48.0,33.0,2534.0,441.0,0.0,3.164720445750382e-05,4.042166301425721e-06,1.074624699647326e-05,2.9248195189177985e-06,1.5774307517758913e-06,8.327519843750226e-05,6.776379604503933e-05,9.168816244697368e-06,0.0004449011982821,1.4492645031941e-05,1799.224088103714,17.23,3.4714285714285715,8.2,4.68,2081.64,22.53703,0.132,0.2,0.83544,3.39,672.257,3.20475,0.0,0.0
38,0.0,137.0,341.0,921.0,33.0,1330.0,415.0,0.0,2.9830628106709307e-05,4.4373464176103965e-06,1.1044781959161644e-05,2.8826557019512795e-06,2.9830628106709307e-05,4.307788857972137e-05,7.054409122303243e-05,8.259294426939059e-06,0.0004343417186872,1.3441596812469449e-05,1773.1571505991324,15.85,4.8,8.0,3.42,7133.0,31.29838,0.12,0.01,1.42816,4.47,676.7211,3.18789,0.0,0.0
39,0.0,155.0,354.0,48.0,34.0,1597.0,374.0,0.0,2.788025732870728e-05,4.950102962141613e-06,1.1305396442568588e-05,2.87425333285642e-06,1.5329351108567574e-06,5.100202858413004e-05,7.345314072855296e-05,7.281441776569598e-06,0.000422323623041,1.1944119405425568e-05,1812.7277047362584,16.4,0.3,8.2,5.55,7262.0,13.96017,0.18,0.0,1.09311,4.38,680.2081,2.13532,0.0,0.0
40,0.0,175.0,355.0,2329.0,73.0,932.0,333.0,0.0,2.567665386635588e-05,5.513391934493594e-06,1.1184309352829863e-05,2.8039536123996e-06,7.33753703739176e-05,2.936275018827445e-05,7.60848086960116e-05,6.3010193537069656e-06,0.0004001462340571,1.0491197223922096e-05,2138.061887099848,17.61,3.4714285714285715,8.4,4.12,2261.53,14.19652,0.12,0.17,0.73528,3.07,514.7243,1.05038,0.0,0.0
41,0.0,196.0,364.0,22.0,33.0,577.0,303.0,0.0,2.434878202914353e-05,6.094969703336057e-06,1.1319229449052677e-05,2.798710578062475e-06,6.841292524152717e-07,1.7942844483800534e-05,7.960776755377707e-05,5.535227587723562e-06,0.0003897981899557,9.422325612810332e-06,2653.550789413635,26.46,3.4714285714285715,8.4,5.0,5085.269,22.47634,0.18,0.26,0.78108,3.98,585.0159,0.87292,0.0,0.0
42,0.0,217.0,373.0,22.0,33.0,324.0,287.0,0.0,2.297245369392141e-05,6.664468518156346e-06,1.1455515010471508e-05,2.7640652840279777e-06,6.756604027623945e-07,9.95063502250072e-06,8.310622953977453e-05,4.97531751125036e-06,0.0003783698255469,8.814297072400329e-06,3169.400102012436,30.85,0.3,8.8,2.8,7314.0,30.12207,0.18,0.29,1.00054,4.84,373.3641,0.69801,0.0,0.0
43,0.0,244.0,380.0,5.0,33.0,406.0,278.0,0.0,2.1814815457583808e-05,7.403080628164741e-06,1.1529387863535253e-05,2.760984988372916e-06,1.5170247188862174e-07,1.2318240717356084e-05,8.680415441466936e-05,4.429712179147755e-06,0.0003664221505997,8.434657437007369e-06,3550.657035541947,36.75,0.2,8.6,3.65,7459.0,22.17234,0.18,0.23,0.95442,3.69,362.2272,0.64796,0.0,0.0
44,0.0,278.0,386.0,82.0,33.0,700.0,272.0,0.0,2.056185909419556e-05,8.332648437589452e-06,1.1569792434926362e-05,2.7575671088425528e-06,2.4578315535335795e-06,2.098148887162812e-05,9.040024348118628e-05,3.986482885609342e-06,0.0003550967123745,8.152807104404068e-06,4045.740604893928,45.51,9.0,8.6,3.46,2374.957,30.35261,0.144,0.0,1.11928,2.56,351.9253,0.60716,0.0,0.0
45,0.0,297.0,392.0,93.0,33.0,507.0,267.0,0.0,1.954416608419129e-05,8.794874737886082e-06,1.1608050159095435e-05,2.7243383026448467e-06,2.7539506754996822e-06,1.5013473037401493e-05,9.387122194982788e-05,3.6127094882899058e-06,0.0003447768571488,7.906503552241022e-06,5063.74537054969,57.86,0.1,8.1,4.22,5342.759,14.20199,0.144,0.46,1.07571,3.36,353.698,0.59647,0.0,0.0
46,0.0,318.0,399.0,48.0,33.0,637.0,263.0,0.0,1.8608359226065468e-05,9.304179613032734e-06,1.1674112155975032e-05,2.7210336604152333e-06,1.4044044698917333e-06,1.8637617652521544e-05,9.751833537810724e-05,3.306202189536789e-06,0.000335008982922,7.694966157948455e-06,4014.577952464888,60.49,9.6,8.4,4.02,5443.066,14.29607,0.192,0.25,1.02788,4.04,446.956,1.26495,0.0,0.0
47,0.0,329.0,406.0,0.0,33.0,318.0,260.0,0.0,1.7752753527246604e-05,9.512468909550704e-06,1.1738791420296614e-05,2.71784825987163e-06,0.0,9.194422836587005e-06,0.0001013121308786,3.1226341709163406e-06,0.0003258526583909,7.517452633687487e-06,4661.023025841764,69.91,0.0,8.5,3.81,2550.657,14.31659,0.35,0.17,0.98548,2.22,101.3628,1.9301,0.0,0.0
48,0.0,335.0,418.0,10.0,33.0,342.0,258.0,0.0,1.7202488954401858e-05,9.57281362080502e-06,1.1944585353720892e-05,2.7432540525292e-06,2.857556304717917e-07,9.772842562135276e-06,0.0001053009498288,2.971858556906633e-06,0.0003209321485828,7.372495266172225e-06,5715.684120696777,84.38,0.0,8.0,3.74,5579.021,30.14773,0.4,0.17,0.61951,2.15,108.428,1.31505,0.0,0.0
49,0.0,343.0,429.0,69.0,33.0,290.0,258.0,0.0,1.6607212094207857e-05,9.687540388287915e-06,1.2116486374855732e-05,2.767868682367976e-06,1.948805500850922e-06,8.190631815170541e-06,0.0001089636466997,2.852599356318016e-06,0.0003149721586302,7.286837959703447e-06,5904.569988440477,90.73,11.8,8.0,3.68,2545.203,28.83067,0.43,0.18,0.61309,3.66,432.8367,2.29359,0.0,0.0
50,0.0,345.0,441.0,0.0,33.0,216.0,258.0,0.0,1.6248394284540765e-05,9.63178011712468e-06,1.2311927627976765e-05,2.7639021205662123e-06,0.0,6.030331899417191e-06,0.0001127057864719,2.791820323804255e-06,0.00031151131173,7.2028964354149775e-06,5855.982720195615,96.04,12.4,7.4,2.06,2577.915,13.65131,0.5,0.53,0.77096,2.07,466.7456,0.72519,0.0,27.0
51,0.0,355.0,454.0,6.0,33.0,114.0,258.0,0.0,1.6063588404716754e-05,9.79823691352998e-06,1.2530702982373553e-05,2.7876674035676845e-06,1.656040041723377e-07,3.146476079274416e-06,0.0001171924336192,2.732466068843572e-06,0.0003084650584383,7.1209721794105205e-06,5901.298688681253,100.54,0.1,7.9,3.53,5609.379,28.5393,0.54,0.18,0.9023,2.02,500.957,1.66799,0.0,0.0
52,0.0,328.0,465.0,12.0,33.0,112.0,259.0,0.0,1.5583952251861995e-05,8.95190251945838e-06,1.2690959364476057e-05,2.8111157301957715e-06,3.275086287606725e-07,3.056747201766276e-06,0.0001219423794418,2.674653801545492e-06,0.0003037915455612,7.068727904084513e-06,4529.9628910889705,86.05,3.4714285714285715,8.1,2.72,2690.917,21.18152,0.55,0.14,0.8744,2.68,662.4649,0.77347,0.0,67.0
53,0.0,309.0,470.0,0.0,32.0,92.0,258.0,0.0,1.4846854426646336e-05,8.341232759697669e-06,1.2687311964588687e-05,2.807405200674943e-06,0.0,2.483473831366296e-06,0.0001254694170455,2.5914509544691786e-06,0.0002951014774401,6.964524440135917e-06,4320.002729661672,84.21,0.0,7.7,2.61,5792.219,21.05476,0.58,0.14,0.58164,2.55,154.49,1.65656,0.0,0.0
54,0.0,289.0,484.0,0.0,32.0,107.0,260.0,0.0,1.4234701328191108e-05,7.718252690144897e-06,1.2926070249239204e-05,2.830916211610239e-06,0.0,2.857622968323543e-06,0.0001290470484386,2.510435131050589e-06,0.0002902490319601,6.943756745459077e-06,4545.676939901358,87.79,0.0,7.6,2.54,2798.611,28.21555,0.58,0.1988235294117647,0.80621,2.46,157.6595,1.64852,0.0,0.0
55,0.0,275.0,509.0,6.0,32.0,76.0,258.0,0.0,1.4261408084904411e-05,7.344358096158639e-06,1.3593739167071807e-05,2.911036481750152e-06,1.6024054027982486e-07,2.029713510211115e-06,0.0001360175119408,2.4837283743372854e-06,0.0002945755265477,6.8903432320324685e-06,4683.617338325574,87.36,3.4714285714285715,7.6,3.24,6002.928,20.95509,0.59,0.1988235294117647,0.79664,3.09,690.5491,1.63527,0.0,0.0
56,0.0,264.0,526.0,0.0,40.0,13.0,259.0,0.0,1.3762681552271397e-05,6.907505569961309e-06,1.3762681552271397e-05,2.904292114642824e-06,0.0,3.401423197329433e-07,0.0001394060215028,2.407161031956214e-06,0.0002891471365668,6.776681600833254e-06,4491.9718039809,86.76,3.4714285714285715,6.6,2.6,6103.115,20.89623,0.59,0.1988235294117647,0.54609,2.49,713.2341,2.51322,0.0,0.0
57,11038.0,4784.0,29.0,59.0,120.0,3420.0,645.0,0.0008703329989618,0.0001026611310607,0.0003772126351724,2.286615054348109e-06,9.856099372190124e-06,4.652078903673739e-06,0.0002696628788231,0.0001570667995952,0.0007199683469397,0.0006290556863306,5.0857472760501046e-05,880.4256447189995,5.37,10.0,75.0,29.9595,2272.58,25.06686,0.37875,0.78,5.13741,8.71,416.7875,13.30731,0.0,0.0
58,12333.0,5685.0,30.0,57.0,121.0,3068.0,637.0,0.0009488404727815,0.0001001694880046,0.0004373759902507,2.3080527190015057e-06,9.693821419806325e-06,4.3853001661028604e-06,0.0002360368580632,0.0001557935585326,0.0006788752397489,0.0006276364693871,4.90076527334653e-05,840.9005406228819,15.31,10.0,70.0,6.13,2396.079,25.19249,0.56007,1.15,5.02303,14.1292,420.4047,13.10406,0.0,0.0
59,13391.0,6630.0,30.0,8.0,120.0,600.0,616.0,0.0010019528765647,9.659630824024124e-05,0.0004960755411563,2.244685706589649e-06,9.427679967676526e-06,5.985828550905731e-07,4.489371413179298e-05,0.0001536113251876,0.000626566603566,0.0006184109121654,4.6090879841974126e-05,1143.7421903643126,17.26,14.6,60.0,17.2385,4448.175,25.38997,0.56991,1.17,3.61382,8.55,2256.481,21.02222,0.0,0.0
