,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
184,20.6,35.7,6.50512,3.6,60.8
185,21.1,35.3,6.31318,3.5,61.3
186,21.6,35.0,6.19138,3.4,61.9
187,22.2,34.7,6.20381,3.3,62.4
188,22.7,34.6,6.28925,3.1,63.0
189,23.2,34.6,6.21603,3.0,63.5
190,23.8,34.5,6.05183,2.9,64.1
191,24.4,34.3,5.95594,2.8,64.7
192,24.9,34.1,5.88984,2.8,65.2
193,25.5,34.0,5.93035,2.7,65.8
194,21.294117647058822,33.9,6.00362,3.511764705882353,61.45294117647059
195,21.294117647058822,33.7,5.97815,3.511764705882353,61.45294117647059
196,21.294117647058822,33.5,5.90874,3.511764705882353,61.45294117647059
197,0.7,46.8,41.40262,26.0,11.6
198,0.8,46.6,40.28941,25.7,12.0
199,0.8,46.5,38.97208,25.4,12.4
200,0.9,46.4,37.8517,25.0,12.9
201,0.9,46.3,36.67568,24.7,13.3
202,1.0,46.1,35.56304,24.3,13.8
203,1.1,45.9,34.4124,24.0,14.3
204,1.2,45.6,33.2795,23.6,14.8
205,1.3,45.3,32.11366,23.2,15.3
206,1.4,45.0,30.82405,22.8,15.8
207,1.5,44.7,29.65639,22.4,16.4
208,1.6,44.5,28.79159,22.1,17.0
209,1.7,44.2,28.18036,21.6,17.6
210,1.8,43.9,27.91156,21.2,18.2
211,2.0,43.6,27.62674,20.8,18.8
212,2.1,43.3,26.96289,20.4,19.4
213,2.3,43.1,26.36471,20.0,20.0
214,1.3588235294117648,42.8,25.74755,23.12941176470588,15.505882352941178
215,1.3588235294117648,42.5,25.03614,23.12941176470588,15.505882352941178
216,1.3588235294117648,42.2,24.28319,23.12941176470588,15.505882352941178
217,8.1,22.2,8.41036,5.9,42.1
218,8.4,22.2,8.39183,5.8,42.8
219,8.8,22.0,8.44198,5.6,43.5
220,9.1,21.9,8.45959,5.4,44.1
221,9.5,21.6,8.48007,5.3,44.8
222,9.9,21.3,8.53042,5.1,45.4
223,10.2,21.0,8.55103,4.9,46.1
224,10.6,20.7,8.50838,4.8,46.7
225,11.0,20.3,8.49794,4.6,47.3
226,11.4,20.1,8.46461,4.5,47.9
227,11.8,19.9,8.40477,4.4,48.6
228,12.3,19.8,8.33981,4.2,49.2
229,12.7,19.6,8.30298,4.1,49.8
230,13.2,19.5,8.1703,4.0,50.5
231,13.7,19.4,8.03267,3.9,51.1
232,14.2,19.4,7.89507,3.8,51.8
233,14.7,19.4,7.75926,3.7,52.4
