,Maternal mortality ratio (per 100 000 live births),Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Lower Respiratory Infections
2420,72.0,4.1808,35.4,2.168127442531072e-05,7.588446048858752e-05,114.0,0.000314378479167
2421,66.0,4.16726,36.0,2.14762794493482e-05,7.516697807271869e-05,114.0,0.0003167751218778
2422,62.0,4.16284,36.4,2.1281576539190024e-05,7.448551788716508e-05,114.0,0.000313903253953
2423,60.0,4.15946,36.6,2.110784525838641e-05,6.860049708975583e-05,114.0,0.0003113407175611
2424,58.0,10.28149,36.8,2.0953708020555583e-05,6.809955106680566e-05,114.0,0.0003143056203083
2425,58.0,4.13453,36.8,2.0833224826954022e-05,7.291628689433909e-05,114.0,0.000317706678611
2426,54.0,4.1029,36.9,2.0708113956751105e-05,7.247839884862887e-05,114.0,0.0003157987378404
2427,52.0,4.05903,36.8,2.058460271716756e-05,7.204610951008646e-05,114.0,0.000319061342116
2428,48.0,4.00343,36.7,2.046287012216333e-05,7.162004542757167e-05,114.0,0.0003171744868935
2429,47.0,3.93447,36.6,2.034298268812173e-05,7.62861850804565e-05,114.0,0.0003204019773379
2430,45.0,3.85444,36.2,2.52815096095018e-05,7.078822690660505e-05,114.0,0.0003185470210797
2431,44.0,3.77289,36.1,2.513497481475524e-05,7.037792948131466e-05,114.0,0.0003167006826659
2432,43.0,3.6876,35.8,2.4986507286065525e-05,6.996222040098347e-05,114.0,0.0003198272932616
2433,62.22222222222222,3.59975,35.6,2.4986507286065525e-05,6.496491894377036e-05,114.0,0.0003198272932616
2434,62.22222222222222,3.51247,35.5,1.9749087839005435e-05,6.418453547676767e-05,114.0,0.0003110481334643
2435,24.0,3.96198,29.4,5.208356794399975e-06,7.249469592205371e-05,116.0,0.0001498223715722
2436,24.0,3.80407,28.4,4.863258923024888e-06,6.918674015020313e-05,116.0,0.0001458518878895
2437,23.0,3.65308,27.7,4.579321937107054e-06,6.842045717795245e-05,117.0,0.0001435752113222
2438,23.0,3.51081,27.1,4.177129643594108e-06,6.978004994088262e-05,117.0,0.0001424621057394
2439,22.0,3.37459,26.6,3.749993534493906e-06,6.91809152053186e-05,117.0,0.0001414221699617
2440,22.0,3.2408,26.2,3.426075940115238e-06,6.979043581716226e-05,117.0,0.0001441489728878
2441,21.0,3.10784,25.6,3.240118179572002e-06,6.841634156096266e-05,117.0,0.0001478407769371
2442,21.0,2.97957,24.8,3.0614094239162203e-06,6.906539660354993e-05,118.0,0.0001531929275727
2443,20.0,2.85256,24.0,2.929678250694735e-06,6.971028933502403e-05,118.0,0.0001584434210101
2444,20.0,2.72802,23.4,2.763644587094127e-06,6.924903722518713e-05,118.0,0.0001593438507644
2445,19.0,2.60546,22.6,2.720371885718265e-06,6.750408522132324e-05,118.0,0.000161318052823
2446,18.0,2.48882,22.0,2.602203055721127e-06,6.314169179323324e-05,119.0,0.0001598824171588
2447,18.0,2.37412,21.5,2.525014222990564e-06,5.924361729165919e-05,119.0,0.0001579829794444
2448,17.0,2.26575,21.1,2.449926472509746e-06,5.660814955420247e-05,119.0,0.0001576490564961
2449,17.0,2.15967,20.9,2.413516923470962e-06,5.40847201486902e-05,119.0,0.0001576099687903
2450,17.0,2.05556,20.9,2.342146868030762e-06,5.1419132010459954e-05,119.0,0.0001564554107844
2451,17.0,1.95876,20.9,2.30821634109216e-06,4.950236276126879e-05,119.0,0.0001570297332355
2452,17.0,1.87713,21.2,2.274972814074872e-06,4.770442993206231e-05,119.0,0.0001575331174792
2453,20.0,1.80577,21.4,2.274972814074872e-06,4.637444582537239e-05,119.0,0.0001607180794189
2454,20.0,1.74638,21.8,2.244752890119346e-06,4.424884106129196e-05,119.0,0.000159819603495
2455,553.0,32.71293,82.7,0.0001024364996666,0.0003942221167583,94.0,0.0008188583695002
2456,545.0,31.52151,82.6,0.0001192853664129,0.0004542930175554,94.0,0.0009479018331865
2457,537.0,30.03761,82.4,0.000108198205073,0.0004324919911768,94.0,0.0009100080732506
2458,532.0,28.40001,82.1,9.003779634348892e-05,0.0003901312325295,94.0,0.000823035301066
2459,526.0,26.7021,81.6,9.278342675052666e-05,0.0003890059244499,94.0,0.0008503563035691
2460,519.0,25.08354,81.0,8.478245617737378e-05,0.0003719876543415,95.0,0.0008126528004774
2461,514.0,23.55702,80.3,7.561207706015198e-05,0.0003539979007059,95.0,0.0007615280705104
2462,504.0,22.15189,79.5,7.00350298017482e-05,0.0003446460677086,96.0,0.0007277324149324
2463,492.0,20.81041,78.6,6.505194795536428e-05,0.0003373982110115,96.0,0.0006986459535337
2464,472.0,19.55795,77.6,6.0625905849300656e-05,0.0003364404665263,97.0,0.0006758789174078
2465,447.0,18.39194,76.5,4.949992096242128e-05,0.0003000019799968,98.0,0.000595378557543
2466,423.0,17.2626,75.5,4.626773962477575e-05,0.0002956389926793,98.0,0.0005767253971689
2467,400.0,16.18409,74.5,4.063346257395946e-05,0.0002831234811604,99.0,0.0005397234117983
2468,381.0,15.14862,73.5,3.887098217273001e-05,0.0002821717526001,99.0,0.0005229913965058
2469,364.0,14.16979,72.6,4.12879887080651e-05,0.000289235928001,100.0,0.0005409973227342
2470,346.0,13.22253,71.7,3.921054013663872e-05,0.0002850634888765,101.0,0.0005281974585559
2471,330.0,12.35832,70.8,3.798868090939595e-05,0.0002834486320059,101.0,0.0005223443625041
2472,315.0,11.5808,69.9,3.490467546764425e-05,0.0002704430616799,102.0,0.0004973234522196
2473,455.55555555555554,10.92642,68.9,3.1086976588370664e-05,0.0002583764062936,102.0,0.0004712131188131
2474,455.55555555555554,10.3929,67.9,2.763866497054141e-05,0.0002426999945177,103.0,0.0004417634144585
2475,13.0,2.43355,21.0,1.841055134998656e-06,4.983999258317788e-05,119.0,0.0001480734344291
2476,13.0,2.32261,20.5,1.8547035812736407e-06,4.729494132247784e-05,119.0,0.000143342091067
2477,13.0,2.18076,20.1,1.85570095856233e-06,4.58623236901833e-05,120.0,0.0001401054223714
