,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
1491,127.0,41.4,27.3,129.0
1492,127.0,42.0,27.5,128.0
1493,127.0,42.8,27.9,128.0
1494,128.0,20.0,24.0,128.0
1495,128.0,19.4,23.3,128.0
1496,128.0,18.9,22.5,129.0
1497,128.0,18.6,22.1,129.0
1498,129.0,18.3,21.6,129.0
1499,129.0,17.9,21.1,129.0
1500,129.0,17.5,20.3,130.0
1501,129.0,17.3,19.9,130.0
1502,129.0,17.3,19.9,130.0
1503,129.0,17.5,20.3,129.0
1504,129.0,17.4,20.3,129.0
1505,129.0,17.5,20.6,129.0
1506,129.0,17.7,21.0,129.0
1507,128.0,18.1,21.7,129.0
1508,128.0,18.4,22.1,128.0
1509,128.0,18.6,22.4,128.0
1510,128.0,18.8,22.7,128.0
1511,128.0,19.2,23.1,128.0
1512,128.0,19.4,23.4,128.0
1513,128.0,19.8,23.7,128.0
1514,122.0,42.8,36.5,123.0
1515,122.0,41.4,36.1,123.0
1516,123.0,40.2,35.9,123.0
1517,123.0,39.3,35.7,123.0
1518,123.0,38.5,35.4,123.0
1519,123.0,37.8,35.3,123.0
1520,123.0,37.3,35.1,123.0
1521,123.0,36.6,34.7,123.0
1522,123.0,35.9,34.4,124.0
1523,123.0,35.3,34.2,124.0
1524,123.0,34.7,34.1,124.0
1525,123.0,34.2,33.9,124.0
1526,123.0,34.0,33.9,124.0
1527,123.0,33.7,34.1,124.0
1528,123.0,33.6,34.3,124.0
1529,123.0,33.6,34.7,124.0
1530,123.0,33.5,34.9,123.0
1531,123.0,33.4,35.1,123.0
1532,123.0,33.3,35.5,123.0
1533,123.0,33.4,35.8,123.0
1534,120.0,50.2,41.8,121.0
1535,120.0,49.3,40.9,121.0
1536,121.0,48.4,40.1,122.0
1537,121.0,47.7,39.4,122.0
1538,121.0,46.9,38.6,122.0
1539,121.0,46.2,37.9,122.0
1540,122.0,45.4,37.3,123.0
1541,122.0,44.7,36.7,123.0
1542,122.0,44.0,36.2,123.0
1543,122.0,43.4,35.9,123.0
1544,123.0,42.9,35.6,123.0
1545,123.0,42.4,35.5,124.0
1546,123.0,42.0,35.6,124.0
1547,123.0,41.8,35.8,124.0
1548,123.0,41.6,36.2,123.0
1549,123.0,41.5,36.6,123.0
1550,122.0,41.4,37.2,123.0
1551,122.0,41.3,37.7,123.0
1552,122.0,41.3,38.4,123.0
1553,122.0,41.4,39.0,123.0
1554,128.0,27.4,23.8,128.0
1555,128.0,26.5,23.4,128.0
1556,128.0,25.7,22.9,128.0
1557,128.0,25.0,22.5,128.0
1558,128.0,24.3,22.0,128.0
1559,128.0,23.5,21.6,129.0
1560,128.0,22.8,21.2,129.0
1561,129.0,22.3,21.0,129.0
1562,129.0,21.7,20.7,129.0
1563,129.0,21.3,20.6,129.0
1564,129.0,20.9,20.6,129.0
1565,129.0,20.6,20.7,129.0
1566,129.0,20.3,20.8,129.0
1567,129.0,20.0,20.9,129.0
1568,128.0,19.7,21.0,129.0
1569,128.0,19.5,21.1,129.0
1570,128.0,19.3,21.2,129.0
1571,128.0,19.2,21.3,129.0
1572,128.0,19.2,21.4,129.0
1573,128.0,19.4,21.6,129.0
1574,126.0,26.1,26.4,127.0
1575,126.0,25.3,26.1,127.0
1576,127.0,24.6,25.8,127.0
1577,127.0,24.0,25.7,127.0
1578,127.0,23.6,25.6,127.0
1579,127.0,23.0,25.5,127.0
1580,127.0,22.5,25.3,127.0
1581,127.0,22.1,25.2,127.0
1582,127.0,21.7,25.1,127.0
1583,127.0,21.5,25.0,127.0
1584,127.0,21.2,24.9,127.0
1585,127.0,21.2,25.1,127.0
1586,127.0,21.3,25.4,127.0
1587,126.0,21.5,25.8,127.0
1588,126.0,21.6,26.2,127.0
1589,126.0,21.8,26.6,127.0
1590,126.0,22.0,27.1,126.0
1591,126.0,22.3,27.5,126.0
1592,126.0,22.5,27.9,126.0
1593,126.0,22.8,28.3,126.0
1594,123.0,48.5,36.5,124.0
1595,124.0,48.7,35.6,124.0
1596,124.0,48.8,34.7,125.0
1597,124.0,49.0,33.9,125.0
1598,125.0,49.2,33.1,126.0
1599,125.0,49.5,32.4,126.0
1600,125.0,49.9,31.7,126.0
1601,126.0,49.8,30.9,126.0
1602,126.0,49.9,30.2,127.0
1603,126.0,49.2,29.5,127.0
1604,126.0,48.7,29.1,127.0
1605,127.0,48.7,28.5,128.0
1606,127.0,49.0,27.9,128.0
1607,127.0,49.3,27.5,128.0
1608,127.0,49.7,27.3,128.0
1609,127.0,50.3,27.1,128.0
1610,127.0,50.3,27.0,128.0
1611,127.0,50.5,26.9,128.0
1612,127.0,50.7,27.1,128.0
1613,127.0,51.4,27.5,128.0
1614,117.0,81.0,52.6,118.0
1615,117.0,79.6,51.5,118.0
1616,117.0,78.2,50.3,119.0
1617,118.0,76.9,49.6,119.0
1618,118.0,75.6,48.8,119.0
1619,118.0,74.4,48.0,119.0
1620,118.0,73.3,47.2,120.0
1621,119.0,72.5,46.3,120.0
1622,119.0,71.8,45.5,120.0
1623,119.0,71.4,44.7,121.0
1624,120.0,71.3,44.0,121.0
1625,120.0,71.4,43.3,121.0
1626,120.0,71.6,42.8,121.0
1627,120.0,71.9,42.4,122.0
1628,121.0,72.2,42.1,122.0
1629,121.0,72.5,41.9,122.0
1630,121.0,72.7,41.8,122.0
1631,121.0,72.7,41.7,122.0
1632,121.0,72.6,41.8,122.0
1633,121.0,72.3,41.9,122.0
1634,124.0,33.2,32.6,125.0
1635,124.0,32.7,32.1,125.0
1636,124.0,32.3,31.8,125.0
1637,125.0,32.0,31.4,125.0
1638,125.0,31.6,31.1,125.0
1639,125.0,31.0,30.7,125.0
1640,125.0,30.4,30.3,125.0
1641,125.0,29.5,29.8,126.0
1642,125.0,28.8,29.5,126.0
1643,125.0,28.1,29.1,126.0
1644,125.0,27.5,28.8,126.0
1645,125.0,27.1,28.7,126.0
1646,128.0,23.8,22.0,129.0
1647,129.0,23.2,21.6,129.0
1648,129.0,22.6,21.1,129.0
1649,129.0,22.1,20.8,129.0
1650,129.0,21.5,20.2,129.0
1651,129.0,20.7,19.4,130.0
1652,130.0,20.0,19.0,130.0
1653,130.0,19.3,18.7,130.0
1654,130.0,18.6,18.5,130.0
1655,130.0,18.0,18.4,130.0
1656,130.0,17.5,18.4,130.0
1657,130.0,17.1,18.5,130.0
1658,130.0,17.0,18.7,130.0
1659,129.0,17.1,18.9,130.0
1660,129.0,17.3,19.0,130.0
1661,129.0,17.5,19.0,130.0
1662,129.0,17.5,19.1,130.0
1663,129.0,17.6,19.3,130.0
1664,129.0,17.6,19.6,129.0
1665,129.0,17.8,19.9,129.0
1666,133.0,9.9,8.7,133.0
1667,133.0,9.7,8.5,133.0
1668,133.0,9.5,8.4,133.0
1669,133.0,9.4,8.4,133.0
1670,133.0,9.4,8.4,133.0
1671,133.0,9.3,8.4,133.0
1672,133.0,9.3,8.5,133.0
1673,133.0,9.3,8.5,133.0
1674,133.0,9.4,8.6,133.0
1675,133.0,9.4,8.6,133.0
1676,133.0,9.5,8.6,133.0
1677,133.0,9.6,8.7,133.0
1678,132.0,9.7,8.8,133.0
1679,132.0,9.9,8.9,133.0
1680,132.0,10.1,9.0,133.0
1681,132.0,10.3,9.2,133.0
1682,132.0,10.6,9.4,133.0
1683,132.0,11.0,9.6,133.0
1684,132.0,11.3,9.8,132.0
1685,132.0,11.7,10.1,132.0
1686,121.0,64.4,42.3,122.0
1687,121.0,62.5,42.0,122.0
1688,121.0,61.0,41.8,122.0
1689,121.0,59.6,41.4,122.0
1690,121.0,58.4,40.9,122.0
1691,122.0,57.2,40.3,123.0
1692,122.0,56.2,39.8,123.0
1693,122.0,55.2,39.3,123.0
1694,122.0,54.1,38.7,123.0
1695,123.0,53.2,38.1,124.0
1696,123.0,52.3,37.7,124.0
1697,123.0,51.6,37.4,124.0
1698,123.0,51.0,37.3,124.0
1699,123.0,50.6,37.2,124.0
1700,123.0,50.2,37.2,124.0
1701,123.0,49.9,37.2,124.0
1702,123.0,49.7,37.3,124.0
1703,123.0,49.6,37.4,124.0
1704,123.0,49.5,37.5,124.0
1705,123.0,49.5,37.7,123.0
1706,122.0,76.4,37.1,124.0
1707,122.0,75.3,36.7,124.0
1708,122.0,74.0,36.4,124.0
1709,123.0,72.5,36.1,124.0
1710,123.0,71.2,35.7,124.0
1711,123.0,69.9,35.0,125.0
1712,123.0,68.9,34.2,125.0
1713,124.0,68.0,33.3,125.0
1714,124.0,67.0,32.3,126.0
1715,125.0,65.9,31.3,126.0
1716,125.0,64.8,30.5,126.0
1717,125.0,63.4,29.9,127.0
1718,125.0,61.7,29.6,127.0
1719,125.0,60.0,29.4,127.0
1720,125.0,58.6,29.4,127.0
1721,125.0,57.6,29.5,127.0
1722,125.0,56.8,29.6,127.0
1723,125.0,56.2,29.9,126.0
1724,125.0,55.6,30.2,126.0
1725,125.0,55.1,30.6,126.0
1726,123.0,20.2,35.0,123.0
1727,123.0,19.8,34.6,123.0
1728,123.0,19.6,34.1,123.0
1729,123.0,19.4,33.4,124.0
1730,123.0,19.4,32.8,124.0
1731,124.0,19.5,32.4,124.0
1732,124.0,19.6,31.9,124.0
1733,124.0,19.7,31.4,124.0
1734,124.0,19.8,31.0,125.0
1735,124.0,19.9,30.6,125.0
1736,124.0,20.1,30.4,125.0
1737,124.0,20.2,30.2,125.0
1738,125.0,20.4,30.0,125.0
1739,125.0,20.8,30.1,125.0
1740,124.0,21.3,30.4,125.0
1741,124.0,21.8,30.7,125.0
1742,124.0,22.5,30.9,125.0
1743,124.0,23.1,31.3,124.0
1744,124.0,23.8,31.6,124.0
1745,124.0,24.6,32.0,124.0
1746,119.0,44.9,47.9,119.0
1747,119.0,42.5,47.0,120.0
1748,119.0,40.3,46.2,120.0
1749,120.0,38.5,45.6,120.0
1750,120.0,37.0,45.0,120.0
1751,120.0,35.8,44.7,120.0
1752,120.0,34.8,44.4,120.0
1753,120.0,34.1,44.2,121.0
1754,120.0,33.6,44.1,121.0
1755,120.0,33.4,44.1,121.0
1756,120.0,33.4,44.4,121.0
1757,120.0,33.6,44.8,120.0
1758,120.0,33.9,45.5,120.0
1759,120.0,34.4,46.3,120.0
1760,119.0,35.0,47.3,120.0
1761,119.0,35.6,48.3,119.0
1762,119.0,36.3,49.4,119.0
1763,118.0,36.8,50.4,119.0
1764,118.0,37.3,51.4,118.0
1765,118.0,37.8,52.3,118.0
1766,112.0,85.0,63.1,113.0
1767,112.0,84.5,62.7,113.0
1768,112.0,84.0,62.3,114.0
1769,112.0,83.6,62.0,114.0
1770,112.0,83.1,61.5,114.0
1771,113.0,82.7,61.0,114.0
1772,113.0,82.3,60.5,114.0
1773,113.0,82.0,60.0,115.0
1774,113.0,81.9,59.4,115.0
1775,114.0,81.8,58.9,115.0
1776,114.0,81.8,58.5,115.0
1777,114.0,81.7,58.2,115.0
1778,114.0,81.8,58.0,116.0
1779,114.0,81.8,58.0,116.0
1780,114.0,81.7,58.0,116.0
1781,114.0,81.4,58.2,116.0
1782,114.0,81.0,58.4,115.0
1783,114.0,80.4,58.6,115.0
1784,114.0,79.8,58.8,115.0
1785,114.0,79.0,59.0,115.0
1786,131.0,15.1,13.5,131.0
1787,131.0,14.9,13.2,131.0
1788,131.0,14.7,13.0,131.0
1789,131.0,14.7,12.8,131.0
1790,131.0,14.6,12.6,131.0
1791,131.0,14.6,12.4,131.0
1792,131.0,14.6,12.3,131.0
1793,131.0,14.7,12.2,131.0
1794,131.0,14.8,12.2,131.0
1795,131.0,14.9,12.1,131.0
1796,131.0,15.0,12.1,131.0
1797,131.0,15.0,12.1,131.0
1798,131.0,15.2,12.1,131.0
1799,131.0,15.3,12.2,131.0
1800,131.0,15.5,12.2,131.0
1801,131.0,15.8,12.4,131.0
1802,131.0,16.1,12.6,131.0
1803,131.0,16.4,12.8,131.0
1804,131.0,16.9,13.2,131.0
1805,131.0,17.4,13.6,131.0
1806,118.0,73.8,48.0,119.0
1807,118.0,73.6,47.8,119.0
1808,118.0,73.3,47.6,119.0
1809,118.0,73.0,47.4,120.0
1810,118.0,72.6,47.2,120.0
1811,119.0,72.2,47.1,120.0
1812,119.0,71.7,46.8,120.0
1813,119.0,71.2,46.5,120.0
1814,119.0,70.7,46.1,120.0
1815,119.0,70.3,45.7,120.0
1816,119.0,69.9,45.3,120.0
1817,119.0,69.5,44.9,121.0
1818,120.0,69.2,44.5,121.0
1819,120.0,68.9,44.2,121.0
1820,120.0,68.6,43.8,121.0
1821,120.0,68.2,43.6,121.0
1822,120.0,67.7,43.3,121.0
1823,120.0,67.1,43.1,121.0
1824,120.0,66.3,42.9,121.0
1825,120.0,65.5,42.8,121.0
1826,132.0,30.7,17.9,132.0
1827,132.0,29.6,18.0,132.0
1828,132.0,28.8,18.0,132.0
1829,131.0,28.3,18.1,132.0
1830,131.0,28.1,18.2,132.0
1831,131.0,27.9,18.3,132.0
1832,131.0,27.6,18.3,132.0
1833,131.0,27.3,18.3,132.0
1834,131.0,27.0,18.3,132.0
1835,131.0,26.6,18.3,131.0
1836,131.0,26.5,18.4,131.0
1837,131.0,26.5,18.6,131.0
1838,131.0,26.7,19.0,131.0
1839,130.0,27.0,19.4,131.0
1840,130.0,27.1,20.0,131.0
1841,130.0,27.4,20.5,130.0
1842,130.0,27.9,21.2,130.0
1843,129.0,28.7,21.9,130.0
1844,129.0,29.6,22.6,129.0
1845,129.0,30.7,23.4,129.0
1846,129.0,30.7,23.2,130.0
1847,130.0,30.0,22.3,130.0
1848,130.0,29.4,21.5,131.0
1849,130.0,28.9,20.8,131.0
1850,131.0,28.4,20.2,131.0
1851,131.0,28.0,19.5,132.0
1852,131.0,27.5,18.9,132.0
1853,132.0,26.9,18.2,132.0
1854,132.0,26.3,17.6,132.0
1855,132.0,25.7,17.0,133.0
1856,132.0,25.1,16.5,133.0
1857,132.0,24.5,16.0,133.0
1858,132.0,23.9,15.6,133.0
1859,133.0,23.4,15.3,133.0
1860,133.0,22.9,15.1,133.0
1861,133.0,22.5,14.9,133.0
1862,133.0,22.2,14.8,133.0
1863,133.0,21.9,14.8,133.0
1864,132.0,21.7,14.9,133.0
1865,132.0,21.7,15.1,133.0
1866,126.0,38.6,28.9,126.0
1867,126.0,37.0,28.5,126.0
1868,126.0,35.5,28.1,126.0
1869,126.0,34.0,27.6,126.0
1870,126.0,32.7,27.1,127.0
1871,126.0,31.7,26.8,127.0
1872,126.0,30.8,26.6,127.0
1873,127.0,29.9,26.3,127.0
1874,127.0,29.0,26.1,127.0
1875,127.0,28.4,26.0,127.0
1876,127.0,27.8,25.9,127.0
1877,127.0,27.4,26.0,127.0
1878,127.0,26.8,25.9,127.0
1879,127.0,26.4,25.8,127.0
1880,127.0,26.3,25.9,127.0
1881,127.0,26.3,25.9,127.0
1882,127.0,26.3,25.9,127.0
1883,127.0,26.5,26.0,127.0
1884,127.0,26.7,26.0,127.0
1885,127.0,27.0,26.0,127.0
1886,132.0,32.6,14.9,132.0
1887,132.0,30.8,15.0,132.0
1888,131.0,29.4,15.3,132.0
1889,131.0,28.5,15.7,132.0
1890,131.0,27.7,16.0,131.0
1891,131.0,26.9,16.0,131.0
1892,131.0,25.9,15.5,131.0
1893,131.0,25.0,15.2,132.0
1894,131.0,24.3,14.9,132.0
1895,131.0,23.6,14.6,132.0
1896,131.0,22.9,14.2,132.0
1897,131.0,22.2,13.9,132.0
1898,131.0,21.7,13.7,132.0
1899,131.0,21.4,13.7,132.0
1900,131.0,21.0,13.5,132.0
1901,131.0,20.8,13.4,132.0
1902,131.0,20.7,13.4,132.0
1903,131.0,20.8,13.5,132.0
1904,131.0,21.2,13.6,132.0
1905,131.0,21.7,13.9,132.0
1906,131.0,16.7,15.9,131.0
1907,131.0,16.1,15.9,131.0
1908,131.0,15.5,16.0,131.0
1909,131.0,15.1,16.1,131.0
1910,131.0,14.7,16.2,131.0
1911,131.0,14.5,16.4,131.0
1912,131.0,14.4,16.5,131.0
1913,131.0,14.5,16.8,131.0
1914,131.0,14.7,17.1,131.0
1915,124.0,36.0,35.2,124.0
1916,124.0,35.3,34.7,124.0
1917,124.0,34.7,34.2,125.0
1918,124.0,34.5,33.8,125.0
1919,124.0,34.2,33.5,125.0
1920,124.0,34.0,33.1,125.0
1921,125.0,33.7,32.6,125.0
1922,125.0,33.3,32.0,125.0
1923,125.0,32.8,31.4,125.0
1924,125.0,32.3,30.8,126.0
1925,125.0,31.8,30.3,126.0
1926,125.0,31.3,29.9,126.0
1927,126.0,30.9,29.6,126.0
1928,126.0,30.6,29.4,126.0
1929,126.0,30.3,29.3,126.0
1930,126.0,30.1,29.3,126.0
1931,126.0,30.1,29.3,126.0
1932,126.0,30.1,29.4,126.0
1933,126.0,30.2,29.6,126.0
1934,126.0,30.4,29.8,126.0
1935,118.0,76.7,49.1,119.0
1936,118.0,75.2,49.3,119.0
1937,118.0,73.7,49.6,119.0
1938,118.0,72.3,49.8,119.0
1939,117.0,71.0,50.1,119.0
1940,117.0,69.8,50.2,119.0
1941,118.0,68.7,50.2,119.0
1942,118.0,67.5,50.0,119.0
1943,118.0,66.4,49.8,119.0
1944,118.0,65.5,49.5,119.0
1945,118.0,65.1,49.2,119.0
1946,118.0,64.7,48.9,119.0
1947,118.0,64.6,48.8,119.0
1948,118.0,64.7,48.6,119.0
1949,118.0,65.1,48.5,119.0
1950,118.0,65.5,48.4,119.0
1951,119.0,66.1,48.3,120.0
1952,119.0,66.9,48.2,120.0
1953,119.0,67.7,48.1,120.0
1954,119.0,68.2,48.1,120.0
1955,119.0,57.5,47.4,119.0
1956,119.0,56.6,46.4,119.0
1957,119.0,55.8,45.4,120.0
1958,120.0,55.0,44.5,120.0
1959,120.0,54.2,43.6,121.0
1960,120.0,53.5,42.7,121.0
1961,121.0,52.7,41.8,121.0
1962,121.0,51.9,40.9,122.0
1963,121.0,51.1,40.2,122.0
1964,122.0,50.5,39.6,122.0
1965,122.0,50.0,39.2,122.0
1966,122.0,49.6,39.1,122.0
1967,122.0,49.3,39.1,122.0
1968,122.0,49.3,39.3,122.0
1969,122.0,49.4,39.7,122.0
1970,122.0,49.5,40.1,122.0
1971,122.0,49.6,40.6,122.0
1972,121.0,49.6,41.0,122.0
1973,121.0,49.6,41.4,122.0
1974,121.0,49.6,41.9,122.0
1975,126.0,47.7,30.2,127.0
1976,126.0,47.7,29.4,127.0
1977,127.0,47.8,28.6,127.0
1978,127.0,48.2,28.1,128.0
1979,127.0,48.7,27.8,128.0
1980,127.0,48.5,27.3,128.0
1981,127.0,47.9,26.7,128.0
1982,128.0,47.2,26.2,128.0
1983,128.0,46.4,25.6,129.0
1984,128.0,45.8,25.2,129.0
1985,128.0,45.6,24.8,129.0
1986,128.0,46.2,24.5,129.0
1987,128.0,47.2,24.3,129.0
1988,128.0,47.0,24.2,129.0
1989,128.0,46.7,24.1,129.0
1990,128.0,47.0,24.1,129.0
1991,128.0,46.7,24.1,129.0
1992,128.0,46.3,24.2,129.0
1993,128.0,46.1,24.5,129.0
1994,128.0,46.1,24.9,129.0
1995,120.0,61.7,45.4,121.0
1996,120.0,59.8,43.9,121.0
1997,121.0,58.0,42.6,122.0
1998,121.0,56.3,41.5,122.0
1999,122.0,54.6,40.4,123.0
2000,122.0,53.1,39.5,123.0
2001,122.0,51.7,38.7,123.0
2002,123.0,50.4,37.9,123.0
2003,123.0,49.3,37.2,124.0
2004,123.0,48.3,36.6,124.0
2005,123.0,47.5,36.1,124.0
2006,124.0,46.7,35.7,124.0
2007,124.0,46.0,35.4,124.0
2008,124.0,45.5,35.2,124.0
2009,124.0,45.1,35.0,124.0
2010,124.0,44.8,34.9,124.0
2011,124.0,44.6,34.9,124.0
2012,124.0,44.5,35.0,124.0
2013,124.0,44.5,35.1,124.0
2014,124.0,44.6,35.4,124.0
2015,132.0,11.8,10.4,132.0
2016,132.0,11.9,10.4,132.0
2017,132.0,12.0,10.5,132.0
2018,132.0,12.1,10.6,132.0
2019,131.0,12.3,10.7,132.0
2020,131.0,12.4,10.7,132.0
2021,131.0,12.4,10.7,132.0
2022,131.0,12.4,10.7,132.0
2023,131.0,12.4,10.6,132.0
2024,131.0,12.4,10.6,132.0
2025,131.0,12.4,10.5,132.0
2026,131.0,12.5,10.6,132.0
2027,131.0,12.7,10.8,132.0
2028,131.0,13.0,11.0,132.0
2029,131.0,13.4,11.2,132.0
2030,131.0,13.7,11.4,132.0
2031,131.0,14.1,11.7,131.0
2032,131.0,14.6,12.1,131.0
2033,131.0,15.1,12.4,131.0
2034,131.0,15.5,12.7,131.0
2035,133.0,12.7,7.8,134.0
2036,133.0,12.5,7.8,133.0
2037,133.0,12.4,7.9,133.0
2038,133.0,12.3,7.9,133.0
2039,133.0,12.3,7.9,133.0
2040,133.0,12.2,7.9,133.0
2041,133.0,12.2,8.0,133.0
2042,132.0,12.3,8.1,133.0
2043,132.0,12.4,8.1,133.0
2044,132.0,12.4,8.2,133.0
2045,132.0,12.5,8.2,133.0
2046,132.0,12.7,8.4,133.0
2047,132.0,13.0,8.5,132.0
2048,132.0,13.1,8.6,132.0
2049,132.0,13.4,8.8,132.0
2050,132.0,13.8,9.1,132.0
2051,132.0,14.1,9.3,132.0
2052,132.0,14.5,9.6,132.0
2053,132.0,14.9,9.9,132.0
2054,131.0,15.3,10.2,132.0
2055,128.0,28.8,18.8,129.0
2056,129.0,26.7,17.7,130.0
2057,129.0,24.7,16.8,130.0
2058,130.0,23.0,15.9,131.0
2059,130.0,21.4,15.2,131.0
2060,130.0,20.2,14.6,131.0
2061,131.0,19.2,14.1,131.0
2062,131.0,18.4,13.7,132.0
2063,131.0,18.0,13.4,132.0
2064,131.0,17.8,13.2,132.0
2065,132.0,17.5,13.0,132.0
2066,132.0,17.4,12.8,132.0
2067,132.0,17.6,12.8,132.0
2068,132.0,17.8,13.0,133.0
2069,132.0,18.2,13.1,133.0
2070,132.0,18.5,13.4,132.0
2071,132.0,19.0,13.7,132.0
2072,132.0,19.6,14.1,132.0
2073,131.0,20.2,14.7,132.0
2074,131.0,20.9,15.3,132.0
2075,116.0,83.9,50.7,118.0
2076,116.0,83.6,50.3,118.0
2077,117.0,83.2,49.8,119.0
2078,117.0,82.7,49.4,119.0
2079,117.0,82.1,49.0,119.0
2080,117.0,81.5,48.7,119.0
2081,117.0,80.8,48.4,119.0
2082,117.0,80.0,48.3,119.0
2083,117.0,79.3,48.1,119.0
2084,117.0,78.5,47.9,119.0
2085,117.0,77.8,47.7,119.0
2086,118.0,77.1,47.7,119.0
2087,118.0,76.5,47.9,119.0
2088,118.0,76.0,48.0,119.0
2089,118.0,75.6,48.1,119.0
2090,117.0,75.1,48.3,119.0
2091,117.0,74.5,48.4,119.0
2092,117.0,73.8,48.5,119.0
2093,118.0,72.9,48.6,119.0
2094,118.0,72.0,48.6,119.0
2095,114.0,79.3,58.7,115.0
2096,114.0,78.7,58.4,115.0
2097,114.0,78.1,58.1,116.0
2098,114.0,77.4,57.8,116.0
2099,115.0,76.6,57.4,116.0
2100,115.0,75.8,56.9,116.0
2101,115.0,75.0,56.5,116.0
2102,115.0,74.3,56.0,117.0
2103,115.0,73.6,55.6,117.0
2104,116.0,73.1,55.3,117.0
2105,116.0,72.6,55.1,117.0
2106,116.0,72.2,54.8,117.0
2107,116.0,71.9,54.6,117.0
2108,116.0,71.8,54.6,117.0
2109,116.0,71.5,54.7,117.0
2110,116.0,71.3,54.7,117.0
2111,116.0,70.9,54.7,117.0
2112,116.0,70.4,54.8,117.0
2113,116.0,69.7,54.9,117.0
2114,116.0,68.9,55.0,117.0
2115,131.0,12.2,11.4,132.0
2116,131.0,12.0,11.2,132.0
2117,131.0,11.9,11.0,132.0
2118,131.0,11.8,10.8,132.0
2119,131.0,11.7,10.7,132.0
2120,131.0,11.7,10.7,132.0
2121,131.0,11.7,10.6,132.0
2122,131.0,11.7,10.6,132.0
2123,131.0,11.7,10.5,132.0
2124,131.0,11.7,10.5,132.0
2125,131.0,11.7,10.5,132.0
2126,131.0,11.7,10.5,132.0
2127,131.0,11.8,10.6,132.0
2128,131.0,11.9,10.6,132.0
2129,131.0,12.0,10.7,132.0
2130,131.0,12.2,10.9,132.0
2131,131.0,12.5,11.0,132.0
2132,131.0,12.8,11.3,132.0
2133,131.0,13.1,11.6,132.0
2134,131.0,13.5,11.9,131.0
2135,122.0,39.6,37.7,123.0
2136,123.0,38.7,36.8,123.0
2137,123.0,38.0,36.1,124.0
2138,123.0,37.4,35.4,124.0
2139,124.0,36.6,34.5,124.0
2140,124.0,35.8,33.7,124.0
2141,124.0,35.1,33.0,125.0
2142,124.0,34.1,32.1,125.0
2143,125.0,33.0,31.2,125.0
2144,125.0,31.8,30.3,126.0
2145,125.0,30.5,29.5,126.0
2146,125.0,29.4,29.0,126.0
2147,125.0,28.4,28.8,126.0
2148,125.0,27.6,28.7,126.0
2149,125.0,26.8,28.7,126.0
2150,125.0,26.1,28.7,126.0
2151,125.0,25.6,28.8,126.0
2152,125.0,25.2,29.0,126.0
2153,125.0,24.7,29.0,126.0
2154,125.0,24.3,29.1,126.0
2155,120.0,61.7,39.8,121.0
2156,120.0,60.8,39.8,121.0
2157,120.0,60.3,40.0,121.0
2158,120.0,60.0,40.4,121.0
2159,120.0,59.8,40.8,121.0
2160,120.0,59.7,41.2,121.0
2161,120.0,59.7,41.5,121.0
2162,120.0,59.6,41.8,121.0
2163,120.0,59.5,42.0,121.0
2164,120.0,59.3,42.1,121.0
2165,120.0,59.0,42.2,121.0
2166,120.0,58.7,42.4,120.0
2167,120.0,58.2,42.4,121.0
2168,120.0,57.5,42.0,121.0
2169,120.0,56.8,41.8,121.0
2170,120.0,56.1,41.7,121.0
2171,120.0,55.4,41.5,121.0
2172,120.0,54.6,41.4,121.0
2173,120.0,53.8,41.2,121.0
2174,120.0,53.0,41.1,121.0
2175,126.0,31.0,28.6,126.0
2176,126.0,30.8,27.9,127.0
2177,126.0,30.6,27.5,127.0
2178,126.0,30.3,27.0,127.0
2179,127.0,30.1,26.6,127.0
2180,127.0,29.7,26.1,127.0
2181,127.0,29.1,25.6,127.0
2182,127.0,28.4,25.0,128.0
2183,127.0,27.4,24.3,128.0
2184,128.0,26.3,23.6,128.0
2185,128.0,25.2,22.9,128.0
2186,128.0,24.1,22.4,129.0
2187,128.0,22.9,22.0,129.0
2188,128.0,21.8,21.6,129.0
2189,129.0,20.6,21.4,129.0
2190,129.0,19.5,21.2,129.0
2191,129.0,18.5,21.1,129.0
2192,129.0,17.6,21.1,129.0
2193,128.0,16.7,21.1,129.0
2194,128.0,16.0,21.2,129.0
2195,128.0,31.3,23.9,129.0
2196,128.0,31.4,23.8,129.0
2197,128.0,31.7,23.7,129.0
2198,128.0,32.0,23.6,129.0
2199,128.0,32.3,23.7,129.0
2200,128.0,32.6,23.6,129.0
2201,128.0,32.8,23.6,128.0
2202,128.0,32.7,23.5,129.0
2203,128.0,32.3,23.0,129.0
2204,128.0,31.8,22.5,129.0
2205,129.0,31.1,22.0,129.0
2206,128.0,30.8,22.0,129.0
2207,128.0,30.5,22.0,129.0
2208,128.0,30.1,22.1,129.0
2209,128.0,29.8,22.1,129.0
2210,128.0,29.5,22.3,129.0
2211,128.0,29.2,22.5,129.0
2212,128.0,29.0,22.9,128.0
2213,128.0,28.4,22.9,128.0
2214,128.0,27.9,22.9,128.0
2215,125.0,44.1,32.4,125.0
2216,125.0,44.2,31.4,125.0
2217,125.0,44.3,30.4,126.0
2218,126.0,44.4,29.4,126.0
2219,126.0,44.4,28.3,127.0
2220,126.0,44.2,27.2,127.0
2221,127.0,43.7,26.0,127.0
