,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
440,128.0,28.1,23.1,128.0
441,128.0,27.8,23.3,128.0
442,128.0,27.3,23.4,128.0
443,128.0,26.8,23.3,128.0
444,128.0,26.3,23.1,128.0
445,128.0,25.9,22.9,128.0
446,128.0,25.6,22.7,128.0
447,128.0,25.2,22.5,128.0
448,128.0,24.8,22.4,128.0
449,128.0,24.4,22.4,128.0
450,128.0,24.1,22.5,128.0
451,128.0,23.8,22.6,128.0
452,128.0,23.7,22.7,128.0
453,128.0,23.6,22.9,128.0
454,128.0,23.7,23.0,128.0
455,128.0,23.9,23.3,128.0
456,128.0,24.1,23.6,128.0
457,115.0,88.2,56.0,116.0
458,115.0,88.3,55.7,116.0
459,115.0,88.4,55.4,116.0
460,115.0,88.4,55.1,117.0
461,115.0,88.3,54.8,117.0
462,115.0,88.1,54.4,117.0
463,116.0,88.0,54.1,117.0
464,116.0,87.7,53.8,117.0
465,116.0,87.4,53.5,117.0
466,116.0,87.1,53.2,117.0
467,116.0,86.6,53.0,118.0
468,116.0,86.2,52.9,118.0
469,116.0,85.6,52.9,118.0
470,116.0,84.9,52.8,118.0
471,117.0,84.0,52.8,118.0
472,117.0,82.9,52.7,118.0
473,117.0,81.6,52.6,118.0
474,117.0,80.1,52.4,118.0
475,117.0,78.4,52.3,118.0
476,117.0,76.6,52.2,118.0
477,123.0,67.7,35.7,125.0
478,124.0,65.8,34.9,125.0
479,124.0,63.8,34.2,126.0
480,124.0,62.0,33.4,126.0
481,125.0,60.3,32.6,126.0
482,125.0,58.6,31.9,127.0
483,125.0,57.0,31.2,127.0
484,125.0,55.5,30.5,127.0
485,126.0,54.2,29.9,127.0
486,126.0,53.1,29.5,127.0
487,126.0,52.4,29.3,127.0
488,126.0,52.0,29.5,127.0
489,125.0,52.0,30.0,127.0
490,125.0,52.3,30.7,127.0
491,125.0,52.9,31.6,126.0
492,124.0,53.7,32.7,126.0
493,124.0,54.7,33.9,125.0
494,123.0,55.9,35.2,124.0
495,123.0,56.9,36.5,124.0
496,122.0,58.0,37.9,123.0
497,117.0,65.9,53.8,117.0
498,117.0,64.8,52.6,118.0
499,117.0,63.6,51.6,118.0
500,118.0,62.4,50.6,118.0
501,118.0,61.3,49.7,119.0
502,118.0,60.3,48.8,119.0
503,119.0,59.3,48.0,119.0
504,119.0,58.3,47.3,120.0
505,119.0,57.2,46.6,120.0
506,119.0,56.2,46.2,120.0
507,120.0,55.3,45.9,120.0
508,120.0,54.3,45.8,120.0
509,120.0,53.5,45.8,120.0
510,120.0,52.8,45.9,120.0
511,120.0,52.2,46.0,120.0
512,120.0,51.6,46.2,120.0
513,120.0,50.9,46.4,120.0
514,120.0,50.3,46.5,120.0
515,119.0,49.6,46.7,120.0
516,119.0,49.0,46.8,120.0
517,120.0,70.7,41.1,122.0
518,120.0,70.0,41.1,122.0
519,120.0,69.3,41.2,122.0
520,120.0,68.6,41.3,122.0
