,per_capita-Protein-Energy Malnutrition,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Nutritional Deficiencies
2561,6.294479348206663e-05,5.83209,0.0009933475221388,177.0,6.491181827838121e-05
2562,6.333183000201511e-05,6.54856,0.0009787646454856,172.0,6.525097636571254e-05
2563,6.182368634033752e-05,5.65509,0.0009329756302269,159.0,6.182368634033752e-05
2564,5.855508020216142e-05,5.54458,0.0009185828206714,152.0,5.855508020216142e-05
2565,5.722481124753665e-05,5.42366,0.0008977142264457,141.0,5.722481124753665e-05
2566,5.4206228470510064e-05,5.3009,0.0008882827117102,134.0,5.4206228470510064e-05
2567,4.96084354867956e-05,5.17562,0.0008638710317528,127.0,4.96084354867956e-05
2568,4.85560437205315e-05,5.05278,0.000852242284612,122.0,4.85560437205315e-05
2569,4.591044511816201e-05,4.93599,0.0008362259646522,120.0,4.591044511816201e-05
2570,4.658866545964538e-05,4.81386,0.000820924415513,112.0,4.658866545964538e-05
2571,4.409261338494269e-05,4.69831,0.0007968165133136,108.0,4.409261338494269e-05
2572,4.169362597111404e-05,4.57963,0.0007551178925879,104.0,4.169362597111404e-05
2573,4.014941760181352e-05,4.46142,0.000735043183787,162.5,4.169362597111404e-05
2574,3.716748113006983e-05,4.35439,0.0007121289384521,162.5,3.865418037527263e-05
2575,6.634993854087299e-05,10.37668,0.0007635568679775,160.0,7.010015245840058e-05
2576,6.220349666589258e-05,10.92025,0.0007736271918669,168.0,6.55605107716709e-05
2577,5.985638980633962e-05,11.52192,0.0008039594285663,177.0,6.291648805242152e-05
2578,5.823913711245205e-05,12.12615,0.0008358776448986,186.0,6.094493773050844e-05
2579,5.659872211906976e-05,12.61029,0.0008446009156491,195.0,5.885246537399891e-05
2580,5.479804246734567e-05,12.87944,0.0008456631034881,201.0,5.6756619696193926e-05
2581,5.370817157937162e-05,12.88724,0.0008509844870602,201.0,5.546088580340706e-05
2582,5.139854064532915e-05,12.65146,0.0008200196778258,199.0,5.2969855644945e-05
2583,4.995617713767545e-05,12.18873,0.0007954245143509,191.0,5.141160946298319e-05
2584,4.80301835046573e-05,11.56458,0.0007623670383447,179.0,4.941645365674418e-05
2585,4.722138304772304e-05,10.86759,0.0007224321810121,171.0,4.856532926641632e-05
2586,4.77307663173512e-05,10.12006,0.000680515431873,161.0,4.9057187784058256e-05
2587,4.853471065650152e-05,9.33592,0.0006588346244372,143.0,4.982541845361405e-05
2588,4.831166770395466e-05,8.5589,0.0006438537929268,133.0,4.958735909988532e-05
2589,4.870219402143773e-05,7.83583,0.0006465236927905,128.0,5.002517382507611e-05
2590,4.839884525367001e-05,7.20157,0.0006419008167041,125.0,4.978640307651806e-05
2591,4.714591576110927e-05,6.66344,0.0006317014847219,122.0,4.853195189800892e-05
2592,4.587679608689941e-05,6.19816,0.0006254949837649,119.0,4.7261366058891424e-05
2593,4.374827807025498e-05,5.80872,0.0006027632379561,164.38888888888889,4.5091517595321854e-05
2594,4.2011645454876194e-05,5.46481,0.0005968871041284,164.38888888888889,4.3331598969413296e-05
2595,4.286875332048059e-06,1.56998,0.0002574835292829,5.0,7.686810940224106e-06
2596,4.336503301004782e-06,1.50767,0.0002539047045116,5.0,7.6497867219972e-06
2597,4.466899982939324e-06,1.44602,0.0002604971188975,5.0,7.781051583184629e-06
2598,4.536751801019579e-06,1.38584,0.0002650928044564,5.0,7.868428904893332e-06
2599,4.3953328913504405e-06,1.32713,0.0002600223124771,5.0,7.674390762675372e-06
2600,4.301629530485374e-06,1.27051,0.0002634976897503,5.0,7.688018735335562e-06
2601,4.32123405802229e-06,1.21571,0.0002540750587552,4.0,7.472133891996877e-06
2602,4.313048968190401e-06,1.16318,0.0002537621067284,4.0,7.475951544863362e-06
2603,4.31275169153527e-06,1.11312,0.0002522741923806,4.0,7.536424673086887e-06
2604,4.363299553042602e-06,1.06526,0.0002464184222827,4.0,7.71137594275351e-06
2605,4.4940472581108095e-06,1.0198,0.0002409368398427,4.0,7.826953119389161e-06
2606,4.577071728103802e-06,0.97675,0.000245686088508,4.0,7.999181431358982e-06
2607,4.78285986280122e-06,0.93614,0.0002529176295449,4.0,8.226518964018098e-06
2608,4.918668445099554e-06,0.89773,0.00025144317532,4.0,8.19074402016578e-06
2609,5.278820158557324e-06,0.86144,0.0002586412400702,4.0,8.504765811009022e-06
2610,5.670236963564428e-06,0.82729,0.0002726075463252,4.0,9.014222865153704e-06
2611,5.889199529292343e-06,0.79506,0.0002716444761902,4.0,8.998532147904734e-06
2612,5.88257401830461e-06,0.76409,0.0002749899097515,4.0,9.109819486680057e-06
2613,6.02555324791618e-06,0.73447,0.0002827720649632,4.333333333333333,9.334501133212522e-06
2614,6.078506609953261e-06,0.70691,0.0002854885356144,4.333333333333333,9.399544989563484e-06
2615,1.475749806944616e-05,4.53217,0.0002238308070177,56.0,1.565030044375429e-05
