,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
830,58.0,4.6,46.4,122.0,15.2,1.8,26.6
831,58.7,4.6,47.2,122.0,15.2,1.7,26.7
832,59.3,4.6,48.0,121.0,15.3,1.6,26.8
833,59.9,4.5,48.7,121.0,15.4,1.6,26.8
834,54.51764705882353,4.5,49.4,121.0,15.5,2.235294117647059,26.205882352941178
835,54.51764705882353,4.5,50.0,121.0,15.7,2.235294117647059,26.205882352941178
836,54.51764705882353,4.636842105263158,50.6,121.0,15.9,2.235294117647059,26.205882352941178
837,19.3,4.0,9.9,106.0,56.9,19.5,21.4
838,19.7,4.0,10.3,106.0,56.5,19.4,21.4
839,20.1,4.1,10.8,106.0,56.2,19.2,21.5
840,20.5,4.1,11.4,107.0,55.8,19.0,21.6
841,20.9,4.1,11.9,107.0,55.4,18.8,21.6
842,21.3,4.1,12.5,107.0,55.0,18.6,21.7
843,21.8,4.1,13.1,107.0,54.5,18.5,21.8
844,22.2,4.1,13.7,107.0,54.0,18.3,21.8
845,22.7,4.1,14.4,108.0,53.5,18.1,21.9
846,23.1,4.1,15.0,108.0,53.0,17.9,21.9
847,23.6,4.1,15.7,108.0,52.5,17.7,22.0
848,24.1,4.1,16.4,108.0,51.9,17.5,22.0
849,24.6,4.1,17.1,109.0,51.4,17.3,22.1
850,25.1,4.1,17.8,109.0,50.9,17.1,22.1
851,25.6,4.1,18.6,109.0,50.4,17.0,22.2
852,26.1,4.1,19.3,109.0,49.9,16.8,22.3
853,26.7,4.1,20.1,110.0,49.4,16.6,22.3
854,22.788235294117648,4.1,20.9,110.0,49.0,18.076470588235296,21.858823529411765
855,22.788235294117648,4.1,21.7,110.0,48.5,18.076470588235296,21.858823529411765
856,22.788235294117648,4.0894736842105255,22.6,110.0,48.1,18.076470588235296,21.858823529411765
857,14.9,3.9,9.5,111.0,45.0,20.6,20.2
858,15.3,3.9,9.9,111.0,44.7,20.5,20.2
859,15.6,3.9,10.3,111.0,44.4,20.3,20.2
860,16.0,3.9,10.8,111.0,44.2,20.2,20.2
861,16.4,4.0,11.2,111.0,43.9,20.0,20.2
862,16.8,4.0,11.7,112.0,43.6,19.9,20.3
863,17.2,4.0,12.2,112.0,43.2,19.7,20.3
864,17.7,4.0,12.7,112.0,42.8,19.5,20.3
865,18.1,4.0,13.2,112.0,42.4,19.4,20.3
866,18.5,4.0,13.8,112.0,42.0,19.2,20.3
867,19.0,4.0,14.4,112.0,41.7,19.0,20.3
868,19.5,4.0,15.1,112.0,41.5,18.8,20.3
869,20.0,4.0,15.7,113.0,41.3,18.6,20.3
870,20.5,4.0,16.5,113.0,41.2,18.5,20.3
871,21.0,4.1,17.2,113.0,41.1,18.3,20.2
872,21.5,4.1,18.0,113.0,41.0,18.1,20.2
873,22.0,4.1,18.8,113.0,41.0,17.9,20.2
874,18.235294117647054,4.1,19.7,113.0,40.9,19.323529411764707,20.25294117647059
875,18.235294117647054,4.1,20.5,113.0,40.8,19.323529411764707,20.25294117647059
876,18.235294117647054,4.005263157894737,21.4,113.0,40.8,19.323529411764707,20.25294117647059
877,50.8,5.4,24.4,118.0,25.8,1.1,25.6
878,51.0,5.4,25.2,118.0,25.5,1.1,25.7
879,51.3,5.4,26.0,118.0,25.3,1.0,25.8
880,51.6,5.3,26.8,118.0,25.1,1.0,25.9
881,51.9,5.3,27.5,118.0,24.8,1.0,26.0
882,52.2,5.3,28.2,119.0,24.5,0.9,26.1
883,52.5,5.3,28.9,119.0,24.3,0.9,26.2
884,52.8,5.3,29.5,119.0,23.9,0.9,26.3
885,53.1,5.3,30.1,119.0,23.5,0.8,26.4
886,53.5,5.2,30.6,119.0,23.3,0.8,26.4
887,53.8,5.2,31.2,119.0,23.2,0.8,26.5
888,54.1,5.2,31.8,119.0,23.1,0.8,26.6
889,54.4,5.2,32.3,119.0,23.1,0.7,26.6
890,54.8,5.2,32.9,119.0,23.0,0.7,26.7
891,55.1,5.2,33.4,119.0,23.1,0.7,26.8
892,55.4,5.2,33.9,119.0,23.1,0.7,26.8
893,55.8,5.2,34.4,119.0,23.1,0.7,26.9
894,53.18235294117648,5.1,34.9,119.0,23.1,0.8588235294117647,26.311764705882357
895,53.18235294117648,5.1,35.4,119.0,23.2,0.8588235294117647,26.311764705882357
896,53.18235294117648,5.252631578947368,35.9,119.0,23.3,0.8588235294117647,26.311764705882357
897,14.1,3.8,7.0,115.0,36.8,19.8,19.7
898,14.4,3.8,7.3,115.0,36.4,19.6,19.7
899,14.8,3.8,7.7,115.0,35.8,19.5,19.8
900,15.2,3.8,8.0,115.0,35.4,19.3,19.8
901,15.5,3.8,8.3,116.0,34.7,19.2,19.8
902,15.9,3.8,8.6,116.0,33.8,19.0,19.9
903,16.3,3.8,9.0,117.0,33.0,18.9,19.9
904,16.7,3.8,9.3,117.0,32.0,18.7,19.9
905,17.1,3.8,9.7,117.0,30.9,18.6,19.9
906,17.6,3.8,10.1,118.0,29.9,18.4,19.9
907,18.0,3.9,10.5,118.0,29.2,18.2,20.0
908,18.5,3.9,11.0,118.0,28.6,18.1,20.0
909,18.9,3.9,11.5,118.0,28.3,17.9,20.0
910,19.4,3.9,12.0,118.0,28.1,17.7,20.0
911,19.9,3.9,12.5,118.0,28.1,17.5,20.0
912,20.4,3.9,13.1,118.0,28.3,17.3,20.0
913,20.9,3.9,13.7,118.0,28.4,17.2,20.1
914,17.27058823529412,3.9,14.3,118.0,28.5,18.523529411764702,19.905882352941177
915,17.27058823529412,3.9,14.9,117.0,28.8,18.523529411764702,19.905882352941177
916,17.27058823529412,3.8473684210526313,15.6,117.0,29.0,18.523529411764702,19.905882352941177
917,53.4,4.9,24.1,111.0,46.1,3.1,25.1
918,54.1,4.9,24.5,111.0,45.9,3.0,25.2
919,54.8,4.9,24.8,111.0,45.8,2.9,25.3
920,55.5,4.9,25.2,111.0,45.6,2.8,25.3
921,56.2,4.8,25.5,111.0,45.5,2.7,25.4
922,56.8,4.8,25.7,111.0,45.3,2.6,25.5
923,57.5,4.8,26.0,111.0,45.1,2.5,25.6
924,58.1,4.8,26.2,111.0,44.8,2.4,25.7
925,58.8,4.8,26.4,111.0,44.5,2.4,25.8
926,59.4,4.8,26.5,112.0,44.3,2.3,25.9
927,60.1,4.8,26.7,112.0,44.0,2.2,26.0
928,60.7,4.8,26.8,112.0,43.8,2.1,26.1
929,61.3,4.8,26.9,112.0,43.5,2.1,26.2
930,62.0,4.7,27.0,112.0,43.2,2.0,26.3
931,62.6,4.7,27.1,112.0,42.9,1.9,26.4
932,63.2,4.7,27.3,112.0,42.6,1.9,26.5
933,63.8,4.7,27.4,112.0,42.4,1.8,26.6
934,58.7235294117647,4.7,27.5,112.0,42.1,2.394117647058824,25.81764705882353
935,58.7235294117647,4.7,27.6,112.0,41.7,2.394117647058824,25.81764705882353
936,58.7235294117647,4.789473684210527,27.7,113.0,41.4,2.394117647058824,25.81764705882353
937,51.9,5.4,32.3,120.0,16.9,0.4,26.1
938,52.3,5.4,33.5,121.0,16.6,0.4,26.2
939,52.8,5.3,34.7,121.0,16.3,0.4,26.2
940,53.2,5.3,35.9,121.0,16.1,0.4,26.3
941,53.6,5.3,37.1,121.0,15.9,0.4,26.3
942,54.0,5.2,38.3,121.0,15.7,0.4,26.3
943,54.4,5.2,39.5,121.0,15.5,0.3,26.4
944,54.8,5.2,40.6,121.0,15.4,0.3,26.4
945,55.2,5.1,41.6,121.0,15.3,0.3,26.4
946,55.5,5.1,42.5,121.0,15.2,0.3,26.4
947,55.9,5.1,43.4,121.0,15.2,0.3,26.4
948,56.2,5.1,44.3,121.0,15.2,0.3,26.4
949,56.6,5.1,45.1,121.0,15.3,0.3,26.4
950,56.9,5.1,45.7,121.0,15.4,0.3,26.4
951,57.2,5.1,46.4,121.0,15.5,0.3,26.4
952,57.6,5.1,46.9,121.0,15.6,0.3,26.4
953,57.9,5.1,47.4,121.0,15.8,0.3,26.4
954,55.05882352941177,5.0,47.9,120.0,16.0,0.3352941176470588,26.34117647058824
955,55.05882352941177,5.0,48.3,120.0,16.1,0.3352941176470588,26.34117647058824
956,55.05882352941177,5.16842105263158,48.8,120.0,16.3,0.3352941176470588,26.34117647058824
957,52.1,5.5,33.1,121.0,14.8,0.9,25.3
958,52.6,5.5,34.0,121.0,14.6,0.8,25.4
959,53.1,5.5,35.0,121.0,14.5,0.8,25.4
960,53.5,5.4,36.0,121.0,14.5,0.8,25.5
961,54.0,5.4,37.1,121.0,14.6,0.8,25.5
962,54.5,5.4,38.2,121.0,14.6,0.7,25.6
963,55.0,5.4,39.3,121.0,14.6,0.7,25.6
964,55.4,5.4,40.3,121.0,14.6,0.7,25.7
965,55.9,5.4,41.3,121.0,14.6,0.7,25.7
966,56.4,5.3,42.4,121.0,14.6,0.6,25.8
967,56.8,5.3,43.3,121.0,14.5,0.6,25.8
968,57.3,5.3,44.3,121.0,14.6,0.6,25.8
969,57.7,5.3,45.2,121.0,14.7,0.6,25.8
970,58.2,5.3,46.0,121.0,14.9,0.6,25.8
971,58.6,5.3,46.8,121.0,15.1,0.5,25.9
972,59.0,5.3,47.5,121.0,15.3,0.5,25.9
973,59.5,5.2,48.2,120.0,15.5,0.5,25.9
974,55.858823529411765,5.2,48.8,120.0,15.8,0.6705882352941177,25.670588235294115
975,55.858823529411765,5.2,49.4,120.0,16.0,0.6705882352941177,25.670588235294115
976,55.858823529411765,5.347368421052631,49.9,120.0,16.2,0.6705882352941177,25.670588235294115
977,30.5,4.2,9.9,106.0,57.4,15.1,22.9
978,31.2,4.2,10.3,106.0,57.4,14.8,23.0
979,31.9,4.2,10.8,106.0,57.3,14.6,23.1
980,32.5,4.2,11.4,106.0,57.2,14.3,23.2
981,33.2,4.2,11.9,106.0,57.0,14.0,23.2
982,33.8,4.2,12.5,106.0,56.9,13.7,23.3
983,34.4,4.2,13.1,106.0,56.7,13.4,23.4
984,35.0,4.2,13.7,106.0,56.4,13.2,23.5
985,35.6,4.2,14.3,106.0,56.2,12.9,23.5
986,36.2,4.2,15.0,107.0,55.9,12.6,23.6
987,36.8,4.2,15.6,107.0,55.7,12.4,23.7
988,37.4,4.2,16.3,107.0,55.3,12.1,23.7
989,37.9,4.2,17.1,107.0,55.0,11.9,23.8
990,38.5,4.2,17.8,107.0,54.6,11.7,23.8
991,39.1,4.2,18.6,107.0,54.3,11.4,23.9
992,39.6,4.1,19.4,108.0,54.0,11.2,23.9
993,40.2,4.1,20.2,108.0,53.6,11.0,24.0
994,35.51764705882353,4.1,21.0,108.0,53.2,12.958823529411765,23.5
995,35.51764705882353,4.1,21.8,108.0,52.8,12.958823529411765,23.5
996,35.51764705882353,4.178947368421053,22.7,108.0,52.5,12.958823529411765,23.5
997,44.4,4.3,26.8,116.0,29.9,2.6,25.6
998,44.8,4.3,27.7,116.0,29.7,2.5,25.7
999,45.4,4.3,28.7,116.0,29.4,2.4,25.8
1000,45.9,4.3,29.6,117.0,29.2,2.4,25.9
1001,46.4,4.3,30.6,117.0,28.7,2.3,26.0
1002,47.0,4.3,31.5,117.0,28.6,2.2,26.1
1003,47.6,4.3,32.5,117.0,28.6,2.2,26.2
1004,48.2,4.3,33.4,117.0,28.4,2.1,26.3
1005,48.8,4.3,34.2,117.0,28.3,2.0,26.5
1006,49.4,4.3,35.1,117.0,28.3,1.9,26.6
1007,50.1,4.3,35.9,117.0,28.1,1.9,26.7
1008,50.8,4.3,36.6,117.0,27.9,1.8,26.8
1009,51.4,4.3,37.3,117.0,27.8,1.8,27.0
1010,52.1,4.4,38.0,117.0,27.8,1.7,27.1
1011,52.8,4.4,38.5,117.0,27.8,1.6,27.2
1012,53.5,4.4,39.1,117.0,27.8,1.6,27.4
1013,54.2,4.4,39.6,117.0,27.7,1.5,27.5
1014,48.98823529411764,4.4,40.0,117.0,27.7,2.0294117647058822,26.49411764705882
1015,48.98823529411764,4.4,40.5,117.0,27.8,2.0294117647058822,26.49411764705882
1016,48.98823529411764,4.3315789473684205,41.0,117.0,28.0,2.0294117647058822,26.49411764705882
1017,50.8,5.7,37.8,120.0,16.2,0.6,26.3
1018,51.2,5.6,39.5,120.0,15.9,0.6,26.4
1019,51.6,5.6,41.2,120.0,15.7,0.6,26.5
1020,52.0,5.6,42.9,120.0,15.6,0.6,26.6
1021,52.4,5.5,44.6,120.0,15.4,0.5,26.6
1022,52.7,5.5,46.3,121.0,15.3,0.5,26.7
1023,53.1,5.5,47.9,121.0,15.2,0.5,26.8
1024,53.5,5.4,49.4,121.0,15.1,0.5,26.9
1025,53.9,5.4,50.8,121.0,15.0,0.5,26.9
1026,54.2,5.4,52.1,121.0,15.0,0.5,27.0
1027,54.6,5.3,53.4,121.0,14.9,0.4,27.0
1028,54.9,5.3,54.5,121.0,15.0,0.4,27.1
1029,55.3,5.3,55.6,121.0,15.0,0.4,27.1
1030,55.7,5.2,56.6,120.0,15.2,0.4,27.2
1031,56.0,5.2,57.4,120.0,15.3,0.4,27.2
1032,56.4,5.2,58.3,120.0,15.6,0.4,27.3
1033,56.8,5.1,59.0,120.0,15.8,0.4,27.3
1034,53.82941176470588,5.1,59.7,120.0,16.0,0.4823529411764705,26.876470588235293
1035,53.82941176470588,5.1,60.4,120.0,16.3,0.4823529411764705,26.876470588235293
1036,53.82941176470588,5.368421052631579,61.1,120.0,16.5,0.4823529411764705,26.876470588235293
1037,21.9,4.0,10.3,107.0,55.2,14.2,22.0
1038,22.6,4.1,10.8,107.0,55.2,14.0,22.1
1039,23.2,4.1,11.4,107.0,55.3,13.7,22.1
1040,23.8,4.1,12.0,107.0,55.3,13.5,22.2
1041,24.5,4.1,12.6,107.0,55.2,13.3,22.3
1042,25.1,4.1,13.3,107.0,55.1,13.0,22.3
1043,25.8,4.1,14.0,107.0,54.9,12.8,22.4
1044,26.4,4.1,14.7,107.0,54.7,12.5,22.4
1045,27.1,4.2,15.5,107.0,54.3,12.3,22.5
1046,27.7,4.2,16.4,108.0,54.0,12.0,22.5
1047,28.3,4.2,17.3,108.0,53.5,11.8,22.5
1048,29.0,4.2,18.3,108.0,53.0,11.6,22.5
1049,29.6,4.2,19.3,108.0,52.5,11.3,22.5
1050,30.2,4.2,20.4,109.0,52.0,11.1,22.5
1051,30.8,4.3,21.5,109.0,51.4,10.8,22.5
1052,31.4,4.3,22.6,109.0,50.8,10.6,22.5
1053,32.0,4.3,23.8,109.0,50.0,10.4,22.5
1054,27.023529411764702,4.3,25.0,110.0,49.0,12.288235294117648,22.37058823529412
1055,27.023529411764702,4.3,26.3,110.0,48.1,12.288235294117648,22.37058823529412
1056,27.023529411764702,4.178947368421052,27.6,111.0,47.2,12.288235294117648,22.37058823529412
1057,55.0,5.2,36.7,119.0,20.2,0.6,26.7
1058,55.5,5.2,37.9,119.0,19.8,0.6,26.8
1059,56.0,5.2,39.2,119.0,19.5,0.6,26.9
1060,56.5,5.1,40.6,119.0,19.3,0.6,26.9
1061,56.9,5.1,41.9,119.0,19.2,0.5,27.0
1062,57.4,5.1,43.2,119.0,19.1,0.5,27.1
1063,57.9,5.1,44.5,119.0,19.0,0.5,27.1
1064,58.4,5.1,45.7,119.0,18.9,0.5,27.2
1065,58.8,5.1,46.8,119.0,18.9,0.5,27.2
1066,59.3,5.1,48.0,119.0,18.8,0.5,27.3
1067,59.7,5.1,49.0,119.0,18.8,0.4,27.3
1068,60.2,5.1,50.0,119.0,18.8,0.4,27.4
1069,60.6,5.1,50.9,119.0,19.0,0.4,27.4
1070,61.0,5.1,51.8,119.0,19.1,0.4,27.4
1071,61.5,5.1,52.5,119.0,19.4,0.4,27.4
1072,61.9,5.1,53.2,119.0,19.6,0.4,27.5
1073,62.3,5.1,53.8,119.0,19.8,0.4,27.5
1074,58.75882352941176,5.0,54.4,119.0,20.0,0.4823529411764705,27.18235294117647
1075,58.75882352941176,5.0,54.9,119.0,20.2,0.4823529411764705,27.18235294117647
1076,58.75882352941176,5.105263157894737,55.4,119.0,20.3,0.4823529411764705,27.18235294117647
1077,40.6,4.4,22.3,118.0,27.0,7.0,23.8
1078,41.3,4.4,23.0,118.0,26.6,6.8,23.9
1079,42.0,4.4,23.9,118.0,26.2,6.6,24.0
1080,42.7,4.4,24.7,119.0,25.7,6.4,24.1
1081,43.4,4.4,25.5,119.0,25.4,6.2,24.2
1082,44.1,4.4,26.4,119.0,25.0,6.0,24.3
1083,44.7,4.4,27.2,119.0,24.6,5.9,24.3
1084,45.4,4.4,28.0,119.0,24.2,5.7,24.4
1085,46.1,4.4,28.8,119.0,23.8,5.5,24.5
1086,46.7,4.4,29.6,119.0,23.6,5.4,24.6
1087,47.4,4.4,30.3,120.0,23.4,5.2,24.7
1088,48.0,4.4,31.0,120.0,23.1,5.1,24.8
1089,48.7,4.4,31.7,120.0,22.9,4.9,24.8
1090,49.4,4.5,32.3,120.0,22.8,4.8,24.9
1091,50.0,4.5,32.9,120.0,22.7,4.6,25.0
1092,50.7,4.5,33.4,120.0,22.6,4.5,25.1
1093,51.4,4.5,33.9,120.0,22.6,4.4,25.2
1094,46.03529411764706,4.5,34.4,120.0,22.5,5.588235294117647,24.50588235294118
1095,46.03529411764706,4.5,34.8,120.0,22.5,5.588235294117647,24.50588235294118
1096,46.03529411764706,4.431578947368421,35.3,119.0,22.5,5.588235294117647,24.50588235294118
1097,44.7,4.4,11.2,118.0,27.1,3.1,24.4
1098,45.4,4.4,11.8,119.0,26.2,3.0,24.5
1099,46.1,4.4,12.4,119.0,25.3,2.9,24.5
1100,46.9,4.4,13.2,119.0,24.8,2.8,24.6
1101,47.6,4.4,14.0,119.0,24.0,2.7,24.7
1102,48.3,4.4,14.9,120.0,23.1,2.6,24.8
1103,49.0,4.4,15.8,120.0,22.2,2.5,24.9
1104,49.7,4.4,16.8,120.0,21.5,2.4,25.0
1105,50.4,4.4,17.9,120.0,20.6,2.3,25.1
1106,51.1,4.4,19.0,121.0,19.7,2.2,25.1
1107,51.8,4.4,20.1,121.0,18.8,2.1,25.2
1108,52.5,4.4,21.2,122.0,17.8,2.0,25.3
1109,53.2,4.4,22.4,122.0,17.0,2.0,25.4
1110,53.9,4.4,23.6,122.0,16.1,1.9,25.5
1111,54.6,4.4,24.7,123.0,15.3,1.8,25.6
1112,55.3,4.4,25.8,123.0,14.7,1.8,25.6
1113,55.9,4.4,27.0,123.0,14.1,1.7,25.7
1114,50.37647058823529,4.4,28.1,124.0,13.5,2.341176470588235,25.052941176470583
1115,50.37647058823529,4.4,29.2,124.0,13.0,2.341176470588235,25.052941176470583
1116,50.37647058823529,4.4,30.3,124.0,12.7,2.341176470588235,25.052941176470583
1117,18.4,3.9,6.6,105.0,59.0,14.7,21.5
1118,18.8,3.9,6.9,105.0,58.9,14.5,21.6
1119,19.3,3.9,7.3,105.0,58.8,14.3,21.7
1120,19.7,3.9,7.6,105.0,58.6,14.1,21.7
1121,20.2,3.9,8.0,105.0,58.5,13.9,21.8
1122,20.7,3.9,8.3,105.0,58.3,13.7,21.9
1123,21.2,3.9,8.7,106.0,58.0,13.5,22.0
1124,21.7,3.9,9.2,106.0,57.8,13.3,22.0
1125,22.2,3.9,9.6,106.0,57.5,13.1,22.1
1126,22.7,3.9,10.1,106.0,57.1,13.0,22.1
1127,23.3,3.9,10.6,106.0,56.8,12.8,22.2
1128,23.8,3.9,11.1,106.0,56.5,12.6,22.2
1129,24.4,3.9,11.7,107.0,56.1,12.4,22.3
1130,24.9,4.0,12.3,107.0,55.8,12.2,22.3
1131,25.5,4.0,13.0,107.0,55.4,12.0,22.3
1132,26.1,4.0,13.6,107.0,55.0,11.8,22.4
1133,26.6,4.0,14.3,107.0,54.6,11.6,22.4
1134,22.323529411764707,4.0,15.1,107.0,54.1,13.147058823529411,22.029411764705884
1135,22.323529411764707,4.0,15.8,108.0,53.6,13.147058823529411,22.029411764705884
1136,22.323529411764707,3.931578947368421,16.6,108.0,53.0,13.147058823529411,22.029411764705884
1137,19.7,3.9,9.0,106.0,56.6,13.9,21.7
1138,20.3,3.9,9.4,106.0,56.5,13.7,21.8
1139,20.9,3.9,9.9,106.0,56.4,13.5,21.9
1140,21.5,3.9,10.3,106.0,56.3,13.2,22.0
1141,22.1,3.9,10.8,106.0,56.1,13.0,22.1
1142,22.7,3.9,11.3,107.0,55.9,12.8,22.1
1143,23.3,3.9,11.9,107.0,55.8,12.6,22.2
1144,24.0,3.9,12.4,107.0,55.5,12.3,22.3
1145,24.6,3.9,13.0,107.0,55.3,12.1,22.4
1146,25.2,3.9,13.6,107.0,55.0,11.9,22.4
1147,25.9,3.9,14.2,107.0,54.7,11.6,22.5
1148,26.6,3.9,14.9,107.0,54.4,11.4,22.5
1149,27.2,3.9,15.6,107.0,54.2,11.2,22.6
1150,27.9,3.9,16.3,108.0,53.9,11.0,22.6
1151,28.6,4.0,17.0,108.0,53.7,10.7,22.7
1152,29.3,4.0,17.8,108.0,53.4,10.5,22.7
1153,29.9,4.0,18.6,108.0,53.2,10.3,22.8
1154,24.688235294117646,4.0,19.5,108.0,52.9,12.1,22.311764705882357
1155,24.688235294117646,4.0,20.3,108.0,52.6,12.1,22.311764705882357
1156,24.688235294117646,3.926315789473684,21.2,108.0,52.3,12.1,22.311764705882357
1157,37.9,4.5,25.7,114.0,38.3,8.0,23.6
1158,38.6,4.5,26.6,114.0,37.9,7.8,23.7
1159,39.3,4.5,27.5,114.0,37.5,7.6,23.8
1160,40.0,4.5,28.4,114.0,37.3,7.4,23.9
1161,40.8,4.5,29.3,114.0,37.3,7.2,24.0
1162,41.5,4.5,30.2,114.0,37.0,7.0,24.1
1163,42.3,4.5,31.1,114.0,36.7,6.8,24.2
1164,43.0,4.5,32.0,114.0,36.4,6.7,24.2
1165,43.7,4.6,32.9,114.0,36.0,6.5,24.3
1166,44.5,4.6,33.8,115.0,35.6,6.3,24.4
1167,45.2,4.6,34.6,115.0,35.2,6.1,24.5
1168,45.9,4.6,35.4,115.0,34.9,6.0,24.6
1169,46.6,4.7,36.1,115.0,34.6,5.8,24.7
1170,47.3,4.7,36.8,115.0,34.3,5.7,24.8
1171,48.0,4.7,37.4,115.0,34.0,5.5,24.9
1172,48.7,4.7,38.0,115.0,33.7,5.4,25.0
1173,49.4,4.8,38.6,115.0,33.5,5.2,25.1
1174,43.688235294117646,4.8,39.1,115.0,33.3,6.529411764705882,24.34117647058824
1175,43.688235294117646,4.8,39.6,115.0,33.1,6.529411764705882,24.34117647058824
1176,43.688235294117646,4.610526315789474,40.1,116.0,33.0,6.529411764705882,24.34117647058824
1177,37.6,4.4,15.3,107.0,54.1,7.1,24.3
1178,38.6,4.4,15.8,107.0,53.8,6.9,24.5
1179,39.5,4.4,16.3,107.0,53.4,6.6,24.6
1180,40.6,4.4,16.9,108.0,53.1,6.4,24.7
1181,41.6,4.4,17.4,108.0,52.8,6.1,24.9
1182,42.8,4.4,17.9,108.0,52.4,5.9,25.0
1183,43.9,4.4,18.4,108.0,52.0,5.6,25.1
1184,45.0,4.4,18.8,108.0,51.6,5.3,25.3
1185,46.2,4.4,19.2,108.0,51.2,5.1,25.4
1186,47.3,4.4,19.6,109.0,50.8,4.8,25.6
1187,48.5,4.4,20.0,109.0,50.4,4.6,25.7
1188,49.6,4.5,20.3,109.0,50.1,4.4,25.8
1189,50.7,4.5,20.6,109.0,49.9,4.2,26.0
1190,51.8,4.5,20.8,109.0,49.6,4.0,26.1
1191,52.8,4.5,20.9,109.0,49.4,3.8,26.2
1192,53.9,4.5,21.1,109.0,49.3,3.6,26.3
1193,54.9,4.5,21.2,109.0,49.1,3.4,26.5
1194,46.19411764705882,4.5,21.2,109.0,49.0,5.164705882352941,25.41176470588235
1195,46.19411764705882,4.5,21.3,110.0,48.9,5.164705882352941,25.41176470588235
1196,46.19411764705882,4.442105263157895,21.4,110.0,48.7,5.164705882352941,25.41176470588235
1197,43.4,4.8,26.8,118.0,26.0,4.2,24.5
1198,44.2,4.8,27.8,118.0,25.5,4.0,24.6
1199,45.0,4.8,28.8,119.0,24.9,3.9,24.7
1200,45.7,4.8,29.9,119.0,24.5,3.7,24.8
1201,46.5,4.8,31.1,119.0,24.1,3.6,24.9
1202,47.3,4.8,32.3,119.0,23.6,3.4,24.9
1203,48.1,4.8,33.5,119.0,23.3,3.3,25.0
1204,48.9,4.8,34.8,119.0,22.9,3.2,25.1
1205,49.7,4.8,36.0,119.0,22.6,3.1,25.2
1206,50.4,4.8,37.3,120.0,22.3,2.9,25.3
1207,51.2,4.8,38.5,120.0,22.0,2.8,25.4
1208,52.0,4.8,39.7,120.0,21.9,2.7,25.5
1209,52.8,4.7,40.9,120.0,21.8,2.6,25.5
1210,53.5,4.7,42.1,120.0,21.7,2.5,25.6
1211,54.3,4.7,43.2,120.0,21.6,2.4,25.7
1212,55.0,4.7,44.2,120.0,21.6,2.3,25.8
1213,55.8,4.7,45.2,119.0,21.6,2.2,25.9
1214,49.63529411764706,4.7,46.1,119.0,21.6,3.105882352941176,25.2
1215,49.63529411764706,4.7,47.0,119.0,21.6,3.105882352941176,25.2
1216,49.63529411764706,4.7631578947368425,47.9,119.0,21.7,3.105882352941176,25.2
1217,53.7,5.4,28.7,119.0,24.4,0.9,26.4
1218,54.0,5.4,29.7,119.0,24.0,0.9,26.5
1219,54.5,5.4,30.6,119.0,23.8,0.9,26.6
1220,54.9,5.4,31.6,119.0,23.6,0.8,26.7
1221,55.3,5.3,32.6,119.0,23.5,0.8,26.8
1222,55.8,5.3,33.5,119.0,23.4,0.8,26.9
1223,56.3,5.3,34.4,119.0,23.3,0.7,27.0
1224,56.8,5.3,35.3,119.0,23.2,0.7,27.2
1225,57.4,5.3,36.2,119.0,23.1,0.7,27.3
1226,57.9,5.2,37.1,119.0,23.0,0.7,27.4
1227,58.4,5.2,38.0,119.0,23.0,0.6,27.5
1228,59.0,5.2,38.9,119.0,23.0,0.6,27.6
1229,59.5,5.2,39.9,119.0,22.9,0.6,27.7
1230,60.0,5.2,40.8,119.0,22.9,0.6,27.8
1231,60.6,5.2,41.7,119.0,22.9,0.5,28.0
1232,61.1,5.1,42.6,119.0,22.8,0.5,28.1
1233,61.6,5.1,43.4,119.0,22.7,0.5,28.2
1234,57.45882352941176,5.1,44.3,119.0,22.5,0.6941176470588236,27.27647058823529
1235,57.45882352941176,5.1,45.1,119.0,22.5,0.6941176470588236,27.27647058823529
1236,57.45882352941176,5.247368421052632,46.0,119.0,22.5,0.6941176470588236,27.27647058823529
1237,53.3,5.5,47.9,121.0,16.3,0.6,26.0
1238,53.7,5.4,49.5,121.0,15.8,0.6,26.1
1239,54.1,5.4,51.2,121.0,15.4,0.6,26.2
1240,54.5,5.3,52.9,121.0,15.2,0.5,26.3
1241,55.0,5.3,54.5,121.0,15.0,0.5,26.4
1242,55.3,5.2,56.1,121.0,14.9,0.5,26.4
1243,55.7,5.2,57.7,121.0,14.8,0.5,26.5
1244,56.1,5.2,59.1,121.0,14.8,0.5,26.6
1245,56.4,5.1,60.5,121.0,14.7,0.5,26.6
1246,56.8,5.1,61.8,121.0,14.6,0.4,26.7
1247,57.1,5.0,63.1,121.0,14.5,0.4,26.7
1248,57.4,5.0,64.3,121.0,14.6,0.4,26.8
1249,57.8,5.0,65.4,121.0,14.6,0.4,26.8
1250,58.1,4.9,66.4,121.0,14.7,0.4,26.9
1251,58.4,4.9,67.3,121.0,14.7,0.4,26.9
1252,58.8,4.8,68.1,121.0,14.7,0.4,27.0
