,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
143,50.2,5.4,43.4,120.0,17.0,0.9,26.1
144,50.6,5.3,44.6,120.0,16.9,0.9,26.2
145,51.0,5.3,45.7,120.0,16.9,0.9,26.2
146,51.4,5.3,46.8,120.0,16.9,0.9,26.3
147,51.8,5.3,47.8,120.0,16.8,0.8,26.3
148,52.2,5.2,48.7,120.0,16.9,0.8,26.4
149,52.6,5.2,49.6,120.0,16.9,0.8,26.4
150,53.0,5.2,50.4,120.0,17.0,0.8,26.4
151,53.4,5.2,51.2,120.0,17.1,0.8,26.5
152,53.9,5.1,51.8,120.0,17.3,0.7,26.5
153,54.3,5.1,52.5,120.0,17.4,0.7,26.5
154,50.94117647058823,5.1,53.1,120.0,17.6,0.9,26.188235294117646
155,50.94117647058823,5.1,53.7,120.0,17.7,0.9,26.188235294117646
156,50.94117647058823,5.3,54.3,120.0,17.8,0.9,26.188235294117646
157,43.7,4.4,16.6,113.0,38.7,2.5,24.8
158,44.2,4.4,17.3,113.0,38.6,2.4,24.8
159,44.7,4.4,18.1,113.0,38.5,2.4,24.9
160,45.3,4.4,18.9,113.0,38.4,2.3,25.0
161,45.8,4.4,19.7,113.0,38.3,2.2,25.0
162,46.4,4.4,20.6,113.0,38.0,2.2,25.1
163,47.0,4.4,21.5,114.0,37.5,2.1,25.2
164,47.7,4.4,22.4,114.0,36.8,2.0,25.3
165,48.3,4.4,23.3,114.0,36.3,2.0,25.3
166,48.9,4.4,24.2,114.0,35.8,1.9,25.4
167,49.6,4.4,25.1,114.0,35.5,1.9,25.5
168,50.2,4.4,26.0,114.0,35.3,1.8,25.6
169,50.9,4.4,26.9,114.0,35.2,1.7,25.7
170,51.6,4.4,27.7,114.0,35.2,1.7,25.8
171,52.2,4.5,28.5,114.0,35.2,1.6,25.9
172,52.9,4.5,29.4,114.0,35.2,1.6,26.0
173,53.6,4.5,30.2,114.0,35.1,1.5,26.1
174,48.41176470588236,4.5,30.9,114.0,35.1,1.9882352941176469,25.376470588235293
175,48.41176470588236,4.5,31.7,114.0,35.1,1.9882352941176469,25.376470588235293
176,48.41176470588236,4.426315789473684,32.5,114.0,35.0,1.9882352941176469,25.376470588235293
177,57.4,4.8,21.7,114.0,38.0,4.5,25.2
178,57.9,4.8,22.6,114.0,37.6,4.3,25.2
179,58.4,4.8,23.6,114.0,37.2,4.2,25.1
180,58.9,4.8,24.6,114.0,37.0,4.1,25.1
181,59.3,4.7,25.7,114.0,36.7,4.0,25.1
182,59.8,4.7,26.8,114.0,36.4,3.8,25.0
183,60.3,4.7,27.9,114.0,36.1,3.7,25.0
184,60.8,4.7,29.0,114.0,35.7,3.6,25.0
185,61.3,4.7,30.1,115.0,35.3,3.5,24.9
186,61.9,4.7,31.1,115.0,35.0,3.4,24.9
187,62.4,4.7,32.1,115.0,34.7,3.3,24.9
188,63.0,4.6,33.0,115.0,34.6,3.1,24.9
189,63.5,4.6,33.9,115.0,34.6,3.0,24.9
190,64.1,4.6,34.6,115.0,34.5,2.9,24.9
191,64.7,4.6,35.3,115.0,34.3,2.8,24.8
192,65.2,4.6,35.9,115.0,34.1,2.8,24.8
193,65.8,4.5,36.4,115.0,34.0,2.7,24.8
194,61.45294117647059,4.5,36.8,115.0,33.9,3.511764705882353,24.97058823529412
195,61.45294117647059,4.5,37.2,115.0,33.7,3.511764705882353,24.97058823529412
196,61.45294117647059,4.663157894736842,37.6,115.0,33.5,3.511764705882353,24.97058823529412
197,11.6,4.2,22.5,110.0,46.8,26.0,20.5
198,12.0,4.2,23.4,110.0,46.6,25.7,20.5
199,12.4,4.2,24.2,110.0,46.5,25.4,20.6
200,12.9,4.2,25.1,110.0,46.4,25.0,20.7
201,13.3,4.2,26.0,111.0,46.3,24.7,20.7
202,13.8,4.2,26.9,111.0,46.1,24.3,20.8
203,14.3,4.2,27.7,111.0,45.9,24.0,20.8
204,14.8,4.2,28.5,111.0,45.6,23.6,20.9
205,15.3,4.2,29.2,111.0,45.3,23.2,20.9
206,15.8,4.2,29.9,111.0,45.0,22.8,20.9
207,16.4,4.2,30.6,111.0,44.7,22.4,21.0
208,17.0,4.2,31.2,111.0,44.5,22.1,21.0
209,17.6,4.2,31.7,111.0,44.2,21.6,21.1
210,18.2,4.2,32.1,112.0,43.9,21.2,21.2
211,18.8,4.2,32.5,112.0,43.6,20.8,21.2
212,19.4,4.2,32.9,112.0,43.3,20.4,21.3
213,20.0,4.2,33.2,112.0,43.1,20.0,21.3
214,15.505882352941178,4.2,33.5,112.0,42.8,23.12941176470588,20.905882352941177
215,15.505882352941178,4.1,33.8,112.0,42.5,23.12941176470588,20.905882352941177
216,15.505882352941178,4.194736842105264,34.1,112.0,42.2,23.12941176470588,20.905882352941177
217,42.1,4.4,33.7,120.0,22.2,5.9,25.0
218,42.8,4.4,34.9,120.0,22.2,5.8,25.1
219,43.5,4.4,36.0,120.0,22.0,5.6,25.2
220,44.1,4.4,37.2,120.0,21.9,5.4,25.3
221,44.8,4.4,38.3,120.0,21.6,5.3,25.4
222,45.4,4.4,39.5,120.0,21.3,5.1,25.4
223,46.1,4.4,40.6,121.0,21.0,4.9,25.5
224,46.7,4.4,41.7,121.0,20.7,4.8,25.6
225,47.3,4.4,42.8,121.0,20.3,4.6,25.7
226,47.9,4.4,43.8,121.0,20.1,4.5,25.8
227,48.6,4.4,44.8,121.0,19.9,4.4,25.9
228,49.2,4.4,45.7,121.0,19.8,4.2,25.9
229,49.8,4.4,46.6,121.0,19.6,4.1,26.0
230,50.5,4.4,47.4,121.0,19.5,4.0,26.1
231,51.1,4.4,48.1,121.0,19.4,3.9,26.2
