,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
297,114.0,0.0001587824363359,27.18339,62.1,113.0
298,114.0,0.0001541159636356,26.86895,61.8,113.0
299,114.0,0.0001506124931647,26.55725,61.4,113.0
300,114.0,0.0001476614781777,26.31745,61.1,113.0
301,115.0,0.0001453466937147,26.09417,60.6,113.0
302,115.0,0.0001434869831206,25.76675,60.0,114.0
303,115.0,0.0001399453266976,25.41352,59.4,114.0
304,116.0,0.0001392821929709,25.21051,58.8,114.0
305,116.0,0.0001377080020772,24.99914,58.0,115.0
306,116.0,0.0001414949694216,24.79832,57.1,115.0
307,117.0,0.0001441031977659,24.61835,56.3,115.0
308,117.0,0.000144771621159,24.40434,55.6,116.0
309,117.0,0.0001422054682534,23.63326,55.1,116.0
310,117.0,0.0001382970150118,22.48553,54.8,116.0
311,117.0,0.0001356224993986,21.51965,54.6,116.0
312,117.0,0.0001292990374734,21.29328,54.6,116.0
313,117.0,0.0001236331231756,20.95993,54.6,116.0
314,117.0,0.0001199405189239,20.71266,54.6,116.0
315,117.0,0.0001185816761868,20.51671,54.7,116.0
316,117.0,0.0001133398223243,20.34427,54.8,116.0
317,120.0,8.912773655161487e-05,16.3421,45.0,120.0
318,121.0,8.441832527030099e-05,16.00699,44.5,120.0
319,121.0,7.987947784382923e-05,15.64444,44.1,120.0
320,121.0,7.707347304080017e-05,15.24389,43.7,120.0
321,121.0,7.592014440321343e-05,14.8376,43.4,120.0
322,121.0,7.024005301597044e-05,14.41392,43.0,121.0
323,121.0,6.323348966057166e-05,13.96036,42.7,121.0
324,121.0,5.940420552072984e-05,13.51825,42.2,121.0
325,122.0,5.715784799236723e-05,13.1041,41.7,121.0
326,122.0,5.353466224692212e-05,12.63904,41.2,121.0
327,122.0,5.143981470235637e-05,12.19791,40.7,122.0
328,122.0,4.9405231590552025e-05,11.73805,40.2,122.0
329,122.0,4.7426683926259874e-05,11.35195,39.7,122.0
330,122.0,4.549866537248241e-05,10.96132,39.4,122.0
331,123.0,4.361794496778406e-05,10.57608,39.0,122.0
332,123.0,4.178353701684416e-05,10.27688,38.8,122.0
333,123.0,3.999333444425929e-05,10.11033,38.6,122.0
334,123.0,3.69252843246893e-05,9.96096,38.6,122.0
335,123.0,3.560652417023611e-05,9.81703,38.6,122.0
336,123.0,3.357394661742488e-05,9.65581,38.7,122.0
337,126.0,8.67591503753279e-05,15.54396,32.9,125.0
338,126.0,8.055024662238714e-05,15.22882,33.0,125.0
339,125.0,7.772911123785015e-05,14.90819,33.1,125.0
340,125.0,7.477866890299234e-05,14.5625,33.0,125.0
341,126.0,7.149308703440268e-05,14.30194,32.7,125.0
342,126.0,7.219266425539494e-05,13.93524,32.3,125.0
343,126.0,6.832646645138064e-05,13.56199,32.0,125.0
344,126.0,7.012566179104124e-05,13.19552,31.4,125.0
345,126.0,6.957422345844925e-05,12.77768,30.8,125.0
346,127.0,6.710828556130454e-05,12.34585,30.2,126.0
347,127.0,6.484094666575789e-05,11.97503,29.6,126.0
348,127.0,6.27552024309883e-05,11.64363,28.9,126.0
349,127.0,6.054420003570456e-05,11.23778,28.2,126.0
350,128.0,5.869390012649778e-05,10.84702,27.4,127.0
351,128.0,5.653019718974375e-05,10.48291,27.0,127.0
352,128.0,5.4902923668641136e-05,10.07493,26.2,127.0
353,128.0,5.369360496402392e-05,9.74816,25.2,128.0
354,129.0,5.225244863772839e-05,9.46196,24.5,128.0
355,129.0,5.09057360439725e-05,9.16383,24.0,128.0
356,129.0,4.854590629890543e-05,8.89921,23.9,128.0
357,128.0,1.73462386044505e-06,3.97255,25.2,127.0
358,128.0,1.2161624092469207e-06,3.87186,24.8,127.0
359,128.0,9.60288240118154e-07,3.76318,24.6,127.0
360,128.0,7.070167405067094e-07,3.6693,24.4,127.0
361,128.0,6.90354890738682e-07,3.61028,24.4,127.0
362,128.0,4.514169300308273e-07,3.57437,24.3,127.0
363,128.0,4.445456032661656e-07,3.56247,24.2,127.0
364,128.0,4.393482005835423e-07,3.54564,24.1,127.0
365,128.0,4.35700421104457e-07,3.47728,24.0,127.0
366,128.0,4.335184312528639e-07,3.35775,23.9,127.0
367,128.0,4.327507498488618e-07,3.24692,23.8,128.0
368,128.0,2.1634892581676589e-07,3.13984,23.8,127.0
369,128.0,2.1634288790063458e-07,3.04261,23.7,128.0
370,128.0,2.1636535627152294e-07,2.97014,23.7,128.0
371,128.0,2.1642693415881453e-07,2.93228,23.7,128.0
