,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic general government health expenditure (GGHE-D) per capita in PPP int$,per_capita-Parkinson's Disease,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
2981,18.63,1121.02,9.685783555825607e-05,5.39
2982,18.82,1200.45,9.75105701458038e-05,5.5
2983,19.92,1245.8,9.96441238543544e-05,5.67
2984,20.26,1354.38,0.0001005665147525,6.03
2985,20.34,1406.63,0.000101483625126,6.11
2986,20.3,1491.79,0.0001026740488811,6.23
2987,20.14,1538.37,0.0001033011678951,6.23
2988,6.11,62.43,1.6492411494052748e-05,2.13
2989,6.64,66.45,1.6908152393768718e-05,2.16
2990,5.58,65.87,1.7512240667065376e-05,2.05
2991,6.01,67.67,1.812085990289989e-05,2.01
2992,6.14,70.24,1.857766927606782e-05,1.91
2993,6.47,76.88,1.910332100873975e-05,1.92
2994,7.8,87.57,1.85002393095472e-05,2.04
2995,7.24,92.02,1.8131953798156863e-05,1.9
2996,7.23,104.0,1.8431139908223163e-05,2.03
2997,7.27,119.13,1.822067138428707e-05,2.12
2998,8.04,116.16,1.8266158965536817e-05,2.26
2999,8.83,123.62,1.855762462404812e-05,2.22
3000,9.76,143.18,1.866579700487917e-05,2.48
3001,9.52,152.91,1.849161715681548e-05,2.55
3002,9.3,151.87,1.842396240599113e-05,2.44
3003,9.6,159.37,1.8458940774608388e-05,2.48
3004,8.82,141.51,1.838932952029568e-05,2.16
3005,8.99,139.18,1.832002974231617e-05,2.11
3006,7.77,142.13,1.8387259209260456e-05,2.02
3007,8.28,173.84,1.7956073371156392e-05,2.34
3008,11.89,395.57,2.038926729401477e-05,3.36
3009,11.06,430.2,2.1389141714135884e-05,3.53
3010,11.67,393.51,2.285901740286344e-05,3.55
3011,11.75,386.44,2.362964940852136e-05,3.78
3012,11.51,448.57,2.292747657703295e-05,3.67
3013,8.39,384.52,2.3586048076913945e-05,2.81
3014,11.75,700.19,2.4881576565330013e-05,4.6
3015,11.32,673.45,2.5938066506585888e-05,4.02
3016,7.55,452.64,2.703028482197264e-05,2.55
3017,7.94,442.38,2.7261020052922927e-05,2.59
3018,8.19,432.99,2.6301069072337782e-05,2.59
3019,7.8,539.61,2.6957841265283103e-05,3.08
3020,6.59,523.71,2.7880837443379973e-05,2.85
3021,5.63,402.16,2.800511780351047e-05,2.16
3022,4.84,360.53,2.913211312848204e-05,1.99
3023,5.74,337.14,3.0025147341835108e-05,1.97
3024,7.33,268.15,3.126652611105331e-05,1.85
3025,7.41,352.37,3.234346593511708e-05,2.79
3026,6.63,339.84,3.397227357213736e-05,3.21
3027,11.57,177.03,3.623498142592909e-05,2.47
3028,7.49,33.63,2.730557019486629e-05,1.33
3029,6.23,32.39,2.805154982194621e-05,1.2
3030,6.65,38.06,2.889562781092433e-05,1.31
3031,5.44,37.73,2.9916184135547192e-05,1.21
3032,6.97,50.49,3.100088914005261e-05,1.35
3033,7.15,55.42,3.212321365556865e-05,1.47
3034,7.45,62.8,3.326292466447151e-05,1.53
3035,6.81,67.96,3.4443361982813274e-05,1.52
3036,7.14,72.9,3.5587692597257415e-05,1.53
3037,6.05,75.85,3.6612312304040025e-05,1.51
3038,7.85,99.6,3.753441622394216e-05,1.86
3039,8.41,102.81,3.847623847104352e-05,1.78
3040,8.93,132.69,3.937967699224233e-05,2.1
3041,9.78,159.94,4.011771207152553e-05,2.39
3042,8.51,139.41,4.086839144837151e-05,1.94
3043,7.9,144.23,4.135716274685838e-05,1.91
3044,9.64,176.43,4.196889590437323e-05,2.14
3045,10.09,195.49,4.247081119665358e-05,2.17
3046,10.22,205.64,4.343794769060284e-05,2.1
3047,10.07,244.78,4.350591435273905e-05,2.3
3048,14.86,52.33,1.130962127848212e-05,3.18
3049,11.11,53.56,1.1083875253426233e-05,3.11
3050,10.73,52.78,1.117527223695974e-05,2.96
3051,8.94,46.23,1.1188180269330828e-05,2.44
3052,10.38,49.01,1.119497233792304e-05,2.42
3053,8.16,40.03,1.1272069238514509e-05,1.83
3054,8.76,40.83,1.1320820053567456e-05,1.73
3055,4.91,25.08,1.1263194853027866e-05,0.98
3056,2.98,15.89,1.1186187232983938e-05,0.58
3057,2.46,12.85,1.117859357520288e-05,0.44
3058,4.66,26.75,1.1292463283707166e-05,0.84
3059,6.17,40.02,1.1310150550350485e-05,1.2
3060,6.03,44.42,1.1251293374609507e-05,1.3
3061,5.5,46.88,1.1189262647935614e-05,1.31
3062,7.67,67.03,1.112487860552214e-05,1.89
3063,7.38,71.71,1.1058617833855836e-05,2.09
3064,7.05,58.37,1.1049434300001576e-05,1.71
3065,7.05,61.53,1.1213175119049555e-05,1.77
3066,7.05,70.81,1.1755748108680988e-05,1.96
3067,7.05,77.16,1.1556600014118408e-05,2.13
3068,15.22,50.41,1.8366169584284325e-05,2.75
3069,9.12,44.55,1.7460666332128023e-05,2.12
3070,9.8,47.49,1.6561539193001364e-05,2.0
3071,9.65,51.68,1.585386168211141e-05,2.02
3072,13.36,71.36,1.539386399129056e-05,2.73
3073,7.56,41.57,1.5109412172887376e-05,1.55
3074,7.56,50.21,1.5054690804491742e-05,1.79
3075,6.44,54.33,1.4998522679145078e-05,1.79
3076,8.73,86.31,1.5267554476080418e-05,2.78
3077,8.73,36.75,1.495570886159916e-05,1.36
