,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
117,1.3364,0.0001489514666995,11.8,6.508097910764111e-06,3.20857,4.303742166795621e-06,122.0,4.198772845654265e-06
118,1.28316,0.0001523769561262,11.7,6.478612080196303e-06,3.08674,4.353627317891916e-06,122.0,4.509114007816627e-06
119,1.23227,0.000158536464257,11.6,6.757124081990944e-06,2.96692,4.146417050312624e-06,122.0,4.965462393584254e-06
120,1.18539,0.0001609285185975,11.6,6.779132817377245e-06,2.92143,3.946062386234515e-06,122.0,5.36259760180588e-06
121,1.14345,0.0001556883304669,11.6,6.851686885311163e-06,2.86615,3.850948103423063e-06,122.0,5.851440624681797e-06
122,1.10662,0.000148178565155,11.6,6.771335365656558e-06,2.83525,3.608083807977582e-06,122.0,6.079374087414282e-06
123,1.07512,0.0001433907130452,11.6,6.686360683184027e-06,2.84715,3.709221984832015e-06,122.0,6.637555130752028e-06
124,1.04846,0.0001402435051353,11.7,6.650722923943103e-06,2.89832,3.7591042613591456e-06,122.0,7.132659367707097e-06
125,1.02598,0.0001346198061531,11.6,6.569141884420233e-06,2.93214,3.8081981938668018e-06,122.0,7.425986478040263e-06
126,1.00666,0.0001318274682729,11.6,6.443226240955968e-06,2.91544,3.762467877930492e-06,122.0,7.854151695179902e-06
127,0.98782,0.0001352962113249,11.6,6.460382471374232e-06,2.86057,3.671728167183916e-06,122.0,8.319485340834441e-06
128,0.96931,0.0001403519282103,11.6,6.339956167932024e-06,2.73643,3.675336908946101e-06,122.0,9.050517138279773e-06
129,0.94981,0.0001449882574046,11.5,6.17744455107602e-06,2.67292,3.4975237531827466e-06,122.0,9.402433985828942e-06
130,0.92962,0.0001485008422234,11.5,6.019090398652442e-06,2.56657,3.593486805165637e-06,122.0,9.253228523301517e-06
131,0.90781,0.0001568358017126,11.6,6.264546187388304e-06,2.44471,3.6432112579137658e-06,122.0,9.463463389458928e-06
132,0.88522,0.000165399221327,11.8,6.373342304655081e-06,2.34068,3.736097213073668e-06,122.0,9.581990499412466e-06
133,0.86088,0.0001707066961473,12.1,6.523822782702684e-06,2.26658,3.696832910198188e-06,122.0,9.52478126274592e-06
134,0.83582,0.0001726467316437,12.4,6.628670324889211e-06,2.24045,3.7878116142224062e-06,122.0,9.469529035556016e-06
135,0.81149,0.000178974098772,12.8,6.84388689387912e-06,2.23449,3.959984869414334e-06,122.0,9.684745604545924e-06
136,0.78793,0.0001800838028772,13.3,6.918187789145448e-06,2.21541,4.007486829078156e-06,122.0,9.617968389787572e-06
137,1.29499,0.0001469172098104,12.1,4.93010771176076e-07,2.81144,8.381183109993292e-06,122.0,9.86021542352152e-07
138,1.25411,0.0001426517734935,12.1,4.919026672192374e-07,2.78537,7.747467008702989e-06,122.0,1.3527323348529026e-06
139,1.21572,0.0001428516728372,12.0,6.136240242150766e-07,2.78091,7.486213095423936e-06,122.0,1.9635968774882456e-06
140,1.17904,0.0001477460277635,12.1,7.350548644950859e-07,2.73089,6.983021212703316e-06,122.0,2.5726920257328005e-06
141,1.14406,0.0001445913654733,12.1,7.339663221999613e-07,2.65434,6.728024620166312e-06,122.0,3.1805207295331657e-06
142,1.11079,0.0001449046763036,12.1,8.552552564293508e-07,2.61327,6.7198627290877565e-06,122.0,4.031917637452654e-06
143,1.07933,0.0001390231518098,12.2,8.544004062063646e-07,2.58008,6.5910888478776695e-06,122.0,5.0043452363515634e-06
144,1.04912,0.0001346377093149,12.2,9.756355747463073e-07,2.51864,6.341631235850997e-06,122.0,6.341631235850997e-06
145,1.02072,0.0001286936509791,12.3,9.749519013572915e-07,2.46819,6.337187358822395e-06,122.0,7.190270272510025e-06
146,0.99352,0.0001249652721995,12.4,9.74388087326122e-07,2.46396,6.455321078535558e-06,122.0,8.160500231356271e-06
147,0.96827,0.0001216192526076,12.4,1.0956689424116404e-06,2.46837,6.330531667267255e-06,122.0,8.887092532894417e-06
148,0.94419,0.0001190174851045,12.5,1.095252930410063e-06,2.46698,6.571517582460376e-06,122.0,9.735581603645e-06
149,0.92059,0.0001177652391321,12.6,1.2165830488860785e-06,2.4526,6.569548463984823e-06,122.0,1.1314222354640528e-05
150,0.89763,0.0001176163507891,12.7,1.094671310343452e-06,2.44693,6.811288153248145e-06,122.0,1.2406274850559122e-05
151,0.87495,0.0001196634538326,12.9,1.2160920104943876e-06,2.40594,6.810115258768571e-06,122.0,1.3498621316487702e-05
152,0.85223,0.0001275529125716,13.2,1.215947688957663e-06,2.3576,6.687712289267146e-06,122.0,1.4956156574179253e-05
153,0.82975,0.000132895196635,13.5,1.3374630951376407e-06,2.31083,6.3225528133779386e-06,122.0,1.6535907358065375e-05
154,0.80725,0.0001415293584658,13.8,1.4590655511948409e-06,2.26544,6.07943979664517e-06,121.0,1.7265609022472283e-05
155,0.78604,0.0001423804800374,14.2,1.4590655511948409e-06,2.22262,6.07943979664517e-06,121.0,1.568495467534454e-05
156,0.76506,0.0001465544323229,14.6,1.4594632264523818e-06,2.18952,6.081096776884924e-06,121.0,1.520274194221231e-05
157,5.57218,0.0006266043221164,43.4,9.098346747683702e-06,19.1726,0.0001636520811109,111.0,9.488275894013004e-05
158,5.36583,0.0005695995574469,42.2,7.852504187025553e-06,18.73702,0.0001565812775203,112.0,7.80562356501346e-05
159,5.18385,0.000538170126196,41.2,7.094959519766616e-06,18.16166,0.000149575703974,112.0,6.304045999530337e-05
160,5.01191,0.0005203792904741,40.3,6.579773637317336e-06,17.53163,0.0001456784970227,112.0,5.1252973595945566e-05
161,4.83395,0.0005043598458148,39.5,6.180038954845545e-06,16.87904,0.0001396231023131,113.0,4.29169371864274e-05
162,4.64797,0.0004854149464972,38.5,5.778749363062846e-06,16.13058,0.0001313249119958,113.0,3.444587855629618e-05
163,4.4539,0.0004594598442971,37.4,5.15743114633213e-06,15.41358,0.0001141361936296,113.0,2.8253753236428192e-05
164,4.25446,0.0004300591966445,36.1,4.658882192177116e-06,14.65067,9.650541683795452e-05,114.0,2.3738114026807208e-05
165,4.06439,0.0004131229537983,34.6,4.390254556837279e-06,13.93027,9.197583296574098e-05,114.0,2.074395278105614e-05
166,3.88745,0.000396555711081,33.2,4.12739441826385e-06,13.23372,8.74355922816421e-05,115.0,1.868189052477322e-05
167,3.73206,0.0003843394623741,31.8,3.977779051144886e-06,12.59253,8.482345057711662e-05,115.0,1.7093699165730723e-05
168,3.59781,0.0003693622377286,30.4,3.724482374099992e-06,12.02789,8.268350870501982e-05,116.0,1.6281308663922823e-05
169,3.48666,0.0003528693014241,29.1,3.5813600741552204e-06,11.53454,7.97379287098677e-05,116.0,1.537878149490183e-05
170,3.39407,0.0003362822243093,28.0,3.441027411537181e-06,11.08337,7.653679151722093e-05,117.0,1.5015392341253154e-05
171,3.3194,0.0003216944501512,27.1,3.406905280806425e-06,10.62689,7.299036465242855e-05,117.0,1.4453537554936349e-05
172,3.25781,0.0003054971075926,26.3,3.1694813706064344e-06,10.19887,6.962634881880586e-05,117.0,1.3904821496854037e-05
173,3.20475,0.000289989683741,25.7,3.038662421317635e-06,9.83128,6.604026328996993e-05,117.0,1.3471403401174847e-05
174,3.15686,0.0002736564232563,25.2,3.0116260813243443e-06,9.52284,6.424802306825268e-05,118.0,1.2749217077606392e-05
175,3.10593,0.0002578955800974,24.9,2.9112385452801995e-06,9.23718,6.414763553220853e-05,118.0,1.2046504325297376e-05
176,3.04867,0.0002422979801096,24.8,2.863342063235429e-06,8.9705,6.27960535247494e-05,118.0,1.1255896386511684e-05
177,3.22129,5.344645657628107e-05,26.2,6.108166465860694e-06,8.52261,1.985154101404725e-05,117.0,1.2216332931721388e-05
178,3.11012,5.207666875965278e-05,25.6,4.463714465113095e-06,8.17041,1.785485786045238e-05,117.0,1.1903238573634922e-05
179,2.9884,6.015407837656733e-05,25.1,5.595728221076031e-06,7.86561,1.6787184663228092e-05,117.0,1.1191456442152062e-05
180,2.8695,6.658096501426369e-05,24.9,5.121612693404899e-06,7.57664,1.5364838080214697e-05,118.0,1.0243225386809798e-05
181,2.75851,6.720723291315057e-05,24.7,4.716297046536882e-06,7.30297,1.5327965401244868e-05,118.0,1.0611668354707984e-05
182,2.65438,6.659635838011455e-05,24.4,4.366974320007511e-06,7.00454,1.4192666540024411e-05,118.0,9.8256922200169e-06
183,2.55805,6.50146841759338e-05,24.1,4.063417760995863e-06,6.75064,1.2190253282987588e-05,118.0,9.14268996224069e-06
184,2.46928,6.264343923871136e-05,23.7,3.796572075073416e-06,6.50512,1.138971622522025e-05,118.0,8.542287168915187e-06
185,2.38774,6.050797802205741e-05,23.3,3.612416598331786e-06,6.31318,9.93414564541241e-06,118.0,8.127937346246518e-06
186,2.30981,5.8547753557649874e-05,23.0,3.4953882720985e-06,6.19138,9.612317748270877e-06,118.0,7.864623612221625e-06
187,2.23899,5.592841163310962e-05,22.6,3.3896007050369468e-06,6.20381,9.321401938851605e-06,118.0,7.62660158633313e-06
188,2.17661,5.433417990376264e-05,22.4,3.292980600228039e-06,6.28925,9.055696650627108e-06,118.0,7.409206350513087e-06
189,2.12138,5.2869872823924096e-05,22.3,3.2042347166014606e-06,6.21603,8.811645470654017e-06,118.0,7.209528112353286e-06
190,2.07305,5.072846069558865e-05,22.3,2.34131357056563e-06,6.05183,8.58481642540731e-06,118.0,7.02394071169689e-06
191,2.02679,4.946392519836936e-05,22.4,2.282950393770894e-06,5.95594,8.370818110493277e-06,118.0,6.848851181312681e-06
192,1.97868,5.049706188786236e-05,22.5,2.2278115538762805e-06,5.88984,7.426038512920935e-06,118.0,7.426038512920935e-06
193,1.92984,5.149016900378851e-05,22.7,2.17564094382205e-06,5.93035,7.977350127347517e-06,118.0,7.252136479406834e-06
194,1.87817,5.386472300066197e-05,22.9,2.834985421087472e-06,6.00362,7.796209907990549e-06,118.0,7.796209907990549e-06
195,1.8241,5.599096206647757e-05,23.1,2.834985421087472e-06,5.97815,7.796209907990549e-06,118.0,7.796209907990549e-06
196,1.77521,5.630875105833315e-05,23.4,2.713674749799188e-06,5.90874,7.462605561947767e-06,118.0,7.462605561947767e-06
197,11.05353,0.0006250512293655,56.6,0.0002182280166544,41.40262,0.0004115223908498,106.0,0.0003979999571398
198,9.90312,0.0005831680318711,55.2,0.0001938241938043,40.28941,0.0003976500580736,107.0,0.0003623653544633
199,9.57311,0.0005467018884511,53.9,0.0001698621113314,38.97208,0.0003806536195264,107.0,0.0003366117765608
200,9.88471,0.0005080793066013,52.7,0.0001455869962019,37.8517,0.0003608627927159,108.0,0.0003096227168375
201,10.48471,0.0004693920459676,51.7,0.000124204145218,36.67568,0.0003359734827959,108.0,0.0002862466698275
202,11.06643,0.0004358578529507,50.6,0.0001051278817929,35.56304,0.0003240766590321,109.0,0.0002704200208887
203,11.40156,0.0004040006141535,49.6,9.047407871233927e-05,34.4124,0.0003131102017959,109.0,0.0002559905906958
