,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
596,25.68752,0.0015522402641562,66.3,0.000195875847598,27.46551,0.0005579348715201,102.0,0.0024242629353089
597,2.17289,0.000329907986683,20.9,3.134125873489128e-05,4.16827,4.123849833538328e-05,119.0,1.7287178502192667e-05
598,2.10078,0.0002974845822957,20.4,3.2285654075065905e-05,4.05285,4.193873852579268e-05,119.0,1.6762450701599874e-05
599,2.03348,0.0002669643802179,20.1,3.295936175195713e-05,3.99316,4.089282847503096e-05,119.0,1.625393182288297e-05
600,1.97023,0.0002517242954718,19.8,3.471179131475249e-05,3.97509,4.026312558751621e-05,120.0,1.6207343738873403e-05
601,1.91107,0.0002459011579645,19.7,3.5300140550130275e-05,3.9573,3.9152213132523736e-05,120.0,1.603977763816295e-05
602,1.85627,0.0002333222861607,19.5,3.563604049079456e-05,3.94043,3.738658283069324e-05,120.0,1.5317245474113447e-05
603,1.80523,0.0002261183400115,19.5,3.523037663377776e-05,3.88134,3.5849539667763306e-05,120.0,1.4983745422450296e-05
604,1.75852,0.0002285349639174,19.5,3.551308215463942e-05,3.76275,3.4347713310186656e-05,120.0,1.4965789370867042e-05
605,1.71599,0.0002229225794378,19.5,3.421630649496604e-05,3.73707,3.202840767823642e-05,120.0,1.5497616618501492e-05
606,1.67769,0.0002309401075443,19.4,3.481569696417362e-05,3.82317,3.18039584724631e-05,120.0,1.6624796474242078e-05
607,2.07793,0.000237661728657,19.3,3.5231261283333926e-05,3.68021,3.111099513324911e-05,120.0,1.7914200652542672e-05
608,1.61327,0.0002324030893919,19.3,3.3987101480511296e-05,3.52123,2.9309434203576817e-05,120.0,1.8947513020494104e-05
609,1.58749,0.0002364237785241,19.3,3.2650675822010124e-05,3.42289,2.8246358040264155e-05,120.0,2.0436034507301305e-05
610,1.56423,0.0002404702591649,19.3,3.1398611843486486e-05,3.31202,2.7379123499886173e-05,120.0,2.2194566071184323e-05
611,1.54292,0.0002383580253135,19.3,2.97080565012556e-05,3.22255,2.6008998882422217e-05,120.0,2.358149232006281e-05
612,1.52161,0.0002335574306938,19.3,2.9366749635381977e-05,3.20673,2.569590593095923e-05,120.0,2.426198260891909e-05
613,1.49768,0.0002314226005546,19.4,2.8806847695121988e-05,3.20447,2.487864119124172e-05,120.0,2.402468325561557e-05
614,1.47011,0.0002439923731047,19.5,3.0237646423683345e-05,3.17836,2.526397747922702e-05,120.0,2.4529230930614155e-05
615,1.44122,0.0002550135713339,19.7,3.13680257292416e-05,3.13679,2.549005334033867e-05,120.0,2.492486368755954e-05
616,1.40876,0.0002621562634164,20.1,3.2107592542610284e-05,3.09377,2.541851076289981e-05,120.0,2.502831432575004e-05
617,4.17756,0.0002400830926904,28.5,1.4310274855533251e-05,15.0465,8.780840996628096e-05,117.0,2.6289184908522625e-05
618,3.96312,0.0002189166015877,27.0,1.285231134859281e-05,14.91635,8.363366967881448e-05,118.0,2.288737590389868e-05
619,3.76025,0.0001999616855032,25.8,1.1273527836156922e-05,14.82191,8.008877606911146e-05,118.0,1.981692548467825e-05
620,3.56954,0.0001839035911266,24.6,1.0084844751943964e-05,14.54556,7.501888027451708e-05,119.0,1.7257604932217885e-05
621,3.39129,0.0001739253889964,23.6,9.318344465648855e-06,13.90911,7.057697057253495e-05,119.0,1.493336350401033e-05
622,3.22622,0.0001640851296683,22.6,8.828252172448158e-06,13.2054,6.465575484732303e-05,119.0,1.2661764833522571e-05
623,3.07434,0.0001525828530535,21.7,8.497526533566854e-06,12.51567,5.70460585290061e-05,120.0,1.055692888574231e-05
624,2.93658,0.000145210123925,20.8,8.096393384311296e-06,11.87134,5.071176110716213e-05,120.0,8.883828873201057e-06
625,3.78559,0.0001424067121424,20.1,8.065656689838338e-06,11.29953,4.653222591484819e-05,120.0,7.636672784184693e-06
626,2.68975,0.0001412747004296,19.5,8.215525388907891e-06,10.72549,4.303366844094212e-05,120.0,6.724884263993852e-06
627,2.57378,0.0001402099147793,19.0,8.49007537629205e-06,10.1508,4.0079952046478505e-05,120.0,5.932452385931158e-06
628,2.46568,0.000137887726969,18.6,8.78195731749999e-06,9.59681,3.778882442958318e-05,121.0,5.38483080086591e-06
629,2.36825,0.0001347845572095,18.3,9.022959841479877e-06,9.10858,3.59280562664867e-05,121.0,5.046752868431691e-06
630,2.28168,0.0001319664159594,18.2,9.445861149077655e-06,8.59936,3.413788161753262e-05,121.0,4.780726085177992e-06
631,2.20659,0.0001296643555192,18.1,9.978663716837556e-06,7.89368,3.204118824157227e-05,121.0,4.522411830864211e-06
632,2.13701,0.0001289176487195,18.2,1.064037178603336e-05,7.42712,3.083849590530701e-05,121.0,4.464152668979828e-06
633,2.07005,0.0001312931955103,18.3,1.1577959322598887e-05,6.60814,3.077775210587623e-05,120.0,4.56695520635527e-06
634,2.00838,0.0001308917320673,18.4,1.2077940832537972e-05,6.0944,2.8826864213696257e-05,120.0,4.409337559549525e-06
635,1.9495,0.0001318894813431,18.5,1.2120212167819605e-05,5.78976,2.7385994733493048e-05,120.0,4.094488993313923e-06
636,1.89477,0.0001341604012905,18.8,1.2211475769512268e-05,5.54196,2.647956016058741e-05,120.0,3.93941933144439e-06
637,3.52824,0.0001647376851769,30.2,4.993530769093175e-05,9.55815,2.9735023673910464e-05,116.0,5.641173462768666e-05
638,3.46267,0.0001613992595932,30.0,5.049291257568087e-05,9.37283,2.925282088767405e-05,116.0,5.110340622898885e-05
639,3.38837,0.0001672907599326,29.8,5.130015494556104e-05,9.202,3.1805091166053024e-05,116.0,5.037062226535254e-05
640,3.31079,0.0001636637848226,29.5,4.8301138191910704e-05,9.07847,2.9615115515306976e-05,117.0,4.63928838867403e-05
641,3.23358,0.0001637743782389,29.3,4.5696521531907705e-05,9.01316,2.912847789627486e-05,117.0,4.210433507993421e-05
642,3.15783,0.0001616861795628,28.9,4.280778993793256e-05,8.91302,2.706821402043821e-05,117.0,3.76737475636197e-05
643,3.08496,0.0001632012444962,28.5,4.052680277203331e-05,8.80634,2.6803818500047854e-05,117.0,3.441448568728415e-05
644,3.01469,0.0001581789652494,28.0,3.7349767544061455e-05,8.70609,2.5635415561354565e-05,117.0,3.112871889593054e-05
645,2.94565,0.0001572050490682,27.5,3.662400140487815e-05,8.64174,2.4709611074430447e-05,118.0,2.81402137376722e-05
646,2.87745,0.0001608613265468,26.9,3.571643458768536e-05,8.51058,2.4223069098571223e-05,118.0,2.539072176778401e-05
647,2.81037,0.0001587366508064,26.3,3.409094096697744e-05,8.44039,2.264434764959815e-05,118.0,2.2508617294056107e-05
648,2.74469,0.0001528433058298,25.6,3.1726836011206484e-05,8.27597,2.0882920954522097e-05,119.0,2.00109360324382e-05
649,2.68341,0.0001532524534097,24.9,3.0615123030795496e-05,8.13006,2.055744723367496e-05,119.0,1.894379814974133e-05
650,2.63044,0.0001537846635222,24.3,2.931417679933084e-05,7.98138,2.022044260953097e-05,119.0,1.842792769711849e-05
651,2.58776,0.0001537021192382,23.8,2.8219086326098985e-05,7.80609,1.998041054813445e-05,119.0,1.81423857682736e-05
652,2.5544,0.0001584620985876,23.3,2.792236546811749e-05,7.64677,2.0134058165133e-05,120.0,1.814418844211773e-05
653,2.52893,0.0001575786766762,22.9,2.7445499929099124e-05,7.50397,1.967351036584343e-05,120.0,1.8021697870110613e-05
654,2.50907,0.0001588099455656,22.5,2.7422232184794648e-05,7.36855,1.9371668607607228e-05,120.0,1.817666307661847e-05
655,2.49343,0.0001627304023076,22.3,2.773670732452853e-05,7.23805,1.918298352376689e-05,120.0,1.859596326293032e-05
656,2.47901,0.0001624257085906,22.2,2.738967512884251e-05,7.09836,1.867103980254429e-05,120.0,1.8568225706715307e-05
657,13.11569,0.0011538256934419,61.3,0.0002458070634677,30.28877,0.0007539306200391,104.0,0.0012657229387518
658,12.85452,0.0010902708518768,60.5,0.0002269908167022,30.23067,0.0007149317061487,104.0,0.0010169903519966
659,12.59907,0.0010357372882831,59.9,0.0002088881925949,30.10645,0.0006771458909951,104.0,0.0010096262642087
660,12.37028,0.0009761702603629,59.4,0.0001898108839594,30.0187,0.0006270538130803,105.0,0.0008439805376054
661,12.16293,0.0009368917626101,58.8,0.0001797908488107,29.93323,0.0005707122356744,105.0,0.0007851416883845
662,11.96968,0.0009100261772962,58.2,0.0001717333350453,29.72368,0.0005617445538865,105.0,0.0007350828733715
663,11.76367,0.0008577052868391,57.5,0.0001593550806149,29.43038,0.0004921259842519,106.0,0.0006561679790026
664,11.54583,0.0008661408932667,56.8,0.0001613548940004,29.18226,0.0005160312176053,106.0,0.0006986971353417
665,11.30493,0.0008417470928549,56.2,0.0001543945284954,28.87165,0.0005032667803841,106.0,0.0006160935512077
666,11.0471,0.0007753477108402,55.5,0.0001376785654763,28.41479,0.00044926689787,106.0,0.0005420187735593
667,10.78453,0.0007109253075247,55.0,0.0001203757990828,28.02613,0.0004092777168817,107.0,0.000470173709359
668,10.49215,0.0006967859191063,54.4,0.000117747123507,27.56459,0.0004114223021363,107.0,0.0004543653707095
669,10.22472,0.0006632450995817,54.1,0.0001085063557597,27.09179,0.0004041861752052,107.0,0.0004191057991221
670,9.94696,0.0006300778425283,53.9,0.0001010251393083,26.73906,0.0004041005572333,107.0,0.000400112722787
671,9.69207,0.0006533092526063,53.8,0.0001056248492237,26.38702,0.0004564036694855,107.0,0.0004329314807691
672,9.4405,0.0006287045229592,53.8,9.987566759841276e-05,26.01696,0.0004545623333004,107.0,0.0004187095295471
673,9.17471,0.0006027598599684,53.9,9.311947732289052e-05,25.65653,0.0004454634455716,107.0,0.0004014204495405
674,8.94214,0.000585338085338,53.9,9.033759033759032e-05,25.40733,0.0004343629343629,107.0,0.0003910503910503
675,8.68514,0.0005667755667755,53.9,8.538758538758538e-05,24.92157,0.0004145629145629,107.0,0.0003638253638253
676,8.42441,0.0005396272255126,53.9,7.9145326408517e-05,24.57104,0.0003945274604303,107.0,0.0003333697082055
677,2.42774,0.0001099783880877,20.1,4.37853067328151e-06,4.85959,2.1119971482887285e-05,119.0,2.8589229690249863e-05
678,2.38257,0.0001064150317677,19.9,4.0442767417688855e-06,4.82028,2.0221383708844427e-05,119.0,2.83099371923822e-05
679,2.33836,9.84843115237836e-05,19.8,4.227861858344245e-06,4.80013,1.8403633971616127e-05,119.0,2.6113264419185043e-05
680,2.29533,9.672326079333645e-05,19.7,4.407642264000141e-06,4.81705,1.738570004133389e-05,119.0,2.4731770481334123e-05
681,2.2532,9.501540503572e-05,19.7,4.340805306200407e-06,4.89089,1.6398597823423758e-05,120.0,2.3633273333757767e-05
682,2.21202,8.696290604370813e-05,19.6,4.039260663232345e-06,4.98609,1.4256214105525922e-05,120.0,2.1146717589863453e-05
683,2.17143,8.759262217180051e-05,19.5,4.215687698108046e-06,5.03432,1.405229232702682e-05,120.0,2.0141619002071777e-05
684,2.13125,8.081031970871344e-05,19.4,3.6941860438269e-06,4.89589,1.1775218014698242e-05,120.0,1.84709302191345e-05
685,2.09194,8.057832474931377e-05,19.3,3.869580567057441e-06,4.93925,1.1608741701172324e-05,120.0,1.775454613120473e-05
686,2.05289,8.013385271442765e-05,19.1,3.815897748306078e-06,5.04052,1.0549834951199157e-05,120.0,1.818163044781132e-05
687,2.01444,9.32195508633326e-05,18.9,4.428482226286585e-06,5.07017,1.129262967703079e-05,120.0,1.992817001828963e-05
688,1.97609,9.286446900533631e-05,18.8,4.37009265907465e-06,4.994,1.048822238177916e-05,120.0,1.9446912332882195e-05
689,1.93882,9.770621187193024e-05,18.7,4.313740038495816e-06,4.96406,9.921602088540376e-06,120.0,2.0490265182855125e-05
690,1.90259,0.0001045583612404,18.6,4.258996384537969e-06,4.87868,9.369792045983533e-06,120.0,2.1507931741916744e-05
691,1.86707,0.0001116664290337,18.6,4.205891865678955e-06,4.74971,9.042667511209753e-06,120.0,2.271181607466636e-05
692,1.83257,0.000123178700097,18.6,4.362146209170312e-06,4.6765,8.932013666396352e-06,120.0,2.4095664774464577e-05
693,1.79906,0.0001348371887123,18.6,4.51509612126563e-06,4.57861,9.03019224253126e-06,120.0,2.585918687633952e-05
694,1.76642,0.0001334615754388,18.7,4.665070266099664e-06,4.479,9.330140532199329e-06,120.0,2.5556471892545988e-05
695,1.73392,0.0001354898668588,18.8,4.665070266099664e-06,4.47304,9.532969674203662e-06,120.0,2.596213017655465e-05
696,1.70165,0.0001340449613768,19.0,4.560701348619218e-06,4.48368,9.31969406022188e-06,120.0,2.557958582486431e-05
697,1.65806,0.000253693749249,20.5,9.068587998177214e-07,5.17261,4.284907829138733e-05,119.0,2.720576399453164e-06
698,1.59338,0.000250725933802,20.2,6.758111423235739e-07,4.99008,3.9647587016316335e-05,119.0,2.477974188519771e-06
699,1.53431,0.0002584233054081,20.0,6.69490428518507e-07,4.79249,3.81609544255549e-05,119.0,2.677961714074028e-06
700,1.48084,0.0002674653423389,19.8,8.893278215759378e-07,4.60393,3.57954448184315e-05,119.0,2.6679834647278133e-06
701,1.43236,0.0002628495515435,19.7,6.671308414810393e-07,4.42179,3.224465733825024e-05,119.0,2.890900313084504e-06
702,1.38813,0.0002571229278916,19.5,6.672740343210175e-07,4.23497,3.002733154444579e-05,119.0,3.336370171605088e-06
703,1.34839,0.0002267089886443,19.4,6.674455014061964e-07,3.99483,2.7810229225258183e-05,120.0,3.3372275070309823e-06
704,1.31302,0.0002029683226982,19.2,6.676589562443027e-07,3.76514,2.53710403372835e-05,120.0,3.5608477666362807e-06
705,1.28133,0.000174772900983,19.0,8.905625527797463e-07,3.59809,2.359990764866328e-05,120.0,3.7848908493139215e-06
706,1.25158,0.0001432259791879,18.8,6.682394052312899e-07,3.47135,2.093816803058041e-05,120.0,3.7866899629773095e-06
707,1.22484,0.0001234710704384,18.7,6.686159049014227e-07,3.35925,1.849837336893936e-05,120.0,4.457439366009484e-06
708,1.19964,0.0001121815315745,18.7,6.690747410011678e-07,3.19981,1.6503843611362137e-05,120.0,4.90654810067523e-06
709,1.17771,0.0001064721923427,18.7,6.696364298289102e-07,3.09739,1.517842574278863e-05,120.0,5.133879295354978e-06
710,1.15893,0.0001018855302661,18.7,6.702995412246507e-07,3.06955,1.3405990824493014e-05,120.0,5.585829510205422e-06
711,1.14084,0.0001049091674506,18.8,6.710607726056887e-07,3.09549,1.252646775530619e-05,120.0,6.486920801854991e-06
712,1.12413,0.0001148976313618,19.0,6.71915972876096e-07,3.12863,1.2542431493687126e-05,120.0,7.167103710678357e-06
713,1.1077,0.0001141631114987,19.2,6.728670618788737e-07,3.11766,1.1887318093193434e-05,120.0,7.40153768066761e-06
714,1.09203,0.000120181939732,19.4,6.739174190580251e-07,3.04643,1.1905874403358444e-05,120.0,6.739174190580252e-06
715,1.07636,0.0001248993616654,19.8,6.739174190580251e-07,3.02982,1.1905874403358444e-05,119.0,6.514535050894243e-06
716,1.05893,0.0001307506326189,20.2,6.76296375615007e-07,3.00766,1.1947902635865125e-05,119.0,6.537531630945068e-06
717,1.9574,0.0001728862212943,13.4,4.349338900487126e-06,4.39275,7.61134307585247e-06,122.0,9.786012526096031e-06
718,1.9641,0.0001661963132296,13.2,4.288937115604011e-06,4.22679,6.433405673406017e-06,122.0,9.650108510109024e-06
719,1.9577,0.0001626507423844,13.1,4.224694607388569e-06,4.08007,6.337041911082852e-06,122.0,1.056173651847142e-05
720,1.93687,0.0001575697764582,13.0,4.146573064690687e-06,3.94211,6.21985959703603e-06,122.0,1.0366432661726716e-05
721,1.90021,0.0001559981806965,13.0,5.064875996640975e-06,3.79529,5.064875996640975e-06,122.0,1.0129751993281947e-05
722,1.84815,0.000155331737143,12.9,4.9468706096523336e-06,3.65518,4.9468706096523336e-06,122.0,1.0883115341235134e-05
723,1.7836,0.0001561545250865,12.9,4.8495194126262085e-06,3.50431,4.8495194126262085e-06,122.0,1.066894270777766e-05
724,1.70997,0.0001534932586904,12.9,5.720245665483847e-06,3.36527,3.813497110322565e-06,122.0,1.1440491330967694e-05
725,1.62917,0.0001471667586849,12.8,5.624207338278262e-06,3.23037,3.7494715588521742e-06,122.0,1.1248414676556524e-05
726,1.54588,0.00014196845719,12.8,5.531238591820404e-06,3.12119,3.687492394546936e-06,122.0,1.1984350282277545e-05
727,1.46413,0.0001387532341746,12.8,5.441303300966647e-06,3.01868,3.627535533977765e-06,122.0,1.2696374368922178e-05
728,1.38393,0.0001329776552915,12.9,5.354804911070077e-06,2.92865,3.569869940713385e-06,122.0,1.3387012277675191e-05
729,1.30639,0.0001282872509711,12.9,5.272078807034007e-06,2.86668,3.5147192046893385e-06,122.0,1.4058876818757354e-05
730,1.23205,0.0001254973372927,13.1,5.192993267284229e-06,2.84731,3.461995511522819e-06,122.0,1.471348092397198e-05
731,1.16082,0.0001262305344839,13.2,5.970363117484806e-06,2.82664,3.4116360671341744e-06,122.0,1.5352362302103786e-05
732,1.09308,0.0001269764387229,13.4,5.886324973910967e-06,2.77879,3.3636142708062667e-06,121.0,1.597716778632977e-05
733,1.03113,0.0001260809157455,13.7,5.806357961968356e-06,2.72633,4.147398544263111e-06,121.0,1.6589594177052442e-05
734,0.97532,0.0001252508086044,13.9,5.7304291518391816e-06,2.65262,4.093163679885129e-06,121.0,1.6372654719540517e-05
735,0.92741,0.0001309812377563,14.2,5.7304291518391816e-06,2.58327,4.093163679885129e-06,121.0,1.7191287455517545e-05
736,0.88628,0.0001349681786563,14.5,5.590397932511119e-06,2.52415,3.993141380365085e-06,121.0,1.7569822073606373e-05
737,1.33029,0.0003151337651028,12.9,2.0421867060764983e-05,3.13939,9.180472348417289e-06,122.0,2.2482789424695395e-05
738,1.27459,0.0003355224758982,13.0,2.0911807067668e-05,3.08117,9.148915592104749e-06,122.0,2.651318396079335e-05
739,1.21944,0.0003665325628831,13.1,2.2698970899361137e-05,2.99786,9.116799787448324e-06,122.0,3.274605637940623e-05
740,1.16604,0.0003828229830234,13.0,2.2431758327280466e-05,2.88223,8.527775893015715e-06,122.0,3.670651362645895e-05
741,1.11362,0.000389035192722,12.8,2.198252038647857e-05,2.73225,8.312717793206183e-06,122.0,3.990104540738967e-05
742,1.06283,0.0003932010820393,12.7,2.080136810413938e-05,2.60572,7.731481950211096e-06,122.0,4.362764814761976e-05
743,1.01405,0.0004063727316741,12.7,2.0181038593300887e-05,2.48999,7.338559488473049e-06,122.0,4.880142059834578e-05
744,0.96758,0.0004198883711403,12.6,1.9202212094833324e-05,2.37509,7.315128417079362e-06,122.0,5.285180281339839e-05
745,0.92364,0.0004277335427878,12.5,1.7320838262935065e-05,2.26747,6.56368607858592e-06,122.0,5.524435782809816e-05
746,0.88226,0.0004365049786292,12.5,1.6543920472828883e-05,2.18749,6.363046335703417e-06,122.0,6.035803952724384e-05
747,0.84291,0.0004313240233339,12.6,1.5592209334475555e-05,2.13872,6.164361829908939e-06,122.0,6.345666589612144e-05
748,0.80567,0.0004251442343859,12.8,1.3924332644711792e-05,2.08308,5.425064666770828e-06,122.0,6.546244697903465e-05
749,0.77089,0.0004215783916631,13.0,1.3529473416659257e-05,2.05666,5.2313963877749125e-06,122.0,6.746697410440748e-05
750,0.73882,0.0004218519299725,13.1,1.349782199144346e-05,2.05268,5.039186876805559e-06,122.0,6.874890667641869e-05
751,0.7088,0.0004122765765314,13.3,1.3108096727698324e-05,2.05156,4.668637190687074e-06,122.0,6.895218004707064e-05
752,0.68097,0.000414404507173,13.5,1.2899751196048809e-05,2.05671,4.837406698518302e-06,121.0,6.844034662348117e-05
753,0.65507,0.0004222543412018,13.8,1.3407737337062472e-05,2.06223,4.648015610181657e-06,121.0,6.739622634763403e-05
754,0.63052,0.0004284734713914,14.1,1.3913792992728435e-05,2.05753,4.637930997576146e-06,121.0,6.689323554196364e-05
755,0.60725,0.0004336465482733,14.2,1.4092174954173676e-05,2.04072,4.816312959021383e-06,121.0,6.653647161907317e-05
756,0.58391,0.0004392385489817,14.5,1.4386705405387164e-05,2.01207,4.795568468462388e-06,121.0,6.60722766765929e-05
757,22.0221,0.000942612665368,61.5,0.0005736343320147,34.89984,0.0006707338934235,103.0,0.0008141424764272
758,21.54359,0.0009220912278676,60.5,0.0005396903274217,34.49978,0.0006666762868151,104.0,0.0007431564669042
759,21.02992,0.0009059804481322,59.4,0.000537446028553,34.25634,0.0006505190891057,104.0,0.0006728545084741
760,20.49218,0.00096268404999,58.3,0.0005486575262349,34.09401,0.0006586785605195,105.0,0.0006572309153315
761,19.96225,0.0010723852433706,57.2,0.0005688965688235,33.6659,0.0007210079508619,105.0,0.0006768956500708
762,19.42509,0.0010519207683073,56.2,0.0005687274909963,33.36014,0.0006932773109243,106.0,0.0006122448979591
763,18.89018,0.00104396583331,55.4,0.0005227191407969,33.09164,0.0006684915209065,106.0,0.0005992864515616
764,18.36033,0.0010239364957753,54.7,0.0005299699443675,32.78381,0.0006754236519249,107.0,0.000576054287356
765,17.84358,0.0009898532986649,54.0,0.0005033869339364,32.54843,0.0006584921516759,107.0,0.0005414582146543
766,17.33358,0.0009536006359177,53.3,0.0004747302731631,32.32817,0.0006306736477777,107.0,0.0005133711093508
767,16.8357,0.0009331179914871,52.8,0.0004361752695374,32.23082,0.0006238791780999,107.0,0.0005239504785774
768,16.34423,0.0008942322679156,52.4,0.000422679949384,32.08868,0.0006128859266069,108.0,0.0004847610669498
769,15.85203,0.00086132421819,52.1,0.0004016069443135,31.89702,0.0006017647461417,108.0,0.0004700479991322
770,15.39426,0.0008331250520703,52.0,0.0003610208558971,31.31341,0.000586974468504,108.0,0.0004569564679537
771,14.94714,0.0007788402316031,51.9,0.000324619621096,30.6587,0.0005529642214868,108.0,0.0004196603466641
772,14.47546,0.0007484993794698,51.9,0.0003223376359975,30.08134,0.0005408511645201,108.0,0.0004056383733901
773,14.03497,0.0007228172866714,52.0,0.0002964495734551,29.48615,0.0005220347070405,108.0,0.0004015651592619
774,13.61768,0.0007003618536243,52.0,0.0002658139048409,28.90278,0.0005119806949762,108.0,0.0003940980067424
775,13.19898,0.0006911161525864,52.0,0.0002507896406542,28.33472,0.0005108249823464,108.0,0.0003802294551855
776,12.80593,0.0006567784408323,52.0,0.0002281557484173,27.85889,0.0004840003012541,108.0,0.000352201592217
777,5.08175,0.00035931690578,31.9,9.778369282968332e-05,15.72124,0.0001083092998639,115.0,9.26414115305052e-05
778,4.99541,0.0003508558832735,31.4,9.161368922308662e-05,15.27219,9.707725409464492e-05,116.0,8.448730026018447e-05
779,4.91119,0.0003706943616023,30.9,9.160165612675924e-05,14.81395,9.807224119784096e-05,116.0,8.146700481060714e-05
780,4.82921,0.0003746314969939,30.5,8.620042815683828e-05,14.32087,9.51493634668206e-05,116.0,7.755743935318013e-05
781,4.74838,0.0003738667864317,30.1,7.996470482102642e-05,13.86232,9.051196710331335e-05,116.0,7.285839335423737e-05
782,4.67043,0.0003748265850641,29.6,7.473109614342163e-05,13.3787,8.951628852439242e-05,116.0,6.667975375774448e-05
783,4.59364,0.00037400148609,29.2,6.941122681325512e-05,12.92007,8.34228098656203e-05,116.0,6.007017144501168e-05
784,4.51193,0.0003716318607571,28.5,6.42379077798332e-05,12.44826,7.612333565099177e-05,117.0,5.284770606997291e-05
785,4.42215,0.0003678296981936,27.8,5.963299652533298e-05,11.98371,7.112767459388432e-05,117.0,4.813831845678165e-05
786,4.32333,0.0003590176174583,27.1,5.462118186101915e-05,11.54823,6.738442284864422e-05,117.0,4.446548473108091e-05
787,4.21676,0.0003531971099497,26.3,5.1857232643850746e-05,11.08769,6.341862349404433e-05,117.0,4.117477794016311e-05
788,4.11575,0.000337035010128,25.6,4.797651389723018e-05,10.68833,5.563942931137111e-05,118.0,3.704853017619441e-05
789,4.00312,0.0003399966368184,25.0,4.709767940471686e-05,10.31858,5.071047210661286e-05,118.0,3.422299995796023e-05
790,3.89188,0.000343341712961,24.5,4.695769513237828e-05,10.0096,4.721677207103967e-05,118.0,3.238461733267467e-05
791,3.78814,0.000337540645892,24.3,4.6057306148407626e-05,9.73696,4.624894542503069e-05,118.0,3.110944257180932e-05
792,3.68944,0.0003261829361959,24.0,4.411283913005448e-05,9.47938,4.524716927911303e-05,118.0,2.9996730608437047e-05
793,3.58707,0.0003272851599593,23.8,4.415209264128887e-05,9.27048,4.421427868726252e-05,118.0,2.94139997455347e-05
794,3.49067,0.0003307365277808,23.7,4.4319185793945374e-05,9.06249,4.4319185793945374e-05,118.0,2.928012690264812e-05
795,3.39661,0.0003338671073867,23.6,4.5055792760049726e-05,8.8666,4.481025710468161e-05,118.0,2.940289473033218e-05
796,3.29368,0.0003254455688693,23.5,4.394353339774394e-05,8.72031,4.40034019718553e-05,118.0,2.8976389869902e-05
797,5.82564,0.0004750259321309,39.6,1.5178361555877518e-05,17.50283,1.6574954985184753e-05,113.0,0.0002375436604265
798,5.5314,0.000456423854063,39.6,1.5005839209143303e-05,16.89994,1.6417800055649283e-05,113.0,0.0002251026089972
799,5.28409,0.0004357783059642,39.8,1.4495071675630286e-05,16.3529,1.6494391906751705e-05,113.0,0.0002135744435127
800,5.09761,0.000424549813461,40.0,1.4488821708588616e-05,15.86308,1.6416827775074092e-05,113.0,0.0002054477509204
801,4.98438,0.0004032842720795,40.1,1.3631985730803432e-05,15.37251,1.529373605749228e-05,113.0,0.0001939741440662
802,4.94672,0.0003833423449363,40.2,1.2861246640499015e-05,14.84549,1.451542627271754e-05,113.0,0.0001848959283912
803,4.9867,0.0003686070416279,40.0,1.2213127797953357e-05,14.36591,1.4331869305443604e-05,113.0,0.0001761794291737
804,5.07738,0.0003578916455689,39.7,1.172093817824854e-05,13.80768,1.4258052192029508e-05,113.0,0.0001746644428862
805,5.17385,0.000345659956332,39.1,1.146677854239074e-05,13.28742,1.4068158324580962e-05,113.0,0.0001711474937297
806,5.24028,0.0003380897513158,38.4,1.127219430392311e-05,12.80549,1.3364333854145058e-05,113.0,0.0001662426766239
807,5.2619,0.0003214042292939,37.7,1.0860937844219655e-05,12.31924,1.291134373014213e-05,113.0,0.0001589126695101
808,5.23136,0.000314158328585,36.9,1.0611646017126392e-05,11.79987,1.2536605914607416e-05,114.0,0.0001554953365287
809,5.15097,0.0003039378569202,36.2,1.0515227004632436e-05,11.29728,1.2893102202270906e-05,114.0,0.0001508337619084
810,5.03318,0.0002902887486707,35.5,9.895141513654638e-06,10.86281,1.3470992416100924e-05,114.0,0.0001477822971322
811,4.89104,0.0002751593714793,34.9,9.689844867655132e-06,10.4135,1.31768080444954e-05,114.0,0.0001378328645842
812,4.74289,0.0002816220417028,34.1,9.888414385633606e-06,10.08094,1.221642965813706e-05,114.0,0.0001318379911117
813,4.60546,0.0002590826252296,33.5,9.52615780788764e-06,9.77932,1.1402522224592785e-05,115.0,0.0001172228136779
814,4.48413,0.0002443710733443,33.0,9.014000204637448e-06,9.52363,1.0672750847621578e-05,115.0,0.0001070330678051
815,4.38338,0.0002377688092719,32.5,8.915784706039703e-06,9.24491,1.0105283522390163e-05,115.0,9.91103509183018e-05
816,4.29934,0.0002255944034093,32.2,8.613777229986585e-06,9.04754,9.416040795524552e-06,115.0,8.945238755748324e-05
817,3.7795,0.0003740284747125,21.9,5.69248089941882e-05,20.07764,2.6667478087367445e-05,119.0,0.0001538508351194
818,5.26583,0.0003620172211422,22.2,5.5067408286421226e-05,19.11952,2.3454636862734965e-05,119.0,0.0001305301529752
819,3.55134,0.000344130549338,22.5,5.252608089355336e-05,18.11042,2.067155441617261e-05,118.0,0.000113185232377
820,3.46603,0.0003479820839903,22.9,5.304192930727071e-05,17.10268,1.993295432566224e-05,118.0,0.0001003404649952
