,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
130,1.4,33.53,61.9,35.9,4.8,0.0020748792813026
131,1.4,34.314,61.8,35.9,4.8,0.0021067091245914
132,1.4,34.886,61.7,36.0,4.8,0.0021309819421675
133,1.4,35.672,61.5,36.0,4.7,0.002129810677793
134,1.4,36.778,61.2,36.1,4.7,0.0021602578328931
135,1.5,37.595,61.0,36.1,4.7,0.0022466888069994
136,1.4052631578947368,38.503,60.7,36.2,4.942105263157895,0.0022652846602262
137,1.5,38.492,45.4,45.9,5.5,0.0024835417597994
138,1.5,39.616,46.4,45.9,5.4,0.0024518888447542
139,1.5,40.337,47.4,45.9,5.4,0.0024641913564429
140,1.5,41.173,48.4,46.0,5.4,0.0024782374756451
141,1.5,42.095,49.5,46.1,5.3,0.0024593988179717
142,1.5,43.355,50.5,46.2,5.3,0.0024573927103662
143,1.5,44.684,51.6,46.3,5.3,0.0024445616193572
144,1.5,45.528,52.7,46.3,5.2,0.0024649432795965
145,1.5,46.169,53.9,46.3,5.2,0.0024851523965597
146,1.5,47.06,55.0,46.3,5.2,0.0025308512583186
147,1.5,48.016,56.2,46.2,5.1,0.0025440215432862
148,1.5,48.398,57.3,46.0,5.1,0.0025723840492231
149,1.5,48.859,58.5,45.8,5.1,0.002612368780873
150,1.5,49.744,59.5,45.5,5.1,0.0026302518984641
151,1.5,50.359,60.6,45.1,5.0,0.0026475539160473
152,1.5,51.035,61.6,44.8,5.0,0.0026750849157068
153,1.5,51.234,62.5,44.4,5.0,0.0026693331627865
154,1.5,51.697,63.4,44.0,5.0,0.0026563504247461
155,1.5,52.114,64.2,43.5,4.9,0.0026664422948085
156,1.5,52.734,65.1,43.1,5.184210526315789,0.002707061041198
157,1.1,35.743,26.4,31.5,4.5,0.000858671244356
158,1.1,35.48,27.1,31.7,4.5,0.0008563917626059
159,1.1,35.618,27.8,31.9,4.4,0.0008734941966138
160,1.1,35.505,28.6,32.2,4.4,0.0009016598575629
161,1.1,35.568,29.4,32.6,4.4,0.0009184224557895
162,1.1,35.819,30.2,32.9,4.4,0.0009459019545656
163,1.1,35.649,31.1,33.3,4.4,0.0009627578533381
164,1.1,37.124,32.0,33.7,4.4,0.0009799182210879
165,1.1,36.844,33.0,34.1,4.5,0.0010086609844333
166,1.1,36.751,34.1,34.5,4.5,0.0010301107542845
167,1.1,36.629,35.1,34.9,4.5,0.0010471234583284
168,1.1,34.376,36.3,35.3,4.5,0.001066478924378
169,1.1,34.901,37.4,35.6,4.5,0.0010810440717957
170,1.1,34.558,38.5,36.0,4.5,0.0010885116711829
171,1.1,34.46,39.6,36.3,4.5,0.0011009466034702
172,1.1,33.731,40.7,36.7,4.5,0.0011096252037158
173,1.1,33.062,41.8,37.0,4.5,0.0011298759769932
174,1.1,32.37,42.9,37.4,4.5,0.0011545570520437
175,1.1,32.65,43.9,37.7,4.5,0.0011671054940492
176,1.1,31.678,45.0,38.1,4.468421052631579,0.0011762411723904
177,1.1,10.202,24.9,31.4,4.9,0.0005039237334335
178,1.1,10.636,25.4,31.4,4.9,0.0004835690670539
179,1.1,10.774,25.9,31.4,4.9,0.0005064134040073
180,1.1,10.479,26.5,31.4,4.9,0.0005057592534737
181,1.1,9.677,27.1,31.4,4.8,0.0004857785957932
182,1.1,10.436,27.7,31.3,4.8,0.0004650827650807
183,1.1,10.142,28.6,31.5,4.8,0.0004429125359485
184,1.1,10.155,29.5,31.5,4.8,0.0004242669293894
185,1.1,9.896,30.4,31.6,4.8,0.000419943429556
186,1.1,9.695,31.3,31.6,4.7,0.0004211942867878
187,1.1,9.493,32.2,31.6,4.7,0.0004228526879533
188,1.2,9.451,33.1,31.7,4.7,0.0004206782716791
189,1.2,9.57,34.0,31.8,4.7,0.0004181526305164
