,per_capita-Nutritional Deficiencies,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition
144,9.756355747463073e-07,1.04912,0.0001346377093149,5.0,1.219544468432884e-07
145,9.749519013572915e-07,1.02072,0.0001286936509791,5.0,1.2186898766966144e-07
146,9.74388087326122e-07,0.99352,0.0001249652721995,5.0,1.2179851091576524e-07
147,1.0956689424116404e-06,0.96827,0.0001216192526076,5.0,2.434819872025868e-07
148,1.095252930410063e-06,0.94419,0.0001190174851045,5.0,2.4338954009112506e-07
149,1.2165830488860785e-06,0.92059,0.0001177652391321,5.0,2.4331660977721564e-07
150,1.094671310343452e-06,0.89763,0.0001176163507891,5.0,2.4326029118743375e-07
151,1.2160920104943876e-06,0.87495,0.0001196634538326,5.0,2.432184020988776e-07
152,1.215947688957663e-06,0.85223,0.0001275529125716,5.0,2.4318953779153255e-07
153,1.3374630951376407e-06,0.82975,0.000132895196635,5.0,2.431751082068438e-07
154,1.4590655511948409e-06,0.80725,0.0001415293584658,5.0,2.431775918658069e-07
155,1.4590655511948409e-06,0.78604,0.0001423804800374,5.277777777777778,2.431775918658069e-07
156,1.4594632264523818e-06,0.76506,0.0001465544323229,5.277777777777778,2.4324387107539696e-07
157,9.098346747683702e-06,5.57218,0.0006266043221164,47.0,6.971460494978421e-06
158,7.852504187025553e-06,5.36583,0.0005695995574469,44.0,5.860077751511607e-06
159,7.094959519766616e-06,5.18385,0.000538170126196,43.0,5.233986530975372e-06
160,6.579773637317336e-06,5.01191,0.0005203792904741,44.0,4.848254259075932e-06
161,6.180038954845545e-06,4.83395,0.0005043598458148,39.0,4.46336146738845e-06
162,5.778749363062846e-06,4.64797,0.0004854149464972,42.0,4.192426008496574e-06
163,5.15743114633213e-06,4.4539,0.0004594598442971,35.0,3.699896257151311e-06
164,4.658882192177116e-06,4.25446,0.0004300591966445,34.0,3.2168472279318177e-06
165,4.390254556837279e-06,4.06439,0.0004131229537983,32.0,3.073178189786095e-06
166,4.12739441826385e-06,3.88745,0.000396555711081,32.0,2.824006707233161e-06
167,3.977779051144886e-06,3.73206,0.0003843394623741,31.0,2.6876885480708684e-06
168,3.724482374099992e-06,3.59781,0.0003693622377286,30.0,2.553930770811423e-06
169,3.5813600741552204e-06,3.48666,0.0003528693014241,29.0,2.4226847560461784e-06
170,3.441027411537181e-06,3.39407,0.0003362822243093,28.0,2.294018274358121e-06
171,3.406905280806425e-06,3.3194,0.0003216944501512,28.0,2.271270187204284e-06
172,3.1694813706064344e-06,3.25781,0.0003054971075926,27.0,2.0448266907138285e-06
173,3.038662421317635e-06,3.20475,0.000289989683741,26.0,2.02577494754509e-06
174,3.0116260813243443e-06,3.15686,0.0002736564232563,26.0,1.9073631848387515e-06
175,2.9112385452801995e-06,3.10593,0.0002578955800974,34.27777777777778,1.8069756487946069e-06
176,2.863342063235429e-06,3.04867,0.0002422979801096,34.27777777777778,1.777246797870266e-06
177,6.108166465860694e-06,3.22129,5.344645657628107e-05,27.0,4.58112484939552e-06
178,4.463714465113095e-06,3.11012,5.207666875965278e-05,19.0,4.463714465113095e-06
179,5.595728221076031e-06,2.9884,6.015407837656733e-05,25.0,5.595728221076031e-06
180,5.121612693404899e-06,2.8695,6.658096501426369e-05,21.0,5.121612693404899e-06
181,4.716297046536882e-06,2.75851,6.720723291315057e-05,21.0,4.716297046536882e-06
182,4.366974320007511e-06,2.65438,6.659635838011455e-05,19.0,4.366974320007511e-06
183,4.063417760995863e-06,2.55805,6.50146841759338e-05,24.0,4.063417760995863e-06
184,3.796572075073416e-06,2.46928,6.264343923871136e-05,16.0,3.796572075073416e-06
185,3.612416598331786e-06,2.38774,6.050797802205741e-05,18.0,3.612416598331786e-06
186,3.4953882720985e-06,2.30981,5.8547753557649874e-05,19.0,3.4953882720985e-06
187,3.3896007050369468e-06,2.23899,5.592841163310962e-05,18.0,3.3896007050369468e-06
188,3.292980600228039e-06,2.17661,5.433417990376264e-05,15.0,3.292980600228039e-06
189,3.2042347166014606e-06,2.12138,5.2869872823924096e-05,18.0,2.403176037451096e-06
190,2.34131357056563e-06,2.07305,5.072846069558865e-05,17.0,2.34131357056563e-06
191,2.282950393770894e-06,2.02679,4.946392519836936e-05,15.0,2.282950393770894e-06
192,2.2278115538762805e-06,1.97868,5.049706188786236e-05,15.0,2.2278115538762805e-06
193,2.17564094382205e-06,1.92984,5.149016900378851e-05,15.0,2.17564094382205e-06
194,2.834985421087472e-06,1.87817,5.386472300066197e-05,14.0,2.126239065815604e-06
195,2.834985421087472e-06,1.8241,5.599096206647757e-05,18.666666666666668,2.126239065815604e-06
196,2.713674749799188e-06,1.77521,5.630875105833315e-05,18.666666666666668,2.0352560623493912e-06
197,0.0002182280166544,11.05353,0.0006250512293655,434.0,0.0001899648437911
198,0.0001938241938043,9.90312,0.0005831680318711,423.0,0.0001670464872289
199,0.0001698621113314,9.57311,0.0005467018884511,410.0,0.0001445387822474
200,0.0001455869962019,9.88471,0.0005080793066013,395.0,0.000121926686578
201,0.000124204145218,10.48471,0.0004693920459676,372.0,0.0001022475842138
202,0.0001051278817929,11.06643,0.0004358578529507,343.0,8.399546392581103e-05
203,9.047407871233927e-05,11.40156,0.0004040006141535,315.0,7.029895977195946e-05
204,8.110481794319041e-05,11.30811,0.0003825412570725,297.0,6.174873270699674e-05
205,7.146540513878302e-05,10.78096,0.0003533479123112,280.0,5.293807156460536e-05
206,6.3363556993135e-05,9.9876,0.000326648602772,269.0,4.557569737518336e-05
207,5.6322614088747376e-05,9.09261,0.0003047941850106,258.0,3.938675696937423e-05
208,4.859667239047095e-05,8.2027,0.0002780024797546,248.0,3.348037032455363e-05
209,4.216438687617815e-05,7.42757,0.000252570388701,238.0,2.8246166119936773e-05
210,3.8245120536105786e-05,6.81463,0.0002394245978536,227.0,2.458833120902536e-05
211,3.5927199345992665e-05,6.37554,0.0002335087539682,214.0,2.185461038221248e-05
212,3.3754001829001695e-05,6.13991,0.000221700403386,200.0,2.058502864479535e-05
213,3.093242573678464e-05,6.0953,0.0002160959879706,186.0,1.8107496067720475e-05
214,2.926747124188705e-05,6.27736,0.0002157609212425,173.0,1.6321472116094447e-05
215,2.6946475382681214e-05,6.57575,0.0002137723149138,293.44444444444446,1.4430290304889685e-05
216,2.4427877142228268e-05,6.87555,0.0002069987899044,293.44444444444446,1.2663429268188304e-05
217,3.288512130955861e-05,2.51807,0.0004676995030692,50.0,2.1923414206372404e-05
218,2.9100856292696413e-05,2.48861,0.0004765265217929,48.0,2.1825642219522308e-05
219,2.8962630965396896e-05,2.45726,0.0005068460418944,47.0,2.172197322404767e-05
220,2.882394693511369e-05,2.42537,0.0005404490050333,45.0,2.161796020133527e-05
221,2.8692552130780653e-05,2.3914,0.0005487450595011,43.0,2.1519414098085488e-05
222,2.856765356006528e-05,2.35676,0.0005392144609462,42.0,1.7854783475040797e-05
223,2.844879394894153e-05,2.31891,0.0005263026880554,41.0,1.7780496218088456e-05
224,2.8332725360268312e-05,2.27802,0.0005206138284949,40.0,1.7707953350167695e-05
225,2.4691532215394817e-05,2.24151,0.0005079400912881,39.0,1.7636808725282012e-05
226,2.45968747913658e-05,2.20175,0.0004778821388036,38.0,1.7569196279546995e-05
227,2.4505256377492973e-05,2.16253,0.0004761021239055,36.0,1.750375455535212e-05
228,2.0927434122181337e-05,2.12073,0.0004813309848101,35.0,1.395162274812089e-05
229,2.085266549196651e-05,2.07741,0.0004830867505638,34.0,1.390177699464434e-05
230,2.078102000173176e-05,2.03076,0.000484890466707,32.0,1.3854013334487834e-05
231,2.071251035625518e-05,1.98654,0.0004936481634907,31.0,1.3808340237503452e-05
232,2.408776204043991e-05,1.94044,0.0005024018939863,31.0,1.3764435451679949e-05
233,2.401413403317381e-05,1.89087,0.0005111579958489,30.0,1.7152952880838437e-05
234,2.394504953204532e-05,1.84165,0.0005199496469815,27.0,1.7103606808603797e-05
235,2.394504953204532e-05,1.78923,0.0005370532537901,38.27777777777778,1.7103606808603797e-05
236,2.722255116138209e-05,1.73912,0.0005580622988083,38.27777777777778,1.7014094475863805e-05
237,6.478170508836374e-06,2.93903,0.000146605981823,22.0,3.3885814969297955e-06
238,6.600139262938448e-06,2.84075,0.0001503031713969,19.0,3.400071741513746e-06
239,5.9265574967989055e-06,2.74458,0.0001557981470768,18.0,3.013503811931647e-06
240,5.451676440984088e-06,2.64935,0.000149113446358,15.0,2.725838220492044e-06
241,5.478923342861587e-06,2.55761,0.0001474236225403,13.0,2.840923214817119e-06
242,5.6070212139098985e-06,2.46777,0.0001523070853378,11.0,2.854483527081403e-06
243,5.32473947688121e-06,2.38013,0.0001475567228112,9.0,2.7647685745344743e-06
244,5.038703930178783e-06,2.29337,0.0001392327575808,7.0,2.5707673113157054e-06
245,4.749236198926095e-06,2.20747,0.0001407219334594,6.0,2.477862364657093e-06
246,4.871206845641716e-06,2.12033,0.0001463434907669,6.0,2.487424772242578e-06
247,5.305518821484064e-06,2.0296,0.0001478263185358,5.0,2.7047743011487383e-06
248,5.638183953477883e-06,1.93723,0.0001493074639532,5.0,2.8190919767389413e-06
249,5.23950676121671e-06,1.84443,0.0001295206071372,4.0,2.724543515832689e-06
250,5.574048073535366e-06,1.75111,0.0001245221305484,3.0,2.944780114320571e-06
251,5.59446937091353e-06,1.6584,0.0001211783176945,3.0,2.9555687242562048e-06
252,5.191488586247471e-06,1.56676,0.0001201458787102,3.0,2.754667413110903e-06
253,4.998548293952927e-06,1.47714,0.0001209223278771,3.0,2.658802284017514e-06
254,5.018154508550241e-06,1.39157,0.0001227846315921,2.0,2.669231121569277e-06
255,4.91138526368747e-06,1.31263,0.0001223575546127,8.555555555555555,2.669231121569277e-06
256,4.844331706678514e-06,1.24272,0.000124337847138,8.555555555555555,2.583643576895208e-06
257,1.802483295851424e-05,1.44741,0.0005132692974348,8.0,1.5101887073349768e-05
258,1.9919004469533105e-05,1.39615,0.0005133273200611,8.0,1.6809696454776718e-05
259,2.2110227240769702e-05,1.3473,0.0005294817576079,7.0,1.852216404818865e-05
260,2.3909031844894463e-05,1.29992,0.0005378080199604,7.0,2.003712385381844e-05
261,2.473842019675548e-05,1.2548,0.0005210529753941,7.0,2.0679773133225283e-05
262,2.605074221459096e-05,1.21207,0.000526514445426,7.0,2.170895184549247e-05
263,2.659198558020677e-05,1.172,0.0005152678945034,7.0,2.2352683531188304e-05
264,2.77130231771326e-05,1.13423,0.0005146154442753,7.0,2.338286330570563e-05
265,2.8931316573866982e-05,1.09818,0.0005224938102841,7.0,2.4606036687408467e-05
266,2.938257417467614e-05,1.06459,0.0005149632199306,6.0,2.5253650352744525e-05
267,3.02201958594878e-05,1.03313,0.0005094261587742,6.0,2.6286773541268748e-05
268,3.086811196535256e-05,1.0035,0.0005119121673757,6.0,2.7321155000389685e-05
269,3.1997385028078666e-05,0.975,0.0005269030468695,6.0,2.8644365638908743e-05
270,3.25537414398022e-05,0.94759,0.0005338813596127,6.0,2.9394113594174337e-05
271,3.272927406757217e-05,0.92159,0.0005300802604101,6.0,2.976258548249984e-05
272,3.415038855393767e-05,0.89669,0.000558172317121,5.0,3.11849486514949e-05
273,3.366011053138796e-05,0.87278,0.0005623724716906,5.0,3.069572579708959e-05
274,3.422401491478746e-05,0.84899,0.0005760723851299,5.0,3.126048289702653e-05
275,3.4893199563959284e-05,0.82556,0.0005915592298678,6.444444444444445,3.1834069739173814e-05
276,3.5453808752025935e-05,0.8024,0.0006058683220696,6.444444444444445,3.2300235466805294e-05
277,5.645070240802568e-05,4.65727,0.0003709617586813,89.0,5.2418509378880986e-05
278,5.105266671641029e-05,4.56903,0.0003534415388059,88.0,4.7125538507455655e-05
279,4.9751624581895e-05,4.47075,0.0003329531798942,82.0,4.5924576537133846e-05
280,4.47831376559013e-05,4.36967,0.0003246777480052,80.0,4.105120951790952e-05
281,4.3696744592527856e-05,4.26881,0.0003204427936785,75.0,4.00553492098172e-05
282,4.266075104252211e-05,4.16039,0.0003057353824714,70.0,3.910568845564526e-05
283,3.820067858296319e-05,4.04954,0.0002986598507395,65.0,3.472788962087563e-05
284,3.733749702997183e-05,3.93611,0.0002885170225043,61.0,3.3943179118156203e-05
285,3.6512098781823615e-05,3.82448,0.0002755003817173,59.0,3.3192817074385103e-05
286,3.572600105878876e-05,3.71089,0.000272816735358,57.0,3.247818278071705e-05
287,3.497370613184451e-05,3.59975,0.0002734307933944,54.0,3.179427830167683e-05
288,3.114149136602152e-05,3.48921,0.0002740451240209,52.0,2.802734222941937e-05
289,3.0513946399201754e-05,3.37966,0.000265471333673,50.0,2.746255175928158e-05
290,2.9913520013640567e-05,3.27089,0.0002692216801227,48.0,2.692216801227651e-05
291,3.2272828625412215e-05,3.16477,0.0002728520965603,46.0,2.9338935114011103e-05
292,3.454539696979293e-05,3.06458,0.0002821207419199,43.0,3.1666613888976855e-05
293,3.391190816655268e-05,2.97212,0.000279773242374,39.0,3.108591581933996e-05
294,3.3301327057883256e-05,2.87925,0.000283061279992,36.0,3.052621646972632e-05
295,3.60764376460402e-05,2.78927,0.0002997119435209,60.77777777777778,3.3301327057883256e-05
296,3.4828549765978936e-05,2.70182,0.0003000613518299,60.77777777777778,3.214943055321133e-05
297,0.0002513929344081,31.59064,0.0013163381234967,520.0,0.000244292292631
298,0.0002121653351378,30.82878,0.00125661536194,516.0,0.0002057316516464
299,0.0001952017181148,30.10883,0.0012534526569303,511.0,0.0001889733819313
300,0.0001738484255612,29.41039,0.0012061077284399,510.0,0.0001680900392255
301,0.0001631496708242,28.71803,0.0011882822930393,505.0,0.0001575696332227
302,0.0001496584662655,28.01818,0.0011396672207715,500.0,0.0001443869910792
303,0.0001398208201792,27.33413,0.0011071119617396,493.0,0.000134965065961
304,0.0001301014066172,26.68257,0.0010694408103831,486.0,0.0001255110134404
305,0.0001234098095211,26.02756,0.0010493935749782,480.0,0.0001189562741347
306,0.0001196565175494,25.38597,0.0010396013026636,471.0,0.0001152205820129
307,0.000117049340714,24.77743,0.0010325739481294,464.0,0.0001126323844607
