,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Mean total cholesterol,  age-standardized","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in non-pregnant women (aged 15-49) (%)
131,7.4,2.38303,5.775822725960848e-07,4.8,59.6,121.0,7.2
132,7.6,2.34794,5.274490183162825e-07,4.8,59.3,121.0,7.3
133,7.7,2.33158,6.088901263855839e-07,4.7,59.0,121.0,7.5
134,7.9,2.33245,5.595630793737645e-07,4.7,58.6,121.0,7.7
135,8.2,2.34303,5.595630793737645e-07,4.7,58.1,121.0,7.9
136,8.5,2.35634,5.483929345054319e-07,4.942105263157895,57.7,121.0,8.2
137,11.7,3.08639,3.69758078382057e-07,5.5,44.7,120.0,11.5
138,11.5,3.07628,6.148783340240466e-07,5.4,45.6,120.0,11.4
139,11.4,3.05158,2.454496096860307e-07,5.4,46.5,120.0,11.3
140,11.4,3.00342,2.4501828816502864e-07,5.4,47.4,120.0,11.2
141,11.4,2.93186,3.669831610999809e-07,5.3,48.3,120.0,11.2
142,11.3,2.84222,3.665379670411504e-07,5.3,49.2,120.0,11.2
143,11.3,2.75083,2.44114401773247e-07,5.3,50.2,120.0,11.2
144,11.3,2.67629,3.6586334052986523e-07,5.2,51.1,120.0,11.2
145,11.3,2.61621,2.437379753393229e-07,5.2,52.1,120.0,11.2
146,11.3,2.5612,2.435970218315305e-07,5.2,53.1,120.0,11.2
147,11.3,2.50646,2.434819872025868e-07,5.1,54.1,120.0,11.2
148,11.4,2.44984,3.650843101366876e-07,5.1,55.0,120.0,11.3
149,11.5,2.3924,2.4331660977721564e-07,5.1,56.0,120.0,11.3
150,11.6,2.33745,2.4326029118743375e-07,5.1,56.9,120.0,11.5
151,11.8,2.28531,6.080460052471938e-07,5.0,57.7,120.0,11.6
152,12.0,2.24045,4.863790755830651e-07,5.0,58.6,120.0,11.8
153,12.2,2.21086,4.863502164136876e-07,5.0,59.4,120.0,12.0
154,12.5,2.20375,3.647663877987102e-07,5.0,60.2,120.0,12.3
155,12.7,2.21909,3.647663877987102e-07,4.9,60.9,120.0,12.6
156,13.0,2.25427,3.6486580661309546e-07,5.184210526315789,61.7,120.0,12.9
157,41.0,34.28052,6.262498410743328e-06,4.5,28.2,113.0,41.1
158,40.6,32.84092,5.508473086420911e-06,4.5,29.0,113.0,40.6
159,40.2,31.28669,5.117675719175919e-06,4.4,29.7,113.0,40.3
160,40.0,29.78633,4.963688884292026e-06,4.4,30.5,113.0,40.1
161,39.7,28.29331,5.150032462371288e-06,4.4,31.4,113.0,39.8
162,39.2,26.82532,5.438822929941502e-06,4.4,32.3,113.0,39.3
