,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Medical doctors (per 10,000)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
218,8.39183,21.8,0.6,15.413,8.4,5.8
219,8.44198,22.1,0.47,17.858249999999998,8.8,5.6
220,8.45959,22.4,0.62,17.858249999999998,9.1,5.4
221,8.48007,22.5,0.96,17.858249999999998,9.5,5.3
222,8.53042,22.5,0.89,17.698,9.9,5.1
223,8.55103,22.5,1.2,17.858249999999998,10.2,4.9
224,8.50838,22.4,1.4,17.858249999999998,10.6,4.8
225,8.49794,22.2,0.46,17.858249999999998,11.0,4.6
226,8.46461,22.1,0.44,17.858249999999998,11.4,4.5
227,8.40477,21.9,0.48,17.858249999999998,11.8,4.4
228,8.33981,21.8,0.44,17.858249999999998,12.3,4.2
229,8.30298,21.5,0.7,17.858249999999998,12.7,4.1
230,8.1703,21.3,0.89,17.858249999999998,13.2,4.0
231,8.03267,21.1,0.87,17.858249999999998,13.7,3.9
232,7.89507,20.8,0.87,17.858249999999998,14.2,3.8
233,7.75926,20.6,0.87,17.858249999999998,14.7,3.7
234,7.63029,20.3,0.87,24.878,11.152941176470588,4.705882352941177
235,7.51074,20.1,0.87,17.858249999999998,11.152941176470588,4.705882352941177
236,7.40215,20.0,0.87,17.858249999999998,11.152941176470588,4.705882352941177
237,5.00399,24.8,7.9,32.998,14.3,1.5
238,4.76324,24.0,9.1,45.8327,14.7,1.5
239,4.53488,23.4,11.0,45.8327,15.2,1.4
240,4.31477,22.8,12.0,45.8327,15.7,1.4
241,4.07406,22.2,12.0,45.8327,16.1,1.3
242,3.81261,21.4,11.0,45.8327,16.6,1.3
243,3.51496,20.7,11.0,45.8327,17.1,1.2
244,3.18957,19.8,10.0,45.8327,17.6,1.2
245,2.91108,18.9,9.6,45.8327,18.1,1.1
246,2.67479,18.1,8.7,45.8327,18.6,1.1
247,2.47825,17.5,8.9,45.8327,19.1,1.1
248,2.34778,17.1,8.7,47.611,19.6,1.0
249,2.27686,16.9,7.9,48.352,20.1,1.0
250,2.24436,16.8,6.7,48.534,20.6,1.0
251,2.23789,16.8,5.2,50.12,21.1,0.9
252,2.24542,16.9,4.7,51.905,21.6,0.9
253,2.21675,17.1,4.1,43.954,22.1,0.9
254,2.13455,17.3,3.4,44.484,18.129411764705885,1.1647058823529413
255,2.08009,17.5,2.7,44.987,18.129411764705885,1.1647058823529413
256,2.01987,17.8,2.8,45.382,18.129411764705885,1.1647058823529413
257,3.3881,13.8,1.0,28.204,16.3,0.5
258,3.34496,13.6,1.0,28.397,16.7,0.5
259,3.38393,13.6,0.82,28.497,17.1,0.5
260,3.38729,13.6,0.93,28.454,17.5,0.5
261,3.30779,13.6,0.72,28.522,17.9,0.5
262,3.23515,13.8,0.87,28.521,18.3,0.5
263,3.21621,14.0,0.59,28.664,18.7,0.4
264,3.1894,14.2,0.82,28.855,19.1,0.4
265,3.1387,14.3,0.74,29.021,19.6,0.4
266,3.0803,14.5,0.56,29.078,20.0,0.4
267,3.08361,14.6,0.57,29.085,20.4,0.4
268,3.13439,14.9,0.5,29.219,20.8,0.4
269,3.12393,15.2,0.55,29.393,21.3,0.4
270,3.07638,15.3,0.52,29.585,21.7,0.4
271,3.06733,15.6,0.38,29.723,22.2,0.4
272,3.00133,15.9,0.54,30.138,22.6,0.3
273,2.95165,16.4,0.29,30.679,23.1,0.3
274,2.91978,16.8,0.29,30.709,19.605882352941176,0.4235294117647059
275,2.88088,17.1,0.29,31.146,19.605882352941176,0.4235294117647059
276,2.83987,17.4,0.29,31.495,19.605882352941176,0.4235294117647059
277,11.22757,26.1,3.0,10.15,9.7,5.8
278,10.88478,25.7,7.9,10.2534,10.1,5.6
279,10.6042,25.4,6.2,10.2534,10.5,5.4
280,10.27286,25.1,5.3,10.2534,10.8,5.3
281,9.94025,24.8,2.8,10.2534,11.2,5.1
282,9.56019,24.6,1.9,10.2534,11.6,4.9
283,9.219,24.5,5.0,10.2534,12.0,4.8
284,8.98549,24.3,2.5,10.2534,12.4,4.7
285,8.88518,24.0,4.9,10.2534,12.8,4.5
286,8.7796,23.6,3.8,7.658,13.2,4.4
287,8.7331,23.1,3.7,10.2534,13.6,4.3
288,8.77268,22.7,3.4,10.2534,14.0,4.1
289,8.69837,22.3,2.0,11.45,14.5,4.0
290,8.46398,22.0,4.2,10.2534,15.0,3.9
291,8.18798,21.7,1.2,10.2534,15.5,3.8
292,7.80456,21.3,2.1,10.2534,16.0,3.7
293,7.42795,21.0,1.8,10.2534,16.5,3.6
294,7.08268,20.7,1.8,11.229,12.905882352941177,4.582352941176471
295,6.75303,20.4,1.8,10.78,12.905882352941177,4.582352941176471
296,6.5301,20.2,1.8,10.2534,12.905882352941177,4.582352941176471
297,27.18339,80.3,17.0,0.5825714285714286,2.1,13.9
298,26.86895,79.9,17.0,0.5825714285714286,2.2,13.7
299,26.55725,79.4,16.0,0.5825714285714286,2.3,13.5
300,26.31745,78.8,15.0,0.5825714285714286,2.4,13.3
301,26.09417,78.0,13.0,0.401,2.6,13.1
302,25.76675,77.3,12.0,0.5825714285714286,2.7,12.9
303,25.41352,76.4,11.0,0.5825714285714286,2.8,12.7
304,25.21051,75.6,11.0,0.5825714285714286,3.0,12.5
305,24.99914,74.7,10.0,0.623,3.1,12.3
306,24.79832,73.9,10.0,0.5825714285714286,3.3,12.1
307,24.61835,73.2,11.0,0.558,3.5,11.9
308,24.40434,72.7,9.3,0.577,3.6,11.7
309,23.63326,72.3,10.0,0.5825714285714286,3.8,11.5
310,22.48553,72.2,10.0,0.5825714285714286,4.0,11.3
311,21.51965,72.1,9.4,0.5825714285714286,4.2,11.1
312,21.29328,72.0,9.2,0.5825714285714286,4.5,10.9
313,20.95993,71.9,9.4,0.481,4.7,10.7
314,20.71266,71.7,10.0,0.5825714285714286,3.223529411764705,12.3
315,20.51671,71.4,8.8,0.791,3.223529411764705,12.3
316,20.34427,71.0,7.8,0.647,3.223529411764705,12.3
317,16.3421,67.5,26.0,3.268,1.5,17.0
318,16.00699,66.5,23.0,3.268,1.6,16.6
319,15.64444,65.4,23.0,3.268,1.8,16.3
320,15.24389,64.2,22.0,3.268,1.9,15.9
321,14.8376,62.8,20.0,1.847,2.1,15.5
322,14.41392,61.4,20.0,3.268,2.3,15.1
323,13.96036,59.9,18.0,3.268,2.4,14.7
324,13.51825,58.3,19.0,2.166,2.6,14.3
325,13.1041,56.6,18.0,2.546,2.8,13.9
326,12.63904,55.0,21.0,3.268,3.0,13.6
327,12.19791,53.4,25.0,3.268,3.2,13.2
328,11.73805,51.9,23.0,3.268,3.5,12.8
329,11.35195,50.5,21.0,2.765,3.7,12.5
330,10.96132,49.2,20.0,2.858,3.9,12.1
331,10.57608,48.1,20.0,3.393,4.2,11.8
332,10.27688,47.2,18.0,3.448,4.4,11.4
333,10.11033,46.4,21.0,4.059,4.7,11.1
334,9.96096,45.7,16.0,4.024,2.9176470588235297,13.988235294117649
335,9.81703,45.2,16.0,4.242,2.9176470588235297,13.988235294117649
336,9.65581,44.7,18.0,4.6,2.9176470588235297,13.988235294117649
337,15.54396,57.0,29.0,8.435,8.2,2.7
338,15.22882,56.9,27.0,12.038,8.6,2.6
339,14.90819,56.8,25.0,8.435,8.9,2.5
340,14.5625,56.7,23.0,8.435,9.2,2.4
341,14.30194,56.6,21.0,8.435,9.6,2.3
342,13.93524,56.4,20.0,8.435,9.9,2.2
343,13.56199,56.2,19.0,8.435,10.3,2.2
344,13.19552,55.6,18.0,3.316,10.7,2.1
345,12.77768,54.8,17.0,8.435,11.1,2.0
346,12.34585,53.8,16.0,8.435,11.5,1.9
347,11.97503,52.5,15.0,4.385,11.9,1.9
348,11.64363,51.1,14.0,4.671,12.3,1.8
349,11.23778,49.5,13.0,8.435,12.7,1.7
350,10.84702,47.7,13.0,8.435,13.1,1.7
351,10.48291,46.2,12.0,8.435,13.6,1.6
352,10.07493,44.3,12.0,8.435,14.0,1.6
353,9.74816,42.0,11.0,15.901,14.5,1.5
