,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Maternal mortality ratio (per 100 000 live births),per_capita-Lower Respiratory Infections,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Mean Non-HDL cholesterol, age-standardized",Mean BMI (kg/m²) (age-standardized estimate),per_capita-Tuberculosis
198,9.90312,423.0,0.0005831680318711,72.0,3.1,20.5,0.0003976500580736
199,9.57311,410.0,0.0005467018884511,70.0,3.1,20.6,0.0003806536195264
200,9.88471,395.0,0.0005080793066013,69.0,3.1,20.7,0.0003608627927159
201,10.48471,372.0,0.0004693920459676,66.0,3.1,20.7,0.0003359734827959
202,11.06643,343.0,0.0004358578529507,60.0,3.1,20.8,0.0003240766590321
203,11.40156,315.0,0.0004040006141535,54.0,3.1,20.8,0.0003131102017959
204,11.30811,297.0,0.0003825412570725,54.0,3.1,20.9,0.0002967619646934
205,10.78096,280.0,0.0003533479123112,53.0,3.1,20.9,0.0002758675683381
206,9.9876,269.0,0.000326648602772,51.0,3.1,20.9,0.0002566422496304
207,9.09261,258.0,0.0003047941850106,53.0,3.1,21.0,0.0002414640717961
208,8.2027,248.0,0.0002780024797546,54.0,3.1,21.0,0.0002165282567514
209,7.42757,238.0,0.000252570388701,50.0,3.1,21.1,0.0001980335602694
210,6.81463,227.0,0.0002394245978536,47.0,3.1,21.2,0.0001905351251888
211,6.37554,214.0,0.0002335087539682,46.0,3.1,21.2,0.0001889816391443
212,6.13991,200.0,0.000221700403386,42.0,3.1,21.3,0.0001812820133299
213,6.0953,186.0,0.0002160959879706,39.0,3.1,21.3,0.0001769164684956
214,6.27736,173.0,0.0002157609212425,34.0,3.1,20.905882352941177,0.0001757194445307
215,6.57575,293.44444444444446,0.0002137723149138,29.0,3.1,20.905882352941177,0.0001706992164501
216,6.87555,293.44444444444446,0.0002069987899044,24.0,3.1,20.905882352941177,0.0001614060051246
217,2.51807,50.0,0.0004676995030692,0.42,3.1,25.0,7.307804735457469e-06
218,2.48861,48.0,0.0004765265217929,0.6,3.1,25.1,7.275214073174103e-06
219,2.45726,47.0,0.0005068460418944,0.47,3.2,25.2,7.240657741349224e-06
220,2.42537,45.0,0.0005404490050333,0.62,3.2,25.3,7.205986733778423e-06
221,2.3914,43.0,0.0005487450595011,0.96,3.2,25.4,7.173138032695163e-06
222,2.35676,42.0,0.0005392144609462,0.89,3.2,25.4,7.14191339001632e-06
223,2.31891,41.0,0.0005263026880554,1.2,3.2,25.5,7.1121984872353815e-06
224,2.27802,40.0,0.0005206138284949,1.4,3.2,25.6,7.083181340067078e-06
225,2.24151,39.0,0.0005079400912881,0.46,3.2,25.7,7.054723490112805e-06
226,2.20175,38.0,0.0004778821388036,0.44,3.2,25.8,7.027678511818798e-06
227,2.16253,36.0,0.0004761021239055,0.48,3.2,25.9,7.0015018221408496e-06
228,2.12073,35.0,0.0004813309848101,0.44,3.2,25.9,6.975811374060445e-06
229,2.07741,34.0,0.0004830867505638,0.7,3.2,26.0,6.950888497322171e-06
230,2.03076,32.0,0.000484890466707,0.89,3.2,26.1,6.927006667243917e-06
231,1.98654,31.0,0.0004936481634907,0.87,3.3,26.2,6.904170118751726e-06
232,1.94044,31.0,0.0005024018939863,0.87,3.3,26.3,6.882217725839974e-06
233,1.89087,30.0,0.0005111579958489,0.87,3.3,26.4,6.861181152335375e-06
234,1.84165,27.0,0.0005199496469815,0.87,3.3,25.694117647058825,6.84144272344152e-06
235,1.78923,38.27777777777778,0.0005370532537901,0.87,3.3,25.694117647058825,6.84144272344152e-06
236,1.73912,38.27777777777778,0.0005580622988083,0.87,3.2157894736842105,25.694117647058825,6.805637790345522e-06
237,2.93903,22.0,0.000146605981823,7.9,3.8,25.2,6.57783467051078e-05
238,2.84075,19.0,0.0001503031713969,9.1,3.8,25.3,7.330154666263459e-05
239,2.74458,18.0,0.0001557981470768,11.0,3.8,25.4,8.257000444692712e-05
240,2.64935,15.0,0.000149113446358,12.0,3.7,25.5,8.339045815283068e-05
241,2.55761,13.0,0.0001474236225403,12.0,3.7,25.6,8.147361933921953e-05
242,2.46777,11.0,0.0001523070853378,11.0,3.7,25.6,8.58383974929479e-05
243,2.38013,9.0,0.0001475567228112,11.0,3.6,25.7,8.263586072775262e-05
244,2.29337,7.0,0.0001392327575808,10.0,3.6,25.8,7.732868072437642e-05
245,2.20747,6.0,0.0001407219334594,9.6,3.6,25.9,7.52650693264592e-05
246,2.12033,6.0,0.0001463434907669,8.7,3.6,26.0,7.265353188925197e-05
247,2.0296,5.0,0.0001478263185358,8.9,3.5,26.0,7.19886083228818e-05
248,1.93723,5.0,0.0001493074639532,8.7,3.5,26.1,6.974642372080048e-05
249,1.84443,4.0,0.0001295206071372,7.9,3.5,26.2,5.627230261546747e-05
250,1.75111,3.0,0.0001245221305484,6.7,3.4,26.2,4.932506691486956e-05
251,1.6584,3.0,0.0001211783176945,5.2,3.4,26.3,4.285574650171497e-05
252,1.56676,3.0,0.0001201458787102,4.7,3.4,26.4,3.72939588236553e-05
253,1.47714,3.0,0.0001209223278771,4.1,3.3,26.4,3.4458077600866984e-05
254,1.39157,2.0,0.0001227846315921,3.4,3.3,25.858823529411765,3.331200439718458e-05
255,1.31263,8.555555555555555,0.0001223575546127,2.7,3.2,25.858823529411765,3.235108119341964e-05
256,1.24272,8.555555555555555,0.000124337847138,2.8,3.547368421052632,25.858823529411765,3.208024107978216e-05
257,1.44741,8.0,0.0005132692974348,1.0,3.9,25.8,1.3835277189778496e-05
258,1.39615,8.0,0.0005133273200611,1.0,3.9,25.9,1.370038844002033e-05
259,1.3473,7.0,0.0005294817576079,0.82,3.8,26.0,1.318855659975737e-05
260,1.29992,7.0,0.0005378080199604,0.93,3.7,26.0,1.2874094070327788e-05
261,1.2548,7.0,0.0005210529753941,0.72,3.7,26.1,1.2079306736697012e-05
262,1.21207,7.0,0.000526514445426,0.87,3.6,26.2,1.196404457262696e-05
263,1.172,7.0,0.0005152678945034,0.59,3.6,26.2,1.146538508711814e-05
264,1.13423,7.0,0.0005146154442753,0.82,3.5,26.3,1.1739544540313115e-05
265,1.09818,7.0,0.0005224938102841,0.74,3.5,26.3,1.1630197028032909e-05
266,1.06459,6.0,0.0005149632199306,0.56,3.4,26.4,1.0946449202330326e-05
267,1.03313,6.0,0.0005094261587742,0.57,3.4,26.4,1.0457147138679904e-05
268,1.0035,6.0,0.0005119121673757,0.5,3.3,26.5,9.96982498259834e-06
269,0.975,6.0,0.0005269030468695,0.55,3.3,26.5,9.867457059557193e-06
270,0.94759,6.0,0.0005338813596127,0.52,3.3,26.5,9.191644641826502e-06
271,0.92159,6.0,0.0005300802604101,0.38,3.2,26.5,8.42156759633436e-06
272,0.89669,5.0,0.000558172317121,0.54,3.2,26.6,8.418022948869789e-06
273,0.87278,5.0,0.0005623724716906,0.29,3.1,26.6,7.650025120769991e-06
274,0.84899,5.0,0.0005760723851299,0.29,3.1,26.28235294117647,7.743422368988224e-06
275,0.82556,6.444444444444445,0.0005915592298678,0.29,3.1,26.28235294117647,7.839020176012771e-06
276,0.8024,6.444444444444445,0.0006058683220696,0.29,3.452631578947368,26.28235294117647,7.836151799639156e-06
277,4.65727,89.0,0.0003709617586813,3.0,3.2,26.0,6.451508846631506e-05
278,4.56903,88.0,0.0003534415388059,7.9,3.2,26.1,5.890692313431957e-05
279,4.47075,82.0,0.0003329531798942,6.2,3.2,26.2,5.740572067141731e-05
280,4.36967,80.0,0.0003246777480052,5.3,3.3,26.3,5.224699393188485e-05
281,4.26881,75.0,0.0003204427936785,2.8,3.3,26.4,5.097953535794917e-05
282,4.16039,70.0,0.0003057353824714,1.9,3.3,26.5,4.621581362939895e-05
283,4.04954,65.0,0.0002986598507395,5.0,3.3,26.6,4.514625650713832e-05
284,3.93611,61.0,0.0002885170225043,2.5,3.3,26.7,4.412613285360307e-05
285,3.82448,59.0,0.0002755003817173,4.9,3.3,26.8,4.315066219670064e-05
286,3.71089,57.0,0.000272816735358,3.8,3.3,26.9,4.222163761493217e-05
287,3.59975,54.0,0.0002734307933944,3.7,3.3,27.0,4.133256179217988e-05
288,3.48921,52.0,0.0002740451240209,3.4,3.3,27.1,4.048393877582797e-05
289,3.37966,50.0,0.000265471333673,2.0,3.3,27.1,3.661673567904211e-05
290,3.27089,48.0,0.0002692216801227,4.2,3.4,27.2,3.589622401636868e-05
291,3.16477,46.0,0.0002728520965603,1.2,3.4,27.3,3.814061564821443e-05
292,3.06458,43.0,0.0002821207419199,2.1,3.4,27.4,3.742418005060901e-05
293,2.97212,39.0,0.000279773242374,1.8,3.4,27.5,3.956389286097813e-05
294,2.87925,36.0,0.000283061279992,1.8,3.4,26.77058823529412,3.885154823419713e-05
295,2.78927,60.77777777777778,0.0002997119435209,1.8,3.4,26.77058823529412,3.885154823419713e-05
296,2.70182,60.77777777777778,0.0003000613518299,1.8,3.3157894736842106,26.77058823529412,4.018678819151416e-05
297,31.59064,520.0,0.0013163381234967,17.0,2.7,21.7,0.0004154630827058
298,30.82878,516.0,0.00125661536194,17.0,2.7,21.8,0.0003942093339295
299,30.10883,511.0,0.0012534526569303,16.0,2.7,21.9,0.0003809193788593
300,29.41039,510.0,0.0012061077284399,15.0,2.7,21.9,0.0003611330859055
301,28.71803,505.0,0.0011882822930393,13.0,2.7,22.0,0.0003438366026817
302,28.01818,500.0,0.0011396672207715,12.0,2.7,22.1,0.0003227171394558
303,27.33413,493.0,0.0011071119617396,11.0,2.7,22.1,0.0003090251787042
304,26.68257,486.0,0.0010694408103831,11.0,2.7,22.2,0.0002988587557763
305,26.02756,480.0,0.0010493935749782,10.0,2.7,22.3,0.000293464542299
306,25.38597,471.0,0.0010396013026636,10.0,2.8,22.3,0.0002894732292427
307,24.77743,464.0,0.0010325739481294,11.0,2.8,22.4,0.0002835685914657
