,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
181,25.1,1.51698,21.0,1.5327965401244868e-05,7.30297,24.7,3.7
182,25.0,1.45555,19.0,1.4192666540024411e-05,7.00454,24.4,3.7
183,25.0,1.39739,24.0,1.2190253282987588e-05,6.75064,24.1,3.7
184,25.0,1.34205,16.0,1.138971622522025e-05,6.50512,23.7,3.6
185,24.9,1.28967,18.0,9.93414564541241e-06,6.31318,23.3,3.6
186,24.9,1.23941,19.0,9.612317748270877e-06,6.19138,23.0,3.6
187,24.9,1.19291,18.0,9.321401938851605e-06,6.20381,22.6,3.6
188,24.9,1.14931,15.0,9.055696650627108e-06,6.28925,22.4,3.5
189,24.9,1.10942,18.0,8.811645470654017e-06,6.21603,22.3,3.5
190,24.9,1.07137,17.0,8.58481642540731e-06,6.05183,22.3,3.5
191,24.8,1.03631,15.0,8.370818110493277e-06,5.95594,22.4,3.4
192,24.8,1.00503,15.0,7.426038512920935e-06,5.88984,22.5,3.4
193,24.8,0.97427,15.0,7.977350127347517e-06,5.93035,22.7,3.4
194,24.97058823529412,0.94623,14.0,7.796209907990549e-06,6.00362,22.9,3.3
195,24.97058823529412,0.92006,18.666666666666668,7.796209907990549e-06,5.97815,23.1,3.3
196,24.97058823529412,0.8941,18.666666666666668,7.462605561947767e-06,5.90874,23.4,3.573684210526316
197,20.5,6.92189,434.0,0.0004115223908498,41.40262,56.6,3.1
198,20.5,6.2274,423.0,0.0003976500580736,40.28941,55.2,3.1
199,20.6,5.98188,410.0,0.0003806536195264,38.97208,53.9,3.1
200,20.7,6.08174,395.0,0.0003608627927159,37.8517,52.7,3.1
201,20.7,6.32331,372.0,0.0003359734827959,36.67568,51.7,3.1
202,20.8,6.53299,343.0,0.0003240766590321,35.56304,50.6,3.1
203,20.8,6.60892,315.0,0.0003131102017959,34.4124,49.6,3.1
204,20.9,6.45061,297.0,0.0002967619646934,33.2795,48.6,3.1
205,20.9,6.09315,280.0,0.0002758675683381,32.11366,47.7,3.1
206,20.9,5.62478,269.0,0.0002566422496304,30.82405,46.8,3.1
207,21.0,5.11922,258.0,0.0002414640717961,29.65639,46.1,3.1
208,21.0,4.63352,248.0,0.0002165282567514,28.79159,45.4,3.1
209,21.1,4.20253,238.0,0.0001980335602694,28.18036,44.9,3.1
210,21.2,3.8475,227.0,0.0001905351251888,27.91156,44.4,3.1
211,21.2,3.57255,214.0,0.0001889816391443,27.62674,44.0,3.1
212,21.3,3.38396,200.0,0.0001812820133299,26.96289,43.8,3.1
213,21.3,3.28193,186.0,0.0001769164684956,26.36471,43.5,3.1
214,20.905882352941177,3.26364,173.0,0.0001757194445307,25.74755,43.3,3.1
215,20.905882352941177,3.28837,293.44444444444446,0.0001706992164501,25.03614,43.1,3.1
216,20.905882352941177,3.30247,293.44444444444446,0.0001614060051246,24.28319,43.1,3.1
217,25.0,1.00527,50.0,7.307804735457469e-06,8.41036,21.4,3.1
