,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,per_capita-Malaria,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition,Mean hemoglobin level of children aged 6-59 months,per_capita-Meningitis
696,1.70165,0.0001340449613768,0.0,31.944444444444443,4.164118622652329e-06,120.0,6.940197704420549e-06
697,1.65806,0.000253693749249,0.0,11.0,2.2671469995443042e-07,119.0,7.028155698587341e-06
698,1.59338,0.000250725933802,0.0,10.0,2.2527038077452466e-07,119.0,6.758111423235739e-06
699,1.53431,0.0002584233054081,0.0,10.0,2.2316347617283565e-07,119.0,5.802250380493727e-06
700,1.48084,0.0002674653423389,0.0,10.0,2.223319553939845e-07,119.0,5.335966929455627e-06
701,1.43236,0.0002628495515435,0.0,10.0,2.2237694716034649e-07,119.0,5.337046731848315e-06
702,1.38813,0.0002571229278916,0.0,10.0,2.2242467810700586e-07,119.0,5.5606169526751465e-06
703,1.34839,0.0002267089886443,0.0,9.0,2.224818338020655e-07,120.0,5.117082177447506e-06
704,1.31302,0.0002029683226982,0.0,9.0,2.2255298541476762e-07,120.0,5.341271649954421e-06
705,1.28133,0.000174772900983,0.0,9.0,2.2264063819493658e-07,120.0,5.343375316678478e-06
706,1.25158,0.0001432259791879,0.0,9.0,2.227464684104301e-07,120.0,5.345915241850319e-06
707,1.22484,0.0001234710704384,0.0,9.0,2.228719683004742e-07,120.0,4.903183302610433e-06
708,1.19964,0.0001121815315745,0.0,9.0,2.2302491366705602e-07,120.0,4.460498273341119e-06
709,1.17771,0.0001064721923427,0.0,8.0,2.2321214327630338e-07,120.0,4.241030722249764e-06
710,1.15893,0.0001018855302661,0.0,9.0,2.234331804082169e-07,120.0,3.798364066939687e-06
711,1.14084,0.0001049091674506,0.0,8.0,2.2368692420189626e-07,120.0,3.57899078723034e-06
712,1.12413,0.0001148976313618,0.0,8.0,2.2397199095869866e-07,120.0,4.031495837256576e-06
713,1.1077,0.0001141631114987,0.0,7.0,2.242890206262912e-07,120.0,3.812913350646952e-06
714,1.09203,0.000120181939732,0.0,8.0,2.246391396860084e-07,120.0,3.818865374662143e-06
715,1.07636,0.0001248993616654,0.0,9.055555555555555,2.246391396860084e-07,119.0,3.818865374662143e-06
716,1.05893,0.0001307506326189,0.0,9.055555555555555,2.254321252050024e-07,119.0,3.83234612848504e-06
717,1.9574,0.0001728862212943,0.0,14.0,3.2620041753653447e-06,122.0,5.436673625608908e-06
718,1.9641,0.0001661963132296,0.0,9.0,3.2167028367030083e-06,122.0,5.3611713945050135e-06
719,1.9577,0.0001626507423844,0.0,10.0,3.168520955541426e-06,122.0,5.280868259235711e-06
720,1.93687,0.0001575697764582,0.0,9.0,3.109929798518015e-06,122.0,4.146573064690687e-06
721,1.90021,0.0001559981806965,0.0,9.0,3.038925597984585e-06,122.0,4.051900797312779e-06
722,1.84815,0.000155331737143,0.0,12.0,3.957496487721867e-06,122.0,3.957496487721867e-06
723,1.7836,0.0001561545250865,0.0,9.0,3.879615530100967e-06,122.0,3.879615530100967e-06
724,1.70997,0.0001534932586904,0.0,8.0,4.766871387903206e-06,122.0,2.8601228327419235e-06
725,1.62917,0.0001471667586849,0.0,9.0,4.686839448565218e-06,122.0,2.812103669139131e-06
726,1.54588,0.00014196845719,0.0,8.0,4.60936549318367e-06,122.0,2.765619295910202e-06
727,1.46413,0.0001387532341746,0.0,8.0,4.534419417472206e-06,122.0,2.720651650483324e-06
728,1.38393,0.0001329776552915,0.0,8.0,4.462337425891731e-06,122.0,2.677402455535038e-06
729,1.30639,0.0001282872509711,0.0,7.0,4.393399005861673e-06,122.0,1.7573596023446692e-06
730,1.23205,0.0001254973372927,0.0,6.0,4.327494389403524e-06,122.0,1.7309977557614096e-06
731,1.16082,0.0001262305344839,0.0,8.0,5.117454100701262e-06,122.0,1.7058180335670872e-06
732,1.09308,0.0001269764387229,0.0,7.0,5.0454214062094e-06,121.0,2.5227107031047e-06
733,1.03113,0.0001260809157455,0.0,6.0,4.976878253115733e-06,121.0,2.4884391265578665e-06
734,0.97532,0.0001252508086044,0.0,6.0,4.911796415862155e-06,121.0,1.6372654719540515e-06
735,0.92741,0.0001309812377563,0.0,8.5,4.911796415862155e-06,121.0,2.4558982079310777e-06
736,0.88628,0.0001349681786563,0.0,8.5,4.791769656438102e-06,121.0,2.395884828219051e-06
737,1.33029,0.0003151337651028,0.0,8.0,9.367828926956417e-06,122.0,1.1428751290886826e-05
738,1.27459,0.0003355224758982,0.0,8.0,1.1389466349354889e-05,122.0,1.0829328660042352e-05
739,1.21944,0.0003665325628831,0.0,8.0,1.4326399665990224e-05,122.0,9.302856925967678e-06
740,1.16604,0.0003828229830234,0.0,7.0,1.483091459654907e-05,122.0,9.454708055300031e-06
741,1.11362,0.000389035192722,0.0,7.0,1.5147619089842377e-05,122.0,8.312717793206183e-06
742,1.06283,0.0003932010820393,0.0,6.0,1.454254938253992e-05,122.0,8.283730660940461e-06
743,1.01405,0.0004063727316741,0.0,6.0,1.3943263028098796e-05,122.0,7.888951450108529e-06
744,0.96758,0.0004198883711403,0.0,6.0,1.2984352940315868e-05,122.0,6.76649378579841e-06
745,0.92364,0.0004277335427878,0.0,6.0,1.1668775250819413e-05,122.0,6.746010691879973e-06
746,0.88226,0.0004365049786292,0.0,6.0,1.0908079432634428e-05,122.0,6.726648983457897e-06
747,0.84291,0.0004313240233339,0.0,5.0,9.609152264269815e-06,122.0,6.708276109018552e-06
748,0.80567,0.0004251442343859,0.0,5.0,8.499267977940964e-06,122.0,6.329242111232633e-06
749,0.77089,0.0004215783916631,0.0,5.0,7.937291071106764e-06,122.0,5.772575324441282e-06
750,0.73882,0.0004218519299725,0.0,4.0,7.73875127509425e-06,122.0,5.75907071634921e-06
751,0.7088,0.0004122765765314,0.0,4.0,7.541644692648351e-06,122.0,5.386889066177393e-06
752,0.68097,0.000414404507173,0.0,4.0,7.524854864361804e-06,121.0,5.195733120630769e-06
753,0.65507,0.0004222543412018,0.0,4.0,7.86587257107665e-06,121.0,5.363094934824989e-06
754,0.63052,0.0004284734713914,0.0,4.0,8.205570226480873e-06,121.0,5.529840804802328e-06
755,0.60725,0.0004336465482733,0.0,5.722222222222222,8.38395218792611e-06,121.0,5.529840804802328e-06
756,0.58391,0.0004392385489817,0.0,5.722222222222222,8.525455055044245e-06,121.0,5.506023056382742e-06
757,22.0221,0.000942612665368,2.838294871948086e-05,507.0,0.0005601897773581,103.0,0.0001792607287546
758,21.54359,0.0009220912278676,2.597440078500411e-05,490.0,0.000528146149295,104.0,0.0001789347609633
759,21.02992,0.0009059804481322,3.210716534212977e-05,470.0,0.0005262783188688,104.0,0.000180079318658
760,20.49218,0.00096268404999,0.0002185944233812,449.0,0.0005385240099192,105.0,0.000192536809998
761,19.96225,0.0010723852433706,2.281670730575757e-05,426.0,0.0005567276582604,105.0,0.0002205615039556
762,19.42509,0.0010519207683073,4.351740696278512e-05,393.0,0.0005582232893157,106.0,0.000219087635054
763,18.89018,0.00104396583331,0.0001442999318256,361.0,0.0005124120028094,106.0,0.0002193947943063
764,18.36033,0.0010239364957753,2.3042171494241616e-05,335.0,0.0005184488586204,107.0,0.000203059136293
765,17.84358,0.0009898532986649,1.2690426905961117e-05,320.0,0.0004935166018984,107.0,0.0001974066407593
766,17.33358,0.0009536006359177,0.0001131624488353,299.0,0.0004650700641161,107.0,0.0001918241510746
767,16.8357,0.0009331179914871,3.6460471447399694e-05,283.0,0.0004267225547177,107.0,0.0001917550720566
768,16.34423,0.0008942322679156,1.3208748418252378e-06,272.0,0.0004134338254912,108.0,0.0001862433526973
769,15.85203,0.00086132421819,0.0,262.0,0.0003925675597148,108.0,0.0001523781975208
770,15.39426,0.0008331250520703,3.1557767123875595e-05,256.0,0.0003521846811024,108.0,0.0001502149715096
771,14.94714,0.0007788402316031,0.0002135330587438,256.0,0.0003159795551353,108.0,0.0001407096456462
772,14.47546,0.0007484993794698,0.0001738450171671,247.0,0.0003150940936155,108.0,0.000138834562321
773,14.03497,0.0007228172866714,0.0002220419115918,246.0,0.0002881820554703,108.0,0.0001346424357525
774,13.61768,0.0007003618536243,0.0001652669060532,248.0,0.0002577239164327,108.0,0.0001317512397907
775,13.19898,0.0006911161525864,0.0001028584240471,340.0,0.000242699652246,108.0,0.0001294398145312
776,12.80593,0.0006567784408323,0.0001074325611479,340.0,0.0002215104353566,108.0,0.0001218307394461
777,5.08175,0.00035931690578,9.51322040347946e-05,122.0,9.103444862451206e-05,115.0,2.113156221380995e-05
778,4.99541,0.0003508558832735,6.81757877450973e-05,117.0,8.488321075812347e-05,116.0,1.8370247104370005e-05
779,4.91119,0.0003706943616023,3.1963131074018113e-05,110.0,8.403964706778421e-05,116.0,1.8554207794186123e-05
780,4.82921,0.0003746314969939,1.583273170227642e-05,100.0,7.832230561899059e-05,116.0,1.7744897366802555e-05
781,4.74838,0.0003738667864317,7.405524581180183e-06,94.0,7.181114745386845e-05,116.0,1.660632784870708e-05
782,4.67043,0.0003748265850641,2.342208694015173e-06,94.0,6.602100756255271e-05,116.0,1.5517132597850527e-05
783,4.59364,0.00037400148609,1.5089397133316331e-06,90.0,6.035758853326533e-05,116.0,1.4658271500935868e-05
784,4.51193,0.0003716318607571,9.904523225965472e-07,85.0,5.532383687646428e-05,117.0,1.4007825705294023e-05
785,4.42215,0.0003678296981936,2.786588622679111e-07,82.0,5.078557764832681e-05,117.0,1.3236295957725778e-05
786,4.32333,0.0003590176174583,4.117174512137122e-07,80.0,4.618097411113805e-05,117.0,1.2420143111613653e-05
787,4.21676,0.0003531971099497,2.0283141842444882e-07,78.0,4.354114448844835e-05,117.0,1.0547233758071338e-05
788,4.11575,0.000337035010128,1.999021412384591e-07,76.0,4.00470622947713e-05,118.0,8.862328261571685e-06
789,4.00312,0.0003399966368184,6.568714003447263e-08,71.0,3.921522260058015e-05,118.0,8.276579644343549e-06
790,3.89188,0.000343341712961,1.295384693306987e-07,67.0,3.918538697253636e-05,118.0,7.96661586383797e-06
791,3.78814,0.000337540645892,0.0,65.0,3.851949460123412e-05,118.0,7.665571064922213e-06
792,3.68944,0.0003261829361959,6.301834161436354e-08,63.0,3.6865729844402674e-05,118.0,7.499182652109262e-06
793,3.58707,0.0003272851599593,1.865581379209389e-07,61.0,3.6876325262372257e-05,118.0,7.337953424890263e-06
794,3.49067,0.0003307365277808,1.2276782768405921e-07,59.0,3.707588396058588e-05,118.0,7.304685747201522e-06
795,3.39661,0.0003338671073867,1.2276782768405921e-07,84.11111111111111,3.768972309900617e-05,118.0,7.181917919517464e-06
796,3.29368,0.0003254455688693,5.986857411136778e-08,84.11111111111111,3.687904165260254e-05,118.0,7.064491745141396e-06
797,5.82564,0.0004750259321309,0.0,64.0,1.339808861302434e-05,113.0,2.021223677360029e-05
798,5.5314,0.000456423854063,0.0,63.0,1.3113210840422528e-05,113.0,1.9467034649699426e-05
799,5.28409,0.0004357783059642,0.0,60.0,1.2510452328561233e-05,113.0,1.8508413021925488e-05
800,5.09761,0.000424549813461,0.0,57.0,1.2402546487391646e-05,113.0,1.782686206250377e-05
801,4.98438,0.0004032842720795,0.0,54.0,1.1590004397160356e-05,113.0,1.6941403754293934e-05
802,4.94672,0.0003833423449363,0.0,52.0,1.08624462515683e-05,113.0,1.6210960395741523e-05
803,4.9867,0.0003686070416279,0.0,50.0,1.0256328316513314e-05,113.0,1.5694881358032874e-05
804,5.07738,0.0003578916455689,0.0,47.0,9.791674396935928e-06,113.0,1.5235898218174256e-05
805,5.17385,0.000345659956332,0.0,45.0,9.525450346726392e-06,113.0,1.472820991110684e-05
806,5.24028,0.0003380897513158,0.0,45.0,9.306851090078247e-06,113.0,1.4416743446074889e-05
807,5.2619,0.0003214042292939,0.0,45.0,8.922372279347496e-06,113.0,1.3806066298544664e-05
808,5.23136,0.000314158328585,0.0,42.0,8.68668611964537e-06,114.0,1.358436889678063e-05
809,5.15097,0.0003039378569202,0.0,42.0,8.5675201844562e-06,114.0,1.316793199898289e-05
810,5.03318,0.0002902887486707,0.0,40.0,8.019285302535276e-06,114.0,1.2685477627694692e-05
811,4.89104,0.0002751593714793,0.0,39.0,7.791003533732215e-06,114.0,1.0645019599264842e-05
812,4.74289,0.0002816220417028,0.0,39.0,7.899430463494731e-06,114.0,1.045346663624124e-05
813,4.60546,0.0002590826252296,0.0,38.0,7.527663162876248e-06,115.0,9.459541319720594e-06
814,4.48413,0.0002443710733443,0.0,37.0,7.093341565392664e-06,115.0,8.981261705104865e-06
815,4.38338,0.0002377688092719,0.0,47.72222222222222,6.9733004004398655e-06,115.0,8.62113821024647e-06
816,4.29934,0.0002255944034093,0.0,47.72222222222222,6.692567112514087e-06,115.0,8.06486005356587e-06
817,3.7795,0.0003740284747125,1.709453723549195e-07,73.0,5.675386362183328e-05,119.0,1.5897919629007515e-05
818,5.26583,0.0003620172211422,1.699611366864853e-07,75.0,5.489744714973474e-05,119.0,1.4956580028410703e-05
819,3.55134,0.000344130549338,1.6943897062436565e-07,68.0,5.235664192292899e-05,118.0,1.2369044855578691e-05
820,3.46603,0.0003479820839903,1.689233417429004e-07,66.0,5.2873005965527816e-05,118.0,1.2331403947231727e-05
821,3.39771,0.0003555108649006,1.6848856156428828e-07,64.0,5.408482826213653e-05,118.0,1.246815355575733e-05
822,3.34312,0.0003540835707741,1.678916883708647e-07,62.0,5.406112365541843e-05,118.0,1.2256093251073122e-05
823,3.2987,0.000352543581002,1.674791358679514e-07,60.0,5.392828174948036e-05,118.0,1.20584977824925e-05
824,3.25995,0.0003450494102731,1.6717510187650708e-07,58.0,5.266015709109973e-05,118.0,1.153508202947899e-05
825,3.22434,0.0003358057314729,1.664877201154959e-07,57.0,5.061226691511074e-05,118.0,1.1154677247738223e-05
826,3.19059,0.0003505457835344,1.6582108965681006e-07,57.0,5.206782215223835e-05,118.0,1.1773297365633511e-05
827,3.15908,0.0003283177441613,1.652328858386164e-07,54.0,4.8578468436553214e-05,117.0,9.58350737863975e-06
828,3.13288,0.000334169223031,1.646965120902063e-07,53.0,4.792668501825002e-05,117.0,9.387701189141757e-06
829,3.11831,0.0003190137794907,1.6418619634107778e-07,52.0,4.416608681574992e-05,117.0,8.537682209736044e-06
830,3.12049,0.000338703366898,1.6370389893576094e-07,50.0,4.5182276106270025e-05,117.0,8.67630664359533e-06
831,3.13788,0.0003653572142214,1.6325165961637165e-07,49.0,4.734298128874778e-05,117.0,9.142092938516812e-06
832,3.16677,0.0003675087725011,1.6283064798456365e-07,48.0,4.738371856350802e-05,118.0,8.955685639151001e-06
833,3.2001,0.0003631833442429,1.6242546701382405e-07,47.0,4.645368356595368e-05,118.0,8.770975218746497e-06
834,3.22273,0.000365197016013,1.6202174623473612e-07,46.0,4.650024116936927e-05,118.0,8.587152550441015e-06
835,3.22294,0.000368599472684,0.0,57.72222222222222,4.682428466183874e-05,118.0,8.587152550441015e-06
836,3.2014,0.0003714733011626,0.0,57.72222222222222,4.6917851839550624e-05,118.0,8.383946033184303e-06
837,30.62983,0.0012248643391531,0.0023398571262892,454.0,0.0002421243461116,96.0,0.0002156737872927
838,29.82101,0.0010673645385921,0.0022454187330382,421.0,0.0001956834987418,97.0,0.0001937068977445
839,28.96256,0.0009505265340922,0.0021660483443556,392.0,0.0001632217280764,97.0,0.000174743261823
840,28.12889,0.000871387334469,0.002175669447518,370.0,0.0001399444327305,98.0,0.0001679333192766
841,27.24702,0.0008251498417707,0.0019912407170642,357.0,0.0001251326133674,99.0,0.0001577759038111
842,26.37883,0.0007915632404377,0.0018317020196321,344.0,0.0001163545075031,99.0,0.0001551393433374
843,25.49938,0.0007508292549133,0.001693651378663,331.0,0.000104567544634,100.0,0.0001491373177567
844,24.5706,0.0007019439345208,0.0016456500317625,322.0,9.170288930794332e-05,100.0,0.0001383879965919
845,23.68444,0.000647244991151,0.0016140570581336,314.0,7.78640590858435e-05,101.0,0.0001265290960144
846,22.81229,0.0006125274492809,0.001417653735707,310.0,6.946187569165873e-05,101.0,0.0001199796034674
847,22.00941,0.0005839846811597,0.0014077104419534,308.0,6.454567528607566e-05,101.0,0.0001137233326468
848,21.27993,0.0005806427475775,0.0013752852706797,308.0,6.135657899659546e-05,102.0,0.0001122376445059
849,20.57331,0.0005554008726062,0.0013688226230373,305.0,5.539431275337432e-05,102.0,0.0001049576452169
850,19.8818,0.0005255674352735,0.0013025549679616,300.0,4.971583847182035e-05,102.0,9.51703193603418e-05
851,19.24676,0.0004956704981903,0.0012308689186906,295.0,4.569029731922565e-05,102.0,8.307326785313753e-05
852,18.58378,0.000490048505352,0.0011636964507258,296.0,4.319986824040187e-05,103.0,8.639973648080374e-05
853,17.96602,0.0004753433730418,0.001048125553854,301.0,3.950221936635807e-05,103.0,7.768769808717086e-05
854,17.35659,0.0004625121088239,0.0009687059168146,301.0,3.725791987748568e-05,103.0,7.451583975497136e-05
855,16.77065,0.0004637968646818,0.0009353022645106,334.94444444444446,3.725791987748568e-05,103.0,7.19463280392827e-05
856,16.22273,0.0004444520628452,0.000940328331309,334.94444444444446,3.55071895936998e-05,104.0,6.734122164322376e-05
857,19.58374,0.0011064229232532,0.0001100704975329,1280.0,0.0004705394645618,104.0,0.0002003664251627
858,18.23672,0.0010772267623422,0.0002434306571867,1180.0,0.0004345329439364,105.0,0.0002010147093435
859,16.99123,0.001072928508869,5.215932966161247e-05,1130.0,0.0004212698199903,106.0,0.0002093031824293
860,15.84801,0.0010333994181303,6.234013372703361e-05,1060.0,0.0003891471146305,106.0,0.0002070203075645
861,14.84232,0.0010241807318307,1.874743878400852e-05,938.0,0.0003863602601573,107.0,0.00021090868632
862,13.92821,0.0009923934257042,2.978561067011312e-05,804.0,0.0003597943964389,107.0,0.0002081047632911
863,13.09648,0.0009596630823135,1.898614011771407e-05,705.0,0.0003382984966429,107.0,0.000203861282274
864,12.37292,0.0009323072167857,2.557078852845898e-05,635.0,0.0003146886821823,108.0,0.0002008333463986
865,11.67564,0.0009022131120427,1.599410835208703e-05,605.0,0.0002980720192888,108.0,0.0001721184160162
866,11.04054,0.0008549418044584,1.859339052778313e-05,583.0,0.0002709322619762,108.0,0.0001634447567347
867,10.47852,0.0008303147393467,5.731070550168963e-05,567.0,0.0002494396670178,109.0,0.000159158043592
868,10.00196,0.0007972072994893,7.778453481817613e-05,558.0,0.0002358790763642,109.0,0.0001528752329326
869,9.57686,0.0007672724614084,4.501769902053645e-05,549.0,0.0002183522700667,109.0,0.0001477040562754
870,9.21532,0.0007473913491256,3.2244185699559264e-05,540.0,0.0002018068935823,109.0,0.0001448582073965
871,8.86537,0.000723263200572,4.435178456379236e-05,530.0,0.0001899447451989,109.0,0.0001404211977708
872,8.56973,0.0006898306582926,3.431536030592144e-05,518.0,0.0001803088351788,109.0,0.0001075418881015
873,8.26857,0.0006727106749295,4.8093569410332384e-05,498.0,0.0001709494165021,109.0,0.0001048769426393
874,8.00051,0.0006494370861121,4.925753068480282e-05,480.0,0.000159353975757,109.0,0.0001013004574499
875,7.74577,0.0006453322918883,5.321572511483162e-05,731.1111111111111,0.0001511443873096,109.0,0.0001007140582751
876,7.48987,0.0006225557763027,4.652652110097211e-05,731.1111111111111,0.000141406888905,109.0,9.74105109455398e-05
877,3.11875,0.0002297376135552,0.0,29.0,2.174172998945526e-06,118.0,1.2320313660691317e-05
878,2.9412,0.0002386890932223,0.0,27.0,2.189808194700226e-06,119.0,1.2408913103301282e-05
879,2.77089,0.0002271855024769,0.0,25.0,2.205684490067802e-06,119.0,1.1763650613694947e-05
880,2.61075,0.0002095175765257,0.0,20.0,1.4806895867543432e-06,119.0,1.1105171900657574e-05
881,2.4595,0.0001967705774322,0.0,18.0,1.4906861926682091e-06,119.0,1.0434803348677464e-05
882,2.3207,0.0001800594646381,0.0,18.0,1.5004955386516398e-06,119.0,9.753221001235658e-06
883,2.19172,0.0001729172345626,0.0,16.0,1.510194188319705e-06,119.0,9.06116512991823e-06
884,2.07175,0.000171744007198,0.0,17.0,1.519858470779201e-06,120.0,9.119150824675208e-06
885,1.96042,0.0001583046868129,0.0,14.0,1.5295138822503735e-06,120.0,8.412326352377057e-06
886,1.85822,0.0001539206277498,0.0,14.0,7.69603138749441e-07,120.0,6.92642824874497e-06
887,1.76268,0.0001456043743271,0.0,11.0,7.74491352804046e-07,120.0,6.195930822432368e-06
888,1.67305,0.0001535508038813,0.0,13.0,7.794457049813595e-07,120.0,6.235565639850876e-06
889,1.58893,0.0001616055115324,0.0,12.0,7.844927744293011e-07,120.0,4.706956646575807e-06
890,1.50862,0.0001642483466587,0.0,10.0,7.896555127825487e-07,120.0,4.737933076695291e-06
891,1.43365,0.0001772766334292,0.0,11.0,7.94962481745674e-07,120.0,4.769774890474044e-06
892,1.36386,0.0001768973643093,0.0,10.0,8.004405624855921e-07,120.0,4.8026433749135525e-06
893,1.29688,0.0001837959671295,0.0,11.0,8.061226628488698e-07,120.0,4.836735977093219e-06
894,1.23175,0.0001835211041149,0.0,9.0,8.120402836943935e-07,120.0,4.872241702166361e-06
895,1.17072,0.0001827090638312,0.0,15.833333333333334,8.120402836943935e-07,120.0,4.872241702166361e-06
896,1.11526,0.000184729774976,0.0,15.833333333333334,8.246864954287627e-07,120.0,4.948118972572576e-06
897,42.25764,0.0014391187065888,0.0002396167478563,1030.0,0.00056175516595,100.0,0.0003730852245159
898,39.74553,0.0013390433343647,0.0003733671614144,988.0,0.0005136369452008,101.0,0.0003536159659831
899,37.313,0.0012528291203672,0.0003774898048421,985.0,0.0004630629599025,102.0,0.0003328480423736
900,34.93324,0.0011587545951127,0.0004542104273446,972.0,0.0004080376017621,103.0,0.0003160614468929
901,32.62172,0.0010639726130442,0.0005374105238185,929.0,0.0003548043862038,103.0,0.0002958676495385
902,30.30475,0.0010109856061384,0.0003970109693885,865.0,0.0003341944662368,104.0,0.0002858217577588
903,28.03334,0.0009366837442547,0.0003433086082928,795.0,0.000296532552053,105.0,0.000267880441382
904,25.87052,0.0008808568876523,0.0002809629727856,731.0,0.0002660760260108,106.0,0.000244658838718
905,23.8208,0.0008204025836139,0.0002109156671695,681.0,0.0002335942501069,106.0,0.000228978576977
906,21.89475,0.0007517011090069,0.0002560849625802,638.0,0.0002023995681892,107.0,0.0002097554996322
907,20.0838,0.0006847359577432,0.00025379064627,597.0,0.0001764388658247,107.0,0.000191663804984
908,18.46037,0.0006372688363995,0.0001924318375113,558.0,0.0001623901541805,107.0,0.0001615428246506
909,16.94151,0.000585646421561,0.00019155582771,527.0,0.0001428327912367,108.0,0.0001473735948984
910,15.56515,0.0005406013495299,0.0001880554559853,498.0,0.0001257661522401,108.0,0.000134977368908
911,14.31815,0.0005236564314327,0.0001022578861441,472.0,0.0001193875829229,108.0,0.0001303037623537
912,13.2655,0.0004867250630731,9.90263171673412e-05,446.0,0.0001059881203325,108.0,0.0001208522488175
913,12.41915,0.0004565167233656,7.375086446763791e-05,422.0,9.480106023821756e-05,108.0,0.0001131166100403
914,11.74034,0.0004407931591423,6.781923721950346e-05,401.0,9.064731088935917e-05,108.0,0.0001094399349838
915,11.16447,0.0004326129475878,9.40815422435234e-05,696.3888888888889,8.489930032045296e-05,108.0,0.000106515828181
916,10.65239,0.0003964929474762,0.0001122145004152,696.3888888888889,7.36707377192259e-05,107.0,9.662058975776192e-05
917,8.03507,0.0002857380676404,0.0,51.0,2.8573806764041232e-05,114.0,3.1058485613088295e-05
918,7.64848,0.0002762948855843,0.0,49.0,2.713610483417373e-05,114.0,3.083648276610651e-05
919,7.27287,0.0002657135265327,0.0,48.0,2.571421224510787e-05,113.0,2.816318483988005e-05
920,6.91943,0.0002623976831256,0.0,48.0,2.551088585943745e-05,113.0,2.672568994798209e-05
921,6.59095,0.0002542713979624,0.0,47.0,2.41015543092374e-05,113.0,2.6511709740161144e-05
922,6.29563,0.0002546147427912,0.0,46.0,2.390748758603707e-05,113.0,2.5102861965338923e-05
923,6.03474,0.0002559408492259,0.0,44.0,2.251331544117212e-05,113.0,2.488313811919023e-05
924,5.80571,0.0002558343132491,0.0,43.0,2.1123934121490785e-05,112.0,2.464458980840592e-05
925,5.60784,0.0002533307767842,0.0,42.0,2.091722010144852e-05,112.0,2.324135566827613e-05
926,5.44113,0.000245250996548,0.0,40.0,2.072543632800536e-05,112.0,2.072543632800536e-05
927,5.29957,0.0002431554037007,0.0,39.0,2.054834397471184e-05,112.0,2.054834397471184e-05
928,5.18714,0.0002400566171266,0.0,38.0,2.038216560509554e-05,112.0,1.924982307147912e-05
929,5.09819,0.0002348164218696,0.0,38.0,2.022342389307651e-05,112.0,1.5729329694615065e-05
930,5.02992,0.0002330617624821,0.0,37.0,2.0072304902771983e-05,113.0,1.5611792702155988e-05
931,4.97572,0.000231397675173,0.0,36.0,1.992898637853781e-05,113.0,1.4393156828943974e-05
932,4.93705,0.0002320239193568,0.0,35.0,1.979350970816669e-05,113.0,1.5394951995240762e-05
933,4.9058,0.0002327098239599,0.0,34.0,1.966561892619165e-05,113.0,1.5295481387037954e-05
934,4.87321,0.0002323717774703,0.0,34.0,1.9545289693768743e-05,113.0,1.411604255661076e-05
935,4.83227,0.0002334576268977,0.0,41.61111111111112,1.9545289693768743e-05,113.0,1.411604255661076e-05
936,4.77097,0.0002319351011226,0.0,41.61111111111112,1.932792509355253e-05,113.0,1.395905701201016e-05
937,1.42337,0.0005496658182736,0.0,6.0,3.869523535893217e-07,123.0,5.610809127045164e-06
938,1.37824,0.0004953372472568,0.0,5.0,5.791160334258053e-07,123.0,5.405082978640849e-06
939,1.33364,0.0004459816304094,0.0,5.0,5.776964124475091e-07,123.0,5.391833182843418e-06
940,1.28973,0.0003812155279998,0.0,5.0,5.764347701610463e-07,123.0,5.1879129314494165e-06
941,1.24642,0.0003072195442258,0.0,5.0,5.753174985501999e-07,123.0,4.986084987435066e-06
942,1.20423,0.0002417945867877,0.0,5.0,5.743339353629274e-07,123.0,4.786116128024394e-06
943,1.16223,0.0001944040683782,0.0,4.0,5.734633285493748e-07,123.0,4.587706628394999e-06
944,1.12132,0.000167224718715,0.0,4.0,7.635831904796448e-07,123.0,4.390603345257958e-06
945,1.08124,0.0001447161723087,0.0,4.0,7.626675747495257e-07,123.0,4.194671661122392e-06
946,1.04218,0.0001329454171448,0.0,4.0,7.618648546980872e-07,123.0,3.999790487164958e-06
947,1.00431,0.0001229289516329,0.0,4.0,7.611699791515543e-07,123.0,3.6155574009698826e-06
948,0.96786,0.000116936825593,0.0,4.0,7.605647193040832e-07,123.0,3.6126824166943954e-06
949,0.93277,0.0001140049364137,0.0,4.0,7.600329094249781e-07,123.0,3.230139865056157e-06
950,0.89924,0.0001129865399799,0.0,4.0,9.494667225206292e-07,123.0,3.2281868565701388e-06
951,0.86666,0.0001131187581837,0.0,3.0,7.591862965355102e-07,123.0,3.036745186142041e-06
952,0.83548,0.0001151591567845,0.0,3.0,9.485927247491256e-07,123.0,3.035496719197202e-06
953,0.80592,0.0001198662126164,0.0,3.0,9.483086441177836e-07,123.0,2.844925932353352e-06
954,0.77681,0.0001302748761962,0.0,3.0,9.481432037569226e-07,123.0,3.0340582520221525e-06
955,0.74896,0.00013880816503,0.0,4.166666666666667,9.481432037569226e-07,122.0,3.0340582520221525e-06
956,0.72272,0.0001469688852647,0.0,4.166666666666667,1.1378236278558188e-06,122.0,3.03419634094885e-06
957,1.38907,0.0003225894884046,0.0,10.0,5.024819533410176e-05,123.0,5.136046007457015e-06
958,1.33491,0.0003070464167909,0.0,10.0,5.084637913272408e-05,123.0,5.172472349394196e-06
959,1.27442,0.0003035792658563,0.0,10.0,5.177182898275294e-05,123.0,4.900613615049717e-06
960,1.20892,0.000298175726868,0.0,9.0,5.280563767978687e-05,123.0,4.873624190367171e-06
