,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,per_capita-Malaria,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition,Mean hemoglobin level of children aged 6-59 months,per_capita-Meningitis
17,4.29955,0.0005225478400834,1.4812555770669888e-05,1014.3333333333334,3.3817344306623704e-05,110.0,4.368306541425855e-05
18,3.89859,0.0002770432174754,0.0,23.0,6.6490372194106295e-06,114.0,1.5197799358652868e-05
19,3.78719,0.0002372121245446,0.0,23.0,4.795393353329058e-06,115.0,1.3427101389321362e-05
20,3.67789,0.0002165893917033,0.0,21.0,3.5506457656289743e-06,115.0,1.258865316904818e-05
21,3.57194,0.0002032795109564,0.0,21.0,2.9319160234097205e-06,116.0,1.1727664093638882e-05
22,3.46361,0.0001838694001917,0.0,18.0,2.2983675023968688e-06,116.0,1.0835161082728096e-05
23,3.35452,0.000165645407076,0.0,22.0,1.9837773302523067e-06,116.0,9.918886651261532e-06
24,3.24281,0.0001467173734329,0.0,18.0,1.6634622838206003e-06,117.0,9.315388789395362e-06
25,3.13393,0.0001313689277387,0.0,19.0,1.3370883230405388e-06,117.0,8.022529938243233e-06
26,3.02643,0.0001253300385607,0.0,20.0,1.3404282199012709e-06,118.0,7.037248154481671e-06
27,2.91963,0.0001196966344122,0.0,20.0,1.3411387609218988e-06,118.0,5.699839733918069e-06
28,2.81678,0.0001175110949221,0.0,21.0,1.3391577768909575e-06,118.0,5.356631107563831e-06
29,2.71469,0.000119879772943,0.0,22.0,1.3357077765240676e-06,118.0,4.34105027370322e-06
30,2.61688,0.0001228828926033,0.0,17.0,1.332063876459068e-06,118.0,4.32920759849197e-06
31,2.52107,0.0001271831586917,0.0,16.0,1.3282836416888465e-06,118.0,4.316921835488751e-06
32,2.42743,0.0001327722684092,0.0,16.0,1.3244116549550048e-06,118.0,4.304337878603765e-06
33,2.33726,0.0001379866753728,0.0,15.0,1.3204466542852783e-06,117.0,4.621563289998475e-06
34,2.25042,0.0001415128180994,0.0,16.0,1.316398307901615e-06,117.0,4.607394077655652e-06
35,2.16659,0.0001443575710788,0.0,15.0,1.312341555262539e-06,116.0,4.265110054603251e-06
36,2.08356,0.0001469822541894,0.0,19.05555555555556,9.842561664469042e-07,116.0,4.265110054603251e-06
37,6.38065,0.0001937939404838,0.0,161.0,9.168816244697368e-06,112.0,1.925780042793067e-05
38,6.08547,0.0001876965145259,0.0,155.0,8.259294426939059e-06,113.0,1.849434163836158e-05
39,5.79904,0.0001819082998216,0.0,148.0,7.281441776569598e-06,113.0,1.775649836742411e-05
40,6.37498,0.000175987470549,0.0,145.0,6.3010193537069656e-06,113.0,1.6949742061471735e-05
41,5.29619,0.0001725560555296,0.0,134.0,5.535227587723562e-06,113.0,1.648129562636791e-05
42,5.08933,0.0001686694059986,0.0,127.0,4.97531751125036e-06,113.0,1.587801946491627e-05
43,4.90858,0.0001645365010103,0.0,122.0,4.429712179147755e-06,113.0,1.526126867199535e-05
44,4.74624,0.0001608081254232,0.0,119.0,3.986482885609342e-06,114.0,1.4657068654608784e-05
45,4.5879,0.0001573009246048,0.0,117.0,3.6127094882899058e-06,114.0,1.2318747107611482e-05
46,4.4312,0.0001546015253939,0.0,117.0,3.306202189536789e-06,114.0,1.1878921141167578e-05
47,4.27568,0.0001524886353464,0.0,115.0,3.1226341709163406e-06,114.0,1.1536398464774256e-05
48,4.12504,0.0001519362687218,0.0,116.0,2.971858556906633e-06,114.0,1.1287347403635772e-05
49,3.98061,0.0001514419579067,0.0,116.0,2.852599356318016e-06,114.0,1.1014987613505211e-05
