,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",Out-of-pocket expenditure (OOP) per capita in US$,"Nursing and midwifery personnel (per 10,000)",per_capita-Alzheimer's Disease and Other Dementias
1551,1.0,3.726,36.6,28.67,12.106,6.945705351111719e-05
1552,1.0,3.26575,37.3,28.02,11.878,7.184244726806466e-05
1553,1.0,3.26575,38.0,28.54,10.597,7.205924059640532e-05
1554,1.4,28.601,48.4,86.53,47.496,0.0002933281934265
1555,1.4,26.629,49.3,100.15,46.729,0.0002985287283015
1556,1.5,27.623,50.1,112.91,47.215,0.0003038195371772
1557,1.5,28.094,51.0,136.22,48.803,0.0003108126200255
1558,1.5,28.975,51.8,159.8,50.494,0.000317824260961
1559,1.5,29.432,52.6,183.78,51.758,0.0003244205730673
1560,1.5,30.196,53.4,196.61,58.155,0.0003319067935385
1561,1.5,31.464,54.3,285.49,57.563,0.0003380815201277
1562,1.5,32.424,55.1,340.8,57.862,0.0003451465492248
1563,1.5,31.485,56.0,288.8,50.956,0.0003544696108407
1564,1.5,30.757,56.9,256.24,51.546,0.0003642972467153
1565,1.5,30.837,57.8,262.23,50.683,0.0003760135129005
1566,1.5,30.913,58.7,281.98,49.7,0.000390129495615
1567,1.5,31.408,59.7,310.51,50.005,0.000406253457171
1568,1.5,31.724,60.6,335.05,49.525,0.0004193675770668
1569,1.5,31.656,61.4,314.51,48.361,0.0004312993170784
1570,1.5,31.885,62.3,380.03,48.063,0.0004434573205073
1571,1.5,31.905,63.2,391.71,47.517,0.000456814327581
1572,1.5,33.015,64.0,433.35,45.569,0.0004718844909652
1573,1.4894736842105265,32.795,64.8,416.78,48.282,0.0004925376485555
1574,1.1,22.8595,30.3,277.17,15.114090909090908,0.0001434790234458
1575,1.1,28.827,30.9,251.98,10.416,0.0001489207180705
1576,1.1,22.8595,31.6,226.25,15.114090909090908,0.0001551312058022
1577,1.1,22.8595,32.5,202.08,15.114090909090908,0.0001621068390411
1578,1.1,22.8595,33.6,181.07,15.114090909090908,0.0001693124752064
1579,1.1,22.8595,34.7,163.43,10.045,0.0001772690697844
1580,1.2,24.707,35.8,179.08,15.114090909090908,0.0001882579492243
1581,1.2,23.464,36.9,196.5,14.539,0.0001958640595611
1582,1.2,22.8595,38.1,214.32,15.114090909090908,0.0001988596402596
1583,1.2,22.8595,39.2,229.71,17.218,0.000205888056907
1584,1.2,23.385,40.4,251.64,17.748,0.0002142901988656
1585,1.2,26.201,41.4,252.23,15.114090909090908,0.0002237454505695
1586,1.2,22.8595,42.3,207.86,15.114090909090908,0.0002338001042922
1587,1.2,22.486,43.3,207.08,15.314,0.0002442163209597
1588,1.2,20.735,44.2,205.56,16.686,0.0002533300941889
1589,1.2,21.03,45.1,185.33,15.416,0.0002620907421744
1590,1.2,20.115,46.1,193.01,15.72,0.0002710050498073
1591,1.2,20.255,47.0,200.66,16.418,0.0002799723798774
1592,1.3,21.038,47.8,228.04,16.735,0.0002899969663691
1593,1.173684210526316,22.071,48.7,222.36,15.114090909090908,0.0002969257420659
1594,1.2,1.9556666666666669,23.8,9.29,14.928666666666668,7.775303132455681e-05
1595,1.2,1.9556666666666669,24.4,7.87,14.928666666666668,7.750954043605099e-05
1596,1.2,1.9556666666666669,25.1,6.87,14.928666666666668,7.685772388966555e-05
1597,1.2,0.441,25.7,10.22,5.564,7.579120043398249e-05
1598,1.2,1.9556666666666669,26.3,12.75,14.928666666666668,7.428976645479364e-05
1599,1.2,1.9556666666666669,27.0,14.02,14.928666666666668,7.283639488979853e-05
1600,1.2,1.9556666666666669,27.6,14.58,14.928666666666668,7.1905035332467e-05
1601,1.2,1.9556666666666669,28.3,16.08,14.928666666666668,7.094947614767298e-05
1602,1.2,1.9556666666666669,29.0,15.36,14.928666666666668,6.995675732679568e-05
1603,1.2,1.9556666666666669,29.7,16.26,14.928666666666668,6.888871028852888e-05
1604,1.2,0.692,30.5,20.65,6.655,6.772413563164738e-05
1605,1.2,1.9556666666666669,31.3,22.76,14.928666666666668,6.753646709467469e-05
1606,1.2,1.9556666666666669,32.0,21.52,14.928666666666668,6.63043067237229e-05
1607,1.1,1.9556666666666669,32.8,18.78,14.928666666666668,6.559304114646306e-05
1608,1.1,1.9556666666666669,33.6,17.87,14.928666666666668,6.539622905775877e-05
1609,1.1,1.9556666666666669,34.5,16.85,14.928666666666668,6.46916544171821e-05
1610,1.1,1.9556666666666669,35.4,15.36,14.928666666666668,6.451381670907852e-05
1611,1.1,1.9556666666666669,36.3,17.23,14.928666666666668,6.486071289584187e-05
1612,1.1,4.734,37.2,17.59,32.567,6.537142717061227e-05
1613,1.1684210526315788,1.9556666666666669,38.1,17.09,14.928666666666668,6.560702005286197e-05
1614,1.1,0.3043333333333333,17.7,9.13,6.706833333333333,7.344266934495291e-05
1615,1.1,0.3043333333333333,18.0,6.37,6.706833333333333,7.27667872978296e-05
1616,1.1,0.3043333333333333,18.4,5.79,6.706833333333333,7.409998485309133e-05
1617,1.1,0.3043333333333333,18.8,5.6,6.706833333333333,7.43767427535931e-05
1618,1.1,0.328,19.2,20.52,3.301,7.51089079164789e-05
1619,1.1,0.3043333333333333,19.7,21.0,6.706833333333333,7.371804826006635e-05
1620,1.1,0.3043333333333333,20.2,19.82,6.706833333333333,7.240300089522288e-05
1621,1.1,0.3043333333333333,20.8,29.11,6.706833333333333,6.972611398935209e-05
1622,1.1,0.141,21.4,26.53,2.711,6.80159203760292e-05
1623,1.1,0.24,22.1,21.87,9.041,6.641751725739188e-05
1624,1.1,0.231,22.9,23.08,4.638,6.567028739705776e-05
1625,1.1,0.3043333333333333,23.8,26.48,6.706833333333333,6.522719662487548e-05
1626,1.1,0.3043333333333333,24.7,25.68,6.706833333333333,6.507392449264202e-05
1627,1.1,0.3043333333333333,25.7,28.6,6.706833333333333,6.441582243089273e-05
1628,1.1,0.3043333333333333,26.7,33.37,6.706833333333333,6.280071646576139e-05
1629,1.1,0.376,27.9,34.27,1.013,6.268373125982859e-05
1630,1.1,0.3043333333333333,29.0,32.81,6.706833333333333,6.162870958319457e-05
1631,1.1,0.3043333333333333,30.2,30.94,6.706833333333333,6.151625073206609e-05
1632,1.1,0.51,31.5,28.96,19.537,6.310523137828181e-05
1633,1.1,0.3043333333333333,32.7,28.59,6.706833333333333,6.148341290095195e-05
1634,1.1,18.469166666666663,22.2,125.5,62.624500000000005,0.0001094539535411
1635,1.1,18.469166666666663,22.6,115.6,62.624500000000005,0.0001102670214001
1636,1.1,18.469166666666663,23.1,59.89,62.624500000000005,0.0001106104413654
1637,1.1,18.469166666666663,23.7,64.03,62.624500000000005,0.0001097976927602
1638,1.1,12.381,24.2,69.03,47.564,0.0001088058101593
1639,1.1,18.469166666666663,24.7,74.96,62.624500000000005,0.0001085238472067
1640,1.1,18.469166666666663,25.4,81.3,62.624500000000005,0.0001092465908637
1641,1.1,18.469166666666663,26.0,92.13,62.624500000000005,0.0001140515661842
1642,1.1,18.425,26.7,103.64,55.276,0.0001170188195031
1643,1.1,19.578,27.4,110.47,70.072,0.0001189053685615
1644,1.1,18.469166666666663,28.1,119.6,62.624500000000005,0.0001185491686546
1645,1.1,18.469166666666663,28.9,113.63,62.624500000000005,0.0001189761683914
1646,1.4,36.244,50.9,58.97,80.193,0.0002618770261606
1647,1.4,36.276,51.8,60.36,79.54,0.0002657891510299
1648,1.4,37.009,52.6,65.12,77.9,0.0002689065823487
1649,1.4,36.698,53.4,81.94,76.564,0.0002734735617362
1650,1.4,36.222,54.2,120.8,75.609,0.0002785554695405
1651,1.4,36.961,55.1,143.88,75.546,0.0002852680727472
1652,1.4,37.529,55.8,170.76,76.0,0.0002919764210216
1653,1.4,38.512,56.6,200.05,75.944,0.0002970264630441
1654,1.4,38.635,57.5,263.85,77.229,0.0003032083709071
1655,1.4,38.49,58.3,231.9,76.324,0.0003096890480057
1656,1.4,39.138,59.2,222.17,75.94,0.0003192942581471
1657,1.4,40.238,60.1,261.18,76.905,0.00033177327299
1658,1.4,41.384,61.0,285.23,77.44,0.000345740962022
1659,1.4,42.042,61.9,314.73,77.191,0.0003626426323247
1660,1.4,42.507,62.8,321.61,78.048,0.0003782370502302
1661,1.4,42.993,63.8,292.97,79.034,0.0003928114081816
1662,1.4,44.338,64.6,319.46,79.665,0.000405797217907
1663,1.4,45.291,65.5,353.04,79.795,0.0004171966801624
1664,1.4,45.982,66.3,393.64,81.891,0.000430153098801
1665,1.4,46.268,67.1,442.1,81.617,0.000447127078039
1666,1.5,21.509,38.0,413.45,76.061,0.0002985571258292
1667,1.5,22.172,38.9,424.64,77.033,0.0002990249089997
1668,1.5,22.696,39.8,499.14,80.392,0.0002994769136574
1669,1.5,24.011,40.8,610.72,92.801,0.000295557443231
1670,1.5,24.568,41.8,716.77,94.931,0.0002960945773628
1671,1.5,25.994,42.9,752.18,114.788,0.0003009149093733
1672,1.5,26.16,44.0,812.04,114.369,0.0003056408656592
1673,1.5,27.227,45.1,687.64,112.887,0.0003123555355648
1674,1.5,27.359,46.2,762.54,115.225,0.0003189261037929
1675,1.5,27.17,47.4,759.03,115.005,0.0003253520410756
1676,1.5,27.683,48.7,763.28,113.92,0.0003376626508929
1677,1.5,27.614,50.0,780.66,116.137,0.0003477037643402
1678,1.5,28.047,51.2,692.64,122.886,0.0003594762254603
1679,1.5,28.327,52.5,713.2,123.185,0.0003690309247914
1680,1.5,28.891,53.8,727.27,123.571,0.0003783571999262
1681,1.5,29.222,55.1,582.98,123.346,0.0003931549258323
1682,1.5,29.052,56.4,589.92,121.647,0.0004019700288141
1683,1.6,30.073,57.7,610.91,121.744,0.0004142863777808
1684,1.6,26.54305555555556,59.0,652.23,108.88488888888888,0.0004310064558079
1685,1.5105263157894735,26.54305555555556,60.2,598.58,108.88488888888888,0.0004380488106338
1686,1.1,1.6820714285714284,13.5,5.08,2.789692307692308,3.5065559255649654e-05
1687,1.1,1.6820714285714284,13.8,5.34,2.789692307692308,3.438750552788395e-05
1688,1.1,1.362,14.1,5.91,3.129,3.3839763934763395e-05
1689,1.1,1.476,14.4,6.37,3.035,3.3179570387210224e-05
1690,1.1,1.562,14.8,4.57,2.854,3.264268172462319e-05
1691,1.1,1.801,15.1,5.5,3.5,3.2273629703185274e-05
1692,1.1,1.705,15.5,5.44,3.022,3.184584449350906e-05
1693,1.1,1.813,15.9,6.6,2.941,3.126154311912869e-05
1694,1.1,1.86,16.4,8.14,2.811,3.1083865966769104e-05
1695,1.1,1.813,16.8,7.72,2.43,3.089056431735048e-05
1696,1.1,1.953,17.4,8.01,2.233,3.068343137934852e-05
1697,1.1,1.44,18.0,6.72,2.179,3.0511415100277203e-05
1698,1.1,1.427,18.6,6.58,2.174,3.0417724350419977e-05
1699,1.1,1.534,19.3,7.22,2.978,3.0310052490132035e-05
1700,1.1,1.812,20.0,6.67,2.789692307692308,3.0231942469114564e-05
1701,1.1,1.6820714285714284,20.7,5.89,2.789692307692308,3.026262604627148e-05
1702,1.1,1.6820714285714284,21.6,5.85,2.789692307692308,3.039296567226875e-05
1703,1.1,1.6820714285714284,22.4,6.34,2.789692307692308,3.065277850578127e-05
1704,1.1,1.991,23.2,6.45,2.98,3.180225769974807e-05
1705,1.1,1.6820714285714284,24.1,6.45,2.789692307692308,3.112061080738023e-05
1706,0.9,0.4251666666666667,11.4,0.82,3.631833333333333,4.3723236993925774e-05
1707,0.9,0.4251666666666667,11.6,0.77,3.631833333333333,4.378057013350518e-05
1708,0.9,0.4251666666666667,11.8,1.67,3.631833333333333,4.454222868124666e-05
1709,0.9,0.4251666666666667,12.1,1.51,3.631833333333333,4.501126336535619e-05
1710,0.9,0.216,12.3,1.57,5.905,4.550941550233339e-05
1711,0.9,0.4251666666666667,12.6,1.6,3.631833333333333,4.595276915092772e-05
1712,0.9,0.4251666666666667,12.9,1.9,3.631833333333333,4.655130267505437e-05
1713,0.9,0.4251666666666667,13.2,2.98,3.631833333333333,4.679334548039868e-05
1714,0.9,0.187,13.6,3.46,2.838,4.759403600228971e-05
1715,0.9,0.188,14.0,4.07,3.406,4.81077709886453e-05
1716,0.9,0.4251666666666667,14.5,3.79,3.631833333333333,4.874575173976372e-05
1717,0.9,0.4251666666666667,15.1,3.59,3.631833333333333,4.930962743081349e-05
1718,0.9,0.4251666666666667,15.7,3.4,3.631833333333333,4.962309726053547e-05
1719,0.9,0.126,16.4,2.71,2.268,4.994770391954772e-05
1720,0.9,0.4251666666666667,17.2,2.95,3.631833333333333,4.999491351053959e-05
1721,0.9,0.4251666666666667,18.0,3.92,3.631833333333333,5.0296143239803205e-05
1722,0.9,0.313,18.9,4.31,2.988,5.044768750658073e-05
1723,0.9,0.4251666666666667,19.8,4.87,3.631833333333333,5.0729612769307086e-05
1724,0.9,1.521,20.8,4.8,4.386,5.26560537605466e-05
1725,0.9,0.4251666666666667,21.8,5.13,3.631833333333333,5.174900463151052e-05
1726,1.2,6.734,31.4,45.08,16.745,7.606489557987367e-05
1727,1.2,12.297105263157896,32.2,40.7,33.78241666666667,7.684090848197246e-05
1728,1.2,7.205,33.0,41.95,17.919,7.717457696471483e-05
1729,1.2,7.365,33.7,49.02,33.78241666666667,7.672707460122419e-05
1730,1.3,7.243,34.5,55.7,33.78241666666667,7.674050608067433e-05
1731,1.3,7.826,35.3,62.05,33.78241666666667,7.767216109599001e-05
1732,1.3,8.372,36.0,70.23,33.78241666666667,7.918384870429421e-05
1733,1.3,8.884,36.8,81.82,33.78241666666667,8.042219607994777e-05
1734,1.3,9.216,37.6,94.85,26.747,8.235323961853892e-05
1735,1.3,11.01,38.4,80.19,33.78241666666667,8.393886144968849e-05
1736,1.3,11.691,39.2,99.0,31.976,8.325455862917585e-05
1737,1.3,12.777,39.9,118.9,33.875,8.395812285788437e-05
1738,1.3,13.32,40.6,125.33,38.141,8.766292693010598e-05
1739,1.3,15.921,41.2,131.59,39.058,9.018376697594658e-05
1740,1.3,15.256,41.9,140.75,40.069,9.33716999687963e-05
1741,1.3,15.358,42.5,127.0,41.829,9.671018876413095e-05
1742,1.3,16.323,43.1,124.57,41.958,0.0001012602212564
1743,1.3,18.592,43.7,130.03,42.229,0.0001048053291199
1744,1.3,19.398,44.4,149.22,33.78241666666667,0.0001105092372721
1745,1.2789473684210526,21.154,45.0,150.95,34.843,0.0001137653180641
1746,1.1,16.025875,24.8,139.8,50.4922,4.33360779516036e-05
1747,1.1,16.025875,25.3,132.27,50.4922,4.576464550378702e-05
1748,1.1,16.025875,25.8,128.3,50.4922,4.809927690753716e-05
1749,1.1,16.025875,26.3,126.79,50.4922,5.023705610851204e-05
1750,1.1,9.701,26.7,175.5,28.461,5.205159844335102e-05
1751,1.1,16.025875,27.3,178.84,50.4922,5.353191691846494e-05
1752,1.1,16.025875,27.8,193.26,50.4922,5.745161855572376e-05
1753,1.1,16.468,28.4,218.65,45.913,5.753929111593345e-05
1754,1.1,16.025875,28.9,251.14,50.4922,5.959707196994235e-05
1755,1.1,14.884,29.5,229.86,52.235,6.307811088627269e-05
1756,1.1,14.356,30.0,240.74,51.08,6.571464678377354e-05
1757,1.1,16.025875,30.2,229.26,50.4922,7.088625540824154e-05
1758,1.1,16.025875,30.5,202.83,50.4922,7.859024314807163e-05
1759,1.1,16.025875,30.7,208.77,50.4922,8.375889621003685e-05
1760,1.1,17.701,31.0,189.11,53.701,8.892389385027757e-05
1761,1.1,16.025875,31.3,153.32,65.729,9.408701268648936e-05
1762,1.1,16.025875,31.7,179.7,30.515,0.0001017915309446
1763,1.1,17.486,31.9,182.74,64.927,0.0001069494205633
1764,1.1,17.084,32.0,151.19,64.282,0.0001145886648892
1765,1.1,20.527,32.0,140.56,48.079,0.0001223812328379
1766,1.1,0.9727333333333332,23.8,10.18,4.217375,6.120054184135105e-05
1767,1.1,0.9727333333333332,24.2,9.43,4.217375,6.15518146748136e-05
1768,1.1,0.9727333333333332,24.7,10.38,4.217375,6.265770824841936e-05
1769,1.1,0.9727333333333332,25.1,12.16,4.217375,6.326585091614854e-05
1770,1.1,0.583,25.6,12.8,6.741,6.425797887518945e-05
1771,1.1,0.635,26.1,14.49,4.217375,6.518967145064903e-05
1772,1.1,0.601,26.6,16.19,4.217375,6.612283115306086e-05
1773,1.1,0.633,27.2,19.25,2.111,6.649023130064056e-05
1774,1.1,0.662,27.9,22.23,4.217375,6.701874150863767e-05
1775,1.1,1.225,28.7,22.68,4.437,6.732015569180759e-05
1776,1.1,1.021,29.5,18.7,4.462,6.769904570439408e-05
1777,1.1,1.179,30.4,16.82,3.677,6.815017954923989e-05
1778,1.1,1.066,31.3,13.07,3.772,6.860007881096315e-05
1779,1.1,1.198,32.3,11.12,4.217375,6.884516360714603e-05
1780,1.1,1.033,33.4,12.76,4.217375,6.844162086476771e-05
1781,1.1,1.004,34.5,10.56,4.217375,6.877429884729567e-05
1782,1.1,1.251,35.6,10.53,4.131,6.89219430484101e-05
1783,1.1,1.214,36.7,11.44,4.217375,6.914317177663893e-05
1784,1.1,1.286,37.9,10.87,4.408,7.167942785927546e-05
1785,1.1,0.9727333333333332,39.1,10.75,4.217375,7.030572784090766e-05
1786,1.4,26.016,52.8,170.66,66.3734375,0.0002667029109084
1787,1.4,30.81,53.8,203.51,37.169,0.0002755994926927
1788,1.4,32.656,54.9,238.69,54.728,0.0002846143094926
1789,1.4,31.28,56.0,309.73,54.727,0.0002910081026777
1790,1.4,26.72908333333333,57.2,344.79,56.107,0.0002998606529906
1791,1.4,26.72908333333333,58.4,398.16,57.944,0.0003111403293069
1792,1.4,26.72908333333333,59.6,436.77,59.34,0.0003223275547582
1793,1.4,26.72908333333333,60.9,496.05,62.27,0.0003309445605653
1794,1.4,33.553,62.1,577.74,67.961,0.0003419803138288
1795,1.4,19.169,63.4,544.47,65.889,0.0003554107585798
1796,1.4,21.53,64.6,572.56,68.501,0.0003687578514692
1797,1.4,22.384,65.8,650.0,70.649,0.0003844901097878
1798,1.4,23.566,66.9,609.28,70.46,0.0003977200636352
1799,1.4,24.595,68.0,641.04,73.95,0.0004133467225252
1800,1.4,26.592,69.0,895.57,83.752,0.0004313530673322
1801,1.4,28.598,70.1,834.49,83.695,0.0004493133477467
1802,1.4,26.72908333333333,71.0,815.59,66.3734375,0.0004696577038314
1803,1.4,26.72908333333333,71.9,898.83,66.3734375,0.0004899865013522
1804,1.4,26.72908333333333,72.8,944.33,94.833,0.0005067997636535
1805,1.4,26.72908333333333,73.6,877.26,66.3734375,0.0005259219770841
1806,1.1,1.5635714285714286,16.6,17.79,8.740428571428572,7.557379100927798e-05
1807,1.1,1.5635714285714286,16.9,17.8,8.740428571428572,7.522046807397796e-05
1808,1.1,1.5635714285714286,17.3,17.92,8.740428571428572,7.561235559084977e-05
1809,1.1,1.5635714285714286,17.6,19.8,8.740428571428572,7.817009367815112e-05
1810,1.1,1.065,18.1,21.65,6.441,7.839725660180769e-05
1811,1.1,1.5635714285714286,18.5,22.19,8.740428571428572,7.822583799428951e-05
1812,1.1,1.5635714285714286,19.0,23.2,8.740428571428572,7.940597456052575e-05
1813,1.1,1.5635714285714286,19.5,25.49,8.740428571428572,7.915606221398165e-05
1814,1.1,1.5635714285714286,20.1,29.01,8.740428571428572,8.150751587678028e-05
1815,1.1,1.311,20.8,27.12,6.787,8.148302948151869e-05
1816,1.1,1.565,21.5,26.6,8.022,8.112172627033503e-05
1817,1.1,1.5635714285714286,22.3,27.15,8.740428571428572,8.227608563294993e-05
1818,1.1,1.5635714285714286,23.2,26.65,8.740428571428572,8.394893404203698e-05
1819,1.1,1.5635714285714286,24.1,27.25,8.740428571428572,8.581543572423864e-05
1820,1.1,1.582,25.0,27.64,9.784,8.473597918110922e-05
1821,1.1,1.71,26.0,26.73,10.224,8.479990836049247e-05
1822,1.1,1.5635714285714286,27.1,25.57,8.740428571428572,8.5388898844884e-05
1823,1.1,1.847,28.2,25.54,10.673,8.726720873438336e-05
1824,1.1,1.865,29.3,26.34,9.252,8.992779436652919e-05
1825,1.1,1.5635714285714286,30.5,26.06,8.740428571428572,8.845817152115935e-05
1826,1.3,9.113,38.8,52.35,31.818384615384616,0.0001273260186924
1827,1.3,9.272,39.6,52.35,31.818384615384616,0.0001327347192285
1828,1.3,9.869,40.4,61.0,31.818384615384616,0.0001380633107085
1829,1.3,9.702,41.3,73.42,31.818384615384616,0.000144143671929
1830,1.3,10.718,42.2,82.47,37.871,0.0001493434973487
1831,1.3,10.982,43.1,98.02,31.818384615384616,0.0001544872511809
1832,1.3,11.4,44.1,110.67,31.818384615384616,0.0001579671699543
1833,1.3,11.549,45.2,131.62,26.744,0.0001614053021641
1834,1.3,11.7,46.3,199.02,27.435,0.00016638034075
1835,1.3,11.857,47.6,181.05,28.135,0.0001720829985112
1836,1.3,12.019,48.9,192.07,28.846,0.0001785018823834
1837,1.3,14.467,50.4,210.49,29.334,0.0001840890315919
1838,1.3,13.738,51.8,205.48,29.813,0.0001926745589618
1839,1.2,16.296,53.4,240.62,31.565,0.0001989051895347
1840,1.2,19.318,55.0,280.73,32.806,0.000205085057713
1841,1.2,20.246,56.6,262.34,33.831,0.0002112212994662
1842,1.2,21.943,58.2,266.43,32.76,0.0002173200360172
1843,1.2,23.147,59.7,293.2,35.152,0.0002241246604953
1844,1.2,18.9,61.2,316.71,39.347,0.0002307599300495
1845,1.2684210526315791,25.912,62.6,313.62,31.818384615384616,0.0002354320067991
1846,1.0,16.265,28.0,166.31,31.277,9.826210079908234e-05
1847,1.0,15.161,28.3,194.3,22.265,0.0001019882473508
1848,1.0,15.267,28.7,209.34,22.229,0.0001062159216193
1849,1.0,15.788,29.2,229.01,21.37,0.0001105304086663
1850,1.0,16.531,29.8,239.27,21.126,0.0001146441194245
1851,1.0,17.651,30.5,263.72,22.053,0.0001194694261844
1852,1.0,18.81,31.3,275.72,22.215,0.0001237138984919
1853,1.0,19.215,32.2,291.91,22.832,0.0001286650022583
1854,1.0,19.494,33.1,277.4,23.066,0.0001347000693008
1855,1.0,19.79,34.2,232.3,23.624,0.0001404797074036
1856,1.0,19.986,35.2,231.42,24.118,0.0001455247308641
1857,1.0,21.004,36.4,229.38,25.093,0.0001500032218289
1858,1.0,21.118,37.5,235.81,25.488,0.0001547896224904
1859,1.1,21.555,38.7,248.47,28.044,0.0001600830225574
1860,1.1,22.263,40.0,248.06,26.798,0.0001637076746403
1861,1.1,23.246,41.2,225.88,27.551,0.0001668054605829
1862,1.1,23.244,42.5,200.91,28.553,0.0001730731099245
1863,1.1,23.827,43.7,211.82,28.509,0.0001808252122576
1864,1.1,24.248,44.9,220.16,28.533,0.0001878019395466
1865,1.0315789473684212,24.253,46.1,227.62,28.238,0.0001915681943902
1866,1.4,24.553,39.0,10.09,56.652,0.0001667378352548
1867,1.4,22.925,39.7,13.19,55.346,0.0001753285415035
1868,1.4,23.103,40.5,15.78,55.414,0.0001824456025963
1869,1.4,22.824,41.2,18.57,53.864,0.000188569472879
1870,1.4,21.814,41.9,24.66,51.823,0.0001945120563679
1871,1.4,23.783,42.6,33.93,56.476,0.0002016077457898
1872,1.4,23.768,43.3,46.5,56.163,0.0002107108800639
1873,1.4,23.871,44.0,61.08,56.468,0.0002194300938776
1874,1.3,23.545,44.8,89.85,56.211,0.0002282408428855
1875,1.3,23.912,45.6,95.05,56.259,0.0002378869906844
1876,1.3,23.808,46.5,80.17,56.482,0.0002476017599018
1877,1.3,24.142,47.4,96.3,56.445,0.0002579774728548
1878,1.3,24.135,48.3,94.41,56.055,0.0002720926219692
1879,1.3,25.028,49.1,98.63,54.872,0.0002886800140886
1880,1.3,24.746,50.0,88.5,53.11,0.000307538774444
1881,1.3,24.836,50.8,86.11,50.036,0.0003262052183248
1882,1.3,24.35805555555556,51.7,79.24,53.90222222222222,0.0003424028303781
1883,1.3,32.066,52.5,106.44,49.235,0.0003505922793132
1884,1.3,24.35805555555556,53.2,110.85,53.90222222222222,0.0003577883441595
1885,1.3421052631578947,25.586,54.0,101.48,39.329,0.0003701637982157
1886,1.3,30.145545454545456,44.5,5.33,38.584833333333336,5.068029854074527e-05
1887,1.3,30.145545454545456,45.3,5.92,38.584833333333336,4.95476008238213e-05
1888,1.3,27.553,46.1,6.59,36.123,4.845962165788017e-05
1889,1.3,30.145545454545456,46.9,6.64,38.584833333333336,4.66939934283592e-05
1890,1.3,30.145545454545456,47.7,8.47,38.584833333333336,4.53166803973848e-05
1891,1.3,30.145545454545456,48.6,12.16,38.584833333333336,4.396380452994668e-05
1892,1.3,30.145545454545456,49.5,12.79,38.584833333333336,4.401040708595061e-05
1893,1.3,30.145545454545456,50.4,15.49,38.584833333333336,4.3363577169889686e-05
1894,1.4,28.816,51.3,20.86,36.495,4.305624580910863e-05
1895,1.4,26.704,52.3,17.4,36.222,4.307592345243991e-05
1896,1.4,27.564,53.2,27.73,36.31,4.340899239953896e-05
1897,1.4,28.671,54.1,43.13,36.612,4.531937071181412e-05
1898,1.4,30.435,55.0,52.9,37.823,4.654092440967711e-05
1899,1.4,30.922,55.9,66.24,38.046,4.83493650736584e-05
1900,1.4,31.632,56.7,60.71,40.257,4.9808177402671615e-05
1901,1.4,32.194,57.4,59.65,40.932,5.183689460836021e-05
1902,1.4,28.592,58.1,51.74,40.656,5.619641270645492e-05
1903,1.4,30.145545454545456,58.8,47.25,41.406,5.8397227921739496e-05
1904,1.4,38.518,59.4,54.01,42.136,6.221212220808429e-05
1905,1.3578947368421053,30.145545454545456,60.1,56.82,38.584833333333336,6.439710287451495e-05
1906,1.4,20.134,52.7,224.44,51.239,0.0002402513119383
1907,1.4,20.387,53.6,194.54,49.369,0.0002479487187287
1908,1.4,21.523,54.4,254.03,53.92,0.0002555572218634
1909,1.4,21.861,55.3,229.13,54.46,0.0002615239771335
1910,1.4,23.764,56.2,220.05,50.016,0.0002689031994844
1911,1.4,25.761,57.0,230.16,50.008,0.0002730468616676
1912,1.4,26.434,57.8,259.86,50.988,0.0002785775426036
1913,1.4,27.557,58.6,289.75,52.294,0.000281690140845
1914,1.4,27.197,59.4,283.45,52.58,0.0002891054140849
1915,1.1,6.735333333333333,20.8,29.05,10.0856,9.589857175155328e-05
1916,1.1,6.735333333333333,21.4,29.8,10.0856,9.86042442806378e-05
1917,1.1,6.735333333333333,22.1,33.94,10.0856,0.0001023617547634
1918,1.1,6.735333333333333,22.8,43.39,10.0856,0.0001065518240535
1919,1.1,5.31,23.6,52.03,8.078,0.0001100789848017
1920,1.1,6.735333333333333,24.5,57.8,10.0856,0.0001139762736714
1921,1.1,6.735333333333333,25.2,64.68,10.0856,0.000117793799821
1922,1.1,5.862,26.0,75.46,10.0856,0.0001218521898943
1923,1.1,6.735333333333333,26.8,86.64,10.0856,0.0001254021595544
1924,1.1,6.477,27.6,90.49,9.298,0.0001288469739692
1925,1.1,6.735333333333333,28.4,93.99,10.0856,0.0001322586205871
1926,1.1,6.735333333333333,29.1,97.48,10.0856,0.0001353525798633
1927,1.1,6.735333333333333,29.8,91.06,10.0856,0.0001391552385633
1928,1.1,6.32,30.5,93.11,9.725,0.0001430665993243
1929,1.1,9.135,31.1,93.98,9.44,0.0001418731856223
1930,1.1,6.735333333333333,31.7,82.14,10.0856,0.0001410449933528
1931,1.1,6.735333333333333,32.3,83.71,10.0856,0.0001408970297646
1932,1.1,7.308,32.7,86.87,13.887,0.000141467286455
1933,1.1,6.735333333333333,33.2,82.12,10.0856,0.0001434680717043
1934,1.1,6.735333333333333,33.7,81.56,10.0856,0.0001427652023143
1935,1.1,0.5543,12.1,2.7,2.867,5.078682911932304e-05
1936,1.1,0.5543,12.4,2.25,2.808,5.071814280924368e-05
1937,1.1,0.5543,12.7,2.74,2.996,5.180331928438661e-05
1938,1.1,0.5543,12.9,2.35,2.976,5.193768684947136e-05
