,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",Out-of-pocket expenditure (OOP) per capita in US$,"Nursing and midwifery personnel (per 10,000)",per_capita-Alzheimer's Disease and Other Dementias
324,1.2,2.166,30.8,9.47,8.197,6.979994148685756e-05
325,1.1,2.546,31.5,9.11,9.917,7.181370645194857e-05
326,1.1,3.268,32.2,10.14,13.128181818181815,7.523790369837703e-05
327,1.1,3.268,32.9,12.21,13.128181818181815,7.858860579526668e-05
328,1.1,3.268,33.6,13.0,13.128181818181815,8.187152663577193e-05
329,1.1,2.765,34.3,17.63,10.49,8.508905057358389e-05
330,1.1,2.858,35.0,17.93,11.25,8.823983587390527e-05
331,1.1,3.393,35.7,18.82,13.308,8.996201149605463e-05
332,1.1,3.448,36.4,19.51,14.7,9.300206626329828e-05
333,1.1,4.059,37.1,19.91,15.325,9.59840026662223e-05
334,1.1,4.024,37.8,13.95,16.349,9.89070115839892e-05
335,1.1,4.242,38.5,13.52,18.518,0.0001028632920473
336,1.1421052631578947,4.6,39.2,20.63,18.294,0.0001045957567696
337,1.0,8.435,39.6,14.69,12.015,7.589900356322637e-05
338,1.0,12.038,40.3,15.13,21.085,7.804052083741662e-05
339,1.0,8.435,41.0,15.02,12.015,8.042153527169135e-05
340,1.0,8.435,41.8,15.11,12.015,8.315112723108811e-05
341,1.0,8.435,42.5,15.33,12.015,8.599404336685228e-05
342,1.0,8.435,43.2,16.79,12.015,8.850489984287349e-05
343,1.0,8.435,43.8,18.33,12.015,9.124610393190704e-05
344,1.0,3.316,44.5,19.83,6.084,9.420815078735948e-05
345,1.0,8.435,45.1,24.0,12.015,9.717477617774424e-05
346,1.0,8.435,45.7,27.32,12.015,9.994633383139412e-05
347,1.0,4.385,46.3,33.85,8.326,0.0001027402286703
348,1.0,4.671,46.8,39.45,9.928,0.0001054485055021
349,1.0,8.435,47.3,47.11,12.015,0.0001073857801596
350,1.0,8.435,47.8,55.14,12.015,0.0001095492012133
351,1.0,8.435,48.3,56.16,12.015,0.0001113673102706
352,1.0,8.435,48.7,54.35,11.914,0.0001137870036909
353,1.0,15.901,49.1,58.91,11.179,0.0001164121112717
354,1.0,10.299,49.5,54.54,15.589,0.0001177924615338
355,1.0,8.435,49.9,51.81,12.015,0.0001215632567963
356,1.0,8.435,50.2,58.7,12.015,0.00012140834376
357,1.3,14.547,34.3,44.75,44.687,0.0001628068394731
358,1.3,14.499,35.1,43.47,43.968,0.0001707492022582
359,1.3,14.478,35.9,45.71,44.664,0.0001685305861407
360,1.3,14.776,36.7,54.82,48.341,0.0001652062450317
361,1.3,15.09,37.5,104.41,48.093,0.0001608526895421
362,1.3,15.332,38.3,118.83,48.687,0.0001602530101609
363,1.3,15.754,39.1,136.57,49.394,0.0001593695987709
364,1.3,16.429,39.9,171.81,50.221,0.0001590440486112
365,1.3,16.714,40.7,212.07,51.898,0.0001590306537031
366,1.3,17.38,41.6,130.14,53.096,0.000163002930151
367,1.3,17.987,42.6,125.64,54.867,0.0001705037954404
368,1.3,18.794,43.5,137.63,56.085,0.0001784878637988
369,1.3,19.49,44.5,132.33,58.921,0.000184973169155
370,1.3,20.355,45.5,140.75,59.005,0.0001919160710128
371,1.3,21.326,46.6,146.0,61.319,0.0001997620602285
372,1.3,21.616,47.7,127.32,61.798,0.0002083050035641
373,1.3,17.1604375,48.7,132.19,54.726,0.0002145194104313
374,1.3,17.1604375,49.7,140.41,55.647,0.0002205724473131
375,1.3,17.1604375,50.7,158.26,57.333,0.0002272958945763
376,1.3,17.1604375,51.8,162.56,52.776315789473685,0.0002348168102745
377,1.2,3.037,29.3,22.54,26.282,4.8223471137359495e-05
378,1.2,3.045,29.9,19.63,23.849,4.84244831853275e-05
379,1.2,3.144,30.5,18.45,24.322,4.8677768633993e-05
380,1.2,3.033,31.2,24.2,25.657,4.839366785737599e-05
381,1.2,4.05,31.8,26.12,26.922,4.812394072015541e-05
382,1.2,2.59,32.5,24.46,24.835,4.890996002425934e-05
383,1.2,3.219,33.2,21.85,27.267,4.957942784274045e-05
384,1.2,3.78,34.0,21.07,30.738,5.017189098902385e-05
385,1.2,3.738,34.8,19.21,29.317,5.122824848569298e-05
386,1.2,3.547,35.7,18.6,29.772,5.223831117558301e-05
387,1.2,4.122,36.7,19.9,29.269,5.322013869759479e-05
388,1.3,4.064,37.8,20.13,28.858,5.471100485233355e-05
389,1.3,4.015,38.8,18.36,28.515,5.576691906361146e-05
390,1.3,3.5340666666666665,40.0,17.02,30.088,5.733554216159693e-05
391,1.3,3.5340666666666665,41.1,16.19,30.088,5.891128239192795e-05
392,1.3,3.5340666666666665,42.3,13.93,30.088,6.047503137142252e-05
393,1.3,3.843,43.4,13.32,41.15,6.20131739519321e-05
394,1.3,3.5340666666666665,44.5,14.49,30.088,6.351952755785756e-05
395,1.3,3.784,45.6,15.27,54.567,6.575613064088072e-05
396,1.2421052631578948,3.5340666666666665,46.7,15.11,30.088,6.689524728943081e-05
397,1.2,20.51725,41.9,114.37,37.709,0.0001300195662858
398,1.2,20.51725,42.8,102.15,29.897,0.0001355959387277
399,1.2,20.51725,43.8,89.9,33.77,0.0001419101689723
400,1.2,20.51725,44.7,89.19,36.596,0.0001481355286521
401,1.2,20.51725,45.7,104.52,37.286,0.000154207824144
402,1.2,20.51725,46.7,138.1,66.32766666666667,0.0001597730524217
