,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized","Mean total cholesterol,  age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in women of reproductive age (aged 15-49) (%)
762,32.8,40.94827,0.0001920768307322,11.4,4.2,113.0,33.3
763,32.2,40.33099,0.0001840560354918,11.8,4.2,114.0,32.7
764,31.8,39.69125,0.0001929781862642,12.3,4.2,114.0,32.2
765,31.2,39.04716,0.0001931764984574,12.8,4.2,114.0,31.7
766,30.8,38.36172,0.0001849240017553,13.3,4.2,114.0,31.3
767,30.5,37.62109,0.0001904046842253,13.8,4.2,114.0,31.0
768,30.5,36.97982,0.0001902059772228,14.4,4.2,114.0,30.9
769,30.6,36.25825,0.0001859530546017,15.0,4.2,114.0,31.0
770,30.7,35.40615,0.0001805104279485,15.7,4.2,114.0,31.0
771,30.8,34.73593,0.0001616926629794,16.3,4.2,114.0,31.2
772,31.0,34.01805,0.0001605651894669,17.0,4.2,114.0,31.3
773,31.2,33.22192,0.0001535396197177,17.8,4.2,114.0,31.5
774,31.5,32.47105,0.0001525540671261,18.5,4.2,114.0,31.8
775,31.7,31.76629,0.000157176917645,19.3,4.2,114.0,32.0
776,32.1,31.07988,0.0001484119916889,20.1,4.226315789473684,114.0,32.3
777,24.8,14.14415,2.0328080760813373e-05,24.6,4.9,117.0,25.1
778,23.9,13.35471,1.670742301302617e-05,25.5,4.9,117.0,24.3
779,23.1,12.68286,1.948971406952324e-05,26.4,4.9,117.0,23.4
780,22.4,12.0939,2.0115982790814967e-05,27.4,4.9,118.0,22.7
781,21.7,11.57149,1.9224442599629365e-05,28.3,4.9,118.0,22.0
782,21.1,11.08249,1.9542803790689105e-05,29.2,4.9,118.0,21.4
783,20.4,10.62919,1.9831779089501467e-05,30.1,4.9,118.0,20.7
784,19.7,10.1794,1.9879793046402125e-05,31.0,4.9,119.0,20.0
785,19.0,9.73081,1.9924108652155647e-05,31.8,4.9,119.0,19.3
786,18.5,9.29735,2.044863341028104e-05,32.6,4.9,119.0,18.8
787,18.0,8.8848,2.0959246570526377e-05,33.4,4.9,119.0,18.3
788,17.5,8.5037,1.9790311982607448e-05,34.1,4.9,120.0,17.7
789,17.0,8.14233,2.0494387690755456e-05,34.7,4.9,120.0,17.3
790,16.8,7.82122,1.949553963427016e-05,35.3,4.9,120.0,17.0
791,16.7,7.52892,1.858900983243637e-05,35.8,4.9,120.0,17.0
792,16.7,7.28502,1.651080550296325e-05,36.2,4.9,120.0,17.0
793,16.7,7.08285,1.6230557999121683e-05,36.5,4.8,119.0,16.9
794,16.7,6.94413,1.6389504995821905e-05,36.7,4.8,119.0,17.0
795,16.8,6.85273,1.6082585426611755e-05,37.0,4.8,119.0,17.1
796,17.0,6.7967,1.5745434991289722e-05,37.2,4.8842105263157904,119.0,17.2
797,35.9,22.41017,1.7986895595033824e-05,23.6,4.6,116.0,35.5
798,35.6,21.66622,1.724394735945597e-05,24.3,4.6,116.0,35.3
799,35.5,20.9595,1.617097245759971e-05,25.2,4.6,116.0,35.2
800,35.4,20.31497,1.5265779377172317e-05,26.1,4.6,116.0,35.1
801,35.1,19.71474,1.4209373556178372e-05,27.0,4.6,116.0,34.8
802,34.8,19.02823,1.3688336456608276e-05,28.0,4.6,116.0,34.5
803,34.4,18.23447,1.3292741304954756e-05,29.0,4.6,116.0,34.1
804,34.0,17.45525,1.2540214578531976e-05,29.9,4.6,116.0,33.7
805,33.5,16.70439,1.238567388833853e-05,30.8,4.6,116.0,33.2
806,32.8,15.95105,1.2628915103157949e-05,31.6,4.6,116.0,32.5
807,32.2,15.24393,1.26379562786858e-05,32.3,4.5,116.0,31.9
808,31.7,14.57874,1.1635042418318837e-05,32.9,4.5,117.0,31.4
809,31.2,13.94973,1.1518953218710986e-05,33.5,4.5,117.0,31.0
810,30.9,13.35667,1.0446174275670953e-05,33.9,4.5,117.0,30.7
811,30.5,12.82862,9.931515582881685e-06,34.2,4.5,117.0,30.3
812,29.9,12.33199,9.831909160572842e-06,34.4,4.4,117.0,29.7
813,29.4,11.8851,9.082047886773996e-06,34.6,4.4,117.0,29.2
814,29.0,11.46891,8.632051043423997e-06,34.6,4.4,117.0,28.8
815,28.7,11.06072,8.3919687135184e-06,34.6,4.4,117.0,28.5
816,28.4,10.67713,7.927630759460693e-06,34.6,4.531578947368421,117.0,28.3
817,11.1,14.95385,1.3333739043683724e-05,32.9,4.8,122.0,11.4
818,10.8,14.13566,9.177901381070204e-06,33.9,4.8,122.0,11.1
819,10.7,13.40681,9.658021325588844e-06,34.9,4.8,122.0,10.9
820,10.5,12.76031,9.96647716283112e-06,36.0,4.8,122.0,10.8
821,10.4,12.14418,1.0783267940114448e-05,37.1,4.8,122.0,10.6
822,10.3,11.57515,1.1416634809218798e-05,38.3,4.8,122.0,10.5
823,10.2,11.06167,1.17235395107566e-05,39.4,4.8,122.0,10.5
824,10.1,10.57461,1.1200731825725977e-05,40.4,4.7,122.0,10.3
825,10.0,10.12802,1.0655214087391736e-05,41.5,4.7,122.0,10.2
826,9.9,9.71901,1.2104939544947132e-05,42.6,4.7,122.0,10.1
827,9.8,9.30668,1.140106912286453e-05,43.6,4.7,122.0,10.0
828,9.7,8.8942,1.1693452358404644e-05,44.6,4.7,122.0,9.9
829,9.7,8.52399,9.358613191441433e-06,45.5,4.7,122.0,9.9
830,9.6,8.17248,8.840010542531092e-06,46.4,4.7,122.0,9.9
831,9.7,7.83494,8.652337959667699e-06,47.2,4.6,122.0,9.9
832,9.7,7.51832,8.304363047212746e-06,48.0,4.6,121.0,9.9
833,9.8,7.22242,8.121273350691202e-06,48.7,4.6,121.0,10.0
834,9.9,6.96089,7.615022073032598e-06,49.4,4.6,121.0,10.1
835,10.1,6.71226,7.290978580563126e-06,50.0,4.6,121.0,10.4
836,10.4,6.48991,7.09410818192518e-06,50.6,4.7105263157894735,121.0,10.6
837,56.3,44.27707,0.000174980619879,9.9,4.1,106.0,56.3
838,55.4,43.65983,0.0001601046807888,10.3,4.1,106.0,55.5
839,54.6,42.86731,0.0001420989162077,10.8,4.1,106.0,54.8
840,53.9,42.07843,0.0001399444327305,11.4,4.1,107.0,54.1
841,53.1,41.1755,0.0001378272263177,11.9,4.1,107.0,53.4
842,52.4,40.15091,0.0001339839783369,12.5,4.1,107.0,52.7
843,51.6,39.07197,0.0001285666532385,13.1,4.1,107.0,51.9
844,50.8,37.90564,0.0001217147439905,13.7,4.1,107.0,51.2
845,49.9,36.86584,0.0001167960886287,14.4,4.1,108.0,50.3
846,49.1,35.90829,0.0001136648874954,15.0,4.1,108.0,49.5
847,48.3,35.08938,0.0001106497290618,15.7,4.1,108.0,48.7
848,47.6,34.34763,0.0001107411425792,16.4,4.1,108.0,48.0
849,46.9,33.67497,0.0001034999001444,17.1,4.1,109.0,47.4
850,46.4,33.00739,9.090896177704293e-05,17.8,4.1,109.0,46.8
851,45.8,32.45048,8.44578223173565e-05,18.6,4.1,109.0,46.3
852,45.4,31.76893,8.234974883326606e-05,19.3,4.1,109.0,45.8
853,45.0,31.23732,7.900443873271614e-05,20.1,4.1,110.0,45.4
854,44.6,30.49003,7.323108389712703e-05,20.9,4.1,110.0,45.0
855,44.3,29.8516,7.19463280392827e-05,21.7,4.1,110.0,44.7
856,44.2,29.22689,6.856560749128237e-05,22.6,4.1,110.0,44.5
857,40.8,27.04405,0.0001891687771453,9.5,4.0,111.0,41.2
858,40.3,26.52927,0.0001802677783333,9.9,4.0,111.0,40.7
859,39.9,26.07346,0.0001919907240735,10.3,4.1,111.0,40.3
860,39.5,25.59764,0.0001882969909502,10.8,4.1,111.0,40.0
861,39.1,25.15808,0.0001858441757719,11.2,4.1,111.0,39.6
862,38.7,24.67596,0.0001810807324183,11.7,4.1,112.0,39.1
863,38.2,24.21692,0.0001775875328182,12.2,4.1,112.0,38.6
864,37.6,23.68364,0.0001732094288643,12.7,4.1,112.0,38.1
865,37.1,23.17136,0.0001710279086285,13.2,4.1,112.0,37.6
866,36.6,22.59209,0.0001664551152011,13.8,4.1,112.0,37.1
867,36.2,22.05328,0.0001598485340197,14.4,4.1,112.0,36.7
868,35.9,21.54953,0.0001533803273146,15.1,4.1,112.0,36.4
869,35.7,21.0929,0.0001490184416482,15.7,4.2,113.0,36.2
870,35.7,20.61185,0.0001446977885622,16.5,4.2,113.0,36.2
871,35.7,20.18351,0.0001390107169896,17.2,4.2,113.0,36.2
872,35.9,19.72989,0.0001352699247773,18.0,4.2,113.0,36.3
873,36.1,19.32506,0.0001304968814841,18.8,4.2,113.0,36.5
874,36.2,18.87522,0.0001268088215546,19.7,4.2,113.0,36.6
875,36.4,18.45992,0.0001260758225861,20.5,4.2,113.0,36.8
876,36.7,18.09187,0.0001217279978049,21.4,4.126315789473684,113.0,37.0
877,21.6,5.30174,2.898897331927368e-06,24.4,5.3,118.0,21.7
878,21.3,4.84398,7.299360649000754e-07,25.2,5.3,118.0,21.4
879,21.2,4.42466,7.352281633559342e-07,26.0,5.3,118.0,21.3
880,21.1,4.0431,2.2210343801315148e-06,26.8,5.2,118.0,21.2
881,20.9,3.69712,2.2360292890023134e-06,27.5,5.2,118.0,21.0
882,20.8,3.38204,1.5004955386516398e-06,28.2,5.2,119.0,20.9
883,20.8,3.0851,7.550970941598525e-07,28.9,5.2,119.0,20.9
884,20.6,2.80738,0.0,29.5,5.2,119.0,20.7
885,20.4,2.54597,0.0,30.1,5.1,119.0,20.5
886,20.4,2.30609,0.0,30.6,5.1,119.0,20.5
887,20.5,2.09006,7.74491352804046e-07,31.2,5.1,119.0,20.5
888,20.6,1.9003,7.794457049813595e-07,31.8,5.1,119.0,20.7
889,20.7,1.73779,7.844927744293011e-07,32.3,5.1,119.0,20.7
890,20.7,1.59229,7.896555127825487e-07,32.9,5.1,119.0,20.8
891,21.0,1.46626,0.0,33.4,5.1,119.0,21.0
892,21.1,1.35495,0.0,33.9,5.0,119.0,21.2
893,21.2,1.25314,8.061226628488698e-07,34.4,5.0,119.0,21.2
894,21.3,1.16232,8.120402836943935e-07,34.9,5.0,119.0,21.3
895,21.4,1.07795,0.0,35.4,5.0,119.0,21.5
896,21.7,0.99959,0.0,35.9,5.136842105263158,119.0,21.7
897,32.4,48.62721,0.000239585578198,7.0,3.9,115.0,33.0
898,31.5,47.76636,0.000222057276047,7.3,3.9,115.0,32.2
899,30.6,46.80664,0.0002094379138675,7.7,3.9,115.0,31.2
900,29.7,45.79602,0.0001989879666994,8.0,3.9,115.0,30.4
901,28.7,44.75795,0.0001893244575149,8.3,3.9,116.0,29.4
902,27.6,43.70865,0.0001797005442603,8.6,3.9,116.0,28.3
903,26.5,42.56819,0.0001658928788266,9.0,3.9,117.0,27.3
904,25.4,41.39109,0.0001509211141941,9.3,3.9,117.0,26.1
905,24.3,40.23684,0.0001376706284729,9.7,3.9,117.0,25.0
906,23.3,39.08348,0.0001254379888174,10.1,3.9,118.0,24.0
907,22.6,37.88085,0.0001133008158931,10.5,3.9,118.0,23.2
908,22.0,36.68384,0.0001034842454369,11.0,3.9,118.0,22.7
909,21.8,35.46916,9.230835612759922e-05,11.5,3.9,118.0,22.4
910,21.6,34.27332,8.401620942820484e-05,12.0,3.9,118.0,22.2
911,21.7,33.08687,7.862450776135355e-05,12.5,4.0,118.0,22.3
912,21.9,31.91234,7.511572300943818e-05,13.1,4.0,118.0,22.5
913,22.2,30.73141,7.24916116849336e-05,13.7,4.0,118.0,22.7
914,22.5,29.65447,6.969576681886111e-05,14.3,4.0,118.0,23.0
915,22.9,28.67552,6.9531798213092e-05,14.9,4.0,117.0,23.4
916,23.5,27.79205,6.537282479932238e-05,15.6,3.926315789473684,117.0,23.9
917,34.1,10.0829,2.608912791499417e-05,24.1,4.9,111.0,34.8
918,33.6,10.21701,2.466918621288521e-05,24.5,4.9,111.0,34.3
919,33.1,10.54456,2.4489725947721785e-05,24.8,4.9,111.0,33.9
920,32.7,10.96879,2.551088585943745e-05,25.2,4.9,111.0,33.5
921,32.5,11.36359,2.41015543092374e-05,25.5,4.9,111.0,33.2
922,32.2,11.59021,2.5102861965338923e-05,25.7,4.9,111.0,32.9
923,31.9,11.4747,2.369822678018117e-05,26.0,4.9,111.0,32.7
924,31.7,10.97674,2.347103791276754e-05,26.2,4.8,111.0,32.4
925,31.4,10.31283,2.324135566827613e-05,26.4,4.8,111.0,32.1
926,31.1,9.70968,2.187684945733899e-05,26.5,4.8,112.0,31.8
927,31.0,9.282,2.054834397471184e-05,26.7,4.8,112.0,31.7
928,30.9,9.04645,1.8117480537862705e-05,26.8,4.8,112.0,31.6
929,30.9,8.99517,1.7976376793845787e-05,26.9,4.8,112.0,31.5
930,30.8,9.11148,1.7842048802463985e-05,27.0,4.8,112.0,31.5
931,30.8,9.38123,1.7714654558700275e-05,27.1,4.7,112.0,31.4
932,30.8,9.76597,1.7594230851703728e-05,27.3,4.7,112.0,31.5
933,31.0,10.1893,1.7480550156614803e-05,27.4,4.7,112.0,31.6
934,31.1,10.61272,1.737359083890555e-05,27.5,4.7,112.0,31.7
935,31.2,11.01063,1.6287741411473954e-05,27.6,4.7,112.0,31.8
936,31.5,11.35662,1.6106604244627107e-05,27.7,4.810526315789474,113.0,32.0
937,10.3,2.4838,7.739047071786433e-07,32.3,5.3,120.0,10.5
938,10.1,2.38656,5.791160334258053e-07,33.5,5.3,121.0,10.3
939,10.0,2.29793,5.776964124475091e-07,34.7,5.2,121.0,10.2
940,9.9,2.21654,5.764347701610463e-07,35.9,5.2,121.0,10.1
941,9.8,2.14449,9.588624975836663e-07,37.1,5.1,121.0,9.9
942,9.7,2.07563,5.743339353629274e-07,38.3,5.1,121.0,9.9
943,9.6,2.00486,7.646177713991664e-07,39.5,5.1,121.0,9.8
944,9.5,1.92904,3.817915952398224e-07,40.6,5.1,121.0,9.7
945,9.5,1.84602,7.626675747495257e-07,41.6,5.0,121.0,9.6
946,9.4,1.75483,3.809324273490436e-07,42.5,5.0,121.0,9.6
947,9.4,1.65893,3.8058498957577713e-07,43.4,5.0,121.0,9.6
948,9.4,1.57066,1.901411798260208e-07,44.3,5.0,121.0,9.6
949,9.5,1.49801,3.8001645471248905e-07,45.1,5.0,121.0,9.7
950,9.6,1.44586,1.898933445041259e-07,45.7,5.0,121.0,9.7
951,9.7,1.41238,3.795931482677551e-07,46.4,5.0,121.0,9.9
952,9.8,1.39558,3.794370898996504e-07,46.9,5.0,121.0,10.0
953,10.0,1.38631,3.793234576471135e-07,47.4,5.0,121.0,10.2
954,10.2,1.38071,3.7925728150276906e-07,47.9,4.9,120.0,10.4
955,10.5,1.37489,3.7925728150276906e-07,48.3,4.9,120.0,10.6
956,10.7,1.36579,3.792745426186064e-07,48.8,5.063157894736842,120.0,10.9
957,8.2,2.7502,1.2104057469803157e-06,33.1,5.4,121.0,8.4
958,8.1,2.71727,1.187391451276026e-06,34.0,5.4,121.0,8.3
959,8.1,2.69314,1.3424123103931567e-06,35.0,5.4,121.0,8.3
960,8.2,2.63329,1.158088916522892e-06,36.0,5.3,121.0,8.4
961,8.2,2.52629,1.1033969273753735e-06,37.1,5.3,121.0,8.5
962,8.3,2.42623,1.0173016949962937e-06,38.2,5.3,121.0,8.5
963,8.3,2.37829,1.1059759419265303e-06,39.3,5.3,121.0,8.6
964,8.4,2.37213,1.1620284771095465e-06,40.3,5.3,121.0,8.6
965,8.4,2.36972,1.0303196213818922e-06,41.3,5.2,121.0,8.6
966,8.4,2.35158,1.1487102963809168e-06,42.4,5.2,121.0,8.6
967,8.4,2.32664,1.20429120453021e-06,43.3,5.2,121.0,8.6
968,8.5,2.30795,9.830618444206326e-07,44.3,5.2,121.0,8.7
969,8.6,2.30504,9.323934644170528e-07,45.2,5.2,121.0,8.8
970,8.7,2.32587,8.215510738220235e-07,46.0,5.2,121.0,8.9
971,8.9,2.37171,7.573262529993149e-07,46.8,5.1,121.0,9.1
972,9.2,2.43506,7.088886369736646e-07,47.5,5.1,121.0,9.4
973,9.5,2.50266,7.060496133552138e-07,48.2,5.1,120.0,9.7
974,9.8,2.55858,6.8839595481776e-07,48.8,5.1,120.0,10.0
975,10.1,2.58808,6.8839595481776e-07,49.4,5.1,120.0,10.3
976,10.4,2.5837,6.835418690792643e-07,49.9,5.231578947368422,120.0,10.6
977,58.6,26.94142,0.0001027151579265,9.9,4.3,106.0,58.5
978,58.5,26.64646,0.0001032183643592,10.3,4.3,106.0,58.4
979,58.4,26.33664,0.0001038123748964,10.8,4.3,106.0,58.3
980,58.3,26.01254,0.0001050559685672,11.4,4.3,106.0,58.2
981,58.2,25.73337,0.0001033412195143,11.9,4.3,106.0,58.1
982,58.0,25.43066,9.67263504073254e-05,12.5,4.3,106.0,57.9
983,57.8,25.12967,9.394331992888352e-05,13.1,4.3,106.0,57.7
984,57.4,24.84433,8.85714658440277e-05,13.7,4.3,106.0,57.3
985,57.1,24.54496,8.614702065913239e-05,14.3,4.3,106.0,57.0
986,56.7,24.18633,8.052842488381135e-05,15.0,4.3,107.0,56.7
987,56.3,23.83517,7.053851953237492e-05,15.6,4.3,107.0,56.3
988,55.9,23.48497,6.659626490091427e-05,16.3,4.2,107.0,55.8
989,55.4,23.06181,6.342017545005008e-05,17.1,4.2,107.0,55.3
990,54.9,22.69729,5.669742959459509e-05,17.8,4.2,107.0,54.9
991,54.4,22.24078,5.440641110799553e-05,18.6,4.2,107.0,54.4
992,54.0,21.81688,5.160273400667082e-05,19.4,4.2,108.0,54.0
993,53.6,21.34013,4.889157057555732e-05,20.2,4.2,108.0,53.6
994,53.2,20.91434,4.683298960928309e-05,21.0,4.2,108.0,53.2
995,52.8,20.49485,4.570448383556543e-05,21.8,4.2,108.0,52.8
996,52.4,20.06535,4.344699792106115e-05,22.7,4.257894736842106,108.0,52.4
997,31.6,22.82593,2.302599697857054e-06,26.8,4.3,116.0,31.5
998,31.0,21.66535,2.1069646982278743e-06,27.7,4.3,116.0,30.9
999,30.4,20.336,3.383839249024556e-06,28.7,4.3,116.0,30.4
1000,29.9,18.87963,4.0331816220225305e-06,29.6,4.3,117.0,29.9
1001,29.3,17.39723,5.965199028865598e-06,30.6,4.3,117.0,29.3
1002,28.9,15.93955,4.703466732914283e-06,31.5,4.3,117.0,28.9
1003,28.7,14.50452,5.363111617293503e-06,32.5,4.3,117.0,28.7
1004,28.3,13.1997,5.811446957739804e-06,33.4,4.3,117.0,28.3
1005,27.9,12.02765,6.910191906826428e-06,34.2,4.3,117.0,27.9
1006,27.7,10.99161,8.882520434671553e-06,35.1,4.3,117.0,27.7
1007,27.4,10.09481,6.085865035075231e-06,35.9,4.3,117.0,27.4
1008,27.1,9.32329,5.669584467431944e-06,36.6,4.3,117.0,27.1
1009,26.9,8.63708,5.03179437725419e-06,37.3,4.3,117.0,26.9
1010,26.8,7.98215,5.487376728825476e-06,38.0,4.3,117.0,26.8
1011,26.8,7.33143,4.845136232016836e-06,38.5,4.3,117.0,26.8
1012,26.8,6.71639,5.082915613434986e-06,39.1,4.3,117.0,26.8
1013,26.8,6.18807,4.8793427259202216e-06,39.6,4.3,117.0,26.8
1014,26.9,5.76356,4.674789372912624e-06,40.0,4.3,117.0,26.9
1015,27.2,5.43122,4.45218035515488e-06,40.5,4.3,117.0,27.2
1016,27.5,5.18822,4.262282946045106e-06,41.0,4.3,117.0,27.5
1017,9.7,2.76821,6.205612229154229e-07,37.8,5.5,120.0,9.9
1018,9.6,2.7467,5.102000158988043e-07,39.5,5.5,120.0,9.7
1019,9.5,2.7139,4.2445637083302693e-07,41.2,5.5,120.0,9.7
1020,9.5,2.67492,4.848217344419978e-07,42.9,5.4,120.0,9.6
1021,9.4,2.64216,5.45539133776961e-07,44.6,5.4,120.0,9.5
1022,9.4,2.62044,4.488144360459807e-07,46.3,5.3,121.0,9.5
1023,9.3,2.58471,5.464721892773705e-07,47.9,5.3,121.0,9.5
1024,9.3,2.51639,4.620798769758536e-07,49.4,5.3,121.0,9.4
1025,9.3,2.42983,4.996017321216424e-07,50.8,5.2,121.0,9.4
1026,9.3,2.35718,4.643336977619703e-07,52.1,5.2,121.0,9.4
1027,9.3,2.31281,5.144256212571249e-07,53.4,5.2,121.0,9.4
1028,9.4,2.29173,4.418705105342421e-07,54.5,5.1,121.0,9.5
1029,9.5,2.28573,4.058748240717126e-07,55.6,5.1,121.0,9.6
1030,9.6,2.28731,4.1899132914696914e-07,56.6,5.1,120.0,9.7
1031,9.8,2.29175,4.3211643419296354e-07,57.4,5.0,120.0,10.0
1032,10.1,2.29509,4.081410131652934e-07,58.3,5.0,120.0,10.2
1033,10.4,2.29488,4.088064743845829e-07,59.0,5.0,120.0,10.5
1034,10.7,2.28971,4.342754181650409e-07,59.7,4.9,120.0,10.9
1035,11.1,2.28063,4.342754181650409e-07,60.4,4.9,120.0,11.3
1036,11.6,2.26739,4.357934763260548e-07,61.1,5.205263157894737,120.0,11.7
1037,48.4,35.7517,5.655232330310121e-05,10.3,4.1,107.0,49.0
1038,48.4,34.92904,5.857510293720224e-05,10.8,4.1,107.0,49.1
1039,48.6,34.16321,5.909553914346219e-05,11.4,4.1,107.0,49.2
1040,48.8,33.51413,5.975246300314838e-05,12.0,4.2,107.0,49.4
1041,48.9,32.986,6.078429048761501e-05,12.6,4.2,107.0,49.5
1042,48.8,32.57734,6.155273156337049e-05,13.3,4.2,107.0,49.3
1043,48.6,32.18251,6.219928134746108e-05,14.0,4.2,107.0,49.1
1044,48.1,31.73984,6.387967923001837e-05,14.7,4.2,107.0,48.7
1045,47.5,31.18394,6.17037085208981e-05,15.5,4.2,107.0,48.1
1046,46.7,30.49453,6.02817872143334e-05,16.4,4.3,108.0,47.3
1047,45.7,29.76954,5.949094648863317e-05,17.3,4.3,108.0,46.3
1048,44.5,28.99057,5.8569472106732615e-05,18.3,4.3,108.0,45.2
1049,43.4,28.20377,5.744394718674805e-05,19.3,4.3,108.0,44.2
1050,42.4,27.48152,5.690510346141834e-05,20.4,4.3,109.0,43.1
1051,41.1,26.76223,5.768976662347076e-05,21.5,4.3,109.0,41.9
1052,39.8,26.04802,5.766482076547435e-05,22.6,4.4,109.0,40.7
1053,38.4,25.39269,5.7866567686716616e-05,23.8,4.4,109.0,39.2
1054,36.9,24.7485,5.758974608382446e-05,25.0,4.4,110.0,37.8
1055,35.6,24.12866,5.5733186633587386e-05,26.3,4.4,110.0,36.6
1056,34.5,23.47862,5.354572904026865e-05,27.6,4.257894736842106,111.0,35.4
1057,12.8,3.93713,4.735247572948857e-07,36.7,5.1,119.0,13.0
1058,12.6,3.58688,5.670265552711498e-07,37.9,5.1,119.0,12.8
1059,12.4,3.25001,4.71526273019559e-07,39.2,5.1,119.0,12.6
1060,12.3,2.9614,5.64655661214132e-07,40.6,5.1,119.0,12.5
1061,12.3,2.73066,7.513480357743097e-07,41.9,5.0,119.0,12.5
1062,12.4,2.53249,4.686758613371847e-07,43.2,5.0,119.0,12.5
1063,12.3,2.35464,4.678118326079443e-07,44.5,5.0,119.0,12.5
1064,12.3,2.20878,5.604182214380519e-07,45.7,5.0,119.0,12.5
1065,12.3,2.12211,2.797772525426157e-07,46.8,5.0,119.0,12.5
1066,12.3,2.1046,6.519252096498342e-07,48.0,5.0,119.0,12.5
1067,12.4,2.14196,7.441899924492623e-07,49.0,5.0,119.0,12.6
1068,12.5,2.21773,6.505493982603937e-07,50.0,5.0,119.0,12.6
1069,12.7,2.32115,4.643462418183353e-07,50.9,5.0,119.0,12.8
1070,12.9,2.43948,3.712997542831051e-07,51.8,4.9,119.0,13.1
1071,13.2,2.55692,4.640131363974968e-07,52.5,4.9,119.0,13.3
1072,13.5,2.63555,4.640094331261717e-07,53.2,4.9,119.0,13.6
1073,13.8,2.64318,5.569348459559987e-07,53.8,4.9,119.0,14.0
1074,14.2,2.59374,4.643182132440827e-07,54.4,4.9,119.0,14.3
1075,14.6,2.5311,4.643182132440827e-07,54.9,4.9,119.0,14.7
1076,14.9,2.48003,3.720021509164366e-07,55.4,4.989473684210526,119.0,15.1
1077,24.5,7.954,9.841647885521953e-06,22.3,4.4,118.0,24.6
1078,23.8,7.98946,9.775744422937808e-06,23.0,4.5,118.0,24.0
1079,23.2,7.99991,9.72431565128604e-06,23.9,4.5,118.0,23.3
1080,22.4,7.98805,9.67866821525358e-06,24.7,4.5,119.0,22.6
1081,22.0,7.96652,9.618251594225202e-06,25.5,4.5,119.0,22.1
1082,21.4,7.96043,9.560960685329664e-06,26.4,4.5,119.0,21.6
1083,21.0,7.98771,9.505522708693752e-06,27.2,4.5,119.0,21.1
1084,20.5,8.08841,9.444029956463022e-06,28.0,4.5,119.0,20.7
1085,20.0,8.27329,9.38482473839801e-06,28.8,4.5,119.0,20.2
1086,19.6,8.5585,9.328445228033845e-06,29.6,4.5,119.0,19.8
1087,19.4,8.92782,9.274889165074477e-06,30.3,4.5,120.0,19.6
1088,19.0,9.34036,9.223475590071853e-06,31.0,4.5,120.0,19.2
1089,18.7,9.74695,9.173386172037683e-06,31.7,4.5,120.0,18.9
1090,18.6,10.13607,9.124920156948626e-06,32.3,4.5,120.0,18.8
1091,18.5,10.46456,9.078364441862154e-06,32.9,4.5,120.0,18.7
1092,18.5,10.73156,9.033913310567871e-06,33.4,4.5,120.0,18.7
1093,18.6,10.93513,8.991269477337506e-06,33.9,4.5,120.0,18.8
1094,18.7,11.08443,8.950628334109055e-06,34.4,4.5,120.0,18.8
1095,18.8,11.13047,8.950628334109055e-06,34.8,4.6,120.0,19.0
1096,19.0,11.07044,8.875870944836462e-06,35.3,4.5,119.0,19.2
1097,22.0,21.31441,6.33286799082546e-05,11.2,4.5,118.0,22.4
1098,20.8,20.74993,9.748013842179656e-05,11.8,4.5,119.0,21.3
1099,19.8,20.18718,0.0001101969649079,12.4,4.5,119.0,20.3
1100,19.0,19.65079,9.108580419213031e-05,13.2,4.5,119.0,19.5
1101,18.2,19.13625,6.030157824305656e-05,14.0,4.5,119.0,18.6
1102,17.2,18.63626,7.748789497894858e-05,14.9,4.5,120.0,17.7
1103,16.4,18.16468,5.1626901774881496e-05,15.8,4.5,120.0,16.8
1104,15.5,17.71891,6.945256841333329e-05,16.8,4.5,120.0,15.9
1105,14.5,17.28423,6.537352200080509e-05,17.9,4.5,120.0,14.9
1106,13.5,16.80576,6.477602521805982e-05,19.0,4.5,121.0,14.0
1107,12.5,16.19025,3.173328688957702e-05,20.1,4.5,121.0,12.9
1108,11.5,15.58917,2.546211017382737e-05,21.2,4.5,122.0,11.9
1109,10.6,14.996,3.6598257242057467e-05,22.4,4.5,122.0,11.0
1110,9.8,14.42734,4.98139906627988e-05,23.6,4.5,122.0,10.2
1111,9.1,13.86788,3.9939693111590886e-05,24.7,4.5,123.0,9.5
1112,8.5,13.35216,3.505597124847317e-05,25.8,4.5,123.0,8.9
1113,8.0,12.86187,2.936150317202984e-05,27.0,4.5,123.0,8.4
1114,7.6,12.39829,2.6906876078053743e-05,28.1,4.5,124.0,7.9
1115,7.3,11.95732,3.059363554067168e-05,29.2,4.5,124.0,7.6
1116,7.0,11.53599,3.156498179669377e-05,30.3,4.5,124.0,7.4
1117,51.6,45.52565,0.0002269348833405,6.6,4.0,105.0,52.4
1118,51.7,43.43782,0.0002251416313132,6.9,4.0,105.0,52.5
1119,51.8,41.90558,0.0002266351059774,7.3,4.0,105.0,52.6
1120,51.9,40.74825,0.0002231730363114,7.6,4.0,105.0,52.7
1121,51.9,39.61859,0.0002212443876651,8.0,4.0,105.0,52.7
1122,51.9,38.47756,0.0002152128148852,8.3,4.0,105.0,52.6
1123,51.8,37.41048,0.000215178505604,8.7,4.0,106.0,52.5
