,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
1064,5.32,3.05342,34.22,63.34
1065,5.77,3.03584,32.21,65.34
1066,6.43,3.15872,29.5,68.32
1067,6.61,3.25684,28.26,68.9
1068,6.04,3.27479,31.16,65.7
1069,5.68,3.28084,30.45,63.6
1070,5.11,3.23337,34.08,61.03
1071,4.51,3.18904,37.1,56.98
1072,4.59,3.16002,36.76,56.86
1073,4.34,3.20204,34.89,52.12
1074,4.22,3.26049,35.08,52.11
1075,4.11,3.20258,36.78,51.66
1076,3.77,3.09987,35.18,48.13
1077,1.86,10.22267,59.3,34.72
1078,2.15,10.18577,56.12,38.22
1079,2.71,10.1095,50.99,43.91
1080,2.16,10.01301,53.71,40.9
1081,2.59,9.90915,47.23,48.36
1082,2.42,9.85639,48.58,47.06
1083,2.04,9.81067,52.81,39.97
1084,2.01,9.74017,55.37,38.34
1085,1.96,9.77674,55.2,36.44
1086,2.17,9.81332,54.58,39.93
1087,2.06,9.87826,56.57,37.95
1088,2.42,9.98174,54.28,41.63
1089,2.39,10.08128,54.76,41.0
1090,2.28,10.12728,55.12,40.49
1091,2.09,10.2005,51.89,43.85
1092,1.93,10.19547,53.98,41.64
1093,1.77,10.21425,55.74,39.78
1094,1.89,10.10456,55.11,40.54
1095,1.86,9.96689,54.91,40.69
1096,2.06,9.83834,54.42,41.39
1097,1.91,19.90315,58.99,35.44
1098,1.98,19.49606,62.32,32.64
1099,1.94,19.08854,62.11,32.34
1100,2.04,18.68402,61.62,33.18
1101,2.02,18.30566,60.04,32.32
1102,1.88,17.92917,62.48,30.6
1103,2.07,17.49854,61.52,32.47
1104,1.98,17.09586,61.62,31.96
1105,2.05,16.6925,59.05,33.78
1106,2.26,16.30276,56.92,35.65
1107,2.06,15.9448,58.95,33.66
1108,1.99,15.46478,58.88,33.43
1109,2.03,15.02349,58.32,33.36
1110,2.21,14.72427,54.62,38.37
1111,2.24,14.39107,55.56,38.01
1112,2.28,14.07299,55.72,37.93
1113,2.29,13.74196,56.06,37.69
1114,2.2,13.37625,54.13,35.84
1115,2.21,13.04729,57.5,36.01
1116,2.39,12.74328,55.99,38.43
1117,0.3,30.90532,65.31,6.35
1118,0.37,30.23126,63.36,7.59
1119,0.64,29.78478,59.35,11.94
1120,0.42,29.41427,62.46,8.83
1121,0.24,29.14039,69.42,5.05
1122,0.26,28.52574,70.01,6.46
1123,0.25,28.09705,70.9,6.88
1124,0.24,27.72599,71.56,7.01
1125,0.27,27.36395,71.02,8.26
1126,0.26,27.05482,72.58,7.28
1127,0.36,26.7871,69.3,10.59
1128,0.51,26.50315,59.99,13.47
1129,0.51,26.27419,62.4,14.68
1130,0.49,26.02431,61.91,14.12
1131,0.61,25.71992,58.36,12.77
1132,0.43,25.60056,49.35,7.39
1133,0.66,25.52346,49.76,12.3
1134,0.6,25.40344,64.6,15.34
1135,0.6,25.31545,67.12,16.51
1136,0.9,25.2023,59.22,22.52
1137,3.15,44.79614,37.71,46.68
1138,2.89,44.2212,39.06,43.05
1139,1.73,43.7772,38.17,29.78
1140,2.25,43.24031,34.27,38.2
1141,3.22,42.4623,30.77,43.09
1142,2.69,41.84933,33.15,37.09
1143,2.49,41.22575,35.79,34.13
1144,2.53,40.42266,32.46,34.67
1145,2.21,39.66908,36.21,31.44
