,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
2128,7.59,2.71571,14.59,85.02
2129,7.97,2.70081,14.38,85.29
2130,8.66,2.6215,14.14,85.51
2131,9.04,2.55531,14.27,85.38
2132,8.78,2.50632,14.51,85.12
2133,8.59,2.47745,13.97,85.7
2134,9.03,2.44082,13.86,85.82
2135,2.5,8.02281,11.75,81.75
2136,2.53,7.76423,11.27,82.03
2137,2.65,7.55417,10.15,83.47
2138,2.63,7.34073,10.58,82.87
2139,2.44,7.17159,11.15,81.91
2140,2.13,7.00336,10.55,82.34
2141,1.86,6.84644,11.48,80.69
2142,1.97,6.70655,11.27,81.14
2143,1.59,6.55361,12.45,78.83
2144,2.3,6.39569,11.5,81.3
2145,2.33,6.18993,10.41,82.71
2146,2.08,6.0014,10.84,81.82
2147,2.1,5.82283,10.43,82.43
2148,2.44,5.63553,7.14,87.24
2149,3.17,5.50455,5.78,89.77
2150,3.85,5.45322,5.74,89.42
2151,3.87,5.46351,6.1,88.89
2152,3.46,5.47587,7.08,87.21
2153,3.6,5.53449,5.95,87.66
2154,3.52,5.56309,6.56,86.44
2155,1.01,39.88439,61.53,35.12
2156,0.96,39.31384,60.11,35.37
2157,1.07,38.92901,54.87,37.89
2158,0.61,38.62369,65.53,25.02
2159,0.65,38.54374,66.0,27.89
2160,0.59,38.57723,71.02,21.81
2161,0.49,38.26382,78.02,16.27
2162,0.67,37.98163,72.43,21.33
2163,0.56,37.66842,73.1,19.21
2164,0.57,37.26067,72.34,21.76
2165,0.57,36.49655,70.39,22.02
2166,0.61,35.62989,67.14,26.09
2167,0.68,34.82981,64.19,28.75
2168,0.7,34.24593,65.17,27.0
2169,0.7,33.65653,66.52,25.66
2170,0.74,32.87443,66.18,27.54
2171,0.86,32.41625,62.22,29.84
2172,0.92,31.89944,60.24,31.59
2173,1.14,31.29862,56.24,35.73
2174,1.08,30.6252,53.81,31.98
2175,4.67,11.49833,27.44,67.59
2176,4.55,11.31844,28.55,66.55
2177,4.58,11.12904,29.21,65.83
2178,4.31,10.96909,29.65,65.17
2179,4.64,10.7873,28.98,66.43
2180,3.82,10.5697,32.24,62.64
2181,4.21,10.35502,29.91,65.27
2182,4.69,10.11015,28.11,67.7
2183,4.65,9.90163,28.23,67.93
2184,4.75,9.72368,28.48,67.83
2185,4.74,9.51175,28.71,66.97
2186,4.31,9.27014,30.51,65.44
2187,3.98,9.03229,34.16,60.65
2188,4.15,8.82372,32.31,62.45
2189,4.32,8.61749,30.44,62.36
2190,4.3,8.40485,30.28,63.18
2191,4.8,8.22826,28.14,65.59
2192,4.42,8.06597,29.18,64.03
2193,4.69,7.89089,28.7,64.49
2194,5.01,7.7144,27.57,66.11
2195,2.32,17.05079,49.1,38.63
2196,1.95,16.8099,52.39,34.73
2197,1.47,16.54199,56.07,30.84
2198,1.63,16.29602,54.63,33.22
2199,1.6,15.98843,56.96,32.39
2200,1.59,15.60991,57.92,32.84
2201,1.76,15.16507,56.72,35.11
2202,1.74,14.62186,57.96,34.57
2203,1.62,14.1489,60.47,32.17
2204,2.12,13.74223,55.45,38.4
2205,2.13,13.36143,53.93,38.99
2206,2.46,13.0263,50.01,42.28
2207,3.03,12.65922,46.33,46.44
2208,2.65,12.26199,47.5,43.74
2209,3.17,11.92534,44.39,47.71
2210,3.16,11.50817,43.81,47.17
2211,3.15,11.24188,42.92,47.16
2212,3.03,10.97448,43.77,45.8
2213,3.02,10.72705,43.88,44.92
2214,3.3,10.53607,41.63,46.0
2215,2.34,13.60428,40.28,53.02
2216,2.48,13.10325,40.65,52.44
2217,2.52,12.63412,39.94,51.08
2218,2.34,12.22321,37.49,50.92
2219,2.3,11.78947,36.69,52.0
2220,2.57,11.15113,34.02,54.99
2221,2.22,10.54035,40.33,50.26
2222,2.15,10.00585,42.54,48.67
2223,2.17,9.55582,43.35,48.09
2224,2.51,9.23958,40.28,50.36
2225,2.45,8.99154,39.51,51.9
2226,2.31,8.75688,40.33,50.97
2227,2.49,8.49365,38.87,52.49
2228,2.66,8.2559,35.09,55.85
2229,2.96,8.04372,31.56,59.55
2230,3.03,7.85725,29.93,60.88
2231,3.07,7.64842,29.33,61.66
2232,3.06,7.39998,28.64,62.17
2233,3.2,7.20322,29.41,61.5
2234,3.28,7.05049,28.13,62.89
2235,1.36,14.02695,41.19,44.4
2236,1.16,13.98959,44.62,40.6
2237,0.98,13.98767,47.77,37.04
2238,1.11,13.91404,47.7,36.22
2239,1.09,13.82969,47.78,35.72
2240,1.24,13.68454,52.11,33.1
2241,1.21,13.44764,54.04,32.09
2242,1.18,13.13526,55.97,31.32
2243,1.16,12.90376,57.45,30.14
2244,1.28,12.59297,55.58,30.65
2245,1.32,12.28655,54.85,31.9
2246,1.06,11.98855,58.89,26.38
2247,1.1,11.71564,58.31,26.29
2248,1.12,11.47314,57.57,26.21
2249,1.26,11.24615,52.38,34.11
2250,1.47,11.07568,51.18,37.67
2251,1.47,10.94018,50.49,37.26
2252,1.48,10.7709,50.15,37.44
2253,1.54,10.59426,50.44,38.86
2254,1.66,10.41557,48.56,40.6
2255,3.61,4.28561,31.33,68.21
2256,3.99,4.07612,29.19,70.34
2257,4.24,3.90965,26.66,69.96
2258,4.08,3.7991,28.05,68.58
2259,3.96,3.70371,29.79,67.46
2260,3.98,3.58448,28.05,68.52
2261,4.0,3.52985,27.32,68.98
2262,4.09,3.4456,26.67,69.69
2263,4.54,3.27584,24.43,71.21
2264,4.73,2.99853,24.52,71.75
2265,4.58,2.95721,23.87,71.35
2266,4.43,2.98215,23.96,71.03
2267,4.35,2.92747,24.27,69.83
2268,4.51,2.73086,23.8,70.3
2269,4.47,2.51943,23.01,69.94
2270,4.43,2.38472,23.31,69.33
2271,4.5,2.32633,23.08,68.81
2272,4.51,2.30955,23.06,68.82
2273,4.5,2.33756,20.79,71.09
2274,4.6,2.33555,20.44,71.38
2275,6.0,4.00076,25.71,69.74
2276,6.05,3.83624,25.11,70.17
2277,6.33,3.65047,23.18,71.99
2278,6.44,3.41581,23.69,70.6
2279,6.73,3.20161,23.5,70.56
2280,6.84,3.10434,23.68,70.9
2281,5.93,3.03559,25.52,63.44
2282,5.8,2.91783,25.91,62.71
2283,5.99,2.81588,26.39,62.5
2284,6.46,2.77141,25.1,63.8
2285,6.67,2.65831,24.71,66.52
2286,6.28,2.6016,26.65,64.51
2287,5.92,2.59761,29.58,61.28
2288,5.86,2.56173,28.79,62.29
2289,5.77,2.57215,29.33,61.74
2290,5.75,2.56174,29.53,61.67
2291,5.78,2.51465,29.43,61.57
2292,5.69,2.47801,29.69,61.14
2293,5.76,2.4988,29.92,61.16
2294,5.81,2.47917,30.45,60.91
2295,1.17,6.3301,30.03,59.52
2296,1.46,6.14648,27.42,63.05
2297,1.55,6.01827,27.51,62.91
2298,2.63,6.00294,18.53,75.02
2299,2.39,6.04016,18.56,74.99
2300,1.92,6.14761,18.61,74.91
2301,1.71,6.22116,18.67,74.84
2302,1.55,6.37017,18.72,74.76
2303,1.22,6.54599,18.78,74.68
2304,1.69,6.59592,19.38,71.01
2305,1.33,6.58767,18.73,70.99
2306,1.18,6.51494,16.89,73.54
2307,1.38,6.36612,10.88,79.14
2308,1.75,6.21575,6.91,84.17
2309,2.1,6.05577,5.67,86.74
2310,2.51,5.90527,7.26,83.57
2311,2.61,5.78115,8.79,80.39
2312,2.25,5.64451,10.95,75.71
2313,1.88,5.52317,12.83,71.59
2314,2.12,5.39784,12.33,72.76
2315,3.34,6.71377,19.42,79.26
2316,3.49,6.46462,18.94,79.75
2317,3.68,6.27965,17.84,80.4
2318,4.46,6.11119,15.13,83.07
2319,4.04,5.90844,24.33,73.81
2320,4.41,5.60846,18.5,79.78
2321,4.02,5.17761,19.99,79.29
2322,4.09,4.75102,17.6,81.45
2323,4.07,4.45775,18.18,81.09
2324,4.15,4.25447,20.78,78.66
2325,4.61,4.10143,19.63,79.89
2326,3.53,4.0952,24.28,74.98
2327,3.64,4.10846,22.43,76.87
2328,4.1,3.99284,20.18,78.95
2329,3.96,3.82193,20.31,78.88
2330,3.86,3.62379,21.28,77.94
2331,3.91,3.46836,20.75,78.18
2332,4.05,3.35565,20.49,78.59
2333,4.43,3.28136,19.46,79.69
2334,4.6,3.22499,18.88,80.14
2335,2.98,6.68848,30.21,59.36
2336,3.04,6.58743,30.79,58.04
2337,3.22,6.3766,31.21,58.3
2338,3.0,6.07946,33.28,58.1
2339,2.8,5.8156,33.81,58.77
2340,2.92,5.63736,31.93,61.14
2341,2.94,5.39614,31.13,61.73
2342,2.95,5.25771,31.45,62.05
2343,3.07,4.99578,31.55,62.63
2344,3.5,4.7437,34.58,62.07
2345,3.05,4.59536,35.33,61.38
2346,3.0,4.55262,34.19,62.65
2347,3.14,4.60416,33.4,63.71
2348,3.17,4.25438,34.83,62.38
2349,3.2,4.09839,35.83,61.79
2350,3.11,4.43578,38.65,58.72
2351,3.01,4.37512,40.48,56.95
2352,3.06,4.16126,40.49,57.09
2353,3.18,3.95852,38.31,59.46
2354,3.45,3.75316,36.57,61.15
2355,0.77,28.66508,26.59,18.07
2356,0.82,27.97839,27.68,21.05
2357,0.89,27.09871,28.46,24.23
2358,2.67,26.05614,17.12,33.25
2359,2.19,24.93478,21.22,25.68
2360,1.84,23.84354,23.8,20.91
2361,1.48,22.71678,14.27,19.49
2362,1.74,21.59352,12.5,22.22
2363,1.81,20.5847,11.78,23.99
2364,1.87,19.7583,11.38,24.11
2365,2.03,18.9438,11.09,25.22
2366,2.19,18.28341,10.79,27.69
2367,2.05,17.94728,10.18,25.36
2368,2.16,18.18723,12.31,32.07
2369,2.18,18.53618,12.08,31.4
2370,2.1,18.31302,12.18,31.64
2371,2.22,17.92305,11.36,32.09
2372,2.23,17.56094,11.82,34.88
2373,2.35,17.23915,11.68,35.1
2374,2.56,16.9361,11.67,39.95
2375,1.67,13.39873,58.86,34.41
2376,1.79,13.41603,56.88,34.9
2377,1.83,13.38006,56.91,33.95
2378,1.64,13.24563,59.64,31.35
2379,1.57,13.17933,57.45,32.92
2380,1.6,13.10511,55.97,32.98
2381,1.56,13.04924,58.68,30.43
2382,1.55,12.85377,63.93,28.11
2383,1.59,12.58039,59.59,31.53
2384,1.81,12.32443,57.42,34.64
2385,1.81,12.15417,54.76,35.94
2386,1.81,12.05818,55.6,35.15
2387,2.03,12.01747,51.65,40.58
2388,2.07,11.89777,52.07,40.23
2389,1.91,11.75872,51.96,40.13
2390,1.99,11.54794,49.56,43.47
2391,1.96,11.35663,51.22,39.96
2392,2.04,11.25903,49.79,43.73
2393,1.98,11.21663,49.15,44.74
2394,2.05,11.18453,46.25,47.45
2395,3.0,10.88382,27.28,69.89
2396,2.94,10.90064,28.61,68.42
2397,2.95,11.03011,28.46,68.58
2398,2.78,11.28329,30.44,66.4
2399,2.6,11.58144,32.75,63.85
2400,2.53,11.83638,33.55,62.76
2401,2.29,12.15164,34.95,59.48
2402,2.22,12.43133,35.82,55.87
2403,2.43,12.77891,34.44,59.47
2404,2.65,13.15535,33.37,61.09
2405,2.7,13.4515,32.23,59.23
2406,2.53,13.5446,32.66,56.64
2407,2.91,13.51163,31.86,62.02
2408,2.84,13.50634,33.02,62.1
2409,2.68,13.50834,33.11,61.61
2410,2.63,13.40916,30.77,64.38
2411,2.72,13.08802,30.99,65.29
2412,2.86,12.74076,29.5,66.17
2413,3.05,12.40066,28.94,67.66
2414,3.15,12.09531,29.11,66.31
2415,3.67,10.78295,11.95,83.56
2416,3.2,10.57688,13.99,81.31
2417,3.51,10.38739,13.22,75.58
2418,2.89,10.22654,14.38,67.41
2419,3.1,10.16226,12.97,66.65
2420,3.26,10.05281,13.04,68.48
2421,3.53,10.00228,12.81,70.37
2422,3.36,9.92235,13.08,69.01
2423,3.56,9.85651,14.25,76.39
2424,4.09,9.84258,12.55,77.69
2425,3.99,9.7157,12.61,75.41
2426,3.7,9.65192,12.29,68.12
2427,3.98,9.59995,13.9,78.45
2428,4.17,9.51278,11.07,64.78
2429,4.66,9.41027,11.0,70.58
2430,4.58,9.29877,11.5,79.11
2431,4.16,9.14231,11.72,76.62
2432,4.17,9.01991,11.3,74.93
2433,3.95,8.8929,11.79,72.21
2434,4.62,8.75406,10.14,72.64
2435,3.03,9.26927,18.46,72.05
2436,3.24,9.00393,18.03,72.54
2437,3.07,8.72724,18.45,72.31
2438,2.88,8.451,17.95,72.37
2439,2.56,8.17326,18.15,71.48
2440,2.48,7.89934,16.49,72.5
2441,2.64,7.64596,15.39,72.98
2442,2.51,7.39567,16.74,70.39
2443,1.89,7.16828,19.37,63.59
2444,2.79,6.90451,18.35,64.99
2445,2.26,6.67766,18.95,61.93
2446,2.49,6.46086,15.62,67.07
2447,2.74,6.22487,15.16,68.28
2448,3.11,6.004,14.36,69.59
2449,3.73,5.7805,13.14,71.37
2450,4.11,5.59078,14.38,68.47
2451,3.89,5.41155,15.71,66.71
2452,4.5,5.27438,14.32,71.85
2453,4.04,5.14311,15.9,70.3
2454,3.93,5.01679,16.5,69.17
2455,1.25,25.33601,55.61,35.39
2456,1.42,25.13836,52.8,38.48
2457,1.34,24.98419,55.35,33.91
2458,1.54,24.73224,54.94,35.95
2459,1.63,24.44969,55.09,35.61
2460,1.6,24.07117,39.52,43.41
2461,1.76,23.65364,37.44,46.75
2462,1.32,23.16512,44.27,38.62
2463,1.39,22.77375,41.63,39.55
2464,1.41,22.74074,45.62,36.61
2465,1.16,22.60528,48.68,28.84
2466,1.31,22.2701,50.8,31.05
2467,1.22,21.99249,52.77,28.57
2468,1.17,21.56837,55.24,26.69
2469,1.08,20.90608,50.45,24.57
2470,1.08,20.23589,50.89,24.6
2471,1.07,19.59669,51.2,25.07
2472,0.96,19.75641,53.54,23.93
2473,0.96,19.81252,49.84,22.66
2474,1.03,19.74843,50.99,25.03
2475,4.25,5.26214,29.61,65.43
2476,4.58,5.31235,28.48,66.82
2477,5.82,5.34589,23.83,72.17
2478,5.68,5.27764,24.98,69.86
2479,5.59,5.20047,27.29,67.86
2480,5.42,5.11778,29.82,65.46
2481,5.3,5.10749,32.84,62.5
2482,5.72,5.13057,34.71,61.02
2483,5.86,5.0792,35.15,61.88
2484,5.76,5.02713,35.17,61.65
2485,5.81,4.90935,36.4,61.0
2486,5.57,4.77912,36.4,61.12
2487,5.79,4.72842,35.43,62.12
2488,5.57,4.66458,37.87,59.86
2489,5.38,4.71272,39.94,58.26
2490,5.08,4.78875,40.59,57.68
2491,4.87,4.78238,40.45,57.58
2492,4.72,4.64797,40.64,57.48
2493,5.07,4.5407,38.31,59.37
2494,5.06,4.4362,37.04,58.35
2495,2.08,34.2993,75.65,18.04
2496,2.51,33.9293,71.15,22.89
2497,2.8,33.17647,68.58,24.56
2498,2.2,32.70063,70.83,20.32
2499,2.1,32.17533,67.04,19.13
2500,1.72,31.64136,66.75,15.59
2501,1.08,30.97316,68.65,10.43
2502,1.07,30.23075,72.93,10.7
2503,0.63,29.45552,75.54,6.41
2504,0.93,28.61084,69.9,8.41
2505,1.27,27.68767,64.02,11.63
2506,0.89,26.91001,69.95,6.69
2507,0.95,26.17916,73.19,8.99
2508,0.81,25.63888,62.9,6.97
2509,1.34,25.13491,34.97,6.78
2510,1.64,24.80615,36.7,8.04
2511,1.85,24.60175,41.55,11.17
2512,0.85,24.34597,54.5,9.05
2513,0.77,24.03273,60.99,9.27
2514,1.23,23.72398,55.18,14.0
2515,1.21,2.96175,48.18,36.33
2516,0.88,2.82214,55.59,27.89
2517,1.05,2.7318,53.09,31.33
2518,1.34,2.66521,48.46,37.07
2519,1.02,2.60506,51.01,32.46
2520,1.0,2.54717,49.99,32.99
2521,1.0,2.46722,48.83,33.92
2522,0.95,2.37693,48.47,33.49
2523,1.19,2.3036,46.46,37.31
2524,1.19,2.26575,43.29,34.88
2525,1.15,2.26571,41.46,35.88
2526,1.17,2.27287,39.51,37.12
2527,1.31,2.26738,37.65,39.3
2528,1.54,2.21765,36.17,41.7
2529,1.74,2.16496,33.3,45.04
2530,1.97,2.12971,33.09,47.08
2531,2.08,2.10277,32.66,47.34
2532,2.11,2.07118,32.11,48.27
2533,2.04,2.02621,29.07,50.01
2534,2.05,1.98168,30.15,50.2
2535,5.57,3.58078,13.27,71.39
2536,5.56,3.5883,12.9,70.56
2537,5.81,3.58864,12.56,72.43
2538,5.83,3.54668,12.49,71.97
2539,5.72,3.51066,12.17,71.99
2540,5.77,3.45104,13.02,72.22
2541,5.61,3.33432,12.28,71.74
2542,5.28,3.2224,13.63,70.24
2543,5.67,3.09681,12.64,72.16
2544,6.15,2.97437,12.78,72.02
2545,6.2,2.86977,12.64,72.36
2546,6.17,2.79183,12.2,72.27
2547,6.17,2.74693,12.46,70.85
2548,6.14,2.73557,12.45,70.3
2549,6.0,2.71655,12.98,70.52
2550,6.06,2.73112,12.5,71.35
2551,6.12,2.73128,12.0,72.29
2552,5.88,2.67668,12.33,71.8
2553,6.0,2.61202,11.98,72.41
2554,6.17,2.54577,11.66,72.37
2555,4.44,13.08807,5.4,92.08
2556,6.03,12.97092,4.63,91.22
2557,5.74,12.85315,2.59,56.78
2558,5.24,12.77979,2.93,74.03
2559,4.89,12.64671,2.66,63.3
2560,6.4,12.55593,2.17,70.99
2561,5.25,12.40249,2.66,65.59
2562,4.96,12.26459,2.87,69.12
2563,3.14,12.10027,3.46,55.24
2564,2.99,11.91052,2.42,42.59
2565,3.06,11.70822,2.1,36.53
2566,2.95,11.52056,2.43,49.05
2567,3.1,11.36964,2.57,62.0
2568,2.78,11.16083,3.04,57.99
2569,2.97,10.96284,2.8,58.59
2570,3.21,10.76518,2.97,69.13
2571,3.17,10.58542,3.0,70.18
2572,3.12,10.42215,3.07,73.74
2573,3.11,10.24593,3.59,77.89
2574,3.57,10.06249,3.44,74.74
2575,2.99,20.75887,14.46,36.59
2576,2.68,20.49708,14.13,33.73
2577,2.58,20.10117,13.56,34.53
2578,3.14,19.73239,12.33,39.64
2579,3.06,19.26517,11.85,39.37
2580,3.08,18.80483,11.31,40.0
2581,3.61,18.379,10.58,46.97
2582,3.67,18.00471,9.7,47.79
2583,3.73,17.71703,8.84,47.35
2584,4.24,17.51127,8.11,49.74
2585,4.45,17.25568,8.0,51.33
2586,4.53,17.08845,7.75,51.87
2587,4.54,16.97405,7.72,51.73
2588,4.53,16.81824,7.61,51.15
2589,4.75,16.72063,5.66,55.56
2590,5.02,16.70938,5.74,57.08
2591,4.99,16.66431,5.79,56.6
2592,4.98,16.61113,5.85,57.12
2593,5.08,16.50818,5.82,57.3
2594,5.35,16.3789,5.69,58.76
2595,4.92,3.25858,24.32,71.64
2596,4.87,3.20273,24.85,71.31
2597,4.9,3.05744,24.6,71.32
2598,5.38,2.94216,22.46,71.11
2599,5.46,2.84267,22.16,71.35
2600,5.53,2.82564,21.76,71.56
2601,5.64,2.80111,21.02,72.1
2602,5.73,2.71559,20.73,72.3
2603,6.14,2.69934,20.64,73.28
2604,6.84,2.70361,19.02,75.07
2605,6.79,2.70915,20.29,74.44
2606,6.74,2.73919,20.39,73.49
2607,6.6,2.74508,21.81,72.11
2608,6.44,2.64239,22.77,71.01
2609,6.39,2.39975,23.14,70.26
2610,6.51,2.31184,22.3,71.32
2611,6.41,2.29542,21.96,71.55
2612,6.32,2.28297,22.23,70.53
2613,6.32,2.26385,22.25,70.27
2614,6.45,2.24311,21.81,70.62
2615,2.28,10.26178,40.04,53.63
2616,2.2,9.64569,41.09,52.57
2617,2.23,9.00309,40.45,53.45
2618,2.08,8.57234,37.61,55.08
2619,2.2,8.54378,41.03,52.7
2620,2.11,8.36258,40.5,52.64
2621,2.03,8.39114,40.95,50.96
2622,1.92,8.36094,44.85,48.5
2623,1.72,8.15751,50.64,43.22
2624,1.7,7.80793,53.29,40.6
2625,1.56,7.44756,53.3,40.44
2626,1.58,7.12814,51.22,42.54
2627,1.44,6.86973,51.93,42.22
2628,1.74,6.62158,48.93,45.42
2629,1.61,6.48437,48.68,44.73
2630,1.71,6.33276,48.93,43.96
2631,1.67,6.14451,50.12,43.12
2632,1.47,6.10194,49.25,41.01
2633,1.79,6.04993,46.82,45.69
2634,1.93,5.83276,45.64,47.22
2635,3.04,14.43679,15.4,48.39
2636,1.99,14.37363,27.33,48.61
2637,2.63,14.26531,23.01,46.13
2638,2.29,14.16883,23.55,43.73
2639,2.6,14.09358,20.7,44.5
2640,2.53,13.96584,20.86,45.05
2641,2.91,13.75598,18.08,46.4
2642,2.77,13.52898,19.5,49.49
2643,2.25,13.34658,24.28,44.19
2644,2.45,13.12931,21.97,45.96
2645,2.13,12.92058,23.58,42.37
2646,1.92,12.7128,27.2,40.63
2647,1.88,12.45614,28.27,41.0
2648,2.02,12.2214,27.87,42.11
2649,2.01,12.00494,28.98,41.5
2650,3.39,11.85617,22.0,54.48
2651,3.93,11.6593,21.84,61.91
2652,3.46,11.50833,26.38,58.23
2653,5.26,11.36816,19.83,66.65
2654,7.01,11.20393,16.09,72.02
2655,6.19,3.73191,14.46,84.48
2656,6.49,3.6235,16.88,82.15
2657,6.78,3.47466,16.51,82.57
2658,6.91,3.32251,15.88,83.13
2659,6.72,3.15992,16.28,82.69
2660,6.71,3.03529,16.64,82.29
2661,6.63,2.98853,16.54,82.36
2662,6.6,2.98053,16.34,82.52
2663,6.77,2.96221,16.33,82.5
2664,7.24,2.92176,16.4,82.51
2665,6.86,2.88398,16.38,82.49
2666,8.8,2.89674,14.55,84.48
2667,9.04,2.89501,14.81,84.22
2668,9.16,2.89742,14.93,84.02
2669,9.2,2.89663,14.92,84.03
2670,9.07,2.81473,14.9,83.96
2671,9.14,2.72025,14.49,84.26
2672,9.14,2.64399,14.09,84.71
2673,9.28,2.54644,13.96,84.78
2674,9.22,2.44919,13.88,84.88
2675,2.6,2.74505,31.04,28.57
2676,2.83,2.7298,30.12,29.97
2677,3.09,2.72185,29.05,31.36
2678,3.17,2.70052,28.62,31.41
2679,3.15,2.63553,28.76,30.89
2680,3.11,2.56497,27.14,31.05
2681,2.92,2.50961,27.35,30.61
2682,2.88,2.44594,27.33,30.71
2683,3.0,2.382,26.5,31.61
2684,3.24,2.31237,26.2,32.15
2685,3.22,2.25479,26.19,32.36
2686,3.3,2.23519,25.65,32.94
2687,3.46,2.23149,25.87,33.74
2688,3.43,2.25642,25.16,32.79
2689,3.41,2.27457,26.04,32.1
2690,3.5,2.26796,25.86,31.82
2691,3.5,2.26488,26.57,31.0
2692,3.62,2.25844,26.41,31.56
2693,3.55,2.24401,27.98,31.22
2694,3.63,2.224,25.29,32.11
2695,1.55,12.74301,64.33,35.53
2696,1.86,12.44991,58.38,41.41
2697,2.05,12.19497,54.18,45.4
2698,2.45,11.94784,51.74,47.93
2699,2.14,11.69474,52.02,47.69
2700,2.07,11.47062,49.5,50.35
2701,1.77,11.24646,51.46,46.97
2702,1.76,11.05736,51.92,47.33
2703,1.57,10.88884,53.01,46.15
2704,1.59,10.77446,54.0,44.87
2705,1.47,10.67257,54.0,44.79
2706,1.5,10.62413,53.37,45.2
2707,1.61,10.64482,53.69,45.29
2708,0.89,13.82136,79.15,20.75
2709,0.88,13.49157,76.52,19.13
2710,0.81,13.13538,78.17,18.19
2711,0.77,12.73745,73.3,16.36
2712,0.89,12.39452,71.74,18.65
2713,0.99,12.11887,66.1,18.98
2714,0.94,11.88287,68.79,18.6
2715,1.08,11.68117,70.61,19.45
2716,1.37,11.42165,68.58,23.17
2717,1.08,11.16194,69.64,18.52
2718,1.18,10.85782,70.43,20.58
2719,1.31,10.4989,62.54,22.28
2720,1.61,10.13892,63.94,26.88
2721,1.9,9.83534,61.91,29.09
2722,2.08,9.59343,62.19,31.17
2723,2.04,9.41362,62.58,29.61
2724,2.0,9.26965,66.0,28.57
2725,2.1,9.17774,63.15,29.0
2726,1.96,9.13219,68.42,27.05
2727,1.94,9.01908,71.22,27.32
2728,0.75,25.28329,38.47,21.84
2729,1.09,24.63166,40.91,25.71
2730,1.33,24.01176,42.52,28.41
2731,1.49,23.55208,40.01,27.92
2732,1.97,23.15185,37.37,34.28
2733,2.31,22.78958,33.71,36.55
2734,2.38,22.49385,25.77,31.32
2735,1.94,22.26561,28.47,28.2
2736,2.26,22.12311,32.59,40.63
2737,1.48,21.97888,34.65,29.33
2738,1.45,21.77114,31.89,27.76
2739,1.29,21.63634,27.95,25.45
2740,1.18,21.46186,24.69,23.43
2741,1.19,21.03843,24.09,25.51
2742,1.2,20.57381,25.98,29.87
2743,1.26,20.13904,25.83,34.45
2744,1.61,19.74383,21.89,40.62
2745,1.58,19.38951,21.35,38.65
2746,1.56,19.08475,20.88,37.64
2747,1.56,18.81076,22.15,40.88
2748,1.71,10.50626,34.19,55.19
2749,1.66,10.14421,33.99,55.01
2750,2.08,9.80937,27.9,62.27
2751,2.05,9.447,27.17,63.07
2752,2.01,9.15372,26.41,64.12
2753,2.01,8.84945,27.58,63.71
2754,2.23,8.54752,17.66,71.95
2755,2.41,8.26475,14.81,75.61
2756,2.61,8.00855,14.7,75.37
2757,2.65,7.74779,15.9,73.13
2758,2.5,7.49307,14.5,73.77
2759,2.73,7.21025,13.01,76.43
2760,2.68,6.95842,13.42,76.08
2761,2.62,6.71974,12.54,75.95
2762,2.79,6.51107,12.86,75.68
2763,2.75,6.33801,12.51,74.94
2764,2.85,6.17807,11.35,75.95
2765,2.77,6.04174,11.87,71.97
2766,2.69,5.88823,10.25,70.47
2767,2.72,5.75912,8.67,71.66
2768,0.29,28.49156,76.81,10.41
2769,0.33,28.15402,75.56,11.26
2770,0.34,27.72415,74.7,11.76
2771,0.38,27.46224,72.99,12.83
2772,0.44,27.12707,70.48,14.39
2773,0.5,26.79069,68.78,15.25
2774,0.56,26.42793,66.54,16.38
2775,0.62,26.0845,66.7,16.11
2776,0.61,25.82724,65.99,15.96
2777,0.71,25.35047,65.25,17.34
2778,1.15,24.98048,62.13,25.87
2779,1.07,24.56366,62.17,23.52
2780,1.21,24.30244,59.29,25.14
2781,0.99,23.98406,57.87,20.07
2782,1.03,23.6177,57.36,20.37
2783,0.94,23.3667,57.51,19.03
2784,0.98,23.09928,54.68,18.34
2785,1.05,22.85013,61.47,16.14
2786,1.02,22.64025,64.66,16.75
2787,0.86,22.39126,66.21,15.08
2788,1.57,11.88264,57.35,37.0
2789,1.74,11.81004,51.31,43.19
2790,1.97,11.71161,52.29,41.63
2791,1.9,11.57819,48.58,45.48
2792,1.86,11.49742,52.94,43.12
2793,2.15,11.35406,46.25,48.4
2794,1.86,11.18161,49.33,44.87
2795,1.92,11.02112,49.28,46.18
2796,1.75,10.86389,46.72,47.79
2797,2.61,10.67817,47.51,47.6
2798,2.45,10.37128,46.57,48.16
2799,2.35,10.22492,44.82,49.87
2800,2.38,10.07078,44.69,48.8
2801,2.59,9.93021,43.17,51.51
2802,2.62,9.78802,42.83,50.27
2803,3.13,9.6462,41.31,51.48
2804,3.42,9.50732,43.12,50.12
2805,3.66,9.35419,40.81,52.29
2806,3.25,9.23126,44.89,48.44
2807,3.23,9.0851,46.91,45.98
2808,2.66,16.74283,38.63,52.67
2809,2.66,16.04655,39.45,52.19
2810,2.78,15.3746,40.2,51.76
2811,2.81,14.77067,40.9,51.41
2812,2.79,14.2462,41.52,51.13
2813,2.74,13.7825,42.12,50.82
2814,2.81,13.3379,42.67,52.26
2815,2.9,12.97958,42.87,53.38
2816,2.94,12.66036,42.79,54.28
2817,3.12,12.38418,42.52,55.03
2818,3.28,12.13866,42.11,55.75
2819,3.63,11.97929,41.58,56.41
2820,3.76,11.84562,40.98,56.96
2821,4.05,11.79327,39.06,59.09
