,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,Mortality rate attributed to unintentional poisoning (per 100 000 population)
2420,-0.34768639739056445,-0.40482431532930824,1.5572561528285092,-0.3555110289399363,-0.5192577108016457
2421,-0.34293586869478404,-0.40689490399361894,1.556728480029772,-0.35730460392717445,-0.6824644444569529
2422,-0.3432072279399745,-0.40886153579417345,1.5325113901074043,-0.3590081299182994,-0.505531120125415
2423,-0.343449358831529,-0.41061633987646423,1.5352118887177733,-0.3605281675596472,-0.5159657585244257
2424,-0.3387969519064488,-0.41217323079977647,1.5399944599647766,-0.361876769851373,-0.5171501324987023
2425,-0.3389928568701797,-0.4133901929898984,1.5247312839714868,-0.3629309207709831,-0.6757044022345438
2426,-0.3391962864088297,-0.4146538978607512,1.532730647298656,-0.3640255609024006,-0.37429033635019726
2427,-0.33461562311835974,-0.41590144537451756,1.5406481698055812,-0.3651062052885359,-0.6910040844971211
2428,-0.3348418362418553,-0.4171310273684634,1.5485126747261302,-0.3661712876716822,-0.3975283610967718
2429,-0.33033925338025005,-0.4183419719818827,1.5563390401764372,-0.3672202260760092,-0.6822579382255405
