,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,Crude suicide rates (per 100 000 population)
2471,-0.21920931070539607,-0.12712003348952813,0.345633832616055,-0.22908507102483627,-0.3871268510492941
2472,-0.22883892140872178,-0.12712003348952813,0.43968545694145533,-0.24839972759825485,-0.39378631762170807
2473,-0.2378546923859391,-0.12825629815061593,0.5717509342652962,-0.2632851933004633,-0.1415590211915284
2474,-0.24272704521192462,-0.12893805694726862,0.4702343074516745,-0.27600797940675476,-0.14572118779928722
2475,-0.3025380535246131,-0.1507543384401542,-0.3970889616897243,-0.3674913957155776,1.0129011308025127
2476,-0.302384593593086,-0.1507543384401542,-0.3970889616897243,-0.36695917492628743,1.7546658149708443
2477,-0.3021544036957953,-0.15098159137237177,-0.3970889616897243,-0.36621705263870324,0.07016206981194296
2478,-0.3017707538669776,-0.15120884430458933,-0.3970889616897243,-0.3649759702319913,0.8588676689825776
2479,-0.3020009437642682,-0.15143609723680687,-0.3970889616897243,-0.36570376111039066,1.742645477807637
2480,-0.3023462286102042,-0.15143609723680687,-0.3970889616897243,-0.3667989574981974,1.4896606670548456
2481,-0.3023078636273225,-0.15166335016902444,-0.3970889616897243,-0.36665349404412984,1.4398978030924818
2482,-0.3021160387129136,-0.15166335016902444,-0.3970889616897243,-0.3660054611476259,0.6511589065889855
2483,-0.3019242137985047,-0.151890603101242,-0.3970889616897243,-0.36534810046075705,0.5934962504050957
2484,-0.3016556589183323,-0.151890603101242,-0.3970889616897243,-0.3644315249957676,0.711718430731875
2485,-0.3013103740723963,-0.15211785603345956,-0.3970889616897243,-0.3632533886653282,1.2618486399457784
2486,-0.30069653434628785,-0.15211785603345956,-0.3970889616897243,-0.3611747611198168,1.3120193962357025
2487,-0.3003512495003519,-0.15211785603345956,-0.3970889616897243,-0.35997100761216305,-0.15154822105014948
2488,-0.3003128845174701,-0.15211785603345956,-0.3970889616897243,-0.35978290550320424,1.370597729073299
2489,-0.3004663444489972,-0.15211785603345956,-0.3970889616897243,-0.3602380639354888,1.2547230107132956
2490,-0.30073489932916964,-0.15211785603345956,-0.3970889616897243,-0.3610862953387489,-0.20315908698635776
2491,-0.3011185491579874,-0.1523451089656771,-0.3970889616897243,-0.36233268503145477,0.9396802958388211
2492,-0.3015789289525687,-0.1523451089656771,-0.3970889616897243,-0.36385189073511887,-0.8612808710051696
2493,-0.30203930874715,-0.1523451089656771,-0.3970889616897243,-0.36541983283884355,0.030230243377105684
2494,-0.302384593593086,-0.1523451089656771,-0.3970889616897243,-0.36653715751983434,-0.3837971177630871
2495,-0.23854526207781107,-0.0984861640301158,6.042482277290722,0.044738793670879864,-0.26725645274584237
2496,-0.22826344666549514,-0.08825978208032567,6.346058771754788,0.08211852780160396,-0.4187593172682605
2497,-0.218019996236061,-0.07894241185940579,6.480610270482269,0.11415371837298562,-0.2431158864208417
2498,-0.2081985606183264,-0.07030680043513857,6.517096437218403,0.1479119408341601,-0.23562398652687597
2499,-0.19906769469246377,-0.060762177282001124,6.567820875212256,0.18051348749317622,-0.23146181991911718
2500,-0.19212363279086234,-0.053490083451039255,6.3048936147743815,0.20379226850070703,-0.5677648818260234
