Drug Use Disorders,per_capita-Interpersonal Violence,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Estimated road traffic death rate (per 100 000 population)
-0.063360974205617,-0.5865214614548007,-0.9216055073658258,110072.0,1.038663251624452
-0.061637711573474,-0.5879723275100399,-0.922533037405723,56990.54,-0.304309061995024
-0.0596272385026405,-0.5899140266057276,-0.9219698281329272,115625.1,-0.2964860288690313
-0.057616765431807,-0.592833310373722,-0.9211599287036912,60021.16,-0.29477972955201
-0.054170240167521,-0.5951806218428592,-0.9145043349476418,122461.6,1.0216268674104494
-0.0510109253419254,-0.5982347583893064,-0.907093159738618,126712.9,0.9121093928258412
-0.0475644000776394,-0.5952817990054935,-0.8998807179131408,63955.62,-0.3500997495143869
-0.0438306643746629,-0.6041417265991089,-0.8880861495661523,69437.57,0.887881106665972
-0.0406713495490673,-0.6079532273225482,-0.874385341545416,67942.48,0.276059713449915
-0.0392352973556148,-0.6123840254700409,-0.862269752491793,69736.36,0.2655192406708885
-0.0352143512139478,-0.6164649011773923,-0.8457010235400991,149949.1,0.8609603267495164
-0.0280340902466852,-0.6178857974657015,-0.8163832085093637,80912.01,0.2572313823410871
-0.0231515127889467,-0.622222972781339,-0.807470040732051,83746.14,0.2523369974580522
-0.1658951008181265,-0.3217966556548441,0.5901164728751936,30045.4,0.5991373444633558
-0.165607890379436,-0.3214397441753075,0.5526411227672335,23840.76,0.6095838543657629
-0.165607890379436,-0.3273136079352763,0.5064218779725729,30566.13,0.6260049064673898
-0.165033469502055,-0.3269344941882701,0.5009662882917265,57777.83,0.3631225551120843
-0.164459048624674,-0.3205126016872947,0.5206943940168048,59261.92,0.3407344445801724
-0.164459048624674,-0.3252637639423801,0.4838583050126443,31644.24,0.9772248347933408
-0.163884627747293,-0.3215821207968315,0.4827578574540653,33518.66,0.5583042380980288
-0.163310206869912,-0.3157115624956287,0.46566571151615,32294.04,0.632411012675154
-0.162735785992531,-0.310190034485941,0.4797773419056027,28153.73,0.2374617594063002
