per_capita-Interpersonal Violence,per_capita-HIV/AIDS,per_capita-Environmental Heat and Cold Exposure,per_capita-Road Injuries,Mortality rate attributed to unintentional poisoning (per 100 000 population)
-0.2549726655421461,-0.3722621891713183,-0.363458385504925,-0.7115272745769208,-0.4560546565640986
-0.3560483270492302,-0.3722574138262146,-0.3321971655636496,-0.6958190144816341,-0.5949240234761951
-0.4589917777894347,-0.3722531558764682,-0.3774803582238709,-0.7319706994732738,-0.3917522603299154
-0.5015599977776709,-0.372249322429543,-0.3924751542279409,-0.7753210628100478,-0.568448709866598
-0.5034455434335923,-0.3722463870474617,-0.3921812614264136,-0.7776723886582162,-0.4188470926337495
-0.517740269069195,-0.3722448354324218,-0.3920259124877281,-0.7665401100215298,-0.5693354719191333
-0.5443859758854381,-0.3722445053365595,-0.3919928630260082,-0.8028078687983251,-0.5301964673538101
-0.5327835728224046,-0.3722454256418097,-0.3765129116286371,-0.7947733315861979,-0.4731278629317466
-0.5362493629671833,-0.3722470284076076,-0.3767134993704932,-0.7876199082031036,-0.4964569933686502
-0.5397273668465147,-0.3722487212533393,-0.3149669475879503,-0.798848869384399,-0.5641849635592024
-0.5432082554403962,-0.3722504774360504,-0.3925907944031745,-0.804048902089054,-0.5627758622154477
-0.543749015239446,-0.3722522762439481,-0.3927708924884713,-0.7972063470862539,-0.6731170006292011
-0.5443027653199028,-0.3722541182633065,-0.3929553169397684,-0.7874608825756687,-0.6275034183378329
-0.5477863705420986,-0.372255999002562,-0.3931436180581436,-0.7988455143033775,-0.6771317247163641
-0.5541623856537831,-0.3722578836471096,-0.3017707097879857,-0.8131714925105223,-0.5773284778173278
-0.5570716076921168,-0.3722578836471096,-0.3933323101774721,-0.8251390677982018,-0.5804442924265784
-0.5477523505598934,-0.3691118214788252,-0.4039306868628569,2.4930299564718146,-0.318758381238349
-0.5486378617555178,-0.3687446440255622,-0.4046578621107179,2.396735385486138,0.0412427172402103
-0.5508745992822625,-0.3682682216691374,-0.4038681083774191,2.287139325006549,-0.1622570263912536
-0.5549511572386088,-0.3677448476382874,-0.3473992101851755,2.0848980934577392,-0.3795926875273429
-0.5674056953590341,-0.367204480764317,-0.4066419241346997,1.9905316563308149,-0.3517750834135658
-0.5743044983814769,-0.366675336923577,-0.4072327927424686,1.8863135044869608,-0.2184813847496019
-0.5796689969441975,-0.3659890632412864,-0.4078027776777256,1.7773596282114106,-0.2464933476694142
-0.5865214614548007,-0.3651253650770287,-0.4083660039006309,1.6740800863249772,-0.1463621202851935
-0.5879723275100399,-0.3646958923661729,-0.4089203947921277,1.579970710700725,-0.1728252864694135
-0.5899140266057276,-0.3642226770920942,-0.4094636784891441,1.4908949897186008,-0.201875854258976
-0.592833310373722,-0.3640291472804838,-0.4099934558533074,1.4073961454238744,-0.22762839605863
-0.5951806218428592,-0.3639730786259923,-0.4105118274705888,1.3625247692595936,-0.4499080593232378
-0.5982347583893064,-0.363866481455284,-0.4110214327078232,1.3081741101758124,-0.4538073828693175
-0.5952817990054935,-0.3639182905254281,-0.4115208301575251,1.276613770056132,-0.3579216806544266
-0.6041417265991089,-0.3637636289418128,-0.4120082261735511,1.2488342141413094,-0.2781495382023852
-0.6079532273225482,-0.3645499916526302,-0.4124814175532157,1.206215265598264,-0.2950951966035726
-0.6123840254700409,-0.3651173890443271,-0.4141945759592029,1.1269683316904813,-0.472909209274957
-0.6164649011773923,-0.3656962244310375,-0.4146225322446139,1.0827176513867225,-0.3365118434271199
-0.6178857974657015,-0.3660436246649717,-0.4146225322446139,1.1221720521874978,-0.3423243864701078
-0.622222972781339,-0.3664495216001952,-0.4056931558727286,1.072669187992734,-0.4945012578829217
-0.3217966556548441,-0.0223844007879988,-0.0142732017813728,4.172381411469827,2.29413459625829
-0.3214397441753075,0.0335157485178076,-0.0213761899783162,4.159439212426615,2.22466347052611
-0.3273136079352763,0.0880558195550086,-0.0367442625030894,4.075309017677578,1.368749804736242
-0.3269344941882701,0.1382488548116991,-0.0470063071458216,4.072130893610221,0.5823558543800627
-0.3205126016872947,0.1825292305402479,-0.0514728536982018,4.240484707749945,0.6083027549857518
-0.3252637639423801,0.2183521759459616,-0.0670150409716768,4.0582340770988194,0.5706578837418236
