Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
-0.2759045593102658,-0.0392352973556148,-0.4412611538330537,-0.3521062054478173,-0.334784283339098
-0.2774336368251295,-0.0352143512139478,-0.429480102878265,-0.3461969743078196,-0.3392344428207885
-0.2781981755825614,-0.0280340902466852,-0.4222790901403295,-0.3469067422939087,-0.3392344428207885
-0.2793449837187091,-0.0231515127889467,-0.4322837149619887,-0.3478971162279866,-0.383736037637693
-0.2636719391913567,-0.1658951008181265,-0.6208201422420314,-0.4822413403856431,2.6601730478385752
-0.2617605922977771,-0.165607890379436,-0.6228835028043886,-0.4658341455444205,2.4376650737540526
-0.260741207287868,-0.165607890379436,-0.6070740184018655,-0.4626154302586676,1.992649125585008
-0.2580653216368566,-0.165033469502055,-0.599474046148591,-0.4579111540717979,1.7701411515004852
-0.2538603584709815,-0.164459048624674,-0.5808940377939101,-0.4454324425024173,2.126153910035721
-0.2522038578298792,-0.164459048624674,-0.5361056963981666,-0.4444090561038702,2.304160289303339
-0.2488908565476746,-0.163884627747293,-0.4869081085600329,-0.4445906246584512,1.5476331774159626
-0.2449407396342769,-0.163310206869912,-0.449097958694756,-0.430708883349127,2.7491762374723843
-0.2409906227208791,-0.162735785992531,-0.37973322729006,-0.4168931669687414,2.170655504852625
-0.2370405058074813,-0.1618741546764595,-0.445219648706344,-0.4346538728532038,3.060687401190716
-0.2328355426416063,-0.1612997337990784,-0.41009808418556,-0.4358258153418625,2.348661884120244
-0.2302870801168335,-0.1601508920443164,-0.3341539998296112,-0.4258395448399111,2.6156714530216707
-0.2276111944658221,-0.1592892607282449,-0.2965542832020775,-0.4254103828018107,2.0371507204019124
-0.225190155067288,-0.1584276294121734,-0.2823659633957285,-0.4071875024147788,1.7256395566835807
-0.2241707700573789,-0.1575659980961019,-0.2682759622792424,-0.3983731744014862,2.0371507204019124
-0.2225142694162766,-0.1567043667800304,-0.3577035218327253,-0.4015588772227699,1.8146427463173893
-0.2230239619212312,-0.1555555250252684,-0.4050838061326163,-0.4091187315862306,1.859144341134294
-0.2190738450078334,-0.1541194728318159,-0.359479925533375,-0.3956001273860683,2.170655504852625
-0.2169076518617765,-0.1526834206383634,-0.4115330018663645,-0.4124364842653913,1.992649125585008
-0.2137220737058106,-0.1512473684449108,-0.4651805858582201,-0.4256414700530956,1.6811379618666762
-0.0136677655111492,-0.1621613651151499,-0.2224817970781878,0.0381341370433137,-0.570642735868692
-0.0089531098403196,-0.1612997337990784,-0.2507195361594842,0.0097269113675148,-0.5750928953503824
0.0050634340459304,-0.1610125233603879,-0.5122864410360171,-0.3304665349882169,-0.570642735868692
-0.0281940019023539,-0.1615869442377689,-0.4728316705699991,-0.2965297215138169,-0.5795430548320728
-0.0752131354844113,-0.1615869442377689,-0.4445676243157273,-0.2755172878791324,-0.5884433737954538
-0.0884651406132296,-0.1610125233603879,-0.4012770351815377,-0.1839572176736378,-0.5884433737954538
-0.0521495496352179,-0.1601508920443164,-0.3598772163859759,-0.1369639745016451,-0.5928935332771442
-0.0964927975662638,-0.1592892607282449,-0.2914754834177123,-0.061860617834077,-0.5928935332771442
-0.0396620832638314,-0.1587148398508639,-0.1979701380053445,0.0507614047028058,-0.6062440117222155
-0.0321441188157517,-0.1578532085347924,-0.2398058224087584,0.0244174580563358,-0.6062440117222155
-0.0253906931251039,-0.1569915772187209,-0.1304790711747189,0.1711578626221998,-0.6151443306855964
-0.014814573647297,-0.1555555250252684,-0.0073323316720985,0.2887482610617065,-0.6062440117222155
0.0116894366103396,-0.1546938937091969,0.0504256142653187,0.3458103058968236,-0.610694171203906
0.0249414417391579,-0.1535450519544349,0.0823470114591164,0.3526603922741952,-0.6062440117222155
0.0392128318778854,-0.1529706310770539,0.0170815909790922,0.2317522411555278,-0.610694171203906
0.0323319830609989,-0.1518217893222919,0.1054403332273287,0.3431693087392828,-0.610694171203906
0.0338610605758626,-0.1503857371288393,-0.0036854053452366,0.2244399802755866,-0.6062440117222155
0.0316948674298057,-0.1509601580062204,0.0931757892258965,0.4271365121168474,-0.6151443306855964
0.030548059293658,-0.1503857371288393,-0.0477889897222559,0.2217989831180457,-0.610694171203906
0.0292738280312716,-0.1495241058127678,-0.1426567111184472,0.0927037408110016,-0.6151443306855964
-0.3196106916101186,-0.172500940908008,-0.6339758462775751,-0.4633086920125221,-0.4371379514179784
-0.3219043078824141,-0.172500940908008,-0.6302616858616784,-0.4627969988132486,-0.4549385893447402
-0.3219043078824141,-0.172500940908008,-0.6256258605837381,-0.4156386933189095,-0.4193373134912166
-0.3236882316497551,-0.172500940908008,-0.6179642095913124,-0.4051572358499193,-0.4371379514179784
-0.3207574997462664,-0.1722137304693175,-0.604357594737102,-0.4039357746645566,-0.423787472972907
-0.3187187297264481,-0.1722137304693175,-0.5810268125735554,-0.3907472951090869,-0.4104369945278357
-0.3173170753378231,-0.171926520030627,-0.5548101341316993,-0.3633469495996005,-0.4015366755644547
-0.3131121121719481,-0.171926520030627,-0.5050573541662192,-0.3246398350093924,-0.3926363566010739
-0.3174444984640618,-0.1716393095919365,-0.4617006678324658,-0.1759351888076074,-0.4059868350461453
