Interpersonal Violence,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,gdp/percap
-0.2276111944658221,-0.0868962644870203,0.5399028744910954,0.32352115698849,-0.2965542832020775
-0.225190155067288,-0.0889415408769783,0.5163353553517764,0.3039706391355077,-0.2823659633957285
-0.2241707700573789,-0.091668576063589,0.5149514662670324,0.2684921441396653,-0.2682759622792424
-0.2225142694162766,-0.0928048407246768,0.5657051121774829,0.2683573898389332,-0.3577035218327253
-0.2230239619212312,-0.0948501171146348,0.60267223777168,0.3099733254764543,-0.4050838061326163
-0.2190738450078334,-0.0946228641824173,0.6143012919391798,0.3509871248580417,-0.359479925533375
-0.2169076518617765,-0.0966681405723753,0.633202214092851,0.3769399306836677,-0.4115330018663645
-0.2137220737058106,-0.097349899369028,0.5779562423893692,0.3404678838453591,-0.4651805858582201
-0.0136677655111492,-0.1407552094225816,-0.3967709665511951,-0.3292421904935586,-0.2224817970781878
-0.0089531098403196,-0.1412097152870167,-0.396773991060055,-0.3293120272724996,-0.2507195361594842
0.0050634340459304,-0.142118727015887,-0.3968285948411098,-0.3281459572740542,-0.5122864410360171
-0.0281940019023539,-0.142118727015887,-0.3968308865275085,-0.3273520132677694,-0.4728316705699991
-0.0752131354844113,-0.1423459799481045,-0.3968335840781325,-0.330969521199252,-0.4445676243157273
-0.0884651406132296,-0.1430277387447572,-0.3968869509014066,-0.3344510806540142,-0.4012770351815377
-0.0521495496352179,-0.1434822446091923,-0.3968891598291327,-0.3331824242883433,-0.3598772163859759
-0.0964927975662638,-0.1439367504736274,-0.3968913269526604,-0.3328008575711805,-0.2914754834177123
-0.0396620832638314,-0.1443912563380625,-0.3968934417742092,-0.3335279725089296,-0.1979701380053445
-0.0321441188157517,-0.1448457622024977,-0.3968955042497728,-0.33378398428078,-0.2398058224087584
-0.0253906931251039,-0.1453002680669328,-0.3970889616897243,-0.3357632866358806,-0.1304790711747189
-0.014814573647297,-0.1453002680669328,-0.3970889616897243,-0.3370319468089098,-0.0073323316720985
0.0116894366103396,-0.1455275209991503,-0.3970889616897243,-0.334704403335551,0.0504256142653187
0.0249414417391579,-0.1455275209991503,-0.3970889616897243,-0.3347739327532629,0.0823470114591164
0.0392128318778854,-0.1453002680669328,-0.3970889616897243,-0.3347296346521906,0.0170815909790922
0.0323319830609989,-0.1453002680669328,-0.3970889616897243,-0.3351088675523317,0.1054403332273287
0.0338610605758626,-0.1453002680669328,-0.3970889616897243,-0.3343524247590345,-0.0036854053452366
0.0316948674298057,-0.1450730151347152,-0.3970889616897243,-0.3348438403207615,0.0931757892258965
0.030548059293658,-0.1450730151347152,-0.3970889616897243,-0.3351379464230548,-0.0477889897222559
0.0292738280312716,-0.1450730151347152,-0.3970889616897243,-0.3361781695724876,-0.1426567111184472
-0.3196106916101186,-0.1521178560334595,-0.3970889616897243,-0.3725621766013518,-0.6339758462775751
-0.3219043078824141,-0.1521178560334595,-0.3970889616897243,-0.3725606670391288,-0.6302616858616784
-0.3219043078824141,-0.1521178560334595,-0.3970889616897243,-0.3725592646651324,-0.6256258605837381
-0.3236882316497551,-0.1521178560334595,-0.3970889616897243,-0.3725580213089835,-0.6179642095913124
-0.3207574997462664,-0.151890603101242,-0.3970889616897243,-0.3722463424016422,-0.604357594737102
-0.3187187297264481,-0.151890603101242,-0.3970889616897243,-0.3716216049021983,-0.5810268125735554
-0.3173170753378231,-0.1516633501690244,-0.3970889616897243,-0.3697458395309232,-0.5548101341316993
-0.3131121121719481,-0.151890603101242,-0.3970889616897243,-0.3706788826984341,-0.5050573541662192
-0.3174444984640618,-0.1516633501690244,-0.3970889616897243,-0.3691116707087787,-0.4617006678324658
-0.3182090372214936,-0.1514360972368068,-0.3970889616897243,-0.3691096680780346,-0.5146220019125889
-0.3182090372214936,-0.1516633501690244,-0.3970889616897243,-0.3697357698181022,-0.5038429000969481
-0.3185913066002095,-0.151890603101242,-0.3970889616897243,-0.3697370075601114,-0.4883937730355879
