per_capita-Interpersonal Violence,per_capita-Alcohol Use Disorders,per_capita-Protein-Energy Malnutrition,per_capita-Cirrhosis and Other Chronic Liver Diseases,Estimated road traffic death rate (per 100 000 population)
-0.5443859758854381,-0.5154486231754803,-0.5334742126393677,-0.927268966434793,-0.2881748877025457
-0.5327835728224046,-0.5088454953412879,-0.5334915449832036,-0.91120520073668,-0.892539120940509
-0.5362493629671833,-0.5091416978152903,-0.533521730280843,-0.890365491421601,-0.2955630307004672
-0.5397273668465147,-0.5094545476992002,-0.5335536120768817,-0.8783353378077252,-0.3352943599726884
-0.5432082554403962,-0.5097791027056274,-0.5335866867144328,-0.8636224781317274,-0.9724674362186416
-0.543749015239446,-0.5034228059570757,-0.533620564123009,-0.8462272391731234,-0.3540727992886209
-0.5443027653199028,-0.5037832487855867,-0.5336552553440607,-0.8176860871711994,-0.9447766596318342
-0.5477863705420986,-0.5041512682496087,-0.5336906757868267,-0.8091477969837633,-0.3357966040211683
-0.5541623856537831,-0.504520051893698,-0.5337261697789536,-0.7978710421709608,-1.046476921799621
-0.5570716076921168,-0.504520051893698,-0.5365967071874684,-0.7866159939083581,-0.571156979355629
-0.5477523505598934,-0.5647345990662057,-0.464987038857929,-0.906263793943264,0.3887744204292347
-0.5486378617555178,-0.565586365516042,-0.4729447733098062,-0.9065356601736833,1.1173068532355297
-0.5508745992822625,-0.5657561047998413,-0.4815003588634144,-0.9112776669824224,-0.3244171175916179
-0.5549511572386088,-0.5671762547678944,-0.490078428283493,-0.9169941117331792,-0.3047639088402534
-0.5674056953590341,-0.5672821711925684,-0.4967786166683629,-0.91827082125681,0.3837278655778688
-0.5743044983814769,-0.5679820532532162,-0.5016774718893248,-0.9194434872323264,1.0194931617342913
-0.5796689969441975,-0.5680442794149662,-0.5064511697420073,-0.9207378985698286,0.358449357177552
-0.5865214614548007,-0.5681133252301459,-0.5103291427058281,-0.9216055073658258,1.038663251624452
-0.5879723275100399,-0.5687845923099218,-0.5135994209805977,-0.922533037405723,-0.304309061995024
-0.5899140266057276,-0.5688513505776122,-0.5162811638958488,-0.9219698281329272,-0.2964860288690313
-0.592833310373722,-0.5689157000010642,-0.5178872667045082,-0.9211599287036912,-0.29477972955201
-0.5951806218428592,-0.5684024684348993,-0.5192064569368715,-0.9145043349476418,1.0216268674104494
-0.5982347583893064,-0.5679052194337365,-0.520249898700112,-0.907093159738618,0.9121093928258412
-0.5952817990054935,-0.5679853493770628,-0.5207816763788251,-0.8998807179131408,-0.3500997495143869
-0.6041417265991089,-0.5675052583372123,-0.5213009881648032,-0.8880861495661523,0.887881106665972
-0.6079532273225482,-0.5670315702471974,-0.5218068085445199,-0.874385341545416,0.276059713449915
-0.6123840254700409,-0.5671065279902187,-0.5225347802652042,-0.862269752491793,0.2655192406708885
-0.6164649011773923,-0.5666315735919409,-0.5232436169270385,-0.8457010235400991,0.8609603267495164
-0.6178857974657015,-0.5650130351633353,-0.5234772839747617,-0.8163832085093637,0.2572313823410871
-0.622222972781339,-0.5651492805519339,-0.5241471992714131,-0.807470040732051,0.2523369974580522
-0.3217966556548441,-0.4247133187790796,5.754054443545347,0.5901164728751936,0.5991373444633558
-0.3214397441753075,-0.4279915541318804,5.394516026278035,0.5526411227672335,0.6095838543657629
-0.3273136079352763,-0.4333679734445554,4.936848900370796,0.5064218779725729,0.6260049064673898
-0.3269344941882701,-0.4337343057417392,4.569230002486649,0.5009662882917265,0.3631225551120843
-0.3205126016872947,-0.4318998451772163,4.459838031938708,0.5206943940168048,0.3407344445801724
-0.3252637639423801,-0.4364353997321274,4.081369967675907,0.4838583050126443,0.9772248347933408
-0.3215821207968315,-0.4364537297047899,3.712561489414685,0.4827578574540653,0.5583042380980288
-0.3157115624956287,-0.4392531447692701,3.384015498052868,0.46566571151615,0.632411012675154
-0.310190034485941,-0.4393963389776503,3.042113786055224,0.4797773419056027,0.2374617594063002
-0.3053056407475423,-0.4372392141637279,2.6755523816045685,0.5182879171782048,1.318026525232859
-0.2999950518792458,-0.4365384159283853,2.431331864820386,0.5593959031455874,0.6598988959708536
