,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
124,New Zealand,"54,122","53,130","62,061","82,411","101,599","113,262","109,741","134,878","135,378","121,696"
125,Nicaragua,"5,109","5,335","5,224","5,322","5,793","6,321","6,764","7,423","8,497","8,297"
126,Niger,"2,235","2,442","2,772","3,382","3,746","4,372","4,743","5,716","7,279","7,324"
127,Nigeria,"67,824","73,128","93,983","102,935","130,345","169,645","222,791","262,215","330,260","297,458"
128,North Macedonia,"3,774","3,709","3,991","4,946","5,684","6,257","6,860","8,337","9,912","9,400"
129,Norway,"171,246","173,973","195,525","228,858","264,510","308,884","345,579","400,939","462,250","386,188"
130,Oman,"22,259","22,206","23,066","24,734","28,379","35,507","42,578","48,300","69,805","55,454"
131,Pakistan,"89,651","87,389","87,933","101,103","118,844","132,833","154,493","171,512","191,425","188,991"
132,Palau,149,155,162,153,164,183,189,193,194,182
133,Panama,"12,502","12,704","13,204","13,915","15,255","16,638","18,438","21,296","25,156","27,117"
134,Papua New Guinea,"5,169","4,531","4,387","5,488","6,279","7,339","8,355","9,545","11,671","11,619"
135,Paraguay,"8,856","8,496","7,196","7,691","9,624","10,738","13,430","17,856","24,615","22,355"
136,Peru,"50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,250","121,763"
137,Philippines,"83,667","78,921","84,307","87,039","95,002","107,422","127,653","155,980","181,007","176,132"
138,Poland,"171,613","190,805","199,070","217,829","255,292","306,304","344,627","429,021","533,600","439,794"
139,Portugal,"118,658","121,605","134,700","165,185","189,296","197,363","208,767","240,524","263,388","244,402"
140,Puerto Rico,"61,702","69,669","72,546","75,834","80,322","83,915","87,276","89,524","93,639","96,386"
141,Qatar,"18,085","17,498","19,334","23,716","30,651","44,636","58,629","75,987","112,621","88,196"
142,Romania,"37,281","40,395","46,065","57,806","74,974","98,454","122,024","174,589","214,317","174,102"
143,Russia,"278,264","328,475","370,062","461,518","633,294","817,717","1,060,901","1,393,416","1,779,109","1,307,927"
144,Rwanda,"2,049","1,967","1,961","2,137","2,388","2,943","3,317","4,068","5,179","5,671"
145,Samoa,271,273,289,342,418,486,516,568,684,618
146,San Marino,"1,008","1,060","1,148","1,462","1,714","1,788","1,910","2,189","2,403","2,062"
147,São Tomé and Príncipe,77,72,80,96,104,125,133,145,188,188
148,Saudi Arabia,"189,514","184,138","189,606","215,807","258,742","328,206","376,398","415,687","519,797","429,098"
149,Senegal,"6,016","6,508","7,001","8,767","10,072","11,015","11,699","13,996","16,852","16,128"
150,Serbia,"9,312","12,313","16,177","21,219","24,743","27,496","32,602","43,395","52,094","45,156"
151,Seychelles,615,622,698,706,839,919,"1,016","1,034",998,847
152,Sierra Leone,941,"1,084","1,250","1,380","1,439","1,610","1,884","2,159","2,511","2,454"
153,Singapore,"96,077","89,794","92,538","97,646","115,034","127,808","148,627","180,942","193,617","194,150"
154,Slovakia,"20,730","21,421","24,888","34,085","43,190","49,116","57,492","77,239","97,170","89,302"
155,Slovenia,"20,393","20,901","23,539","29,673","34,448","36,261","39,514","48,073","55,773","50,513"
156,Solomon Islands,420,410,346,353,398,477,539,620,699,736
157,Somalia,,,,,,,,,,
158,South Africa,"151,855","135,527","129,385","197,017","256,188","288,749","304,055","332,650","316,491","331,184"
159,South Sudan,,,,,,,,,,
160,Spain,"598,628","627,834","708,256","907,264","1,068,570","1,154,354","1,260,466","1,474,176","1,631,685","1,489,853"
161,Sri Lanka,"20,007","19,236","20,238","22,352","24,423","28,880","33,447","38,270","48,177","49,750"
162,Saint Kitts and Nevis,421,458,481,469,507,547,644,689,778,774
163,Saint Lucia,932,892,899,987,"1,066","1,135","1,267","1,331","1,427","1,399"
164,Saint Vincent and the Grenadines,428,462,488,509,550,580,644,714,733,714
165,Sudan,"13,134","15,716","18,137","21,355","26,646","35,183","45,264","59,440","64,833","54,812"
166,Suriname,"1,355","1,167","1,474","1,729","2,000","2,393","2,812","3,144","3,783","4,150"
167,Sweden,"262,834","242,395","266,848","334,337","385,119","392,219","423,091","491,255","517,706","436,536"
168,Switzerland,"279,182","286,712","309,516","362,132","403,417","418,051","441,664","490,825","566,928","553,671"
169,Syria,"19,861","20,979","22,758","21,702","25,204","28,881","33,824","40,488","52,631","53,939"
170,Taiwan,"330,680","299,276","307,439","317,381","346,924","374,060","386,450","406,907","415,901","390,829"
171,Tajikistan,991,"1,057","1,212","1,555","2,073","2,311","2,811","3,712","5,135","4,977"
172,Tanzania,"12,369","12,610","13,125","14,159","15,576","17,174","18,867","21,807","27,762","28,985"
173,Thailand,"126,132","120,105","134,177","152,142","172,752","189,084","221,579","263,007","290,970","281,399"
174,Timor-Leste,367,477,470,490,441,462,454,543,648,727
175,Togo,"2,014","2,000","2,301","2,854","3,048","3,080","3,173","3,592","4,483","4,554"
176,Tonga,203,181,183,202,231,262,292,299,344,312
177,Trinidad and Tobago,"8,295","8,960","9,148","11,464","13,472","16,170","18,600","22,006","28,233","19,562"
178,Tunisia,"22,524","23,146","24,274","28,797","32,710","33,851","36,059","40,819","47,039","45,593"
179,Turkey,"274,321","202,248","240,191","314,752","409,127","506,186","555,126","680,489","770,820","648,797"
180,Turkmenistan,"8,487","11,717","14,703","19,307","23,991","29,023","36,154","43,875","36,363","34,162"
181,Tuvalu,15,14,17,20,23,23,24,29,32,28
182,Uganda,"7,756","7,835","8,425","8,725","10,750","12,460","14,079","17,512","22,419","24,107"
183,Ukraine,"32,331","37,863","42,339","50,096","64,752","85,996","107,767","143,260","181,313","117,079"
184,United Arab Emirates,"103,893","103,312","109,816","124,346","147,824","180,617","222,117","257,916","315,475","253,547"
185,United Kingdom,"1,665,276","1,644,331","1,786,893","2,058,967","2,422,908","2,547,689","2,720,887","3,107,373","2,969,961","2,434,480"
186,United States,"10,250,950","10,581,925","10,929,100","11,456,450","12,217,175","13,039,200","13,815,600","14,474,250","14,769,850","14,478,050"
187,Uruguay,"24,804","22,712","14,809","13,109","14,892","18,901","21,314","25,486","32,988","34,395"
188,Uzbekistan,"17,195","14,581","12,106","12,697","15,045","17,939","21,344","27,963","35,858","41,945"
189,Vanuatu,272,257,262,315,365,390,435,517,582,590
190,Venezuela,"117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624"
191,Vietnam,"39,585","41,297","44,563","50,233","62,877","73,197","84,301","98,426","124,756","129,022"
192,Palestine,"4,314","4,004","3,556","3,968","4,603","5,126","5,348","5,816","7,310","8,086"
193,Yemen,"9,679","9,853","10,693","11,778","13,868","16,732","19,063","21,651","26,911","25,130"
194,Zambia,"3,601","3,870","4,194","4,902","6,221","8,329","12,762","14,060","17,914","15,332"
195,Zimbabwe,"11,340","11,244","10,735","9,574","9,465","9,046","8,141","7,785","6,707","9,666"
