,name,year,gdp
132,Bahrain,2002,9594
133,Bahrain,2003,11075
134,Bahrain,2004,13150
135,Bahrain,2005,15969
136,Bahrain,2006,18505
137,Bahrain,2007,21730
138,Bahrain,2008,25711
139,Bahrain,2009,22938
140,Bangladesh,2000,63549
141,Bangladesh,2001,64660
142,Bangladesh,2002,66227
143,Bangladesh,2003,71917
144,Bangladesh,2004,78046
145,Bangladesh,2005,82622
146,Bangladesh,2006,86028
147,Bangladesh,2007,95374
148,Bangladesh,2008,109765
149,Bangladesh,2009,122760
150,Barbados,2000,3059
151,Barbados,2001,3055
152,Barbados,2002,3106
153,Barbados,2003,3210
154,Barbados,2004,3444
155,Barbados,2005,3820
156,Barbados,2006,4217
157,Barbados,2007,4674
158,Barbados,2008,4785
159,Barbados,2009,4466
160,Belarus,2000,10785
161,Belarus,2001,12778
162,Belarus,2002,15092
163,Belarus,2003,18420
164,Belarus,2004,23928
165,Belarus,2005,31239
166,Belarus,2006,38219
167,Belarus,2007,46815
168,Belarus,2008,62798
169,Belarus,2009,50855
170,Belgium,2000,236897
171,Belgium,2001,236748
172,Belgium,2002,258200
173,Belgium,2003,318004
174,Belgium,2004,369047
175,Belgium,2005,385927
176,Belgium,2006,408281
177,Belgium,2007,470978
178,Belgium,2008,517270
179,Belgium,2009,482730
180,Belize,2000,1082
181,Belize,2001,1129
182,Belize,2002,1199
183,Belize,2003,1267
184,Belize,2004,1356
185,Belize,2005,1427
186,Belize,2006,1544
187,Belize,2007,1645
188,Belize,2008,1701
189,Belize,2009,1664
190,Benin,2000,3522
191,Benin,2001,3666
192,Benin,2002,4191
193,Benin,2003,5348
194,Benin,2004,6187
195,Benin,2005,6571
196,Benin,2006,7034
197,Benin,2007,8170
198,Benin,2008,9787
199,Benin,2009,9728
200,Bhutan,2000,423
201,Bhutan,2001,441
202,Bhutan,2002,481
203,Bhutan,2003,572
204,Bhutan,2004,649
205,Bhutan,2005,758
206,Bhutan,2006,812
207,Bhutan,2007,995
