,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y"
18,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37227918801450255,-0.38099196728234036
19,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722734792509062,-0.13698367014024665
20,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722677314295903,-0.395069369040538
21,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722621891713183,-0.28714262222768894
22,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722574138262146,-0.1463686046457118
23,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722531558764682,-0.024364456074664972
24,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.372249322429543,-0.047826792338327845
25,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722463870474617,-0.014979521569199822
26,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722448354324218,-0.08536653036018843
27,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37224450533655956,-0.047826792338327845
28,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37224542564180974,-0.03844185783286269
29,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37224702840760765,-0.052519259591060415
30,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722487212533393,-0.03844185783286269
31,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37225047743605044,-0.15106107189844437
32,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37225227624394813,-0.12290626838204893
33,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.3722541182633065,-0.09944393211838616
34,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37225599900256207,-0.019671988821932395
35,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37225788364710966,-0.12290626838204893
36,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.37225788364710966,-0.12290626838204893
37,-0.29950721987695283,-0.05303557758660414,-0.3970889616897243,-0.3691118214788252,-0.5546132556334454
38,-0.29897011011660796,-0.05894415382426066,-0.3970889616897243,-0.3687446440255622,-0.6437701334353643
39,-0.298279540424736,-0.06826152404518054,-0.3970889616897243,-0.3682682216691374,-0.6484626006880968
40,-0.2975122407671005,-0.07757889426610044,-0.3970889616897243,-0.3677448476382874,-0.5686906573916432
41,-0.2967065761265832,-0.08439648223262719,-0.3970889616897243,-0.367204480764317,-0.52645845211705
42,-0.2959009114860659,-0.08803252914810812,-0.3970889616897243,-0.36667533692357707,-0.5123810503588523
43,-0.29486505694825793,-0.09007780553806614,-0.3970889616897243,-0.3659890632412864,-0.5405358538752477
44,-0.29356064753027755,-0.09144132313137149,-0.3970889616897243,-0.3651253650770287,-0.6484626006880968
45,-0.29283171285552384,-0.09257758779245928,-0.3970889616897243,-0.36469589236617295,-0.43260910706239863
46,-0.29202604821500655,-0.09348659952132951,-0.3970889616897243,-0.3642226770920942,-0.5311509193697825
47,-0.291604033403307,-0.09416835831798219,-0.3970889616897243,-0.3640291472804838,-0.5686906573916432
48,-0.29137384350601636,-0.0946228641824173,-0.3970889616897243,-0.3639730786259923,-0.5686906573916432
49,-0.29106692364296216,-0.0946228641824173,-0.3970889616897243,-0.363866481455284,-0.5639981901389106
50,-0.2909901936771986,-0.0946228641824173,-0.3970889616897243,-0.3639182905254281,-0.3997618362932706
51,-0.29060654384838086,-0.0946228641824173,-0.3970889616897243,-0.3637636289418128,-0.5639981901389106
52,-0.2916423983861888,-0.09439561125019975,-0.3970889616897243,-0.3645499916526302,-0.5827680591498409
53,-0.29237133306094254,-0.0946228641824173,-0.3970889616897243,-0.3651173890443271,-0.5827680591498409
54,-0.29313863271857804,-0.09416835831798219,-0.3970889616897243,-0.3656962244310375,-0.5551653106043551
55,-0.2936757424789229,-0.0946228641824173,-0.3970889616897243,-0.3660436246649717,-0.5551653106043551
56,-0.29409775729062243,-0.09439561125019975,-0.3970889616897243,-0.3664495216001952,-0.5551653106043551
57,-0.12068803466499578,-0.006675979414222251,1.325090558428442,-0.02238440078799887,-0.28245015497495635
58,-0.08612118508851578,-0.008494002871962718,1.4804379527588674,0.033515748517807656,-0.10882886662385131
59,-0.049866276265237645,-0.013266314448531442,1.5855346159542016,0.08805581955500867,-0.09944393211838616
60,-0.012652242869915115,-0.015084337906271908,1.7340963550434556,0.13824885481169918,0.017867749199928094
61,0.024063045747944333,-0.013720820312966559,1.9465552148035037,0.18252923054024792,0.09294722524364928
62,0.056327996351517785,-0.020765661211710865,1.9938386028555453,0.21835217594596168,0.2618760463420218
63,0.07662307229597719,-0.03349182541589413,1.889468402694112,0.23385546129858636,0.4401898019458594
64,0.0924678102261506,-0.05235381878995147,1.667163756490792,0.24094866547499927,0.47772953996771994
65,0.11353018582824552,-0.06894328284183322,1.2993877939945424,0.25546194310367115,0.5809638195278366
66,0.13440073651593154,-0.07916966479162335,0.9567621176437319,0.26839493841938433,0.16802670128737038
67,0.15753482119364237,-0.08348747050375695,0.769183789664696,0.28330840546770614,0.21025890656196353
68,0.18676893814955553,-0.08530549396149742,0.61480637713746,0.3048931487780585,0.21964384106742868
69,0.21496720056766075,-0.08689626448702033,0.5399028744910954,0.32352115698849,0.2665685135947543
70,0.21462191572172476,-0.08894154087697835,0.5163353553517764,0.3039706391355077,0.2571835790892892
71,0.20127090167886677,-0.09166857606358905,0.5149514662670324,0.2684921441396653,0.5950412212860342
72,0.2153892153793603,-0.09280484072467685,0.5657051121774829,0.2683573898389332,-0.06659666134925814
73,0.26453475845091506,-0.09485011711463487,0.60267223777168,0.3099733254764543,-0.2589878187112935
74,0.3153299957863862,-0.0946228641824173,0.6143012919391798,0.3509871248580417,0.16305820654918288
75,0.33754332087493444,-0.09666814057237533,0.633202214092851,0.3769399306836677,0.16305820654918288
76,0.3403823296081858,-0.097349899369028,0.5779562423893692,0.3404678838453591,0.16305820654918288
77,-0.23697229777965825,-0.14075520942258163,-0.3967709665511951,-0.32924219049355863,1.8385450432601653
78,-0.2364351880193134,-0.14120971528701676,-0.396773991060055,-0.3293120272724996,1.8479299777656306
79,-0.2340565590806433,-0.142118727015887,-0.3968285948411098,-0.3281459572740542,1.8291601087547005
80,-0.23217667491943628,-0.142118727015887,-0.3968308865275085,-0.32735201326776947,1.7353107637000489
81,-0.2372024876769489,-0.14234597994810455,-0.3968335840781325,-0.33096952119925205,1.711848427436386
82,-0.24207484050293443,-0.14302773874475722,-0.39688695090140663,-0.33445108065401424,1.495994933810688
83,-0.23931256173544657,-0.14348224460919234,-0.3968891598291327,-0.3331824242883433,1.5194572700743507
84,-0.23796978733458443,-0.14393675047362745,-0.39689132695266044,-0.3328008575711805,1.5335346718325484
85,-0.23846853211204752,-0.14439125633806257,-0.39689344177420927,-0.3335279725089296,1.439685326777897
86,-0.23819997723187508,-0.1448457622024977,-0.3968955042497728,-0.33378398428078004,1.373990785239641
87,-0.2408855260335994,-0.1453002680669328,-0.3970889616897243,-0.3357632866358806,1.1862920951303382
88,-0.24242012534887042,-0.1453002680669328,-0.3970889616897243,-0.3370319468089098,1.251986636668594
89,-0.23773959743729378,-0.14552752099915037,-0.3970889616897243,-0.334704403335551,1.2472941694158617
