,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Road Injuries,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Mortality rate attributed to unintentional poisoning (per 100 000 population)
40,-0.3677448476382874,-0.5671762547678944,2.0848980934577392,-0.5686906573916432,-0.37959268752734293
41,-0.367204480764317,-0.5672821711925684,1.9905316563308149,-0.52645845211705,-0.3517750834135658
42,-0.36667533692357707,-0.5679820532532162,1.8863135044869606,-0.5123810503588523,-0.21848138474960196
43,-0.3659890632412864,-0.5680442794149662,1.7773596282114106,-0.5405358538752477,-0.24649334766941425
44,-0.3651253650770287,-0.5681133252301459,1.6740800863249772,-0.6484626006880968,-0.14636212028519355
45,-0.36469589236617295,-0.5687845923099218,1.579970710700725,-0.43260910706239863,-0.17282528646941353
46,-0.3642226770920942,-0.5688513505776122,1.4908949897186008,-0.5311509193697825,-0.20187585425897608
47,-0.3640291472804838,-0.5689157000010642,1.4073961454238744,-0.5686906573916432,-0.22762839605863
48,-0.3639730786259923,-0.5684024684348993,1.3625247692595936,-0.5686906573916432,-0.44990805932323785
49,-0.363866481455284,-0.5679052194337365,1.3081741101758124,-0.5639981901389106,-0.4538073828693175
50,-0.3639182905254281,-0.5679853493770628,1.276613770056132,-0.3997618362932706,-0.3579216806544266
51,-0.3637636289418128,-0.5675052583372123,1.2488342141413094,-0.5639981901389106,-0.2781495382023852
52,-0.3645499916526302,-0.5670315702471974,1.206215265598264,-0.5827680591498409,-0.29509519660357264
53,-0.3651173890443271,-0.5671065279902187,1.1269683316904813,-0.5827680591498409,-0.47290920927495705
54,-0.3656962244310375,-0.5666315735919409,1.0827176513867225,-0.5551653106043551,-0.3365118434271199
55,-0.3660436246649717,-0.5650130351633353,1.1221720521874978,-0.5551653106043551,-0.3423243864701078
56,-0.3664495216001952,-0.5651492805519339,1.0726691879927341,-0.5551653106043551,-0.4945012578829217
57,-0.02238440078799887,-0.42471331877907964,4.172381411469827,-0.28245015497495635,2.29413459625829
58,0.033515748517807656,-0.42799155413188045,4.159439212426615,-0.10882886662385131,2.22466347052611
59,0.08805581955500867,-0.43336797344455547,4.075309017677578,-0.09944393211838616,1.368749804736242
60,0.13824885481169918,-0.4337343057417392,4.072130893610221,0.017867749199928094,0.5823558543800627
61,0.18252923054024792,-0.43189984517721636,4.240484707749945,0.09294722524364928,0.6083027549857518
62,0.21835217594596168,-0.43643539973212747,4.0582340770988194,0.2618760463420218,0.5706578837418236
63,0.23385546129858636,-0.4364537297047899,3.961785108133789,0.4401898019458594,0.5881380288596076
64,0.24094866547499927,-0.43925314476927013,3.8508681185156526,0.47772953996771994,1.9417074175024116
65,0.25546194310367115,-0.4393963389776503,3.736812677765775,0.5809638195278366,0.5080561270604478
66,0.26839493841938433,-0.43723921416372796,3.5885037816663488,0.16802670128737038,0.41046978529274947
67,0.28330840546770614,-0.4365384159283853,3.5255181793787296,0.21025890656196353,0.9881770413814024
68,0.3048931487780585,-0.4349869636411165,3.3856492613706504,0.21964384106742868,0.34210407526989445
69,0.32352115698849,-0.43362179653567373,3.2459774561367682,0.2665685135947543,0.3137094684507004
70,0.3039706391355077,-0.4333977937886764,2.9961608742293433,0.2571835790892892,1.2892570530678762
71,0.2684921441396653,-0.4364969598023623,2.7527699480176966,0.5950412212860342,0.1389080172728603
72,0.2683573898389332,-0.43647819411030764,2.62344217908948,-0.06659666134925814,0.6375962712828581
73,0.3099733254764543,-0.4355493983146209,2.417220660667914,-0.2589878187112935,0.9529920237763564
74,0.3509871248580417,-0.4328075519357033,2.4044766380239393,0.16305820654918288,0.8481293742077182
75,0.3769399306836677,-0.42501112828399035,2.4453901790533967,0.16305820654918288,0.027473610575159402
76,0.3404678838453591,-0.42905311441318966,2.2914789526746677,0.16305820654918288,0.019747848035263298
77,-0.32924219049355863,-0.08328675034578403,-0.235658109251658,1.8385450432601653,-0.3697289781210604
78,-0.3293120272724996,-0.11843982653729286,-0.2369229194463411,1.8479299777656306,-0.6025951226018939
79,-0.3281459572740542,-0.14748620540128565,-0.24326578273475735,1.8291601087547005,-0.38038227017686066
80,-0.32735201326776947,-0.15589432631910824,-0.24846924006793855,1.7353107637000489,-0.5898706945192819
81,-0.33096952119925205,-0.17277836763102153,-0.26810598733268304,1.711848427436386,-0.3636491917197741
82,-0.33445108065401424,-0.18041485233818821,-0.2556428568270072,1.495994933810688,-0.4101373886383005
83,-0.3331824242883433,-0.1867932031679062,-0.2287449975949914,1.5194572700743507,-0.5349947003778022
84,-0.3328008575711805,-0.18800242487373806,-0.17651203227658332,1.5335346718325484,-0.36001103781930416
85,-0.3335279725089296,-0.20314539540139562,-0.16703170744680756,1.439685326777897,-0.505834805759845
86,-0.33378398428078004,-0.2228894139680147,-0.16416095424688507,1.373990785239641,-0.5833050111029078
87,-0.3357632866358806,-0.24513482528040803,-0.16370967821194338,1.1862920951303382,-0.5278884565321429
88,-0.3370319468089098,-0.2606090089620448,-0.1561778132635394,1.251986636668594,-0.33352357678432987
89,-0.334704403335551,-0.273345392161697,-0.14823981803729455,1.2472941694158617,-0.30988468700030786
90,-0.33477393275326295,-0.28342464939808665,-0.14331235437248596,0.9845160032628375,-0.5052031396402308
91,-0.33472963465219063,-0.28434764355114756,-0.18345866222724452,0.8625118546917908,-0.4811451636806955
92,-0.33510886755233177,-0.2852072016356239,-0.22160927965542832,0.9375913307355118,-0.49595894892818515
93,-0.3343524247590345,-0.28185618190020134,-0.2314080615971707,1.4247280874098118,-0.4692042445349125
94,-0.3348438403207615,-0.27166800571917576,-0.23816935188945831,1.4247280874098118,-0.46639818927278043
95,-0.3351379464230548,-0.2607060780714404,-0.24641670060641926,1.4247280874098118,-0.5145080674791623
96,-0.33617816957248764,-0.25527037777468525,-0.28383894807420673,1.4247280874098118,-0.4921507310724344
