,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
2376,-0.33477404363251656,-0.1739369931014606,-0.3651898132421752,-0.1808375397812927,-0.6427353194720773
2377,-0.334264351127562,-0.1739369931014606,-0.3645787347201764,-0.16083198631292067,-0.6240446496489773
2378,-0.334264351127562,-0.1739369931014606,-0.3365092258535547,-0.12880989577773777,-0.6151443306855964
2379,-0.33400950487508474,-0.1739369931014606,-0.311551814263957,-0.14614143962409964,-0.4949900246799543
2380,-0.33400950487508474,-0.1739369931014606,-0.29027452720798574,-0.12989930710522335,-0.512790662606716
2381,-0.334264351127562,-0.1739369931014606,-0.24849896915932668,-0.0603585507007257,-0.5839932143137633
2382,-0.3343917742538006,-0.1739369931014606,-0.2294362727750349,0.022601772510526585,-0.5973436927588346
2383,-0.3346466205062779,-0.1739369931014606,-0.19997830754821921,-0.022740847438003066,-0.6151443306855964
2384,-0.33375465862260745,-0.1739369931014606,-0.21108518712865465,-0.04456208645218445,-0.6462954470574296
2385,-0.33349981237013016,-0.1739369931014606,-0.18601444453046498,-0.05170928500977937,-0.649855574642782
2386,-0.3333723892438915,-0.1739369931014606,-0.16011498214802702,-0.013002170419571189,-0.6458504311092605
2387,-0.3333723892438915,-0.1739369931014606,-0.15239831333752588,-0.048457557259557145,-0.6507456065391201
2388,-0.33349981237013016,-0.1739369931014606,-0.13442040246376694,-0.02112323667900926,-0.5350414600151683
2389,-0.3336272354963688,-0.1739369931014606,-0.10787300384798686,-0.031637706612468806,-0.6017938522405252
2390,-0.33349981237013016,-0.1739369931014606,-0.09131127675073551,-0.06658140025318131,-0.6151443306855964
2391,-0.33375465862260745,-0.1739369931014606,-0.07479753921686719,-0.016369441795435723,-0.6195944901672868
2392,-0.33375465862260745,-0.1739369931014606,-0.0349345759039744,-0.02264181004459528,-0.6195944901672868
2393,-0.33375465862260745,-0.1739369931014606,-0.015950686195793488,-0.03748091282352799,-0.6195944901672868
2394,-0.33375465862260745,-0.1739369931014606,-0.008290827126814214,-0.06370931584435562,-0.6195944901672868
2395,-0.33592085176866426,-0.17422420354015108,-0.4596333782331757,-0.41260154658773757,-0.5350414600151683
2396,-0.3360482748949029,-0.17422420354015108,-0.4426457000198166,-0.40175695200958544,-0.5884433737954538
2397,-0.3357934286424257,-0.17422420354015108,-0.4292749125485934,-0.3956991647794761,-0.6347250324050344
2398,-0.33592085176866426,-0.17422420354015108,-0.4181735826182034,-0.3879247293969652,-0.42823763245459756
2399,-0.33515631301123244,-0.17422420354015108,-0.39713145408601047,-0.3741750379455181,-0.5305913005334779
2400,-0.3349014667587552,-0.17422420354015108,-0.3813267882814504,-0.3660209592216107,-0.6396202078348939
2401,-0.3350288898849938,-0.17422420354015108,-0.3486736848638243,-0.3532946541687107,-0.5528420979419302
2402,-0.3346466205062779,-0.17422420354015108,-0.31283076166576856,-0.3272313134702294,-0.5528420979419302
